[Script Info]
Title: NARUTO -ナルト- 第001話 「うずまきナルト 参上！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:04.73,0:00:07.13,Default,,0000,0000,0000,,昔日，有一妖狐作祟
Dialogue: Marked=0,0:00:07.54,0:00:10.77,Default,,0000,0000,0000,,此妖狐有九條尾巴
Dialogue: Marked=0,0:00:11.84,0:00:15.74,Default,,0000,0000,0000,,狐動其尾，則山崩落海嘯起
Dialogue: Marked=0,0:00:16.54,0:00:18.10,Default,,0000,0000,0000,,百姓不堪其擾
Dialogue: Marked=0,0:00:18.75,0:00:20.98,Default,,0000,0000,0000,,便集合村內所有忍者
Dialogue: Marked=0,0:00:21.68,0:00:23.98,Default,,0000,0000,0000,,要第四代來之前擋住他啊
Dialogue: Marked=0,0:00:24.25,0:00:26.88,Default,,0000,0000,0000,,一步都別讓牠再靠近村裡啊
Dialogue: Marked=0,0:00:30.79,0:00:33.28,Default,,0000,0000,0000,,其中僅有一位忍者
Dialogue: Marked=0,0:00:33.66,0:00:37.53,Default,,0000,0000,0000,,用自己的性命封印住了妖狐
Dialogue: Marked=0,0:00:37.80,0:00:39.73,Default,,0000,0000,0000,,而他也因此殞命
Dialogue: Marked=0,0:00:40.20,0:00:45.97,Default,,0000,0000,0000,,此位忍者名為\N第四代火影
Dialogue: Marked=0,0:01:02.12,0:01:03.45,Default,,0000,0000,0000,,喂，鳴人
Dialogue: Marked=0,0:01:03.63,0:01:04.92,Default,,0000,0000,0000,,你做那種事\N小心會遭到天譴的
Dialogue: Marked=0,0:01:04.96,0:01:05.73,Default,,0000,0000,0000,,漩渦鳴人
Dialogue: Marked=0,0:01:05.73,0:01:08.20,Default,,0000,0000,0000,,我今天絕不會放過你的
Dialogue: Marked=0,0:01:13.54,0:01:14.97,Default,,0000,0000,0000,,你們太囉嗦了
Dialogue: Marked=0,0:01:15.74,0:01:16.50,Default,,0000,0000,0000,,你們幾個啊
Dialogue: Marked=0,0:01:16.74,0:01:17.33,Default,,0000,0000,0000,,你們幾個啊
Dialogue: Marked=0,0:01:17.71,0:01:19.40,Default,,0000,0000,0000,,沒辦法像我這樣吧
Dialogue: Marked=0,0:01:20.18,0:01:21.73,Default,,0000,0000,0000,,不過我就可以
Dialogue: Marked=0,0:01:21.98,0:01:23.97,Default,,0000,0000,0000,,因為我很厲害啦!
Dialogue: Marked=0,0:01:24.35,0:01:25.68,Default,,0000,0000,0000,,不好了，第三代
Dialogue: Marked=0,0:01:25.75,0:01:26.41,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:01:27.25,0:01:32.21,Default,,0000,0000,0000,,幹嘛?鳴人那個傢伙\N又幹了啥好事了嗎?
Dialogue: Marked=0,0:01:32.72,0:01:33.21,Default,,0000,0000,0000,,是的
Dialogue: Marked=0,0:01:33.49,0:01:37.72,Default,,0000,0000,0000,,他在歷代火影的石像上\N亂畫一通啊
Dialogue: Marked=0,0:01:47.97,0:01:48.77,Default,,0000,0000,0000,,別跑
Dialogue: Marked=0,0:01:54.18,0:01:56.23,Default,,0000,0000,0000,,我怎麼會往那跑啊!
Dialogue: Marked=0,0:01:56.78,0:01:58.21,Default,,0000,0000,0000,,喂，鳴人
Dialogue: Marked=0,0:02:02.78,0:02:05.62,Default,,0000,0000,0000,,你態態跑出來做什麼啊?\N伊魯卡老師
Dialogue: Marked=0,0:02:06.09,0:02:08.56,Default,,0000,0000,0000,,我才要問你\N在上課時間搞什麼呢
Dialogue: Marked=0,0:02:11.86,0:02:12.66,Default,,0000,0000,0000,,知道嗎，鳴人
Dialogue: Marked=0,0:02:13.43,0:02:17.46,Default,,0000,0000,0000,,你上次跟上上次的\N畢業考都沒有通過
Dialogue: Marked=0,0:02:17.77,0:02:19.63,Default,,0000,0000,0000,,怎麼還有空惡作劇啊
Dialogue: Marked=0,0:02:19.77,0:02:20.43,Default,,0000,0000,0000,,混帳東西
Dialogue: Marked=0,0:02:20.50,0:02:21.26,Default,,0000,0000,0000,,哼
Dialogue: Marked=0,0:02:22.87,0:02:25.50,Default,,0000,0000,0000,,今天的課程\N是「變化之術」的複習考
Dialogue: Marked=0,0:02:25.97,0:02:28.37,Default,,0000,0000,0000,,已經及格的人也給我出來排隊
Dialogue: Marked=0,0:02:30.35,0:02:33.11,Default,,0000,0000,0000,,春野櫻，要開始囉\N變化
Dialogue: Marked=0,0:02:38.09,0:02:38.92,Default,,0000,0000,0000,,可以
Dialogue: Marked=0,0:02:40.29,0:02:41.41,Default,,0000,0000,0000,,太好了
Dialogue: Marked=0,0:02:42.16,0:02:43.49,Default,,0000,0000,0000,,怎樣啊!
Dialogue: Marked=0,0:02:44.53,0:02:46.02,Default,,0000,0000,0000,,佐助，你看到了嗎
Dialogue: Marked=0,0:02:46.09,0:02:47.69,Default,,0000,0000,0000,,下一個，宇智波佐助
Dialogue: Marked=0,0:02:47.96,0:02:48.69,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:02:54.00,0:02:56.44,Default,,0000,0000,0000,,好，可以了
Dialogue: Marked=0,0:02:58.61,0:03:00.63,Default,,0000,0000,0000,,下一個，漩渦鳴人
Dialogue: Marked=0,0:03:01.38,0:03:03.47,Default,,0000,0000,0000,,什麼嘛，真夠麻煩的
Dialogue: Marked=0,0:03:04.21,0:03:05.68,Default,,0000,0000,0000,,這全都是你的錯
Dialogue: Marked=0,0:03:05.75,0:03:07.15,Default,,0000,0000,0000,,干我屁事
Dialogue: Marked=0,0:03:10.22,0:03:11.19,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:03:12.69,0:03:15.55,Default,,0000,0000,0000,,鳴人...加油
Dialogue: Marked=0,0:03:16.02,0:03:16.96,Default,,0000,0000,0000,,變化
Dialogue: Marked=0,0:03:28.20,0:03:30.54,Default,,0000,0000,0000,,怎麼樣\N我把它取名叫色誘之術
Dialogue: Marked=0,0:03:30.77,0:03:32.14,Default,,0000,0000,0000,,你這個大笨蛋
Dialogue: Marked=0,0:03:32.51,0:03:34.50,Default,,0000,0000,0000,,別創造這種下流的忍術啊!
Dialogue: Marked=0,0:03:40.15,0:03:43.14,Default,,0000,0000,0000,,可惡...可惡...
Dialogue: Marked=0,0:03:43.22,0:03:46.35,Default,,0000,0000,0000,,我在你洗完前\N是不會放你回去的
Dialogue: Marked=0,0:03:47.99,0:03:51.98,Default,,0000,0000,0000,,沒差啦\N反正我回去也沒有人在啦
Dialogue: Marked=0,0:03:57.67,0:03:58.53,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:59.97,0:04:01.56,Default,,0000,0000,0000,,這次又怎麼啦?
Dialogue: Marked=0,0:04:02.17,0:04:03.66,Default,,0000,0000,0000,,怎麼說呢
Dialogue: Marked=0,0:04:04.57,0:04:06.37,Default,,0000,0000,0000,,等你全部清理乾淨以後
Dialogue: Marked=0,0:04:07.11,0:04:09.30,Default,,0000,0000,0000,,我今晚請你吃拉麵吧
Dialogue: Marked=0,0:04:13.65,0:04:14.98,Default,,0000,0000,0000,,好耶
Dialogue: Marked=0,0:04:15.22,0:04:17.91,Default,,0000,0000,0000,,我會努力的\N加油啊!
Dialogue: Marked=0,0:04:18.79,0:04:23.22,Default,,0000,0000,0000,,第1話 漩渦鳴人登場
Dialogue: Marked=0,0:04:24.36,0:04:29.23,Default,,0000,0000,0000,,(一樂拉麵)
Dialogue: Marked=0,0:04:32.23,0:04:32.86,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:04:34.44,0:04:36.93,Default,,0000,0000,0000,,你幹嘛在那種地方塗鴉啊
Dialogue: Marked=0,0:04:37.64,0:04:40.51,Default,,0000,0000,0000,,你應該知道火影大人們\N是什麼樣的人物吧
Dialogue: Marked=0,0:04:40.94,0:04:42.31,Default,,0000,0000,0000,,這還用說
Dialogue: Marked=0,0:04:48.82,0:04:49.94,Default,,0000,0000,0000,,簡單的說
Dialogue: Marked=0,0:04:50.02,0:04:52.15,Default,,0000,0000,0000,,繼承火影這個名字的人
