[Script Info]
Title: NARUTO -ナルト- 第002話 「木ノ葉丸だ コレ！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.87,0:00:09.77,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.98,0:00:21.68,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.49,0:00:29.98,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.59,0:00:44.34,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.88,0:00:52.84,Default,,0000,0000,0000,,解放痛苦、展開心胸、解放影子
Dialogue: Marked=0,0:00:54.48,0:01:00.61,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.72,0:01:09.29,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.27,0:01:16.50,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:41.80,0:01:42.56,Default,,0000,0000,0000,,我說你啊...
Dialogue: Marked=0,0:01:43.06,0:01:45.33,Default,,0000,0000,0000,,真的要用這種表情來拍嗎
Dialogue: Marked=0,0:01:45.57,0:01:47.80,Default,,0000,0000,0000,,對啦對啦，快拍吧
Dialogue: Marked=0,0:01:47.94,0:01:51.03,Default,,0000,0000,0000,,真是的，你可不要後悔哦
Dialogue: Marked=0,0:01:51.71,0:01:53.57,Default,,0000,0000,0000,,來，笑一個
Dialogue: Marked=0,0:01:58.85,0:02:02.04,Default,,0000,0000,0000,,第2話 我是木葉丸
Dialogue: Marked=0,0:02:17.47,0:02:20.06,Default,,0000,0000,0000,,我實在無法決定\N該用哪種表情才好
Dialogue: Marked=0,0:02:20.50,0:02:22.97,Default,,0000,0000,0000,,我可是花了三個小時\N才畫成這樣的哦
Dialogue: Marked=0,0:02:23.17,0:02:25.07,Default,,0000,0000,0000,,可是啊，可是啊
Dialogue: Marked=0,0:02:25.34,0:02:28.57,Default,,0000,0000,0000,,我覺得很有藝術感\N而且看起來也很帥
Dialogue: Marked=0,0:02:28.98,0:02:30.17,Default,,0000,0000,0000,,去重拍一張
Dialogue: Marked=0,0:02:30.41,0:02:31.28,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:02:33.48,0:02:35.42,Default,,0000,0000,0000,,再去重拍一張
Dialogue: Marked=0,0:02:35.52,0:02:37.51,Default,,0000,0000,0000,,不要那麼說嘛
Dialogue: Marked=0,0:02:43.86,0:02:44.59,Default,,0000,0000,0000,,變化
Dialogue: Marked=0,0:02:48.10,0:02:50.69,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:03:05.28,0:03:07.58,Default,,0000,0000,0000,,你居然用色誘之術
Dialogue: Marked=0,0:03:08.05,0:03:11.45,Default,,0000,0000,0000,,真是的\N就會用這種下流的忍術
Dialogue: Marked=0,0:03:13.19,0:03:14.59,Default,,0000,0000,0000,,對了，鳴人
Dialogue: Marked=0,0:03:15.06,0:03:16.58,Default,,0000,0000,0000,,你的護額怎麼了
Dialogue: Marked=0,0:03:16.82,0:03:19.09,Default,,0000,0000,0000,,我在說明會前不會戴的啦
Dialogue: Marked=0,0:03:19.39,0:03:20.55,Default,,0000,0000,0000,,因為怕會碰傷它啊
Dialogue: Marked=0,0:03:20.76,0:03:22.56,Default,,0000,0000,0000,,算了...總而言之
Dialogue: Marked=0,0:03:22.90,0:03:27.23,Default,,0000,0000,0000,,這本忍者登記錄的隱密性很高
Dialogue: Marked=0,0:03:27.57,0:03:30.30,Default,,0000,0000,0000,,對你來說\N也是非常重要的文件哦
Dialogue: Marked=0,0:03:31.57,0:03:34.20,Default,,0000,0000,0000,,但你弄那是什麼表情啊?
Dialogue: Marked=0,0:03:34.98,0:03:38.78,Default,,0000,0000,0000,,因為我不知道有這檔事嘛
Dialogue: Marked=0,0:03:42.12,0:03:42.71,Default,,0000,0000,0000,,爺爺
Dialogue: Marked=0,0:03:43.12,0:03:44.14,Default,,0000,0000,0000,,跟我一決高下
Dialogue: Marked=0,0:03:45.42,0:03:49.65,Default,,0000,0000,0000,,第五代火影\N就是俺木葉丸少爺囊中物啦
Dialogue: Marked=0,0:03:52.46,0:03:54.16,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:03:55.66,0:03:57.60,Default,,0000,0000,0000,,真是沒完沒了
Dialogue: Marked=0,0:04:00.67,0:04:01.83,Default,,0000,0000,0000,,這是陷阱嗎
Dialogue: Marked=0,0:04:04.17,0:04:07.16,Default,,0000,0000,0000,,您...您沒有受傷吧，小少爺
Dialogue: Marked=0,0:04:07.51,0:04:09.87,Default,,0000,0000,0000,,順道一提\N這裡根本就沒有陷阱
Dialogue: Marked=0,0:04:10.95,0:04:12.64,Default,,0000,0000,0000,,這小子在幹嘛啊?
Dialogue: Marked=0,0:04:14.72,0:04:17.05,Default,,0000,0000,0000,,這個小子沒記錯的話...
Dialogue: Marked=0,0:04:18.35,0:04:20.18,Default,,0000,0000,0000,,九尾的小鬼啊
Dialogue: Marked=0,0:04:20.36,0:04:22.92,Default,,0000,0000,0000,,他是我最討厭的\N沒用的廢物
Dialogue: Marked=0,0:04:23.36,0:04:24.19,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:04:24.29,0:04:26.19,Default,,0000,0000,0000,,就是你在搞鬼吧
Dialogue: Marked=0,0:04:27.20,0:04:29.56,Default,,0000,0000,0000,,是你自己跌倒的吧
Dialogue: Marked=0,0:04:29.73,0:04:31.86,Default,,0000,0000,0000,,還不快點放手
Dialogue: Marked=0,0:04:32.20,0:04:35.36,Default,,0000,0000,0000,,這位可是\N第三代火影大人的孫子啊
Dialogue: Marked=0,0:04:38.71,0:04:42.14,Default,,0000,0000,0000,,知道我是火影的孫子之後\N應該就差不多了吧
Dialogue: Marked=0,0:04:43.44,0:04:47.71,Default,,0000,0000,0000,,反正這個傢伙跟眼鏡老師\N還有其他人都一樣
Dialogue: Marked=0,0:04:48.25,0:04:51.31,Default,,0000,0000,0000,,怎麼樣啊，小子\N你敢打的話就動手啊
Dialogue: Marked=0,0:04:51.45,0:04:53.89,Default,,0000,0000,0000,,反正你也打不贏火影的孫子
Dialogue: Marked=0,0:04:53.96,0:04:56.15,Default,,0000,0000,0000,,我才不管你是誰呢
Dialogue: Marked=0,0:04:56.59,0:04:57.82,Default,,0000,0000,0000,,你這白痴
Dialogue: Marked=0,0:05:00.23,0:05:01.25,Default,,0000,0000,0000,,這傢伙...
Dialogue: Marked=0,0:05:03.33,0:05:04.82,Default,,0000,0000,0000,,什麼!
Dialogue: Marked=0,0:05:05.47,0:05:07.26,Default,,0000,0000,0000,,真是的
Dialogue: Marked=0,0:05:10.27,0:05:11.41,Default,,0000,0000,0000,,聽好喔
Dialogue: Marked=0,0:05:11.41,0:05:14.77,Default,,0000,0000,0000,,您可是第三代\N火影大人的孫子
Dialogue: Marked=0,0:05:15.28,0:05:16.48,Default,,0000,0000,0000,,就算是被人打了
Dialogue: Marked=0,0:05:16.48,0:05:21.18,Default,,0000,0000,0000,,也絕對不可以跟那種人\N扯上任何的關係哦
Dialogue: Marked=0,0:05:23.18,0:05:26.68,Default,,0000,0000,0000,,跟那種人一般見識\N是不會有好下場的
Dialogue: Marked=0,0:05:26.75,0:05:29.48,Default,,0000,0000,0000,,我這位優秀的老師\N惠比斯所說的話
Dialogue: Marked=0,0:05:29.56,0:05:30.92,Default,,0000,0000,0000,,是絕對錯不了的
Dialogue: Marked=0,0:05:31.06,0:05:34.29,Default,,0000,0000,0000,,小少爺將來不是想當\N第五代火影嗎?
Dialogue: Marked=0,0:05:34.86,0:05:37.19,Default,,0000,0000,0000,,只要有我來教您忍術
Dialogue: Marked=0,0:05:37.37,0:05:39.80,Default,,0000,0000,0000,,想要成為火影是很簡單的事
Dialogue: Marked=0,0:05:40.13,0:05:40.86,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:05:41.00,0:05:43.44,Default,,0000,0000,0000,,只有跟我學習忍術
Dialogue: Marked=0,0:05:43.77,0:05:46.64,Default,,0000,0000,0000,,才是成為第五代火影\N最快的方法啊
Dialogue: Marked=0,0:05:46.71,0:05:49.30,Default,,0000,0000,0000,,這樣您瞭解了吧，小少爺
Dialogue: Marked=0,0:05:53.28,0:05:54.81,Default,,0000,0000,0000,,怎麼不見了
Dialogue: Marked=0,0:05:54.95,0:05:57.88,Default,,0000,0000,0000,,看樣子\N他好像是跟鳴人後面走了
Dialogue: Marked=0,0:05:58.15,0:06:00.02,Default,,0000,0000,0000,,什麼，這下子可糟了
Dialogue: Marked=0,0:06:00.39,0:06:01.95,Default,,0000,0000,0000,,小少爺
Dialogue: Marked=0,0:06:03.52,0:06:07.02,Default,,0000,0000,0000,,他怎麼會被教育成那個樣子啊
Dialogue: Marked=0,0:06:08.90,0:06:13.03,Default,,0000,0000,0000,,今天是他第二十次偷襲我了吧
Dialogue: Marked=0,0:06:14.04,0:06:17.84,Default,,0000,0000,0000,,他跟鳴人在一起\N反而更讓我擔心了
Dialogue: Marked=0,0:06:19.31,0:06:22.90,Default,,0000,0000,0000,,希望那個傢伙\N不要教他做什麼傻事就好了
Dialogue: Marked=0,0:07:05.09,0:07:06.35,Default,,0000,0000,0000,,不要跟著我
Dialogue: Marked=0,0:07:06.45,0:07:07.51,Default,,0000,0000,0000,,你想幹嘛啊!
Dialogue: Marked=0,0:07:10.46,0:07:12.52,Default,,0000,0000,0000,,根本是破綻百出嘛
Dialogue: Marked=0,0:07:17.47,0:07:19.46,Default,,0000,0000,0000,,居然看出我的行蹤，漂亮
Dialogue: Marked=0,0:07:19.53,0:07:21.59,Default,,0000,0000,0000,,真不愧是傳聞中的男人
Dialogue: Marked=0,0:07:23.10,0:07:26.30,Default,,0000,0000,0000,,我願意當你的小弟
Dialogue: Marked=0,0:07:28.48,0:07:29.47,Default,,0000,0000,0000,,只不過...
Dialogue: Marked=0,0:07:29.91,0:07:33.61,Default,,0000,0000,0000,,你要教我那招\N打敗火影爺爺的色誘之術
Dialogue: Marked=0,0:07:34.38,0:07:35.87,Default,,0000,0000,0000,,開什麼玩笑啊
Dialogue: Marked=0,0:07:36.12,0:07:38.61,Default,,0000,0000,0000,,別那麼說嘛\N拜託你啦，老大
Dialogue: Marked=0,0:07:40.05,0:07:40.99,Default,,0000,0000,0000,,老大?
Dialogue: Marked=0,0:07:41.32,0:07:43.81,Default,,0000,0000,0000,,老大，老大，老大
Dialogue: Marked=0,0:07:44.49,0:07:47.39,Default,,0000,0000,0000,,真...真拿你沒辦法...
Dialogue: Marked=0,0:07:50.93,0:07:51.63,Default,,0000,0000,0000,,聽好喔
Dialogue: Marked=0,0:07:51.93,0:07:53.90,Default,,0000,0000,0000,,想要純熟運用忍術啊
Dialogue: Marked=0,0:07:54.14,0:07:56.93,Default,,0000,0000,0000,,非得先學會如何巧妙運用\N查多拉才行哦
Dialogue: Marked=0,0:07:57.34,0:07:57.93,Default,,0000,0000,0000,,查多拉?
Dialogue: Marked=0,0:08:01.91,0:08:03.43,Default,,0000,0000,0000,,對，就是查多拉
Dialogue: Marked=0,0:08:03.91,0:08:04.50,Default,,0000,0000,0000,,老大
Dialogue: Marked=0,0:08:04.78,0:08:06.64,Default,,0000,0000,0000,,你說的應該是查克拉才對
Dialogue: Marked=0,0:08:07.65,0:08:10.08,Default,,0000,0000,0000,,少囉嗦\N優秀的忍者都這麼說的
Dialogue: Marked=0,0:08:10.92,0:08:12.44,Default,,0000,0000,0000,,原來如此啊
Dialogue: Marked=0,0:08:15.36,0:08:16.79,Default,,0000,0000,0000,,還好是個白痴...
Dialogue: Marked=0,0:08:17.36,0:08:19.45,Default,,0000,0000,0000,,聽好喔，所謂的查克拉啊
Dialogue: Marked=0,0:08:19.79,0:08:20.78,Default,,0000,0000,0000,,簡單的說
Dialogue: Marked=0,0:08:20.96,0:08:23.93,Default,,0000,0000,0000,,就是運用忍術時\N所用的能量對吧
Dialogue: Marked=0,0:08:24.87,0:08:26.30,Default,,0000,0000,0000,,也就是所謂的忍術
Dialogue: Marked=0,0:08:26.80,0:08:29.37,Default,,0000,0000,0000,,就是這種\N叫做查克拉的體內細胞
Dialogue: Marked=0,0:08:29.37,0:08:32.20,Default,,0000,0000,0000,,聚集起來的身體能量
Dialogue: Marked=0,0:08:32.71,0:08:36.01,Default,,0000,0000,0000,,還有靠修煉跟經驗\N所累樍的精神能量
Dialogue: Marked=0,0:08:36.21,0:08:38.44,Default,,0000,0000,0000,,把這兩者\N集合起來的一種力量
Dialogue: Marked=0,0:08:38.58,0:08:40.07,Default,,0000,0000,0000,,然後再這樣把它發動
Dialogue: Marked=0,0:08:40.31,0:08:42.58,Default,,0000,0000,0000,,別照著卷軸唸裝懂啊!
Dialogue: Marked=0,0:08:44.02,0:08:46.51,Default,,0000,0000,0000,,雖然有很多長篇大論
Dialogue: Marked=0,0:08:46.72,0:08:48.52,Default,,0000,0000,0000,,不過想熟練的運用忍術
Dialogue: Marked=0,0:08:48.72,0:08:49.45,Default,,0000,0000,0000,,簡單的說呢
Dialogue: Marked=0,0:08:50.02,0:08:50.82,Default,,0000,0000,0000,,簡單的說...
Dialogue: Marked=0,0:08:52.03,0:08:53.69,Default,,0000,0000,0000,,就是努力跟毅力
Dialogue: Marked=0,0:08:54.10,0:08:55.86,Default,,0000,0000,0000,,就是努力跟毅力啊
Dialogue: Marked=0,0:08:56.20,0:08:56.86,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:08:57.10,0:08:58.59,Default,,0000,0000,0000,,我現在就要開始嚴格的訓練你
Dialogue: Marked=0,0:08:58.67,0:08:59.72,Default,,0000,0000,0000,,你要覺悟哦
Dialogue: Marked=0,0:09:00.37,0:09:01.46,Default,,0000,0000,0000,,是，老大
Dialogue: Marked=0,0:09:01.74,0:09:04.86,Default,,0000,0000,0000,,好吧，那先變來看看吧
Dialogue: Marked=0,0:09:06.57,0:09:10.03,Default,,0000,0000,0000,,我要看看你現在的忍術\N到了什麼程度啊
Dialogue: Marked=0,0:09:10.58,0:09:13.10,Default,,0000,0000,0000,,那你要我變化成什麼樣子呢?
Dialogue: Marked=0,0:09:22.89,0:09:25.12,Default,,0000,0000,0000,,好吧，那就先變成那個小姐吧
Dialogue: Marked=0,0:09:25.59,0:09:27.08,Default,,0000,0000,0000,,這個實在太簡單了
Dialogue: Marked=0,0:09:29.36,0:09:30.26,Default,,0000,0000,0000,,變化
Dialogue: Marked=0,0:09:31.63,0:09:33.76,Default,,0000,0000,0000,,怎麼樣?很像吧
Dialogue: Marked=0,0:09:39.47,0:09:41.37,Default,,0000,0000,0000,,服裝倒是很像...
Dialogue: Marked=0,0:09:43.08,0:09:44.41,Default,,0000,0000,0000,,哪裡像啦
Dialogue: Marked=0,0:09:45.41,0:09:46.88,Default,,0000,0000,0000,,聽好喔，小少爺
Dialogue: Marked=0,0:09:47.11,0:09:48.41,Default,,0000,0000,0000,,要變化成我的樣子的時候
Dialogue: Marked=0,0:09:48.65,0:09:50.51,Default,,0000,0000,0000,,還請您要變化得可愛一點哦
Dialogue: Marked=0,0:09:52.42,0:09:53.28,Default,,0000,0000,0000,,好可怕
Dialogue: Marked=0,0:09:55.86,0:09:58.79,Default,,0000,0000,0000,,為什麼被揍的人是我啊
Dialogue: Marked=0,0:10:02.03,0:10:02.79,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:10:03.16,0:10:05.16,Default,,0000,0000,0000,,接下來到書店研究費洛蒙
Dialogue: Marked=0,0:10:05.43,0:10:06.66,Default,,0000,0000,0000,,是，大哥
Dialogue: Marked=0,0:10:10.30,0:10:11.86,Default,,0000,0000,0000,,(活生生俱樂部)
Dialogue: Marked=0,0:10:19.38,0:10:23.32,Default,,0000,0000,0000,,我不是說過我們店裡是\N禁止白看書的嗎?鳴人
Dialogue: Marked=0,0:10:31.13,0:10:32.96,Default,,0000,0000,0000,,這個，這是最後了
Dialogue: Marked=0,0:10:33.66,0:10:35.46,Default,,0000,0000,0000,,要鼓起幹勁的進去哦
Dialogue: Marked=0,0:10:35.76,0:10:37.06,Default,,0000,0000,0000,,是，老大
Dialogue: Marked=0,0:10:37.40,0:10:38.16,Default,,0000,0000,0000,,變化
Dialogue: Marked=0,0:10:54.18,0:10:56.21,Default,,0000,0000,0000,,鳴人，怎麼又是你啊
Dialogue: Marked=0,0:10:59.42,0:11:01.98,Default,,0000,0000,0000,,為...為什麼只打我
Dialogue: Marked=0,0:11:03.46,0:11:04.15,Default,,0000,0000,0000,,對不起
Dialogue: Marked=0,0:11:05.23,0:11:07.66,Default,,0000,0000,0000,,因為我是火影的孫子
Dialogue: Marked=0,0:11:09.00,0:11:10.49,Default,,0000,0000,0000,,別在意啦
Dialogue: Marked=0,0:11:12.37,0:11:13.99,Default,,0000,0000,0000,,色誘之術的事前準備
Dialogue: Marked=0,0:11:14.17,0:11:15.36,Default,,0000,0000,0000,,這樣子就算完整了
Dialogue: Marked=0,0:11:16.37,0:11:18.67,Default,,0000,0000,0000,,接下來就只剩下練習了
Dialogue: Marked=0,0:11:21.88,0:11:23.61,Default,,0000,0000,0000,,是．老大
Dialogue: Marked=0,0:11:24.58,0:11:25.24,Default,,0000,0000,0000,,知道嗎
Dialogue: Marked=0,0:11:25.31,0:11:27.37,Default,,0000,0000,0000,,基本就是凹，凸，翹
Dialogue: Marked=0,0:11:27.48,0:11:28.24,Default,,0000,0000,0000,,給我變
Dialogue: Marked=0,0:11:28.62,0:11:29.67,Default,,0000,0000,0000,,是，老大
