[Script Info]
Title: NARUTO -ナルト- 第003話 「宿敵！？ サスケとサクラ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.84,0:00:09.80,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:16.04,0:00:21.74,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.45,0:00:29.98,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.73,0:00:44.87,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.98,0:00:52.78,Default,,0000,0000,0000,,解放痛苦、展開心胸、解放影子
Dialogue: Marked=0,0:00:54.72,0:01:00.78,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.79,0:01:09.79,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.30,0:01:16.26,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:55.88,0:01:57.85,Default,,0000,0000,0000,,(說明會九點開始)
Dialogue: Marked=0,0:02:01.85,0:02:04.18,Default,,0000,0000,0000,,因為今天是個特別的日子嘛
Dialogue: Marked=0,0:02:06.52,0:02:08.05,Default,,0000,0000,0000,,我要開動囉
Dialogue: Marked=0,0:02:16.33,0:02:18.36,Default,,0000,0000,0000,,第3話 宿敵!?佐助和小櫻
Dialogue: Marked=0,0:02:54.14,0:02:55.33,Default,,0000,0000,0000,,跟我一決勝負吧
Dialogue: Marked=0,0:02:59.41,0:03:01.84,Default,,0000,0000,0000,,你在搞什麼啊，木葉丸
Dialogue: Marked=0,0:03:02.14,0:03:04.51,Default,,0000,0000,0000,,真不愧是鳴人大哥
Dialogue: Marked=0,0:03:04.65,0:03:07.08,Default,,0000,0000,0000,,這就是我欣賞的男人
Dialogue: Marked=0,0:03:10.15,0:03:11.78,Default,,0000,0000,0000,,我什麼都沒做啊
Dialogue: Marked=0,0:03:12.92,0:03:14.86,Default,,0000,0000,0000,,這是很平常的對決啊
Dialogue: Marked=0,0:03:15.16,0:03:17.92,Default,,0000,0000,0000,,不好意思\N我得準備去參加說明會了
Dialogue: Marked=0,0:03:18.93,0:03:20.16,Default,,0000,0000,0000,,說明會?
Dialogue: Marked=0,0:03:20.43,0:03:23.30,Default,,0000,0000,0000,,因為我從今天開始就是忍者了
Dialogue: Marked=0,0:03:42.18,0:03:45.18,Default,,0000,0000,0000,,小櫻，妳不快出發不行囉
Dialogue: Marked=0,0:03:46.45,0:03:48.32,Default,,0000,0000,0000,,我現在正準備要走了啦
Dialogue: Marked=0,0:03:49.62,0:03:50.61,Default,,0000,0000,0000,,搞什麼
Dialogue: Marked=0,0:03:50.83,0:03:53.45,Default,,0000,0000,0000,,別一直把我當小孩子看\N行不行啊
Dialogue: Marked=0,0:03:57.70,0:04:00.90,Default,,0000,0000,0000,,對了!我已經不再是\N學校裡的學生了
Dialogue: Marked=0,0:04:02.14,0:04:05.40,Default,,0000,0000,0000,,我是木葉的女忍者\N春野櫻啊
Dialogue: Marked=0,0:04:05.47,0:04:06.91,Default,,0000,0000,0000,,我出門囉
Dialogue: Marked=0,0:04:14.48,0:04:15.92,Default,,0000,0000,0000,,早啊，小櫻
Dialogue: Marked=0,0:04:16.78,0:04:18.22,Default,,0000,0000,0000,,早啊，井野
Dialogue: Marked=0,0:04:25.86,0:04:28.42,Default,,0000,0000,0000,,真沒有想到\N你居然可以畢業耶
Dialogue: Marked=0,0:04:29.00,0:04:31.23,Default,,0000,0000,0000,,這跟以前的事沒關係
Dialogue: Marked=0,0:04:31.43,0:04:33.73,Default,,0000,0000,0000,,從今天開始\N我們都是能獨當一面的忍者了
Dialogue: Marked=0,0:04:35.00,0:04:36.66,Default,,0000,0000,0000,,我不會再輸給妳的
Dialogue: Marked=0,0:04:58.26,0:05:00.96,Default,,0000,0000,0000,,哎呀!你怎麼會在這裡?
Dialogue: Marked=0,0:05:01.33,0:05:03.96,Default,,0000,0000,0000,,今天是專為畢業生\N舉辦的說明會耶
Dialogue: Marked=0,0:05:04.70,0:05:06.19,Default,,0000,0000,0000,,我說你啊
Dialogue: Marked=0,0:05:06.33,0:05:08.83,Default,,0000,0000,0000,,你是沒有看到\N我頭上的這個護額是不是
Dialogue: Marked=0,0:05:09.27,0:05:11.97,Default,,0000,0000,0000,,從今天開始我也是忍者了
Dialogue: Marked=0,0:05:13.98,0:05:15.53,Default,,0000,0000,0000,,該怎麼說呢
Dialogue: Marked=0,0:05:15.78,0:05:18.47,Default,,0000,0000,0000,,這玩意還真適合我啊
Dialogue: Marked=0,0:05:20.21,0:05:22.98,Default,,0000,0000,0000,,鳴人也畢業了耶
Dialogue: Marked=0,0:05:31.99,0:05:34.22,Default,,0000,0000,0000,,到了
Dialogue: Marked=0,0:05:36.56,0:05:38.36,Default,,0000,0000,0000,,又是我贏嘛，小櫻
Dialogue: Marked=0,0:05:38.57,0:05:39.73,Default,,0000,0000,0000,,妳在說什麼
Dialogue: Marked=0,0:05:39.80,0:05:43.43,Default,,0000,0000,0000,,我的腳可比妳早一公分\N踏進這裡面來的
Dialogue: Marked=0,0:05:43.74,0:05:45.80,Default,,0000,0000,0000,,妳眼花了吧!
Dialogue: Marked=0,0:05:47.24,0:05:48.50,Default,,0000,0000,0000,,是小櫻
Dialogue: Marked=0,0:05:55.52,0:05:57.75,Default,,0000,0000,0000,,小櫻，她在看著我耶
Dialogue: Marked=0,0:06:00.09,0:06:01.02,Default,,0000,0000,0000,,喂，小櫻
Dialogue: Marked=0,0:06:01.59,0:06:02.89,Default,,0000,0000,0000,,早啊...小櫻
Dialogue: Marked=0,0:06:03.09,0:06:04.18,Default,,0000,0000,0000,,滾一邊去
Dialogue: Marked=0,0:06:05.83,0:06:07.26,Default,,0000,0000,0000,,早啊，佐助
Dialogue: Marked=0,0:06:11.53,0:06:13.26,Default,,0000,0000,0000,,我可以坐在你旁邊嗎
Dialogue: Marked=0,0:06:14.04,0:06:16.83,Default,,0000,0000,0000,,妳嘛幫幫忙\N佐助旁邊可是我的位子啊
Dialogue: Marked=0,0:06:17.11,0:06:18.60,Default,,0000,0000,0000,,先到的人先贏吧
Dialogue: Marked=0,0:06:18.84,0:06:21.60,Default,,0000,0000,0000,,我比妳早一步進教室耶
Dialogue: Marked=0,0:06:21.91,0:06:22.53,Default,,0000,0000,0000,,是我
Dialogue: Marked=0,0:06:22.71,0:06:23.84,Default,,0000,0000,0000,,既然這樣，那我坐好了
Dialogue: Marked=0,0:06:24.05,0:06:25.27,Default,,0000,0000,0000,,是我最早到的耶
Dialogue: Marked=0,0:06:25.41,0:06:27.11,Default,,0000,0000,0000,,我也要坐在佐助的旁邊
Dialogue: Marked=0,0:06:29.85,0:06:30.78,Default,,0000,0000,0000,,吵死了
Dialogue: Marked=0,0:06:32.62,0:06:33.61,Default,,0000,0000,0000,,就是他嗎
Dialogue: Marked=0,0:06:34.12,0:06:35.85,Default,,0000,0000,0000,,今年榜首的菜鳥
Dialogue: Marked=0,0:06:36.12,0:06:37.35,Default,,0000,0000,0000,,宇智波佐助
Dialogue: Marked=0,0:06:38.06,0:06:38.79,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:06:40.13,0:06:42.79,Default,,0000,0000,0000,,原來他就是宇智波一族的遺孤
Dialogue: Marked=0,0:06:55.14,0:06:58.08,Default,,0000,0000,0000,,漩渦鳴人是嗎
Dialogue: Marked=0,0:07:10.43,0:07:10.95,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:07:11.59,0:07:13.36,Default,,0000,0000,0000,,你不要死纏著佐助不放嘛
Dialogue: Marked=0,0:07:13.46,0:07:14.83,Default,,0000,0000,0000,,就是嘛
Dialogue: Marked=0,0:07:14.86,0:07:16.59,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:07:17.06,0:07:19.79,Default,,0000,0000,0000,,為什麼每個人\N都在佐助佐助的
Dialogue: Marked=0,0:07:20.33,0:07:22.06,Default,,0000,0000,0000,,這種傢伙到底哪裡好了
Dialogue: Marked=0,0:07:26.37,0:07:28.47,Default,,0000,0000,0000,,佐助，快教訓那個傢伙
Dialogue: Marked=0,0:07:28.61,0:07:29.37,Default,,0000,0000,0000,,對啊對啊
Dialogue: Marked=0,0:07:30.65,0:07:32.14,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:07:32.31,0:07:33.30,Default,,0000,0000,0000,,抱歉啦
Dialogue: Marked=0,0:07:43.99,0:07:45.12,Default,,0000,0000,0000,,搞什麼
Dialogue: Marked=0,0:07:45.33,0:07:46.99,Default,,0000,0000,0000,,佐助的初吻
Dialogue: Marked=0,0:07:47.40,0:07:49.99,Default,,0000,0000,0000,,應該是屬於我的才對
Dialogue: Marked=0,0:07:53.40,0:07:55.87,Default,,0000,0000,0000,,該死的鳴人...\N我一定要殺了你
Dialogue: Marked=0,0:07:55.90,0:07:57.67,Default,,0000,0000,0000,,是我害的嗎
Dialogue: Marked=0,0:07:59.41,0:08:00.67,Default,,0000,0000,0000,,有殺氣
Dialogue: Marked=0,0:08:02.34,0:08:03.64,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:08:04.28,0:08:05.64,Default,,0000,0000,0000,,我說你啊...
Dialogue: Marked=0,0:08:06.41,0:08:08.38,Default,,0000,0000,0000,,是意外...這是意外
Dialogue: Marked=0,0:08:10.42,0:08:11.39,Default,,0000,0000,0000,,別說了
Dialogue: Marked=0,0:08:14.19,0:08:15.52,Default,,0000,0000,0000,,鳴人這小子...
Dialogue: Marked=0,0:08:15.89,0:08:18.65,Default,,0000,0000,0000,,還是老樣子，常出狀況啊
Dialogue: Marked=0,0:08:19.86,0:08:24.20,Default,,0000,0000,0000,,從今天開始\N你們就是獨當一面的忍者了
Dialogue: Marked=0,0:08:24.90,0:08:27.16,Default,,0000,0000,0000,,可是還只是新手的下忍
Dialogue: Marked=0,0:08:28.04,0:08:29.94,Default,,0000,0000,0000,,真正辛苦的...才正要開始
Dialogue: Marked=0,0:08:30.94,0:08:33.87,Default,,0000,0000,0000,,今後，你們會分成三個人一組
Dialogue: Marked=0,0:08:33.94,0:08:35.41,Default,,0000,0000,0000,,跟在一位上忍的老師身邊
