[Script Info]
Title: NARUTO -ナルト- 第004話 「試練！ サバイバル演習」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.90,0:00:09.77,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.98,0:00:21.64,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.49,0:00:30.19,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.66,0:00:44.37,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.88,0:00:52.75,Default,,0000,0000,0000,,解放痛苦、展開心胸、解放影子
Dialogue: Marked=0,0:00:54.68,0:01:00.64,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.66,0:01:09.93,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.23,0:01:16.43,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:31.62,0:01:32.92,Default,,0000,0000,0000,,好慢哦
Dialogue: Marked=0,0:01:42.40,0:01:44.39,Default,,0000,0000,0000,,鳴人，你乖乖坐好啦
Dialogue: Marked=0,0:01:44.67,0:01:49.73,Default,,0000,0000,0000,,怎麼只有我們第7組的老師\N這麼慢還不來啊
Dialogue: Marked=0,0:01:50.07,0:01:53.67,Default,,0000,0000,0000,,其他組都跟新老師\N不曉得跑到哪裡去了
Dialogue: Marked=0,0:01:53.94,0:01:56.17,Default,,0000,0000,0000,,連伊魯卡老師也都回去了說
Dialogue: Marked=0,0:01:56.44,0:01:57.41,Default,,0000,0000,0000,,我怎麼知道
Dialogue: Marked=0,0:01:59.28,0:02:01.37,Default,,0000,0000,0000,,喂，鳴人你在幹什麼啊
Dialogue: Marked=0,0:02:07.59,0:02:10.49,Default,,0000,0000,0000,,誰叫他自己要遲到的
Dialogue: Marked=0,0:02:15.20,0:02:17.69,Default,,0000,0000,0000,,真是的，這我可不負責喔
Dialogue: Marked=0,0:02:18.33,0:02:20.86,Default,,0000,0000,0000,,其實我很喜歡玩這個的呢
Dialogue: Marked=0,0:02:22.14,0:02:25.60,Default,,0000,0000,0000,,上忍怎麼可能\N會中你這種無聊的陷阱嘛
Dialogue: Marked=0,0:02:26.11,0:02:27.20,Default,,0000,0000,0000,,就是嘛...就是嘛...
Dialogue: Marked=0,0:02:27.48,0:02:29.34,Default,,0000,0000,0000,,鳴人你還真是笨．．．
Dialogue: Marked=0,0:02:37.42,0:02:39.22,Default,,0000,0000,0000,,上當了...上當了...
Dialogue: Marked=0,0:02:41.32,0:02:42.81,Default,,0000,0000,0000,,老師對不起
Dialogue: Marked=0,0:02:43.26,0:02:44.42,Default,,0000,0000,0000,,我已經阻止過了
Dialogue: Marked=0,0:02:44.69,0:02:46.22,Default,,0000,0000,0000,,可是他還是堅持要...
Dialogue: Marked=0,0:02:46.73,0:02:47.72,Default,,0000,0000,0000,,OK
Dialogue: Marked=0,0:02:49.36,0:02:50.39,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:02:50.73,0:02:52.22,Default,,0000,0000,0000,,他真的是上忍嗎?
Dialogue: Marked=0,0:02:58.47,0:02:59.80,Default,,0000,0000,0000,,這該怎麼說呢
Dialogue: Marked=0,0:02:59.91,0:03:02.04,Default,,0000,0000,0000,,我對你們的第一印象啊
Dialogue: Marked=0,0:03:02.54,0:03:04.24,Default,,0000,0000,0000,,就是蠻討厭的
Dialogue: Marked=0,0:03:09.55,0:03:13.75,Default,,0000,0000,0000,,第4話 試煉!求生演習
Dialogue: Marked=0,0:03:15.62,0:03:16.32,Default,,0000,0000,0000,,對了
Dialogue: Marked=0,0:03:16.76,0:03:19.06,Default,,0000,0000,0000,,大家先來段自我介紹好了
Dialogue: Marked=0,0:03:19.69,0:03:21.25,Default,,0000,0000,0000,,要做自我介紹啊
Dialogue: Marked=0,0:03:22.43,0:03:23.69,Default,,0000,0000,0000,,該說什麼好呢
Dialogue: Marked=0,0:03:24.27,0:03:26.93,Default,,0000,0000,0000,,就是喜歡的東西\N或是討厭的東西
Dialogue: Marked=0,0:03:27.50,0:03:29.56,Default,,0000,0000,0000,,未來的夢想還有興趣
Dialogue: Marked=0,0:03:30.27,0:03:31.76,Default,,0000,0000,0000,,差不多就是這些了吧
Dialogue: Marked=0,0:03:32.64,0:03:34.27,Default,,0000,0000,0000,,喂喂
Dialogue: Marked=0,0:03:34.71,0:03:38.08,Default,,0000,0000,0000,,我覺得還是\N請老師先自我介紹比較好
Dialogue: Marked=0,0:03:38.71,0:03:39.58,Default,,0000,0000,0000,,你說我啊
Dialogue: Marked=0,0:03:40.28,0:03:42.84,Default,,0000,0000,0000,,我名叫做旗木卡卡西
Dialogue: Marked=0,0:03:44.85,0:03:47.95,Default,,0000,0000,0000,,我的好惡不想告訴你們
Dialogue: Marked=0,0:03:49.79,0:03:52.85,Default,,0000,0000,0000,,至於將來的夢想嘛...
Dialogue: Marked=0,0:03:55.16,0:03:57.46,Default,,0000,0000,0000,,興趣嘛...是有很多啦
Dialogue: Marked=0,0:03:58.03,0:04:00.97,Default,,0000,0000,0000,,搞了半天我們知道的\N只有他的名字而已
Dialogue: Marked=0,0:04:02.44,0:04:03.93,Default,,0000,0000,0000,,接下來換你們了
Dialogue: Marked=0,0:04:05.11,0:04:06.73,Default,,0000,0000,0000,,就先從你開始
Dialogue: Marked=0,0:04:06.87,0:04:09.37,Default,,0000,0000,0000,,我啊...我啊...\N名叫漩渦鳴人
Dialogue: Marked=0,0:04:09.68,0:04:11.30,Default,,0000,0000,0000,,喜歡的東西是泡麵
Dialogue: Marked=0,0:04:11.68,0:04:12.81,Default,,0000,0000,0000,,更喜歡的東西是
Dialogue: Marked=0,0:04:12.98,0:04:16.18,Default,,0000,0000,0000,,伊魯卡老師\N請我吃的那碗一樂的拉麵
Dialogue: Marked=0,0:04:16.45,0:04:19.75,Default,,0000,0000,0000,,討厭的則是\N等麵泡好的三分鐘
Dialogue: Marked=0,0:04:20.19,0:04:22.38,Default,,0000,0000,0000,,興趣呢\N是跟別人比賽吃泡麵
Dialogue: Marked=0,0:04:22.96,0:04:24.82,Default,,0000,0000,0000,,然後將來的夢想
Dialogue: Marked=0,0:04:25.26,0:04:26.49,Default,,0000,0000,0000,,是要超越火影
Dialogue: Marked=0,0:04:27.33,0:04:28.19,Default,,0000,0000,0000,,因為我立下志願
Dialogue: Marked=0,0:04:28.26,0:04:29.99,Default,,0000,0000,0000,,我要讓全村子裡面的人
Dialogue: Marked=0,0:04:30.06,0:04:32.46,Default,,0000,0000,0000,,都認同我的存在
