[Script Info]
Title: NARUTO -ナルト- 第005話 「失格？ カカシの結論」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:09.00,0:00:09.94,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:16.14,0:00:21.91,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.92,0:00:29.62,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.79,0:00:44.30,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.94,0:00:52.88,Default,,0000,0000,0000,,解放痛苦、展開心胸、解放影子
Dialogue: Marked=0,0:00:54.45,0:01:00.65,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.76,0:01:09.93,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.37,0:01:16.33,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:31.19,0:01:33.18,Default,,0000,0000,0000,,動手之前要先想清楚
Dialogue: Marked=0,0:01:33.69,0:01:35.68,Default,,0000,0000,0000,,就是這樣\N才會反過來被我利用的
Dialogue: Marked=0,0:01:37.33,0:01:38.76,Default,,0000,0000,0000,,還有
Dialogue: Marked=0,0:01:39.83,0:01:42.19,Default,,0000,0000,0000,,不要中這種非常明顯的陷阱
Dialogue: Marked=0,0:01:42.60,0:01:43.12,Default,,0000,0000,0000,,笨蛋
Dialogue: Marked=0,0:01:45.70,0:01:47.69,Default,,0000,0000,0000,,忍者要沈著冷靜的判斷
