[Script Info]
Title: NARUTO -ナルト- 第006話 「重要任務！ 波の国へ超出発！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.94,0:00:09.87,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:16.08,0:00:21.88,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.42,0:00:29.52,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.39,0:00:44.20,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.81,0:00:52.77,Default,,0000,0000,0000,,解放痛苦、展開心胸、解放影子
Dialogue: Marked=0,0:00:54.38,0:01:00.48,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.69,0:01:10.19,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.50,0:01:16.23,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:37.86,0:01:39.26,Default,,0000,0000,0000,,佐助到達B地點
Dialogue: Marked=0,0:01:40.06,0:01:42.03,Default,,0000,0000,0000,,小櫻到達C地點
Dialogue: Marked=0,0:01:44.73,0:01:46.43,Default,,0000,0000,0000,,鳴人到達A地點了
Dialogue: Marked=0,0:01:47.17,0:01:48.07,Default,,0000,0000,0000,,太慢了，鳴人
Dialogue: Marked=0,0:01:49.44,0:01:50.43,Default,,0000,0000,0000,,好，第7小組
Dialogue: Marked=0,0:01:53.74,0:01:54.37,Default,,0000,0000,0000,,目標移動了
Dialogue: Marked=0,0:01:55.48,0:01:56.27,Default,,0000,0000,0000,,快追
Dialogue: Marked=0,0:02:03.08,0:02:04.07,Default,,0000,0000,0000,,很好，就在那裡
Dialogue: Marked=0,0:02:08.26,0:02:10.09,Default,,0000,0000,0000,,距離目標多少
Dialogue: Marked=0,0:02:11.09,0:02:12.39,Default,,0000,0000,0000,,5公尺
Dialogue: Marked=0,0:02:12.63,0:02:14.09,Default,,0000,0000,0000,,隨時都可以動手了
Dialogue: Marked=0,0:02:15.33,0:02:16.32,Default,,0000,0000,0000,,我也隨時可以
Dialogue: Marked=0,0:02:17.10,0:02:17.86,Default,,0000,0000,0000,,我也是
Dialogue: Marked=0,0:02:19.27,0:02:20.10,Default,,0000,0000,0000,,很好
Dialogue: Marked=0,0:02:22.67,0:02:23.69,Default,,0000,0000,0000,,動手
Dialogue: Marked=0,0:02:27.11,0:02:28.67,Default,,0000,0000,0000,,我抓到你了
Dialogue: Marked=0,0:02:29.61,0:02:30.77,Default,,0000,0000,0000,,好痛...\N右耳有緞帶
Dialogue: Marked=0,0:02:30.81,0:02:33.01,Default,,0000,0000,0000,,這樣很痛耶\N確定牠就是目標小虎嗎
Dialogue: Marked=0,0:02:33.88,0:02:36.01,Default,,0000,0000,0000,,確認是目標小虎沒錯
Dialogue: Marked=0,0:02:36.52,0:02:37.61,Default,,0000,0000,0000,,很好
Dialogue: Marked=0,0:02:38.12,0:02:40.61,Default,,0000,0000,0000,,走失寵物小虎捕捉任務結束
Dialogue: Marked=0,0:02:41.76,0:02:45.35,Default,,0000,0000,0000,,難道就沒有\N更有緊張感的任務了嗎
Dialogue: Marked=0,0:02:47.93,0:02:51.19,Default,,0000,0000,0000,,重要任務!往波之國出發
Dialogue: Marked=0,0:02:54.94,0:02:57.94,Default,,0000,0000,0000,,太好了，我最疼愛的小虎啊
Dialogue: Marked=0,0:02:57.94,0:02:59.87,Default,,0000,0000,0000,,我都快擔心死了
Dialogue: Marked=0,0:03:00.84,0:03:05.07,Default,,0000,0000,0000,,"火之國儲侯之妻\N志治美夫人&小虎"
Dialogue: Marked=0,0:03:08.45,0:03:11.01,Default,,0000,0000,0000,,都是那隻笨貓，活該
Dialogue: Marked=0,0:03:11.59,0:03:12.64,Default,,0000,0000,0000,,那個樣子
Dialogue: Marked=0,0:03:12.79,0:03:14.85,Default,,0000,0000,0000,,也難怪牠會想逃走
Dialogue: Marked=0,0:03:15.02,0:03:15.89,Default,,0000,0000,0000,,好了
Dialogue: Marked=0,0:03:16.86,0:03:20.95,Default,,0000,0000,0000,,卡卡西隊\N第7小組的下一個任務是
Dialogue: Marked=0,0:03:21.90,0:03:26.37,Default,,0000,0000,0000,,幫忙老中大人照顧小孩
Dialogue: Marked=0,0:03:26.37,0:03:29.17,Default,,0000,0000,0000,,要不就是去隔壁村買東西
Dialogue: Marked=0,0:03:29.24,0:03:30.97,Default,,0000,0000,0000,,還有幫忙採收地瓜
Dialogue: Marked=0,0:03:30.97,0:03:32.24,Default,,0000,0000,0000,,不要
Dialogue: Marked=0,0:03:32.24,0:03:33.90,Default,,0000,0000,0000,,我才不要那種任務呢
Dialogue: Marked=0,0:03:34.31,0:03:37.97,Default,,0000,0000,0000,,因為我想要執行\N更有深度的任務
Dialogue: Marked=0,0:03:38.41,0:03:39.74,Default,,0000,0000,0000,,給我其他的任務
Dialogue: Marked=0,0:03:40.25,0:03:40.91,Default,,0000,0000,0000,,很有道理
Dialogue: Marked=0,0:03:41.32,0:03:43.31,Default,,0000,0000,0000,,真是的，這傢伙真麻煩
Dialogue: Marked=0,0:03:45.82,0:03:47.48,Default,,0000,0000,0000,,我就知道他差不多幹不下去了
Dialogue: Marked=0,0:03:49.39,0:03:50.48,Default,,0000,0000,0000,,你們這群笨蛋
Dialogue: Marked=0,0:03:50.76,0:03:53.25,Default,,0000,0000,0000,,你們都還是\N沒有什麼經驗的新手
Dialogue: Marked=0,0:03:53.43,0:03:54.83,Default,,0000,0000,0000,,每一個人一開始
Dialogue: Marked=0,0:03:55.20,0:03:58.00,Default,,0000,0000,0000,,都是進行簡單的任務\N來累樍經驗的
Dialogue: Marked=0,0:03:58.00,0:03:59.26,Default,,0000,0000,0000,,可是，老師
Dialogue: Marked=0,0:03:59.93,0:04:02.43,Default,,0000,0000,0000,,這一陣子\N我們進行的任務都很無聊
Dialogue: Marked=0,0:04:04.14,0:04:05.33,Default,,0000,0000,0000,,不要再胡鬧了，鳴人
Dialogue: Marked=0,0:04:06.51,0:04:07.13,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:04:08.58,0:04:10.84,Default,,0000,0000,0000,,看樣子我必須要跟你說明一下
Dialogue: Marked=0,0:04:10.91,0:04:12.08,Default,,0000,0000,0000,,任務的真正意義了
Dialogue: Marked=0,0:04:12.08,0:04:13.14,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:04:14.35,0:04:15.78,Default,,0000,0000,0000,,你給我聽好了
Dialogue: Marked=0,0:04:15.78,0:04:19.45,Default,,0000,0000,0000,,每天都會有\N很多工作委託我們去執行
Dialogue: Marked=0,0:04:20.22,0:04:23.09,Default,,0000,0000,0000,,從帶小孩到暗殺都有
Dialogue: Marked=0,0:04:24.43,0:04:29.02,Default,,0000,0000,0000,,工作單上記載了\N我們接受委託的各種工作
Dialogue: Marked=0,0:04:29.16,0:04:31.30,Default,,0000,0000,0000,,這些工作以難易度的高低分為
Dialogue: Marked=0,0:04:31.30,0:04:34.74,Default,,0000,0000,0000,,ABCD四種等級
Dialogue: Marked=0,0:04:35.17,0:04:36.86,Default,,0000,0000,0000,,村子裡的忍者以我為首
Dialogue: Marked=0,0:04:36.94,0:04:38.17,Default,,0000,0000,0000,,大致以能力分為
Dialogue: Marked=0,0:04:38.24,0:04:41.04,Default,,0000,0000,0000,,火影，上忍，中忍，下忍
Dialogue: Marked=0,0:04:41.48,0:04:44.17,Default,,0000,0000,0000,,四種階級的忍者
Dialogue: Marked=0,0:04:44.98,0:04:46.67,Default,,0000,0000,0000,,而工作是由我們高層
Dialogue: Marked=0,0:04:46.98,0:04:52.25,Default,,0000,0000,0000,,分發給能力適合的忍者\N去執行該項任務
Dialogue: Marked=0,0:04:52.25,0:04:55.19,Default,,0000,0000,0000,,只要能夠順利完成任務
Dialogue: Marked=0,0:04:55.26,0:04:56.82,Default,,0000,0000,0000,,委託人就會在事成之後
Dialogue: Marked=0,0:04:56.82,0:04:59.45,Default,,0000,0000,0000,,付酬勞給我們的
Dialogue: Marked=0,0:04:59.99,0:05:01.26,Default,,0000,0000,0000,,雖然這麼說
Dialogue: Marked=0,0:05:01.46,0:05:04.63,Default,,0000,0000,0000,,你們才剛當上下忍不久
