[Script Info]
Title: NARUTO -ナルト- 第007話 「霧の暗殺者！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.87,0:00:09.67,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.94,0:00:22.32,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.75,0:00:30.16,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.93,0:00:44.60,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:47.08,0:00:53.61,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.48,0:01:01.12,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.62,0:01:09.93,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.30,0:01:16.93,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:47.84,0:01:48.96,Default,,0000,0000,0000,,好濃的霧
Dialogue: Marked=0,0:01:49.44,0:01:50.73,Default,,0000,0000,0000,,都看不到前面了
Dialogue: Marked=0,0:02:02.75,0:02:04.31,Default,,0000,0000,0000,,就快看得見橋了
Dialogue: Marked=0,0:02:05.62,0:02:08.32,Default,,0000,0000,0000,,只要沿著那座橋走\N就能到波之國了
Dialogue: Marked=0,0:02:30.35,0:02:33.51,Default,,0000,0000,0000,,好大哦
Dialogue: Marked=0,0:02:33.75,0:02:35.84,Default,,0000,0000,0000,,喂，安靜點
Dialogue: Marked=0,0:02:36.22,0:02:38.71,Default,,0000,0000,0000,,我是看霧大才敢出來撐船的
Dialogue: Marked=0,0:02:39.62,0:02:41.52,Default,,0000,0000,0000,,還是把引擎關掉用手划吧
Dialogue: Marked=0,0:02:42.46,0:02:45.15,Default,,0000,0000,0000,,要是被那些傢伙發現\N就吃不完兜著走了
Dialogue: Marked=0,0:02:50.97,0:02:51.86,Default,,0000,0000,0000,,達茲納先生
Dialogue: Marked=0,0:02:55.37,0:02:57.03,Default,,0000,0000,0000,,雖然船就快要靠岸了
Dialogue: Marked=0,0:02:57.84,0:03:00.27,Default,,0000,0000,0000,,不過有件事\N我得要先問清楚才行
Dialogue: Marked=0,0:03:04.28,0:03:08.74,Default,,0000,0000,0000,,你究竟在害怕些什麼\N以及原因
Dialogue: Marked=0,0:03:09.32,0:03:11.15,Default,,0000,0000,0000,,不然我們的任務
Dialogue: Marked=0,0:03:11.65,0:03:15.89,Default,,0000,0000,0000,,將會在達茲納先生上岸時\N劃下句點
Dialogue: Marked=0,0:03:21.46,0:03:25.56,Default,,0000,0000,0000,,第7話 霧之暗殺者
Dialogue: Marked=0,0:03:38.78,0:03:40.81,Default,,0000,0000,0000,,看來我不得不說了
Dialogue: Marked=0,0:03:41.58,0:03:42.17,Default,,0000,0000,0000,,不
Dialogue: Marked=0,0:03:42.32,0:03:43.91,Default,,0000,0000,0000,,請各位聽我說
Dialogue: Marked=0,0:03:45.09,0:03:46.71,Default,,0000,0000,0000,,你說的沒有錯
Dialogue: Marked=0,0:03:47.19,0:03:49.92,Default,,0000,0000,0000,,這個工作應該不在\N你們的任務範圍內
Dialogue: Marked=0,0:03:50.93,0:03:55.79,Default,,0000,0000,0000,,其實有一個超可怕的人\N想要我這條老命
Dialogue: Marked=0,0:03:56.80,0:03:58.32,Default,,0000,0000,0000,,超可怕的人?
Dialogue: Marked=0,0:04:01.20,0:04:02.10,Default,,0000,0000,0000,,那個人是誰
Dialogue: Marked=0,0:04:04.31,0:04:07.80,Default,,0000,0000,0000,,你們好歹也應該聽過\N那個人的名字吧
Dialogue: Marked=0,0:04:08.78,0:04:11.01,Default,,0000,0000,0000,,他就是靠海運發跡的大富翁
Dialogue: Marked=0,0:04:11.91,0:04:13.85,Default,,0000,0000,0000,,一個名叫卡多的男人
Dialogue: Marked=0,0:04:14.92,0:04:15.81,Default,,0000,0000,0000,,卡多?
Dialogue: Marked=0,0:04:16.48,0:04:18.18,Default,,0000,0000,0000,,難道是那個卡多企業的...
Dialogue: Marked=0,0:04:18.62,0:04:21.25,Default,,0000,0000,0000,,聽說他是世界上\N數一數二的有錢人
Dialogue: Marked=0,0:04:21.82,0:04:23.76,Default,,0000,0000,0000,,誰啊誰啊?\N說到哪裡啦?
Dialogue: Marked=0,0:04:24.69,0:04:25.39,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:04:26.06,0:04:29.89,Default,,0000,0000,0000,,雖然他表面上\N是經營海運公司的老闆
Dialogue: Marked=0,0:04:31.77,0:04:34.20,Default,,0000,0000,0000,,但是背地裡卻利用流氓與忍者
Dialogue: Marked=0,0:04:34.34,0:04:36.90,Default,,0000,0000,0000,,從事著毒品與違禁品的買賣
Dialogue: Marked=0,0:04:37.07,0:04:39.56,Default,,0000,0000,0000,,甚至還侵佔其他的企業或國家
Dialogue: Marked=0,0:04:39.71,0:04:43.20,Default,,0000,0000,0000,,是個吃人不吐骨頭的男子
Dialogue: Marked=0,0:04:48.35,0:04:49.78,Default,,0000,0000,0000,,大概在一年前
Dialogue: Marked=0,0:04:50.15,0:04:53.21,Default,,0000,0000,0000,,那個傢伙看上了波之國
Dialogue: Marked=0,0:04:54.02,0:04:56.86,Default,,0000,0000,0000,,他又故計重施運用財力跟暴力
Dialogue: Marked=0,0:04:56.92,0:05:04.02,Default,,0000,0000,0000,,轉眼間就掌控了島上\N所有的海上交通與運輸
Dialogue: Marked=0,0:05:05.73,0:05:07.67,Default,,0000,0000,0000,,像波之國這種島國
Dialogue: Marked=0,0:05:07.94,0:05:09.80,Default,,0000,0000,0000,,只要掌控了他的制海權
Dialogue: Marked=0,0:05:10.10,0:05:14.23,Default,,0000,0000,0000,,就等於是獨佔了\N所有的財富政治與人民了
Dialogue: Marked=0,0:05:15.31,0:05:18.44,Default,,0000,0000,0000,,而卡多唯一懼怕的
Dialogue: Marked=0,0:05:19.88,0:05:21.75,Default,,0000,0000,0000,,同時正在建設中的...
Dialogue: Marked=0,0:05:24.39,0:05:26.44,Default,,0000,0000,0000,,那座橋的完成
Dialogue: Marked=0,0:05:29.89,0:05:30.62,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:05:30.83,0:05:32.88,Default,,0000,0000,0000,,所以建橋的大叔
Dialogue: Marked=0,0:05:32.96,0:05:34.62,Default,,0000,0000,0000,,就變成他的眼中釘了
Dialogue: Marked=0,0:05:35.56,0:05:37.83,Default,,0000,0000,0000,,那麼上次遇到的那兩個忍者
Dialogue: Marked=0,0:05:38.40,0:05:39.76,Default,,0000,0000,0000,,就是卡多的手下了
Dialogue: Marked=0,0:05:43.14,0:05:44.97,Default,,0000,0000,0000,,可是我實在搞不懂
Dialogue: Marked=0,0:05:45.57,0:05:48.27,Default,,0000,0000,0000,,對手是連忍者\N都出動的危險人物
Dialogue: Marked=0,0:05:48.78,0:05:51.27,Default,,0000,0000,0000,,為什麼委託時\N你卻隱瞞這一點呢
Dialogue: Marked=0,0:05:52.48,0:05:53.85,Default,,0000,0000,0000,,波之國
Dialogue: Marked=0,0:05:54.98,0:05:57.42,Default,,0000,0000,0000,,是個超級貧窮的國家
Dialogue: Marked=0,0:05:57.85,0:06:00.34,Default,,0000,0000,0000,,就連大名也沒有錢
Dialogue: Marked=0,0:06:03.22,0:06:05.78,Default,,0000,0000,0000,,我們當然就更不用說了
Dialogue: Marked=0,0:06:06.29,0:06:10.36,Default,,0000,0000,0000,,我沒錢去支付\NB級以上的高價任務
Dialogue: Marked=0,0:06:11.67,0:06:15.93,Default,,0000,0000,0000,,算了，要是你們在我著陸時\N就取消任務的話
Dialogue: Marked=0,0:06:16.50,0:06:22.24,Default,,0000,0000,0000,,我大概在到家門前\N就保證會被殺死了吧
Dialogue: Marked=0,0:06:23.51,0:06:25.67,Default,,0000,0000,0000,,別放在心上啦
Dialogue: Marked=0,0:06:26.31,0:06:27.75,Default,,0000,0000,0000,,就算我真的死了
Dialogue: Marked=0,0:06:27.75,0:06:34.02,Default,,0000,0000,0000,,也只有我那快八歲的可愛孫子\N會呼天搶地的哭而已啦
Dialogue: Marked=0,0:06:37.02,0:06:42.02,Default,,0000,0000,0000,,而我的女兒她也會\N一邊終身憎恨著木葉的忍者
Dialogue: Marked=0,0:06:42.13,0:06:44.33,Default,,0000,0000,0000,,一邊孤獨地活下去啦
Dialogue: Marked=0,0:06:48.14,0:06:50.70,Default,,0000,0000,0000,,別這樣嘛\N這又不是你們的錯
Dialogue: Marked=0,0:06:56.98,0:06:58.91,Default,,0000,0000,0000,,算了，看來沒辦法了
Dialogue: Marked=0,0:06:59.35,0:07:00.71,Default,,0000,0000,0000,,就護送到底吧
Dialogue: Marked=0,0:07:01.15,0:07:03.41,Default,,0000,0000,0000,,那真是感激不盡了
Dialogue: Marked=0,0:07:06.42,0:07:07.55,Default,,0000,0000,0000,,我贏了
Dialogue: Marked=0,0:07:11.36,0:07:12.55,Default,,0000,0000,0000,,就快到了
Dialogue: Marked=0,0:07:19.07,0:07:19.79,Default,,0000,0000,0000,,達茲納
Dialogue: Marked=0,0:07:19.93,0:07:22.73,Default,,0000,0000,0000,,看樣子到目前為止\N都還沒有被發現
Dialogue: Marked=0,0:07:23.87,0:07:24.93,Default,,0000,0000,0000,,多虧你了
