[Script Info]
Title: NARUTO -ナルト- 第008話 「痛みに誓う決意」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.74,0:00:09.57,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.94,0:00:21.78,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.55,0:00:29.96,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.53,0:00:44.39,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.74,0:00:52.84,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.52,0:01:00.68,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.66,0:01:09.59,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:09.96,0:01:16.80,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:54.38,0:01:56.34,Default,,0000,0000,0000,,好強烈的殺氣
Dialogue: Marked=0,0:01:57.58,0:02:00.51,Default,,0000,0000,0000,,呼一口氣或眼球稍微動一下
Dialogue: Marked=0,0:02:00.88,0:02:02.87,Default,,0000,0000,0000,,就有可能被人趁機殺死
Dialogue: Marked=0,0:02:03.35,0:02:04.48,Default,,0000,0000,0000,,就是這種感覺
Dialogue: Marked=0,0:02:05.39,0:02:07.18,Default,,0000,0000,0000,,要是在這種地方待上一個小時
Dialogue: Marked=0,0:02:07.79,0:02:09.31,Default,,0000,0000,0000,,不知道會變成什麼樣子
Dialogue: Marked=0,0:02:10.99,0:02:13.98,Default,,0000,0000,0000,,上忍散發的殺氣互相碰撞
Dialogue: Marked=0,0:02:14.23,0:02:17.39,Default,,0000,0000,0000,,自己的性命被掌握住的感覺
Dialogue: Marked=0,0:02:19.63,0:02:20.12,Default,,0000,0000,0000,,不行
Dialogue: Marked=0,0:02:20.64,0:02:23.76,Default,,0000,0000,0000,,與其這樣不如死了比較痛快
Dialogue: Marked=0,0:02:25.57,0:02:26.04,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:02:27.28,0:02:28.33,Default,,0000,0000,0000,,你放心好了
Dialogue: Marked=0,0:02:28.71,0:02:31.44,Default,,0000,0000,0000,,我會拼死保護你們安全的
Dialogue: Marked=0,0:02:33.78,0:02:37.68,Default,,0000,0000,0000,,我絕不會讓我的夥伴被殺死的
Dialogue: Marked=0,0:02:42.99,0:02:44.86,Default,,0000,0000,0000,,是這樣嗎?
Dialogue: Marked=0,0:02:52.13,0:02:53.29,Default,,0000,0000,0000,,到此為止了
Dialogue: Marked=0,0:03:24.10,0:03:25.46,Default,,0000,0000,0000,,老師後面
Dialogue: Marked=0,0:03:30.67,0:03:32.04,Default,,0000,0000,0000,,去死吧
Dialogue: Marked=0,0:03:43.55,0:03:45.18,Default,,0000,0000,0000,,水分身術
Dialogue: Marked=0,0:03:46.82,0:03:47.75,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:03:52.26,0:03:53.12,Default,,0000,0000,0000,,別輕舉妄動
Dialogue: Marked=0,0:04:01.64,0:04:05.57,Default,,0000,0000,0000,,第8話 以痛發誓的決心
Dialogue: Marked=0,0:04:17.39,0:04:18.51,Default,,0000,0000,0000,,到此為止了
Dialogue: Marked=0,0:04:19.22,0:04:22.35,Default,,0000,0000,0000,,好...好厲害
Dialogue: Marked=0,0:04:33.60,0:04:35.03,Default,,0000,0000,0000,,你說到此為止了?
Dialogue: Marked=0,0:04:36.54,0:04:38.30,Default,,0000,0000,0000,,你還沒弄清楚狀況嘛
Dialogue: Marked=0,0:04:39.17,0:04:40.73,Default,,0000,0000,0000,,那種猴子耍的把戲
Dialogue: Marked=0,0:04:41.18,0:04:43.11,Default,,0000,0000,0000,,是贏不了我的
Dialogue: Marked=0,0:04:43.91,0:04:45.38,Default,,0000,0000,0000,,絕對不可能的
Dialogue: Marked=0,0:04:50.89,0:04:52.91,Default,,0000,0000,0000,,不過你還挺有兩下子的嘛
Dialogue: Marked=0,0:04:53.69,0:04:59.75,Default,,0000,0000,0000,,你當時就已經拷貝了\N我的水分身術了嗎
Dialogue: Marked=0,0:05:00.40,0:05:04.42,Default,,0000,0000,0000,,我絕不會讓我的夥伴被殺死的
Dialogue: Marked=0,0:05:05.63,0:05:09.63,Default,,0000,0000,0000,,原來你是想藉\N讓你的分身講那種台詞
Dialogue: Marked=0,0:05:10.27,0:05:13.33,Default,,0000,0000,0000,,將我的注意力\N完全吸引到那邊去
Dialogue: Marked=0,0:05:14.08,0:05:16.27,Default,,0000,0000,0000,,然後本尊利用霧隱之術\N躲在霧裡面
Dialogue: Marked=0,0:05:16.78,0:05:20.21,Default,,0000,0000,0000,,藉機掌握我的動向
Dialogue: Marked=0,0:05:22.72,0:05:23.84,Default,,0000,0000,0000,,不過啊
Dialogue: Marked=0,0:05:25.29,0:05:27.41,Default,,0000,0000,0000,,我也不是那麼好對付的哦
Dialogue: Marked=0,0:05:29.66,0:05:31.22,Default,,0000,0000,0000,,那個傢伙也是假貨啊!
Dialogue: Marked=0,0:05:45.97,0:05:46.74,Default,,0000,0000,0000,,趁現在!
Dialogue: Marked=0,0:05:50.95,0:05:51.93,Default,,0000,0000,0000,,鐵蒺藜
Dialogue: Marked=0,0:05:55.88,0:05:56.94,Default,,0000,0000,0000,,真是無聊
Dialogue: Marked=0,0:05:59.45,0:06:00.48,Default,,0000,0000,0000,,老師
Dialogue: Marked=0,0:06:01.82,0:06:03.95,Default,,0000,0000,0000,,那麼厲害的卡卡西老師竟然...
Dialogue: Marked=0,0:06:04.49,0:06:05.89,Default,,0000,0000,0000,,整個人被踢走了
Dialogue: Marked=0,0:06:07.40,0:06:09.69,Default,,0000,0000,0000,,他的體術也很紮實
Dialogue: Marked=0,0:06:15.34,0:06:16.63,Default,,0000,0000,0000,,這水是怎麼了
