[Script Info]
Title: NARUTO -ナルト- 第010話 「チャクラの森」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.87,0:00:09.46,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.91,0:00:21.78,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.59,0:00:29.96,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.66,0:00:44.47,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.98,0:00:52.81,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.62,0:01:00.56,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.69,0:01:09.69,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.37,0:01:16.70,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:37.29,0:01:40.02,Default,,0000,0000,0000,,寫輪眼使用過度了嗎
Dialogue: Marked=0,0:01:41.76,0:01:43.39,Default,,0000,0000,0000,,老師，你沒事吧
Dialogue: Marked=0,0:01:44.20,0:01:46.26,Default,,0000,0000,0000,,不太好，在大概一個禮拜內
Dialogue: Marked=0,0:01:46.70,0:01:48.53,Default,,0000,0000,0000,,大概連動個身都很勉強
Dialogue: Marked=0,0:01:49.04,0:01:49.73,Default,,0000,0000,0000,,真是的
Dialogue: Marked=0,0:01:49.80,0:01:52.53,Default,,0000,0000,0000,,那你暫時還是先別動比較好吧
Dialogue: Marked=0,0:01:53.31,0:01:54.24,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:01:58.95,0:02:00.51,Default,,0000,0000,0000,,老師，你醒啦
Dialogue: Marked=0,0:02:00.75,0:02:02.34,Default,,0000,0000,0000,,真是的，搞什麼嘛
Dialogue: Marked=0,0:02:02.52,0:02:04.08,Default,,0000,0000,0000,,寫輪眼雖然很厲害
Dialogue: Marked=0,0:02:04.32,0:02:07.78,Default,,0000,0000,0000,,但要是給身體這麼大的負擔\N使用時也得好好考慮才行啊
Dialogue: Marked=0,0:02:07.82,0:02:09.59,Default,,0000,0000,0000,,對...對不起
Dialogue: Marked=0,0:02:09.79,0:02:15.89,Default,,0000,0000,0000,,不過這次打敗那麼厲害的忍者\N應該可以暫時安心了吧
Dialogue: Marked=0,0:02:16.30,0:02:17.29,Default,,0000,0000,0000,,話雖然這麼說...
Dialogue: Marked=0,0:02:17.63,0:02:20.40,Default,,0000,0000,0000,,但那個戴面具的孩子\N究竟是什麼人呢
Dialogue: Marked=0,0:02:21.34,0:02:23.53,Default,,0000,0000,0000,,那是霧隱暗部
Dialogue: Marked=0,0:02:24.37,0:02:27.03,Default,,0000,0000,0000,,追擊忍者的特殊部隊\N所配戴的面具
Dialogue: Marked=0,0:02:27.88,0:02:29.07,Default,,0000,0000,0000,,特殊部隊
Dialogue: Marked=0,0:02:29.51,0:02:32.00,Default,,0000,0000,0000,,他們俗稱消防隊
Dialogue: Marked=0,0:02:32.78,0:02:36.51,Default,,0000,0000,0000,,負責消滅該忍者存活過的\N所有痕跡
Dialogue: Marked=0,0:02:37.39,0:02:43.32,Default,,0000,0000,0000,,忍者的身體蘊藏著每個忍者村\N的忍術秘密與查克拉的特性
Dialogue: Marked=0,0:02:43.79,0:02:46.82,Default,,0000,0000,0000,,以及曾在那個身體上\N使用過之秘藥的成份
Dialogue: Marked=0,0:02:46.96,0:02:48.83,Default,,0000,0000,0000,,等等許多的祕密
Dialogue: Marked=0,0:02:50.53,0:02:52.02,Default,,0000,0000,0000,,比方像倘若我死了的話
Dialogue: Marked=0,0:02:53.03,0:02:56.03,Default,,0000,0000,0000,,寫輪眼的秘密\N全部都會被調查出來
Dialogue: Marked=0,0:02:57.11,0:03:01.54,Default,,0000,0000,0000,,做不好的話連忍術\N都有被奪走的危險性
Dialogue: Marked=0,0:03:02.41,0:03:07.35,Default,,0000,0000,0000,,換句話說追擊忍者就是負責\N抹殺掉背叛村里的叛逃忍者
Dialogue: Marked=0,0:03:07.48,0:03:10.18,Default,,0000,0000,0000,,並將他的屍體徹底地消滅掉
Dialogue: Marked=0,0:03:10.55,0:03:15.05,Default,,0000,0000,0000,,避免該忍者村的祕密\N被洩露出去的專家
Dialogue: Marked=0,0:03:17.43,0:03:20.36,Default,,0000,0000,0000,,先把這塊遮口布割開\N好讓血吐出來...
Dialogue: Marked=0,0:03:23.77,0:03:24.56,Default,,0000,0000,0000,,不用了
Dialogue: Marked=0,0:03:25.20,0:03:27.50,Default,,0000,0000,0000,,我自己來
Dialogue: Marked=0,0:03:27.84,0:03:28.70,Default,,0000,0000,0000,,什麼嘛
Dialogue: Marked=0,0:03:29.27,0:03:31.57,Default,,0000,0000,0000,,你已經活過來啦
Dialogue: Marked=0,0:03:35.64,0:03:39.44,Default,,0000,0000,0000,,真是的，你下手還真重啊
Dialogue: Marked=0,0:03:41.02,0:03:42.21,Default,,0000,0000,0000,,再不斬先生也是
Dialogue: Marked=0,0:03:42.28,0:03:44.15,Default,,0000,0000,0000,,拔的時候請別太粗魯
Dialogue: Marked=0,0:03:44.89,0:03:46.38,Default,,0000,0000,0000,,不然真的會死喔
Dialogue: Marked=0,0:03:51.23,0:03:53.79,Default,,0000,0000,0000,,你還打算戴那張\N騙人的面具多久啊
Dialogue: Marked=0,0:03:54.16,0:03:55.03,Default,,0000,0000,0000,,拿下來
Dialogue: Marked=0,0:03:55.86,0:03:57.59,Default,,0000,0000,0000,,這是我以前戴的面具
Dialogue: Marked=0,0:03:58.47,0:04:01.23,Default,,0000,0000,0000,,而且還能用來應付這種場面
Dialogue: Marked=0,0:04:05.24,0:04:07.30,Default,,0000,0000,0000,,可是如果我沒有出手相救
Dialogue: Marked=0,0:04:07.68,0:04:10.04,Default,,0000,0000,0000,,你現在可能已經真的沒命了
Dialogue: Marked=0,0:04:10.61,0:04:12.10,Default,,0000,0000,0000,,你真要我進入假死狀態的話
Dialogue: Marked=0,0:04:12.48,0:04:15.31,Default,,0000,0000,0000,,也用不著特地瞄準\N脖子上的穴道吧
Dialogue: Marked=0,0:04:16.05,0:04:19.25,Default,,0000,0000,0000,,你這傢伙還是這麼地討人厭
Dialogue: Marked=0,0:04:19.62,0:04:21.38,Default,,0000,0000,0000,,這是沒辦法的事
Dialogue: Marked=0,0:04:22.56,0:04:26.76,Default,,0000,0000,0000,,我不想在再不斬先生\N漂亮的身體上留下疤痕
Dialogue: Marked=0,0:04:27.63,0:04:30.76,Default,,0000,0000,0000,,而且在沒有什麼肌肉的脖子上面
Dialogue: Marked=0,0:04:31.20,0:04:33.06,Default,,0000,0000,0000,,更能準確地打中穴道
Dialogue: Marked=0,0:04:36.57,0:04:39.20,Default,,0000,0000,0000,,一個禮拜內應該\N都無法動彈了吧
Dialogue: Marked=0,0:04:39.71,0:04:44.34,Default,,0000,0000,0000,,不過要是再不斬先生的話\N一定馬上就可以行動自如了吧
Dialogue: Marked=0,0:04:48.02,0:04:51.58,Default,,0000,0000,0000,,你就是這麼單純，聰明又純真
Dialogue: Marked=0,0:04:52.52,0:04:54.85,Default,,0000,0000,0000,,我就是喜歡你這點
Dialogue: Marked=0,0:04:56.59,0:04:58.92,Default,,0000,0000,0000,,因為我還只是個小孩子啊
Dialogue: Marked=0,0:05:01.80,0:05:03.09,Default,,0000,0000,0000,,霧都散掉了呢
Dialogue: Marked=0,0:05:03.43,0:05:04.66,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:05:06.03,0:05:08.23,Default,,0000,0000,0000,,下次就沒問題了吧
Dialogue: Marked=0,0:05:09.37,0:05:10.60,Default,,0000,0000,0000,,下次
Dialogue: Marked=0,0:05:11.61,0:05:13.73,Default,,0000,0000,0000,,我一定會看穿寫輪眼
Dialogue: Marked=0,0:05:17.98,0:05:20.04,Default,,0000,0000,0000,,第10話 查克拉的森林
Dialogue: Marked=0,0:05:22.18,0:05:23.05,Default,,0000,0000,0000,,怎麼回事...
Dialogue: Marked=0,0:05:23.62,0:05:25.05,Default,,0000,0000,0000,,再不斬明明就已經死了
