[Script Info]
Title: NARUTO -ナルト- 第013話 「白の秘術 魔鏡氷晶」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.77,0:00:09.29,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.94,0:00:21.61,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.52,0:00:30.01,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.59,0:00:44.23,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:47.01,0:00:52.91,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.65,0:01:00.59,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.66,0:01:09.26,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.20,0:01:16.43,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:30.52,0:01:33.39,Default,,0000,0000,0000,,伊那利，過來幫我的忙
Dialogue: Marked=0,0:01:34.02,0:01:35.18,Default,,0000,0000,0000,,我馬上過去
Dialogue: Marked=0,0:01:51.54,0:01:52.47,Default,,0000,0000,0000,,這陣霧...
Dialogue: Marked=0,0:01:53.21,0:01:54.20,Default,,0000,0000,0000,,佐助，小櫻
Dialogue: Marked=0,0:01:55.04,0:01:55.81,Default,,0000,0000,0000,,要來了
Dialogue: Marked=0,0:02:01.18,0:02:05.24,Default,,0000,0000,0000,,他果然還活著\N這麼快就來啦
Dialogue: Marked=0,0:02:06.19,0:02:07.15,Default,,0000,0000,0000,,卡卡西老師
Dialogue: Marked=0,0:02:07.56,0:02:10.55,Default,,0000,0000,0000,,這就是那傢伙的霧隱之術吧
Dialogue: Marked=0,0:02:17.37,0:02:19.09,Default,,0000,0000,0000,,讓你久等了，卡卡西
Dialogue: Marked=0,0:02:20.17,0:02:23.19,Default,,0000,0000,0000,,你還是帶著沒用的小鬼來啊
Dialogue: Marked=0,0:02:24.17,0:02:27.37,Default,,0000,0000,0000,,又在發抖啦，真可憐啊
Dialogue: Marked=0,0:02:37.55,0:02:40.04,Default,,0000,0000,0000,,我是高興得發抖啊
Dialogue: Marked=0,0:02:42.19,0:02:43.71,Default,,0000,0000,0000,,動手吧，佐助
Dialogue: Marked=0,0:02:56.07,0:02:56.73,Default,,0000,0000,0000,,看得見了
Dialogue: Marked=0,0:02:58.94,0:03:00.81,Default,,0000,0000,0000,,居然能看穿我的水分身
Dialogue: Marked=0,0:03:01.31,0:03:03.87,Default,,0000,0000,0000,,那個小鬼進步了不少嘛
Dialogue: Marked=0,0:03:04.75,0:03:07.37,Default,,0000,0000,0000,,白，看來你的勁敵出現了
Dialogue: Marked=0,0:03:07.75,0:03:09.24,Default,,0000,0000,0000,,應該是吧
Dialogue: Marked=0,0:03:24.17,0:03:24.96,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:29.60,0:03:31.66,Default,,0000,0000,0000,,我已經徹底遲到了
Dialogue: Marked=0,0:03:46.79,0:03:52.12,Default,,0000,0000,0000,,哎呀哎呀\N看樣子好像真的被我料中了
Dialogue: Marked=0,0:03:52.69,0:03:53.42,Default,,0000,0000,0000,,料中?
Dialogue: Marked=0,0:03:53.80,0:03:55.35,Default,,0000,0000,0000,,那個戴面具的
Dialogue: Marked=0,0:03:56.93,0:03:57.63,Default,,0000,0000,0000,,果然
Dialogue: Marked=0,0:03:59.30,0:04:04.36,Default,,0000,0000,0000,,什麼霧隱追擊忍者\N根本全都是胡扯騙人的嘛
Dialogue: Marked=0,0:04:04.71,0:04:07.64,Default,,0000,0000,0000,,再怎麼看\N都是再不斬的同夥吧
Dialogue: Marked=0,0:04:07.94,0:04:09.81,Default,,0000,0000,0000,,他們還站在一起呢
Dialogue: Marked=0,0:04:10.88,0:04:13.87,Default,,0000,0000,0000,,那傢伙還不敢拿下面具\N以真面目示人嗎
Dialogue: Marked=0,0:04:14.22,0:04:17.15,Default,,0000,0000,0000,,我最討厭那種騙人的小鬼了
Dialogue: Marked=0,0:04:17.15,0:04:19.21,Default,,0000,0000,0000,,比卡卡西老師還好了啦
Dialogue: Marked=0,0:04:19.95,0:04:20.65,Default,,0000,0000,0000,,是嗎
Dialogue: Marked=0,0:04:21.46,0:04:23.58,Default,,0000,0000,0000,,那傢伙交給我來對付
Dialogue: Marked=0,0:04:24.73,0:04:26.89,Default,,0000,0000,0000,,要騙人也不裝得像一點
Dialogue: Marked=0,0:04:26.89,0:04:29.95,Default,,0000,0000,0000,,我最討厭那種\N裝神弄鬼的小鬼了
Dialogue: Marked=0,0:04:30.23,0:04:32.10,Default,,0000,0000,0000,,佐助好帥哦
Dialogue: Marked=0,0:04:33.40,0:04:37.39,Default,,0000,0000,0000,,小櫻還真被佐助俘虜了
Dialogue: Marked=0,0:04:38.74,0:04:40.40,Default,,0000,0000,0000,,真是了不起的少年
Dialogue: Marked=0,0:04:42.34,0:04:47.68,Default,,0000,0000,0000,,就算再不斬先生的水分身\N只有本尊十分之一的力量
