[Script Info]
Title: NARUTO -ナルト- 第015話 「視界ゼロの戦い 写輪眼崩し！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.74,0:00:09.43,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.94,0:00:21.44,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.49,0:00:29.91,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.69,0:00:44.20,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.88,0:00:52.75,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.55,0:01:00.72,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.69,0:01:09.25,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.27,0:01:16.73,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:40.86,0:01:41.95,Default,,0000,0000,0000,,可惡...
Dialogue: Marked=0,0:01:42.26,0:01:43.96,Default,,0000,0000,0000,,到底是從哪邊攻擊的?
Dialogue: Marked=0,0:01:44.77,0:01:45.79,Default,,0000,0000,0000,,是分身嗎
Dialogue: Marked=0,0:01:48.64,0:01:51.04,Default,,0000,0000,0000,,本尊在哪裡
Dialogue: Marked=0,0:01:51.81,0:01:53.80,Default,,0000,0000,0000,,想用眼睛追是沒有用的
Dialogue: Marked=0,0:01:54.44,0:01:56.57,Default,,0000,0000,0000,,你們絕對跟不上我
Dialogue: Marked=0,0:01:58.18,0:01:59.31,Default,,0000,0000,0000,,影分身之術
Dialogue: Marked=0,0:01:59.48,0:02:00.28,Default,,0000,0000,0000,,不要
Dialogue: Marked=0,0:02:12.59,0:02:18.09,Default,,0000,0000,0000,,這種忍術是只照出我\N利用鏡子反射的一種移動術
Dialogue: Marked=0,0:02:18.80,0:02:20.10,Default,,0000,0000,0000,,以我的速度來看
Dialogue: Marked=0,0:02:20.60,0:02:23.26,Default,,0000,0000,0000,,你們簡直\N就跟站著不動是一樣的
Dialogue: Marked=0,0:02:24.61,0:02:25.80,Default,,0000,0000,0000,,果然沒錯
Dialogue: Marked=0,0:02:26.14,0:02:28.51,Default,,0000,0000,0000,,那種忍術...是血繼限界
Dialogue: Marked=0,0:02:31.11,0:02:33.10,Default,,0000,0000,0000,,血繼限界...
Dialogue: Marked=0,0:02:33.85,0:02:36.11,Default,,0000,0000,0000,,就跟我的寫輪眼一樣
Dialogue: Marked=0,0:02:36.99,0:02:38.08,Default,,0000,0000,0000,,那麼...
Dialogue: Marked=0,0:02:38.35,0:02:39.32,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:02:39.65,0:02:43.82,Default,,0000,0000,0000,,就算我有寫輪眼\N也無法拷貝那種忍術
Dialogue: Marked=0,0:02:44.63,0:02:46.59,Default,,0000,0000,0000,,也沒有破解的方法
Dialogue: Marked=0,0:02:51.07,0:02:52.36,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:02:54.37,0:02:56.13,Default,,0000,0000,0000,,就算這樣，那又怎麼樣
Dialogue: Marked=0,0:02:56.87,0:02:59.70,Default,,0000,0000,0000,,我怎麼可以死在這種地方
Dialogue: Marked=0,0:03:00.28,0:03:03.57,Default,,0000,0000,0000,,我還有非實現不可的夢想
Dialogue: Marked=0,0:03:03.88,0:03:06.78,Default,,0000,0000,0000,,我要村裡所有的人\N都認同我的實力
Dialogue: Marked=0,0:03:07.38,0:03:09.71,Default,,0000,0000,0000,,以及成為火影的夢想
Dialogue: Marked=0,0:03:11.15,0:03:12.38,Default,,0000,0000,0000,,夢想...
Dialogue: Marked=0,0:03:15.39,0:03:17.88,Default,,0000,0000,0000,,我是為了我的夢想
Dialogue: Marked=0,0:03:18.29,0:03:20.66,Default,,0000,0000,0000,,你們是為了你們的夢想
Dialogue: Marked=0,0:03:21.90,0:03:23.66,Default,,0000,0000,0000,,所以請你們不要怨恨我
Dialogue: Marked=0,0:03:24.40,0:03:27.10,Default,,0000,0000,0000,,我想要保護我最重要的人
Dialogue: Marked=0,0:03:27.54,0:03:29.59,Default,,0000,0000,0000,,我要為那個人工作
Dialogue: Marked=0,0:03:29.90,0:03:31.74,Default,,0000,0000,0000,,為那個人奮勇戰鬥
Dialogue: Marked=0,0:03:32.41,0:03:34.31,Default,,0000,0000,0000,,實現那個人的夢想
Dialogue: Marked=0,0:03:34.91,0:03:36.24,Default,,0000,0000,0000,,這就是我的夢想
Dialogue: Marked=0,0:03:36.88,0:03:37.87,Default,,0000,0000,0000,,為了這個
Dialogue: Marked=0,0:03:38.11,0:03:40.17,Default,,0000,0000,0000,,我將會成為真正的忍者
Dialogue: Marked=0,0:03:40.42,0:03:42.41,Default,,0000,0000,0000,,狠下心來殺了你們
Dialogue: Marked=0,0:03:51.69,0:03:56.19,Default,,0000,0000,0000,,第15話\N視線為零的戰鬥 封鎖寫輪眼
Dialogue: Marked=0,0:04:00.34,0:04:02.06,Default,,0000,0000,0000,,佐助，鳴人
Dialogue: Marked=0,0:04:02.50,0:04:04.20,Default,,0000,0000,0000,,不要輸給那種人哦
Dialogue: Marked=0,0:04:04.71,0:04:05.76,Default,,0000,0000,0000,,別這樣，小櫻
Dialogue: Marked=0,0:04:06.14,0:04:07.40,Default,,0000,0000,0000,,不要替他們打氣
Dialogue: Marked=0,0:04:09.01,0:04:12.21,Default,,0000,0000,0000,,就算萬一真有方法\N可以破解那種忍術
Dialogue: Marked=0,0:04:13.08,0:04:15.95,Default,,0000,0000,0000,,他們也沒有辦法\N打敗那個少年的
Dialogue: Marked=0,0:04:17.65,0:04:18.71,Default,,0000,0000,0000,,為什麼
Dialogue: Marked=0,0:04:21.96,0:04:24.79,Default,,0000,0000,0000,,他們沒有辦法扼殺感情
Dialogue: Marked=0,0:04:25.23,0:04:27.16,Default,,0000,0000,0000,,還沒有動手殺人的精神力
Dialogue: Marked=0,0:04:29.23,0:04:33.10,Default,,0000,0000,0000,,那個少年很清楚\N忍者的真正苦惱是什麼
Dialogue: Marked=0,0:04:34.24,0:04:35.86,Default,,0000,0000,0000,,跟鳴人他們不一樣
Dialogue: Marked=0,0:04:36.67,0:04:37.97,Default,,0000,0000,0000,,你說的沒錯
Dialogue: Marked=0,0:04:38.74,0:04:41.97,Default,,0000,0000,0000,,像你們那種\N習慣和平的忍者村
Dialogue: Marked=0,0:04:42.48,0:04:44.74,Default,,0000,0000,0000,,是無法培育出真正的忍者的
Dialogue: Marked=0,0:04:46.25,0:04:51.98,Default,,0000,0000,0000,,因為你們無法累樍\N忍者戰鬥中最重要的殺人經歷
Dialogue: Marked=0,0:04:54.76,0:04:55.48,Default,,0000,0000,0000,,那...
Dialogue: Marked=0,0:04:55.96,0:04:59.12,Default,,0000,0000,0000,,那到底該怎麼辦啊，老師
Dialogue: Marked=0,0:05:02.46,0:05:05.46,Default,,0000,0000,0000,,如果去鳴人跟佐助那裡
Dialogue: Marked=0,0:05:06.50,0:05:07.76,Default,,0000,0000,0000,,達茲納先生會有危險
Dialogue: Marked=0,0:05:09.00,0:05:10.77,Default,,0000,0000,0000,,就算使用影分身術
Dialogue: Marked=0,0:05:15.01,0:05:18.27,Default,,0000,0000,0000,,這傢伙也會馬上使出水分身術
Dialogue: Marked=0,0:05:19.01,0:05:20.91,Default,,0000,0000,0000,,只是浪費查克拉而已
Dialogue: Marked=0,0:05:21.98,0:05:22.85,Default,,0000,0000,0000,,既然如此
Dialogue: Marked=0,0:05:25.15,0:05:26.02,Default,,0000,0000,0000,,不好意思
Dialogue: Marked=0,0:05:27.79,0:05:30.42,Default,,0000,0000,0000,,我要在一瞬間把你解決掉
Dialogue: Marked=0,0:05:31.86,0:05:33.02,Default,,0000,0000,0000,,寫輪眼
Dialogue: Marked=0,0:05:35.23,0:05:36.49,Default,,0000,0000,0000,,寫輪眼啊
Dialogue: Marked=0,0:05:37.00,0:05:38.52,Default,,0000,0000,0000,,沒有才華的傢伙
Dialogue: Marked=0,0:05:57.89,0:05:58.82,Default,,0000,0000,0000,,老師
Dialogue: Marked=0,0:06:05.83,0:06:08.06,Default,,0000,0000,0000,,就算你說我沒有才華
Dialogue: Marked=0,0:06:08.96,0:06:11.83,Default,,0000,0000,0000,,其實你還是挺怕寫輪眼的嘛\N再不斬
Dialogue: Marked=0,0:06:14.90,0:06:16.77,Default,,0000,0000,0000,,所謂忍者奧義
Dialogue: Marked=0,0:06:17.34,0:06:20.57,Default,,0000,0000,0000,,不是這樣三番兩次\N搬出來給對手看的吧
