[Script Info]
Title: NARUTO -ナルト- 第016話 「解放された封印」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.74,0:00:09.43,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.98,0:00:22.04,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.49,0:00:30.65,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.69,0:00:45.20,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.94,0:00:53.35,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.58,0:01:01.18,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.72,0:01:09.93,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.23,0:01:16.73,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:43.67,0:01:44.32,Default,,0000,0000,0000,,很好
Dialogue: Marked=0,0:01:44.37,0:01:46.86,Default,,0000,0000,0000,,雖然一次只有一點點\N但我慢慢掌握到時間了
Dialogue: Marked=0,0:01:53.07,0:01:54.37,Default,,0000,0000,0000,,我的動作被...
Dialogue: Marked=0,0:01:55.04,0:01:57.31,Default,,0000,0000,0000,,難道說...不會吧
Dialogue: Marked=0,0:01:57.85,0:02:00.54,Default,,0000,0000,0000,,可惡，只差一點點就成功了
Dialogue: Marked=0,0:02:00.62,0:02:01.27,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:01.95,0:02:03.28,Default,,0000,0000,0000,,你現在還可以動嗎
Dialogue: Marked=0,0:02:03.79,0:02:04.84,Default,,0000,0000,0000,,廢話!
Dialogue: Marked=0,0:02:04.99,0:02:06.95,Default,,0000,0000,0000,,我一點都沒問題啊
Dialogue: Marked=0,0:02:07.39,0:02:09.05,Default,,0000,0000,0000,,消耗了相當多的體力
Dialogue: Marked=0,0:02:09.46,0:02:10.55,Default,,0000,0000,0000,,這也難怪
Dialogue: Marked=0,0:02:10.89,0:02:14.06,Default,,0000,0000,0000,,影分身術會消耗掉\N大量的查克拉
Dialogue: Marked=0,0:02:14.36,0:02:19.06,Default,,0000,0000,0000,,但我反而因此發現了他的破綻
Dialogue: Marked=0,0:02:21.44,0:02:22.73,Default,,0000,0000,0000,,不可能的
Dialogue: Marked=0,0:02:24.44,0:02:27.74,Default,,0000,0000,0000,,這一定只是偶然
Dialogue: Marked=0,0:02:31.51,0:02:32.84,Default,,0000,0000,0000,,鳴人，快跑
Dialogue: Marked=0,0:02:33.45,0:02:36.08,Default,,0000,0000,0000,,趕快跳出這裡邊\N從外面進行攻擊
Dialogue: Marked=0,0:02:37.09,0:02:39.18,Default,,0000,0000,0000,,我...我知道了
Dialogue: Marked=0,0:02:41.02,0:02:42.08,Default,,0000,0000,0000,,你以為你辦得到嗎?
Dialogue: Marked=0,0:02:54.97,0:02:56.49,Default,,0000,0000,0000,,我不會認輸的
Dialogue: Marked=0,0:02:59.24,0:03:00.10,Default,,0000,0000,0000,,就是那裡
Dialogue: Marked=0,0:03:00.21,0:03:02.61,Default,,0000,0000,0000,,火遁，大火球之術
Dialogue: Marked=0,0:03:28.64,0:03:29.76,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:31.47,0:03:32.50,Default,,0000,0000,0000,,這樣就可以了
Dialogue: Marked=0,0:03:34.51,0:03:35.57,Default,,0000,0000,0000,,你再衝出去一次
Dialogue: Marked=0,0:03:37.01,0:03:38.31,Default,,0000,0000,0000,,我知道了
Dialogue: Marked=0,0:03:41.98,0:03:45.15,Default,,0000,0000,0000,,想必那個傢伙的查克拉\N也是有界限的
Dialogue: Marked=0,0:03:45.82,0:03:47.75,Default,,0000,0000,0000,,讓他慢慢的消耗殆盡
Dialogue: Marked=0,0:03:54.20,0:03:56.79,Default,,0000,0000,0000,,我是絕對不會讓你\N稱心如意的
Dialogue: Marked=0,0:03:57.77,0:03:59.53,Default,,0000,0000,0000,,就先從你開始吧
Dialogue: Marked=0,0:04:05.34,0:04:06.60,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:04:15.35,0:04:16.48,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:17.99,0:04:19.98,Default,,0000,0000,0000,,好久沒有在這種\N惡劣的條件下戰鬥了
Dialogue: Marked=0,0:04:21.72,0:04:24.21,Default,,0000,0000,0000,,我也很擔心佐助跟鳴人他們
Dialogue: Marked=0,0:04:28.00,0:04:29.22,Default,,0000,0000,0000,,要冷靜下來
Dialogue: Marked=0,0:04:30.13,0:04:31.22,Default,,0000,0000,0000,,仔細思考
Dialogue: Marked=0,0:04:31.80,0:04:34.13,Default,,0000,0000,0000,,他究竟在瞄準哪邊?
Dialogue: Marked=0,0:04:35.57,0:04:36.43,Default,,0000,0000,0000,,糟糕了
Dialogue: Marked=0,0:04:53.32,0:04:54.45,Default,,0000,0000,0000,,太慢了
Dialogue: Marked=0,0:05:05.03,0:05:11.60,Default,,0000,0000,0000,,第16話 被解放的封印
Dialogue: Marked=0,0:05:14.11,0:05:16.41,Default,,0000,0000,0000,,剛才是小櫻的聲音
Dialogue: Marked=0,0:05:17.28,0:05:18.61,Default,,0000,0000,0000,,發生什麼事了嗎?
Dialogue: Marked=0,0:05:19.61,0:05:21.91,Default,,0000,0000,0000,,卡卡西那傢伙在搞什麼鬼
Dialogue: Marked=0,0:05:25.05,0:05:27.78,Default,,0000,0000,0000,,小...小櫻
Dialogue: Marked=0,0:05:27.99,0:05:28.79,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:05:28.79,0:05:30.28,Default,,0000,0000,0000,,不能再這樣下去了
Dialogue: Marked=0,0:05:33.63,0:05:35.93,Default,,0000,0000,0000,,我會想辦法解決的
Dialogue: Marked=0,0:05:36.63,0:05:38.36,Default,,0000,0000,0000,,這小子...
Dialogue: Marked=0,0:05:39.07,0:05:40.30,Default,,0000,0000,0000,,我要去了
Dialogue: Marked=0,0:05:42.80,0:05:45.07,Default,,0000,0000,0000,,別再做無謂的掙札
Dialogue: Marked=0,0:06:00.82,0:06:02.08,Default,,0000,0000,0000,,鳴人，在你後面
Dialogue: Marked=0,0:06:07.16,0:06:07.89,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:06:08.53,0:06:10.39,Default,,0000,0000,0000,,想要離開這裡
Dialogue: Marked=0,0:06:10.67,0:06:12.33,Default,,0000,0000,0000,,是不可能的事
Dialogue: Marked=0,0:06:13.03,0:06:14.66,Default,,0000,0000,0000,,絕對不可能的
Dialogue: Marked=0,0:06:15.97,0:06:17.67,Default,,0000,0000,0000,,鳴人，你還站得起來嗎
Dialogue: Marked=0,0:06:18.34,0:06:19.67,Default,,0000,0000,0000,,可...可以
Dialogue: Marked=0,0:06:19.67,0:06:21.84,Default,,0000,0000,0000,,別再白白浪費你的查克拉了
Dialogue: Marked=0,0:06:22.11,0:06:23.74,Default,,0000,0000,0000,,這麼做剛好正中他的下懷
Dialogue: Marked=0,0:06:25.35,0:06:27.54,Default,,0000,0000,0000,,這個我知道啦
