[Script Info]
Title: NARUTO -ナルト- 第017話 「白い過去 秘めた想い」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.70,0:00:09.60,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.88,0:00:22.25,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.52,0:00:30.15,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.66,0:00:45.10,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.98,0:00:53.31,Default,,0000,0000,0000,,解放痛苦 展開心胸 解放影子
Dialogue: Marked=0,0:00:54.48,0:01:01.35,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.72,0:01:10.19,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.27,0:01:17.57,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:31.99,0:01:34.75,Default,,0000,0000,0000,,你是第一次面對同伴的死嗎
Dialogue: Marked=0,0:01:35.79,0:01:38.73,Default,,0000,0000,0000,,這就是忍者要走的路
Dialogue: Marked=0,0:01:43.33,0:01:45.03,Default,,0000,0000,0000,,不可原諒
Dialogue: Marked=0,0:02:05.09,0:02:06.82,Default,,0000,0000,0000,,我要宰了你
Dialogue: Marked=0,0:02:30.81,0:02:36.31,Default,,0000,0000,0000,,第17話\N白色的過去 隱藏的回憶
Dialogue: Marked=0,0:02:42.82,0:02:44.31,Default,,0000,0000,0000,,好驚人的殺氣
Dialogue: Marked=0,0:02:44.46,0:02:46.89,Default,,0000,0000,0000,,跟剛才那個男孩完全不一樣
Dialogue: Marked=0,0:02:48.70,0:02:49.39,Default,,0000,0000,0000,,來了
Dialogue: Marked=0,0:02:54.20,0:02:54.86,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:02:57.37,0:02:58.93,Default,,0000,0000,0000,,用查克拉把飛針彈走了
Dialogue: Marked=0,0:02:59.91,0:03:00.93,Default,,0000,0000,0000,,那麼...
Dialogue: Marked=0,0:03:12.99,0:03:14.15,Default,,0000,0000,0000,,吃我這招
Dialogue: Marked=0,0:03:20.20,0:03:20.89,Default,,0000,0000,0000,,糟了
Dialogue: Marked=0,0:03:25.47,0:03:26.40,Default,,0000,0000,0000,,怎麼會!
Dialogue: Marked=0,0:03:32.74,0:03:33.67,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:03:33.88,0:03:35.40,Default,,0000,0000,0000,,鳴人的封印被解開了嗎?
Dialogue: Marked=0,0:03:36.95,0:03:38.94,Default,,0000,0000,0000,,不，這種感覺是...
Dialogue: Marked=0,0:03:40.18,0:03:41.94,Default,,0000,0000,0000,,封印還沒有被解開
Dialogue: Marked=0,0:03:42.38,0:03:45.91,Default,,0000,0000,0000,,但九尾的查克拉\N的確是洩出來了
Dialogue: Marked=0,0:03:47.26,0:03:48.42,Default,,0000,0000,0000,,太好了
Dialogue: Marked=0,0:03:48.42,0:03:50.48,Default,,0000,0000,0000,,封印還尚未解開
Dialogue: Marked=0,0:03:52.83,0:03:54.42,Default,,0000,0000,0000,,現在應該還來得及
Dialogue: Marked=0,0:03:56.40,0:03:57.46,Default,,0000,0000,0000,,你聽的到嗎?再不斬
Dialogue: Marked=0,0:03:58.23,0:03:59.93,Default,,0000,0000,0000,,我們彼此都忙得不可開交
