[Script Info]
Title: NARUTO -ナルト- 第018話 「忍という名の道具」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.80,0:00:09.63,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.91,0:00:23.59,Default,,0000,0000,0000,,被追趕似地趕路
Dialogue: Marked=0,0:00:23.59,0:00:30.58,Default,,0000,0000,0000,,是乾涸的心所驅使的
Dialogue: Marked=0,0:00:31.63,0:00:44.87,Default,,0000,0000,0000,,我們的現在不會為別人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.91,0:00:53.37,Default,,0000,0000,0000,,解放痛苦 解放心胸 解放背影
Dialogue: Marked=0,0:00:54.62,0:01:01.04,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.62,0:01:09.89,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.30,0:01:16.70,Default,,0000,0000,0000,,都是無止境的 On the way
Dialogue: Marked=0,0:01:42.63,0:01:45.39,Default,,0000,0000,0000,,鳴人哥哥他們正在戰鬥
Dialogue: Marked=0,0:01:47.57,0:01:49.06,Default,,0000,0000,0000,,我們也要...
Dialogue: Marked=0,0:01:52.74,0:01:56.14,Default,,0000,0000,0000,,第18話 名為忍者的工具
Dialogue: Marked=0,0:01:58.01,0:01:59.10,Default,,0000,0000,0000,,爺爺
Dialogue: Marked=0,0:01:59.61,0:02:02.91,Default,,0000,0000,0000,,基奇爺爺，你快開門啊
Dialogue: Marked=0,0:02:03.89,0:02:05.65,Default,,0000,0000,0000,,我們一起去橋那邊吧
Dialogue: Marked=0,0:02:05.89,0:02:07.25,Default,,0000,0000,0000,,這次只要大家團結起來
Dialogue: Marked=0,0:02:07.39,0:02:09.86,Default,,0000,0000,0000,,一定可以打敗卡多他們的
Dialogue: Marked=0,0:02:15.46,0:02:16.36,Default,,0000,0000,0000,,伊那利...
Dialogue: Marked=0,0:02:17.10,0:02:19.90,Default,,0000,0000,0000,,我已經放棄\N再繼續抗爭下去了
Dialogue: Marked=0,0:02:20.94,0:02:22.77,Default,,0000,0000,0000,,就連你的爸爸...
Dialogue: Marked=0,0:02:23.81,0:02:26.04,Default,,0000,0000,0000,,那曾經被稱為英雄的男人
Dialogue: Marked=0,0:02:26.88,0:02:28.10,Default,,0000,0000,0000,,也已經不在了...
Dialogue: Marked=0,0:02:33.41,0:02:34.88,Default,,0000,0000,0000,,如果想要抗爭的話...
Dialogue: Marked=0,0:02:35.38,0:02:37.11,Default,,0000,0000,0000,,只會有更多的犧牲
Dialogue: Marked=0,0:02:38.25,0:02:41.38,Default,,0000,0000,0000,,我不想再失去\N任何重要的事物了
Dialogue: Marked=0,0:02:42.82,0:02:46.12,Default,,0000,0000,0000,,沒有人想要再後悔一次了...
Dialogue: Marked=0,0:02:58.27,0:03:00.31,Default,,0000,0000,0000,,我...我也一樣
Dialogue: Marked=0,0:03:00.31,0:03:01.80,Default,,0000,0000,0000,,我不想再後悔了
Dialogue: Marked=0,0:03:02.98,0:03:04.97,Default,,0000,0000,0000,,所以更是要抗爭下去啊
Dialogue: Marked=0,0:03:06.21,0:03:09.62,Default,,0000,0000,0000,,如果是男人的話\N就要選擇不後悔的生活方式
Dialogue: Marked=0,0:03:12.85,0:03:15.69,Default,,0000,0000,0000,,媽媽，爺爺，基奇爺爺
Dialogue: Marked=0,0:03:15.76,0:03:16.82,Default,,0000,0000,0000,,都是我最喜歡的人
Dialogue: Marked=0,0:03:17.06,0:03:19.55,Default,,0000,0000,0000,,我也喜歡鎮上的每一個人
Dialogue: Marked=0,0:03:25.50,0:03:27.63,Default,,0000,0000,0000,,我已經知道了
Dialogue: Marked=0,0:03:28.37,0:03:31.93,Default,,0000,0000,0000,,如果一直當個愛哭鬼\N是什麼也保護不了的
Dialogue: Marked=0,0:03:32.37,0:03:34.36,Default,,0000,0000,0000,,這點我已經知道了
Dialogue: Marked=0,0:03:52.23,0:03:53.52,Default,,0000,0000,0000,,伊那利這孩子
Dialogue: Marked=0,0:03:54.53,0:03:57.29,Default,,0000,0000,0000,,是個了不起的男子漢了呢
Dialogue: Marked=0,0:03:59.30,0:04:00.53,Default,,0000,0000,0000,,這樣好嗎
Dialogue: Marked=0,0:04:00.97,0:04:04.10,Default,,0000,0000,0000,,就讓伊那利這樣\N自己一個人過去
Dialogue: Marked=0,0:04:10.11,0:04:10.91,Default,,0000,0000,0000,,快開門啊
Dialogue: Marked=0,0:04:13.31,0:04:15.91,Default,,0000,0000,0000,,拜託你們，我們一起戰鬥吧
Dialogue: Marked=0,0:04:16.92,0:04:19.89,Default,,0000,0000,0000,,叔叔，聽我說好不好
Dialogue: Marked=0,0:04:25.33,0:04:26.62,Default,,0000,0000,0000,,為什麼...
Dialogue: Marked=0,0:04:27.00,0:04:30.43,Default,,0000,0000,0000,,為什麼都沒有人願意打開門
Dialogue: Marked=0,0:04:35.14,0:04:37.33,Default,,0000,0000,0000,,你可是很強的哦
Dialogue: Marked=0,0:04:39.51,0:04:41.27,Default,,0000,0000,0000,,鳴人哥哥
Dialogue: Marked=0,0:05:00.03,0:05:03.52,Default,,0000,0000,0000,,再不斬...你稍微鬧過頭了
Dialogue: Marked=0,0:05:04.17,0:05:06.79,Default,,0000,0000,0000,,你的野心實在太大了
Dialogue: Marked=0,0:05:09.74,0:05:13.97,Default,,0000,0000,0000,,暗殺水影，以及政變失敗
Dialogue: Marked=0,0:05:15.04,0:05:17.88,Default,,0000,0000,0000,,於是你帶著幾個手下離開
Dialogue: Marked=0,0:05:18.05,0:05:19.95,Default,,0000,0000,0000,,變成叛逃的忍者
Dialogue: Marked=0,0:05:20.55,0:05:21.95,Default,,0000,0000,0000,,你的大名...
Dialogue: Marked=0,0:05:22.18,0:05:25.05,Default,,0000,0000,0000,,也馬上就傳到\N我們木葉忍者村了
Dialogue: Marked=0,0:05:25.69,0:05:27.95,Default,,0000,0000,0000,,為了籌措報復的資金
Dialogue: Marked=0,0:05:28.26,0:05:31.82,Default,,0000,0000,0000,,同時也為了躲避\N追殺部隊的搜索與報仇
Dialogue: Marked=0,0:05:32.39,0:05:34.19,Default,,0000,0000,0000,,就是這麼回事吧
Dialogue: Marked=0,0:05:34.33,0:05:37.99,Default,,0000,0000,0000,,你竟然跟卡多\N那種害蟲勾搭上了
Dialogue: Marked=0,0:05:38.57,0:05:39.46,Default,,0000,0000,0000,,再不斬
Dialogue: Marked=0,0:05:39.77,0:05:41.06,Default,,0000,0000,0000,,你以為我卡卡西
