[Script Info]
Title: NARUTO -ナルト- 第019話 「ザブザ雪に散る…」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.70,0:00:09.26,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:16.01,0:00:21.57,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.45,0:00:29.82,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.59,0:00:44.10,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.81,0:00:52.75,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.52,0:01:00.51,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.52,0:01:09.45,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.27,0:01:16.40,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:34.02,0:01:37.98,Default,,0000,0000,0000,,第19話\N在雪中離去的再不斬
Dialogue: Marked=0,0:01:38.59,0:01:39.29,Default,,0000,0000,0000,,卡多
Dialogue: Marked=0,0:01:40.06,0:01:42.53,Default,,0000,0000,0000,,為什麼你會來這裡...
Dialogue: Marked=0,0:01:43.57,0:01:46.93,Default,,0000,0000,0000,,還有，那些部下是怎麼回事
Dialogue: Marked=0,0:01:48.37,0:01:50.80,Default,,0000,0000,0000,,我把計劃稍微做了改變了
Dialogue: Marked=0,0:01:52.87,0:01:54.31,Default,,0000,0000,0000,,不好意思了，再不斬
Dialogue: Marked=0,0:01:54.74,0:01:57.23,Default,,0000,0000,0000,,你就給我死在這裡吧
Dialogue: Marked=0,0:01:58.95,0:02:00.14,Default,,0000,0000,0000,,你說什麼
Dialogue: Marked=0,0:02:00.82,0:02:04.31,Default,,0000,0000,0000,,如果我去請正規忍者的話\N可是會花很多錢的
Dialogue: Marked=0,0:02:04.35,0:02:07.29,Default,,0000,0000,0000,,所以我才會雇用\N你們這些叛逃的忍者
Dialogue: Marked=0,0:02:07.86,0:02:10.12,Default,,0000,0000,0000,,如果可以順便讓你們忍者\N互相殘殺的話
Dialogue: Marked=0,0:02:10.16,0:02:13.29,Default,,0000,0000,0000,,還可以幫我省不少錢跟時間啊
Dialogue: Marked=0,0:02:14.70,0:02:18.15,Default,,0000,0000,0000,,我已經聽膩了\N你那個霧隱鬼人的名號了
Dialogue: Marked=0,0:02:18.33,0:02:20.39,Default,,0000,0000,0000,,在我的眼裡看來啊
Dialogue: Marked=0,0:02:20.67,0:02:23.66,Default,,0000,0000,0000,,你只不過是一個\N可愛的小惡鬼罷了嘛
Dialogue: Marked=0,0:02:25.97,0:02:27.81,Default,,0000,0000,0000,,那些傢伙是哪來的啊
Dialogue: Marked=0,0:02:28.04,0:02:29.30,Default,,0000,0000,0000,,好多人啊...
Dialogue: Marked=0,0:02:30.41,0:02:32.31,Default,,0000,0000,0000,,卡卡西，抱歉了
Dialogue: Marked=0,0:02:33.15,0:02:34.64,Default,,0000,0000,0000,,戰鬥到此為止了
Dialogue: Marked=0,0:02:35.65,0:02:38.35,Default,,0000,0000,0000,,既然我已經沒有理由\N要達茲納的命
Dialogue: Marked=0,0:02:39.05,0:02:41.65,Default,,0000,0000,0000,,也沒有理由再跟你打下去了
Dialogue: Marked=0,0:02:43.06,0:02:43.85,Default,,0000,0000,0000,,嗯...
Dialogue: Marked=0,0:02:44.43,0:02:45.32,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:02:50.47,0:02:51.73,Default,,0000,0000,0000,,對了...
Dialogue: Marked=0,0:02:52.27,0:02:54.79,Default,,0000,0000,0000,,這小子還欠我一個公道呢
