[Script Info]
Title: NARUTO -ナルト- 第020話 「新章突入！ 中忍試験だってばよ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.50,0:00:09.09,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.88,0:00:21.37,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.42,0:00:29.76,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.46,0:00:44.10,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.78,0:00:52.71,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.48,0:01:00.65,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.49,0:01:09.23,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.17,0:01:16.23,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:02:27.74,0:02:32.11,Default,,0000,0000,0000,,我今天也要\N充滿幹勁地執行任務囉!
Dialogue: Marked=0,0:02:32.68,0:02:35.24,Default,,0000,0000,0000,,速度五馬赫
Dialogue: Marked=0,0:02:37.15,0:02:40.78,Default,,0000,0000,0000,,第20話 晉級中忍的考試
Dialogue: Marked=0,0:03:00.64,0:03:02.77,Default,,0000,0000,0000,,早啊，小櫻
Dialogue: Marked=0,0:03:15.29,0:03:16.45,Default,,0000,0000,0000,,又來了
Dialogue: Marked=0,0:03:16.82,0:03:19.66,Default,,0000,0000,0000,,他們兩個從波之國回來之後
Dialogue: Marked=0,0:03:19.83,0:03:21.82,Default,,0000,0000,0000,,就變得有點怪怪的
Dialogue: Marked=0,0:03:24.47,0:03:26.83,Default,,0000,0000,0000,,總覺得氣氛好沉重哦...
Dialogue: Marked=0,0:03:27.54,0:03:29.33,Default,,0000,0000,0000,,趕快過來啦，卡卡西老師
Dialogue: Marked=0,0:03:29.67,0:03:31.30,Default,,0000,0000,0000,,在搞什麼鬼啊!
Dialogue: Marked=0,0:03:42.18,0:03:44.31,Default,,0000,0000,0000,,哈囉...大家早啊
Dialogue: Marked=0,0:03:45.55,0:03:47.75,Default,,0000,0000,0000,,我今天迷路了說
Dialogue: Marked=0,0:03:50.99,0:03:52.98,Default,,0000,0000,0000,,聽我說...卡卡西老師
Dialogue: Marked=0,0:03:53.70,0:03:57.06,Default,,0000,0000,0000,,我們第七班\N最近老是執行些簡單的任務
Dialogue: Marked=0,0:03:57.37,0:03:59.20,Default,,0000,0000,0000,,沒有那種可以讓我更活躍
Dialogue: Marked=0,0:03:59.20,0:04:02.19,Default,,0000,0000,0000,,或是...更熱血沸騰的任務嗎?
Dialogue: Marked=0,0:04:02.27,0:04:05.51,Default,,0000,0000,0000,,讓我的忍道...讓我的心...
Dialogue: Marked=0,0:04:05.51,0:04:06.77,Default,,0000,0000,0000,,就像這樣!
Dialogue: Marked=0,0:04:07.44,0:04:08.50,Default,,0000,0000,0000,,好...
Dialogue: Marked=0,0:04:08.71,0:04:11.08,Default,,0000,0000,0000,,我大概知道你想要說什麼啦...
Dialogue: Marked=0,0:04:16.78,0:04:18.15,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:18.65,0:04:19.45,Default,,0000,0000,0000,,這傢伙...
Dialogue: Marked=0,0:04:19.72,0:04:22.16,Default,,0000,0000,0000,,不管是哪個任務\N都讓我欠他人情
Dialogue: Marked=0,0:04:22.39,0:04:23.79,Default,,0000,0000,0000,,又搶盡了風頭
Dialogue: Marked=0,0:04:24.16,0:04:26.22,Default,,0000,0000,0000,,我才不會輸勒...
Dialogue: Marked=0,0:04:31.30,0:04:32.53,Default,,0000,0000,0000,,這傢伙...
Dialogue: Marked=0,0:04:35.60,0:04:37.30,Default,,0000,0000,0000,,我今天...
Dialogue: Marked=0,0:04:47.75,0:04:50.98,Default,,0000,0000,0000,,真是的...\N就會給我添麻煩
Dialogue: Marked=0,0:04:52.49,0:04:54.82,Default,,0000,0000,0000,,一定要這樣嗆他!
Dialogue: Marked=0,0:04:55.26,0:04:57.19,Default,,0000,0000,0000,,鳴人，你在搞什麼啊
Dialogue: Marked=0,0:04:57.56,0:04:58.68,Default,,0000,0000,0000,,執行任務囉
Dialogue: Marked=0,0:04:59.13,0:04:59.99,Default,,0000,0000,0000,,好!
Dialogue: Marked=0,0:05:00.19,0:05:01.99,Default,,0000,0000,0000,,鳴人，你從剛剛就好吵喔
Dialogue: Marked=0,0:05:14.14,0:05:16.34,Default,,0000,0000,0000,,我才不會輸給佐助勒
Dialogue: Marked=0,0:05:25.95,0:05:27.15,Default,,0000,0000,0000,,我說你啊
Dialogue: Marked=0,0:05:28.66,0:05:29.95,Default,,0000,0000,0000,,歐巴桑
Dialogue: Marked=0,0:05:30.22,0:05:32.02,Default,,0000,0000,0000,,雜草已經全部都拔完囉
Dialogue: Marked=0,0:05:34.16,0:05:35.46,Default,,0000,0000,0000,,怎麼...了嗎?
Dialogue: Marked=0,0:05:35.80,0:05:36.73,Default,,0000,0000,0000,,那些...
Dialogue: Marked=0,0:05:37.30,0:05:38.96,Default,,0000,0000,0000,,不是雜草啊...
Dialogue: Marked=0,0:05:40.74,0:05:42.79,Default,,0000,0000,0000,,是我利用園藝栽培的...
Dialogue: Marked=0,0:05:43.54,0:05:45.44,Default,,0000,0000,0000,,藥草啊!!
Dialogue: Marked=0,0:05:45.47,0:05:47.77,Default,,0000,0000,0000,,啊...好痛!
Dialogue: Marked=0,0:06:05.99,0:06:08.48,Default,,0000,0000,0000,,來人啊，誰來救偶啊
Dialogue: Marked=0,0:06:12.57,0:06:14.69,Default,,0000,0000,0000,,自由落體啊
Dialogue: Marked=0,0:06:23.71,0:06:25.65,Default,,0000,0000,0000,,你這個超級大白痴...
Dialogue: Marked=0,0:06:34.99,0:06:36.51,Default,,0000,0000,0000,,"陷阱區 禁止進入"
Dialogue: Marked=0,0:06:36.59,0:06:38.79,Default,,0000,0000,0000,,不可以往那邊走啦
Dialogue: Marked=0,0:06:41.66,0:06:43.10,Default,,0000,0000,0000,,拜託你嘛...
Dialogue: Marked=0,0:06:47.10,0:06:48.36,Default,,0000,0000,0000,,那個白痴...
Dialogue: Marked=0,0:06:48.60,0:06:52.23,Default,,0000,0000,0000,,唉...誰叫他硬要帶那種狗
Dialogue: Marked=0,0:06:52.81,0:06:56.11,Default,,0000,0000,0000,,等...等一下，等一下啦...
Dialogue: Marked=0,0:07:01.95,0:07:04.94,Default,,0000,0000,0000,,那...那邊是陷阱區啦...
Dialogue: Marked=0,0:07:28.54,0:07:31.01,Default,,0000,0000,0000,,真是的，誰叫你要逞強嘛
Dialogue: Marked=0,0:07:32.31,0:07:34.54,Default,,0000,0000,0000,,真是的...\N就會給我添麻煩
Dialogue: Marked=0,0:07:38.05,0:07:39.92,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:07:41.66,0:07:44.56,Default,,0000,0000,0000,,你再給我亂來\N小心我宰了你
Dialogue: Marked=0,0:07:47.06,0:07:50.29,Default,,0000,0000,0000,,最近的團隊精神真是散亂啊
Dialogue: Marked=0,0:07:50.57,0:07:51.69,Default,,0000,0000,0000,,就是說嘛...
Dialogue: Marked=0,0:07:52.07,0:07:54.66,Default,,0000,0000,0000,,弄亂團隊精神的人\N可是佐助你喔
Dialogue: Marked=0,0:07:54.80,0:07:56.53,Default,,0000,0000,0000,,每次都搶著要出風頭
Dialogue: Marked=0,0:07:57.17,0:07:59.44,Default,,0000,0000,0000,,那是你才對吧，超級大白痴
Dialogue: Marked=0,0:08:00.17,0:08:02.80,Default,,0000,0000,0000,,你那麼不想欠我人情的話...
Dialogue: Marked=0,0:08:05.58,0:08:08.05,Default,,0000,0000,0000,,只要變得比我強不就行了嗎
Dialogue: Marked=0,0:08:16.06,0:08:19.96,Default,,0000,0000,0000,,他們兩個的感情\N怎麼好像比以前更差了耶...
Dialogue: Marked=0,0:08:28.07,0:08:30.56,Default,,0000,0000,0000,,可惡，煩死人了
Dialogue: Marked=0,0:08:31.57,0:08:34.80,Default,,0000,0000,0000,,外面到處\N都是比我更厲害的傢伙
Dialogue: Marked=0,0:08:35.58,0:08:38.31,Default,,0000,0000,0000,,居然老是要我搞這種任務...
Dialogue: Marked=0,0:08:46.09,0:08:47.45,Default,,0000,0000,0000,,接下來嘛...
Dialogue: Marked=0,0:08:48.82,0:08:50.31,Default,,0000,0000,0000,,差不多可以解散了吧
Dialogue: Marked=0,0:08:51.33,0:08:56.09,Default,,0000,0000,0000,,我現在...也得回去提交\N這次任務的報告書了...
