[Script Info]
Title: NARUTO -ナルト- 第021話 「名乗れ！現れた強敵たち！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.57,0:00:09.23,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.91,0:00:21.47,Default,,0000,0000,0000,,彷彿被追趕似地趕路
Dialogue: Marked=0,0:00:23.42,0:00:29.76,Default,,0000,0000,0000,,是被乾涸的心所驅使
Dialogue: Marked=0,0:00:31.49,0:00:44.27,Default,,0000,0000,0000,,現在的我們將不為了他人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.78,0:00:52.87,Default,,0000,0000,0000,,解放痛苦\N展開心胸 解放影子
Dialogue: Marked=0,0:00:54.62,0:01:00.56,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.49,0:01:09.33,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.20,0:01:15.93,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:34.49,0:01:36.22,Default,,0000,0000,0000,,只會丟我們村子的臉
Dialogue: Marked=0,0:01:36.99,0:01:40.15,Default,,0000,0000,0000,,你以為我們\N大老遠跑來木葉是幹什麼的
Dialogue: Marked=0,0:01:40.23,0:01:43.32,Default,,0000,0000,0000,,聽...聽我解釋啊，我愛羅
