[Script Info]
Title: NARUTO -ナルト- 第022話 「気合い120％ ナウでロックな挑戦状！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.64,0:00:09.43,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.98,0:00:21.68,Default,,0000,0000,0000,,被追趕似地趕路
Dialogue: Marked=0,0:00:23.49,0:00:29.95,Default,,0000,0000,0000,,是乾涸的心所驅使的
Dialogue: Marked=0,0:00:31.66,0:00:44.47,Default,,0000,0000,0000,,我們的現在不會為別人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.91,0:00:52.90,Default,,0000,0000,0000,,解放痛苦 解放心胸 解放背影
Dialogue: Marked=0,0:00:54.68,0:01:00.64,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.66,0:01:09.43,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.43,0:01:16.43,Default,,0000,0000,0000,,都是無止境的\NOn the way
Dialogue: Marked=0,0:01:33.92,0:01:35.48,Default,,0000,0000,0000,,那邊的那個
Dialogue: Marked=0,0:01:36.32,0:01:37.19,Default,,0000,0000,0000,,報上名來
Dialogue: Marked=0,0:01:37.93,0:01:39.45,Default,,0000,0000,0000,,我沒有必要告訴你吧
Dialogue: Marked=0,0:01:40.16,0:01:41.19,Default,,0000,0000,0000,,你說什麼
Dialogue: Marked=0,0:01:42.33,0:01:43.70,Default,,0000,0000,0000,,真可愛
Dialogue: Marked=0,0:01:48.74,0:01:51.71,Default,,0000,0000,0000,,那些小鬼就是所謂\N卡卡西跟阿凱的秘藏之子嗎
Dialogue: Marked=0,0:01:52.44,0:01:53.74,Default,,0000,0000,0000,,總而言之
Dialogue: Marked=0,0:01:53.81,0:01:56.21,Default,,0000,0000,0000,,總之他們已經通過\N繳交申請書這一關了...
Dialogue: Marked=0,0:01:56.41,0:01:57.44,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:01:59.08,0:02:02.05,Default,,0000,0000,0000,,今年的考生看來有得玩了
Dialogue: Marked=0,0:02:03.05,0:02:05.32,Default,,0000,0000,0000,,對我們考官來說也一樣啊
Dialogue: Marked=0,0:02:06.19,0:02:07.81,Default,,0000,0000,0000,,好了，佐助，鳴人
Dialogue: Marked=0,0:02:08.12,0:02:08.89,Default,,0000,0000,0000,,我們該走了
Dialogue: Marked=0,0:02:09.42,0:02:11.02,Default,,0000,0000,0000,,妳別拉我啦
Dialogue: Marked=0,0:02:17.77,0:02:18.56,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:02:19.53,0:02:21.33,Default,,0000,0000,0000,,是宇智波佐助嗎...
Dialogue: Marked=0,0:02:25.34,0:02:26.14,Default,,0000,0000,0000,,那個少年...
Dialogue: Marked=0,0:02:26.57,0:02:28.06,Default,,0000,0000,0000,,讓你很在意嗎
Dialogue: Marked=0,0:02:35.65,0:02:37.05,Default,,0000,0000,0000,,小李，該走了
Dialogue: Marked=0,0:02:37.22,0:02:38.15,Default,,0000,0000,0000,,你在幹什麼
Dialogue: Marked=0,0:02:38.65,0:02:40.14,Default,,0000,0000,0000,,你們兩個先走吧
Dialogue: Marked=0,0:02:40.89,0:02:43.22,Default,,0000,0000,0000,,我有一件事想確定一下
Dialogue: Marked=0,0:02:46.09,0:02:46.86,Default,,0000,0000,0000,,什麼事啊
Dialogue: Marked=0,0:02:47.40,0:02:48.45,Default,,0000,0000,0000,,我哪會知道
Dialogue: Marked=0,0:02:54.74,0:02:56.07,Default,,0000,0000,0000,,目露兇光的那位
Dialogue: Marked=0,0:02:56.57,0:02:57.47,Default,,0000,0000,0000,,請你等一下
Dialogue: Marked=0,0:03:09.05,0:03:09.85,Default,,0000,0000,0000,,怎樣?
Dialogue: Marked=0,0:03:10.35,0:03:12.98,Default,,0000,0000,0000,,你願意在這...跟我一決勝負嗎
Dialogue: Marked=0,0:03:14.16,0:03:19.12,Default,,0000,0000,0000,,第22話\N氣勢120%赤手空拳的挑戰
Dialogue: Marked=0,0:03:21.23,0:03:23.16,Default,,0000,0000,0000,,在這裡跟你一決勝負
Dialogue: Marked=0,0:03:23.93,0:03:24.66,Default,,0000,0000,0000,,是的
Dialogue: Marked=0,0:03:31.44,0:03:33.17,Default,,0000,0000,0000,,我的名字叫李洛克
Dialogue: Marked=0,0:03:34.44,0:03:36.00,Default,,0000,0000,0000,,在問別人名字之前
Dialogue: Marked=0,0:03:36.58,0:03:38.57,Default,,0000,0000,0000,,要先自己報上名來對吧
Dialogue: Marked=0,0:03:39.08,0:03:40.57,Default,,0000,0000,0000,,宇智波佐助
Dialogue: Marked=0,0:03:42.08,0:03:43.38,Default,,0000,0000,0000,,你早就知道啦
Dialogue: Marked=0,0:03:45.39,0:03:46.51,Default,,0000,0000,0000,,我想跟你較量一下
Dialogue: Marked=0,0:03:48.89,0:03:51.83,Default,,0000,0000,0000,,我想和被尊為\N天才忍者一族的後代
Dialogue: Marked=0,0:03:52.66,0:03:55.89,Default,,0000,0000,0000,,試試看我的招式\N能發揮到什麼地步
Dialogue: Marked=0,0:03:57.03,0:03:57.59,Default,,0000,0000,0000,,再加上...
Dialogue: Marked=0,0:04:02.90,0:04:03.84,Default,,0000,0000,0000,,小櫻小姐
Dialogue: Marked=0,0:04:04.77,0:04:05.33,Default,,0000,0000,0000,,LOVE
Dialogue: Marked=0,0:04:05.91,0:04:07.47,Default,,0000,0000,0000,,不要~
Dialogue: Marked=0,0:04:07.78,0:04:10.71,Default,,0000,0000,0000,,我討厭那下垂的睫毛!
Dialogue: Marked=0,0:04:11.48,0:04:12.34,Default,,0000,0000,0000,,髮型我也討厭...
Dialogue: Marked=0,0:04:12.71,0:04:14.05,Default,,0000,0000,0000,,眉毛也毛茸茸的
Dialogue: Marked=0,0:04:14.42,0:04:16.85,Default,,0000,0000,0000,,太濃了啦，什麼都濃
Dialogue: Marked=0,0:04:17.29,0:04:18.18,Default,,0000,0000,0000,,天使...
Dialogue: Marked=0,0:04:18.42,0:04:19.48,Default,,0000,0000,0000,,妳是天使啊...
Dialogue: Marked=0,0:04:21.29,0:04:23.55,Default,,0000,0000,0000,,不要
Dialogue: Marked=0,0:04:26.79,0:04:29.70,Default,,0000,0000,0000,,身手真是了得\N但是我也有對策
Dialogue: Marked=0,0:04:47.25,0:04:48.74,Default,,0000,0000,0000,,實在好危險
Dialogue: Marked=0,0:04:49.52,0:04:52.01,Default,,0000,0000,0000,,我說你啊\N不要亂發射那種奇怪的東西啦
Dialogue: Marked=0,0:04:52.45,0:04:54.32,Default,,0000,0000,0000,,害我拼了命地在躲
Dialogue: Marked=0,0:04:56.26,0:04:58.02,Default,,0000,0000,0000,,妳不要排斥成那樣嘛
Dialogue: Marked=0,0:04:59.26,0:05:00.96,Default,,0000,0000,0000,,又是衝著佐助過來的
Dialogue: Marked=0,0:05:01.03,0:05:02.46,Default,,0000,0000,0000,,可惡...
Dialogue: Marked=0,0:05:02.90,0:05:05.73,Default,,0000,0000,0000,,竟然衝著宇智波這個姓\N來向我挑戰
Dialogue: Marked=0,0:05:05.97,0:05:09.27,Default,,0000,0000,0000,,坦白說...你實在是太無知了
Dialogue: Marked=0,0:05:10.24,0:05:12.33,Default,,0000,0000,0000,,這個姓有什麼意義
Dialogue: Marked=0,0:05:12.47,0:05:13.60,Default,,0000,0000,0000,,你知道嗎
Dialogue: Marked=0,0:05:13.91,0:05:14.90,Default,,0000,0000,0000,,濃眉小子
Dialogue: Marked=0,0:05:16.91,0:05:17.54,Default,,0000,0000,0000,,受教了
Dialogue: Marked=0,0:05:18.41,0:05:19.35,Default,,0000,0000,0000,,我真走運
Dialogue: Marked=0,0:05:19.61,0:05:23.24,Default,,0000,0000,0000,,居然這麼快\N就可以跟最強的新人交手
Dialogue: Marked=0,0:05:24.42,0:05:25.91,Default,,0000,0000,0000,,而且我會證明給您看的
Dialogue: Marked=0,0:05:26.49,0:05:27.28,Default,,0000,0000,0000,,阿凱老師
Dialogue: Marked=0,0:05:28.56,0:05:29.28,Default,,0000,0000,0000,,慢著
Dialogue: Marked=0,0:05:39.13,0:05:41.57,Default,,0000,0000,0000,,濃眉小子...讓我來解決
Dialogue: Marked=0,0:05:42.70,0:05:44.43,Default,,0000,0000,0000,,等等，你要幹嘛?
Dialogue: Marked=0,0:05:44.64,0:05:47.44,Default,,0000,0000,0000,,沒什麼\N只要五分鐘就解決了
Dialogue: Marked=0,0:05:48.08,0:05:50.44,Default,,0000,0000,0000,,我想要較量的對象不是你
Dialogue: Marked=0,0:05:51.08,0:05:52.01,Default,,0000,0000,0000,,是宇智波
Dialogue: Marked=0,0:05:53.15,0:05:56.28,Default,,0000,0000,0000,,怎麼每一個人\N都是佐助長佐助短的
Dialogue: Marked=0,0:05:56.32,0:05:58.15,Default,,0000,0000,0000,,吵死人了
Dialogue: Marked=0,0:06:11.60,0:06:13.40,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:06:14.17,0:06:15.53,Default,,0000,0000,0000,,木葉烈風
