[Script Info]
Title: NARUTO -ナルト- 第023話 「蹴散らせライバル！ 新人9人（ルーキーナイン）全員集合」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.64,0:00:09.33,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.88,0:00:21.68,Default,,0000,0000,0000,,被追趕似地趕路
Dialogue: Marked=0,0:00:23.55,0:00:30.05,Default,,0000,0000,0000,,是乾涸的心所驅使的
Dialogue: Marked=0,0:00:31.56,0:00:44.43,Default,,0000,0000,0000,,我們的現在不會為別人\N也不屬於任何人
Dialogue: Marked=0,0:00:46.84,0:00:53.30,Default,,0000,0000,0000,,解放痛苦 解放心胸 解放背影
Dialogue: Marked=0,0:00:54.58,0:01:00.85,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.56,0:01:09.83,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.23,0:01:16.50,Default,,0000,0000,0000,,都是無止境的 On the way
Dialogue: Marked=0,0:01:30.59,0:01:34.32,Default,,0000,0000,0000,,"忍者學校"
Dialogue: Marked=0,0:01:53.17,0:01:54.33,Default,,0000,0000,0000,,這樣啊
Dialogue: Marked=0,0:01:55.04,0:01:56.60,Default,,0000,0000,0000,,小櫻也來啦
Dialogue: Marked=0,0:01:59.01,0:02:00.07,Default,,0000,0000,0000,,中忍考試
Dialogue: Marked=0,0:02:00.58,0:02:03.21,Default,,0000,0000,0000,,這樣你們\N就可以正式參加了
Dialogue: Marked=0,0:02:04.85,0:02:06.05,Default,,0000,0000,0000,,什麼意思啊
Dialogue: Marked=0,0:02:06.42,0:02:10.59,Default,,0000,0000,0000,,實際上，這場考試一開始\N就是必須三個人一組
Dialogue: Marked=0,0:02:10.93,0:02:14.05,Default,,0000,0000,0000,,只有三個人一起來\N才有資格參加考試的
Dialogue: Marked=0,0:02:15.10,0:02:16.09,Default,,0000,0000,0000,,可是老師
Dialogue: Marked=0,0:02:16.33,0:02:17.49,Default,,0000,0000,0000,,你不是說過參不參加考試
Dialogue: Marked=0,0:02:17.57,0:02:19.43,Default,,0000,0000,0000,,是個人的自由嗎
Dialogue: Marked=0,0:02:19.70,0:02:21.43,Default,,0000,0000,0000,,是啊，我說過啊
Dialogue: Marked=0,0:02:22.04,0:02:23.23,Default,,0000,0000,0000,,難道你騙我們?
Dialogue: Marked=0,0:02:24.44,0:02:25.43,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:02:27.58,0:02:29.24,Default,,0000,0000,0000,,如果我照實說的話
Dialogue: Marked=0,0:02:30.21,0:02:31.58,Default,,0000,0000,0000,,佐助跟鳴人
Dialogue: Marked=0,0:02:32.08,0:02:34.21,Default,,0000,0000,0000,,一定會勉強妳過來考試的吧
Dialogue: Marked=0,0:02:36.72,0:02:39.08,Default,,0000,0000,0000,,就算妳沒有參加考試的意願
Dialogue: Marked=0,0:02:39.49,0:02:40.68,Default,,0000,0000,0000,,只要佐助一開口
Dialogue: Marked=0,0:02:41.26,0:02:43.02,Default,,0000,0000,0000,,妳就會心不甘情不願的
Dialogue: Marked=0,0:02:43.06,0:02:44.55,Default,,0000,0000,0000,,過來參加考試
Dialogue: Marked=0,0:02:45.29,0:02:49.09,Default,,0000,0000,0000,,就算是為了佐助\N還有鳴人來應試了
Dialogue: Marked=0,0:02:49.30,0:02:50.29,Default,,0000,0000,0000,,那如果...
Dialogue: Marked=0,0:02:50.63,0:02:54.12,Default,,0000,0000,0000,,只有佐助跟鳴人\N他們兩個到這裡來的話呢
Dialogue: Marked=0,0:02:54.50,0:02:56.23,Default,,0000,0000,0000,,考試就到此為止
Dialogue: Marked=0,0:02:56.97,0:02:59.57,Default,,0000,0000,0000,,更別說是到裡面去了
Dialogue: Marked=0,0:03:00.38,0:03:00.81,Default,,0000,0000,0000,,不過
Dialogue: Marked=0,0:03:01.28,0:03:03.61,Default,,0000,0000,0000,,你們是靠自己的意願過來的
Dialogue: Marked=0,0:03:04.41,0:03:05.04,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:03:06.98,0:03:07.64,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:09.22,0:03:10.62,Default,,0000,0000,0000,,還有佐助
Dialogue: Marked=0,0:03:13.76,0:03:14.98,Default,,0000,0000,0000,,來的好
Dialogue: Marked=0,0:03:15.89,0:03:18.12,Default,,0000,0000,0000,,你們可是我引以為傲的一組
Dialogue: Marked=0,0:03:19.29,0:03:19.82,Default,,0000,0000,0000,,來
Dialogue: Marked=0,0:03:20.26,0:03:21.02,Default,,0000,0000,0000,,進去吧
Dialogue: Marked=0,0:03:21.63,0:03:23.62,Default,,0000,0000,0000,,好!我們走了!
Dialogue: Marked=0,0:03:48.52,0:03:52.12,Default,,0000,0000,0000,,第23話\N踢掉對手九位新人全員到齊
Dialogue: Marked=0,0:03:55.03,0:03:56.66,Default,,0000,0000,0000,,好...好多人
Dialogue: Marked=0,0:03:59.07,0:04:01.19,Default,,0000,0000,0000,,這...這是怎麼回事啊
Dialogue: Marked=0,0:04:07.64,0:04:09.17,Default,,0000,0000,0000,,怎麼會有這麼多人
Dialogue: Marked=0,0:04:09.68,0:04:12.15,Default,,0000,0000,0000,,這些該不會都是考生吧
Dialogue: Marked=0,0:04:18.62,0:04:19.48,Default,,0000,0000,0000,,看起來...
Dialogue: Marked=0,0:04:19.79,0:04:21.98,Default,,0000,0000,0000,,好像都很厲害的樣子
Dialogue: Marked=0,0:04:24.29,0:04:26.85,Default,,0000,0000,0000,,佐助，你好慢哦
Dialogue: Marked=0,0:04:29.23,0:04:30.22,Default,,0000,0000,0000,,人家一想到啊
Dialogue: Marked=0,0:04:30.30,0:04:32.23,Default,,0000,0000,0000,,可以跟這麼久不見的\N佐助見面啊
Dialogue: Marked=0,0:04:32.87,0:04:35.50,Default,,0000,0000,0000,,就好緊張又好興奮的\N在這裡等你耶
Dialogue: Marked=0,0:04:38.07,0:04:40.73,Default,,0000,0000,0000,,給我離佐助遠一點!豬頭井野
Dialogue: Marked=0,0:04:41.74,0:04:42.94,Default,,0000,0000,0000,,這不是小櫻嗎
Dialogue: Marked=0,0:04:43.08,0:04:44.87,Default,,0000,0000,0000,,妳還是老樣子少根筋耶
Dialogue: Marked=0,0:04:44.95,0:04:46.00,Default,,0000,0000,0000,,好遜哦
Dialogue: Marked=0,0:04:46.15,0:04:47.74,Default,,0000,0000,0000,,妳說什麼
