[Script Info]
Title: NARUTO -ナルト- 第024話 「いきなり失格？超難関の第一試験」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:08.77,0:00:09.53,Default,,0000,0000,0000,,Come On
Dialogue: Marked=0,0:00:15.94,0:00:21.68,Default,,0000,0000,0000,,被追趕似地趕路
Dialogue: Marked=0,0:00:23.59,0:00:30.18,Default,,0000,0000,0000,,是乾涸的心所驅使的
Dialogue: Marked=0,0:00:31.76,0:00:44.63,Default,,0000,0000,0000,,我們的現在不會為別人\N也不屬於任何人
Dialogue: Marked=0,0:00:47.01,0:00:53.17,Default,,0000,0000,0000,,解放痛苦 解放心胸 解放背影
Dialogue: Marked=0,0:00:54.68,0:01:01.05,Default,,0000,0000,0000,,喘息著向前衝 衝破黑暗
Dialogue: Marked=0,0:01:02.69,0:01:09.65,Default,,0000,0000,0000,,戰鬥與彼此相愛
Dialogue: Marked=0,0:01:10.40,0:01:16.83,Default,,0000,0000,0000,,都是無止境的 On the way
Dialogue: Marked=0,0:01:33.35,0:01:34.55,Default,,0000,0000,0000,,讓你們久等了
Dialogue: Marked=0,0:01:34.76,0:01:38.69,Default,,0000,0000,0000,,我是中忍選拔\N第一場考試的主考官
Dialogue: Marked=0,0:01:39.46,0:01:41.43,Default,,0000,0000,0000,,森乃伊比喜
Dialogue: Marked=0,0:01:46.47,0:01:47.73,Default,,0000,0000,0000,,音忍者村的下忍
Dialogue: Marked=0,0:01:48.97,0:01:51.56,Default,,0000,0000,0000,,你們最好不要\N給我在考試前亂來啊
Dialogue: Marked=0,0:01:52.27,0:01:54.14,Default,,0000,0000,0000,,想要馬上被取消資格嗎
Dialogue: Marked=0,0:01:56.21,0:01:57.18,Default,,0000,0000,0000,,對不起
Dialogue: Marked=0,0:01:57.25,0:02:00.48,Default,,0000,0000,0000,,因為這是我第一次來應試\N才會這麼興奮的
Dialogue: Marked=0,0:02:00.75,0:02:02.01,Default,,0000,0000,0000,,不知不覺就...
Dialogue: Marked=0,0:02:04.32,0:02:06.69,Default,,0000,0000,0000,,趁這個機會把話說清楚
Dialogue: Marked=0,0:02:07.16,0:02:10.75,Default,,0000,0000,0000,,不准在沒有得到考官的\N允許下進行戰鬥
Dialogue: Marked=0,0:02:11.36,0:02:13.16,Default,,0000,0000,0000,,就算是獲得許可
Dialogue: Marked=0,0:02:13.39,0:02:16.66,Default,,0000,0000,0000,,也不准有將對手\N置於死地的行為
Dialogue: Marked=0,0:02:17.27,0:02:19.83,Default,,0000,0000,0000,,哪一個膽敢忤逆本大爺的廢物
Dialogue: Marked=0,0:02:19.97,0:02:22.63,Default,,0000,0000,0000,,馬上喪失應考權，聽到了吧
Dialogue: Marked=0,0:02:26.64,0:02:28.37,Default,,0000,0000,0000,,這場考試
Dialogue: Marked=0,0:02:28.71,0:02:29.77,Default,,0000,0000,0000,,未免也太容易了吧
Dialogue: Marked=0,0:02:32.28,0:02:33.47,Default,,0000,0000,0000,,那麼現在
Dialogue: Marked=0,0:02:33.62,0:02:36.41,Default,,0000,0000,0000,,就開始\N中忍選拔的第一場考試
Dialogue: Marked=0,0:02:36.99,0:02:38.58,Default,,0000,0000,0000,,繳交申請書之後
Dialogue: Marked=0,0:02:38.79,0:02:41.22,Default,,0000,0000,0000,,再領取你們的號碼牌
Dialogue: Marked=0,0:02:41.36,0:02:43.69,Default,,0000,0000,0000,,照號碼坐在指定的位置上
Dialogue: Marked=0,0:02:44.23,0:02:45.12,Default,,0000,0000,0000,,接下來
Dialogue: Marked=0,0:02:45.16,0:02:47.19,Default,,0000,0000,0000,,會發下筆試用的卷子
Dialogue: Marked=0,0:02:47.36,0:02:48.56,Default,,0000,0000,0000,,筆試?
Dialogue: Marked=0,0:02:48.93,0:02:49.99,Default,,0000,0000,0000,,卷子?
Dialogue: Marked=0,0:02:50.83,0:02:52.13,Default,,0000,0000,0000,,卷子...
Dialogue: Marked=0,0:02:55.67,0:02:59.13,Default,,0000,0000,0000,,要寫考卷!
Dialogue: Marked=0,0:03:00.71,0:03:04.67,Default,,0000,0000,0000,,馬上開始淘汰\N超難的第一場考試
Dialogue: Marked=0,0:03:16.66,0:03:19.39,Default,,0000,0000,0000,,大家的位置都被分開了啦...
Dialogue: Marked=0,0:03:19.89,0:03:22.02,Default,,0000,0000,0000,,我該怎麼辦啊
Dialogue: Marked=0,0:03:23.53,0:03:25.33,Default,,0000,0000,0000,,他開始在消沉了
Dialogue: Marked=0,0:03:25.63,0:03:28.10,Default,,0000,0000,0000,,這對鳴人來說\N是最慘不過的考試了
Dialogue: Marked=0,0:03:30.21,0:03:31.04,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:33.24,0:03:34.71,Default,,0000,0000,0000,,妳不是雛田嗎
Dialogue: Marked=0,0:03:34.84,0:03:36.14,Default,,0000,0000,0000,,不知不覺中
Dialogue: Marked=0,0:03:37.78,0:03:39.71,Default,,0000,0000,0000,,我...我們兩個
Dialogue: Marked=0,0:03:39.75,0:03:41.54,Default,,0000,0000,0000,,都...都要加油哦
Dialogue: Marked=0,0:03:41.95,0:03:43.25,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:03:44.55,0:03:46.54,Default,,0000,0000,0000,,我完全沒有注意到...
Dialogue: Marked=0,0:03:46.99,0:03:49.72,Default,,0000,0000,0000,,雛田的存在感實在是太薄弱了
Dialogue: Marked=0,0:03:51.16,0:03:52.96,Default,,0000,0000,0000,,在這第一場考試裡面
Dialogue: Marked=0,0:03:53.49,0:03:56.29,Default,,0000,0000,0000,,有好幾項非常重要的規定
Dialogue: Marked=0,0:03:57.30,0:03:59.43,Default,,0000,0000,0000,,我可是不接受任何發問的
Dialogue: Marked=0,0:03:59.73,0:04:01.96,Default,,0000,0000,0000,,你們給我聽清楚了
Dialogue: Marked=0,0:04:02.64,0:04:03.47,Default,,0000,0000,0000,,規定?
Dialogue: Marked=0,0:04:03.54,0:04:05.56,Default,,0000,0000,0000,,而且還不接受發問
Dialogue: Marked=0,0:04:06.14,0:04:08.13,Default,,0000,0000,0000,,首先是第一條規定
Dialogue: Marked=0,0:04:08.84,0:04:12.87,Default,,0000,0000,0000,,在場的每一個人\N一開始就各有十分的分數
Dialogue: Marked=0,0:04:13.35,0:04:15.34,Default,,0000,0000,0000,,總共有十題的考試題目
Dialogue: Marked=0,0:04:15.52,0:04:17.11,Default,,0000,0000,0000,,每一題一分
Dialogue: Marked=0,0:04:17.42,0:04:18.18,Default,,0000,0000,0000,,還有
Dialogue: Marked=0,0:04:18.32,0:04:20.75,Default,,0000,0000,0000,,這場考試\N是採倒扣的計分方式
Dialogue: Marked=0,0:04:21.32,0:04:22.82,Default,,0000,0000,0000,,每錯一題的話
Dialogue: Marked=0,0:04:22.82,0:04:24.31,Default,,0000,0000,0000,,就會被扣掉一分
Dialogue: Marked=0,0:04:24.76,0:04:26.25,Default,,0000,0000,0000,,答錯三題的話
Dialogue: Marked=0,0:04:26.43,0:04:28.55,Default,,0000,0000,0000,,得分就會變成7分
Dialogue: Marked=0,0:04:28.63,0:04:31.26,Default,,0000,0000,0000,,錯十題的話就是零分
Dialogue: Marked=0,0:04:32.20,0:04:33.69,Default,,0000,0000,0000,,第二條規定
Dialogue: Marked=0,0:04:34.14,0:04:37.94,Default,,0000,0000,0000,,考試成績是以\N各組三人的總分來計分的
Dialogue: Marked=0,0:04:43.78,0:04:45.64,Default,,0000,0000,0000,,請...請等一下
Dialogue: Marked=0,0:04:45.71,0:04:48.65,Default,,0000,0000,0000,,以各組總分計分是什麼意思啊
Dialogue: Marked=0,0:04:48.78,0:04:49.58,Default,,0000,0000,0000,,妳少囉嗦
Dialogue: Marked=0,0:04:49.85,0:04:51.72,Default,,0000,0000,0000,,會這麼做是有原因的
Dialogue: Marked=0,0:04:51.85,0:04:53.34,Default,,0000,0000,0000,,閉上嘴聽我說
Dialogue: Marked=0,0:04:53.66,0:04:54.52,Default,,0000,0000,0000,,原因?
Dialogue: Marked=0,0:04:54.86,0:04:57.52,Default,,0000,0000,0000,,接下來的是最重要的規定
Dialogue: Marked=0,0:04:57.79,0:04:58.59,Default,,0000,0000,0000,,如果在考試中
Dialogue: Marked=0,0:04:58.66,0:05:02.03,Default,,0000,0000,0000,,被監考官認定\N有進行作弊的行為
Dialogue: Marked=0,0:05:02.10,0:05:04.16,Default,,0000,0000,0000,,或者是有嫌疑的時候...
Dialogue: Marked=0,0:05:04.67,0:05:06.73,Default,,0000,0000,0000,,每被發現一次
