[Script Info]
Title: NARUTO -ナルト- 第026話 「絶対必見！死の森直前ルポ！木ノ葉の学級新聞だコレ！[1]」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.63,0:00:08.12,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.30,0:00:12.03,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.27,0:00:16.00,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.51,0:00:19.00,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.25,0:00:22.81,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.08,0:00:27.08,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.46,0:00:37.33,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.60,0:00:45.63,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.48,0:00:59.11,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:00:59.85,0:01:05.38,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.43,0:01:10.96,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.03,0:01:15.44,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:15.44,0:01:19.90,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:32.92,0:01:35.69,Default,,0000,0000,0000,,這...這裡是什麼地方啊
Dialogue: Marked=0,0:01:35.76,0:01:37.69,Default,,0000,0000,0000,,"禁止進入"
Dialogue: Marked=0,0:01:44.97,0:01:47.94,Default,,0000,0000,0000,,這裡就是第二場考試的考場
Dialogue: Marked=0,0:01:48.34,0:01:50.43,Default,,0000,0000,0000,,第44演習場
Dialogue: Marked=0,0:01:51.81,0:01:52.86,Default,,0000,0000,0000,,別名...
Dialogue: Marked=0,0:01:53.71,0:01:54.94,Default,,0000,0000,0000,,死亡森林
Dialogue: Marked=0,0:01:57.21,0:01:59.58,Default,,0000,0000,0000,,死亡...森林
Dialogue: Marked=0,0:02:09.09,0:02:11.96,Default,,0000,0000,0000,,打算...偽裝成岩石是嗎...
Dialogue: Marked=0,0:02:12.69,0:02:14.69,Default,,0000,0000,0000,,而且還是在草地上...
Dialogue: Marked=0,0:02:39.12,0:02:40.71,Default,,0000,0000,0000,,木葉丸
Dialogue: Marked=0,0:02:41.12,0:02:43.68,Default,,0000,0000,0000,,你跑來這種地方要做什麼啊
Dialogue: Marked=0,0:02:44.69,0:02:46.72,Default,,0000,0000,0000,,真不愧是我相中的男人
Dialogue: Marked=0,0:02:47.23,0:02:48.72,Default,,0000,0000,0000,,居然被你發現了
Dialogue: Marked=0,0:02:59.91,0:03:02.38,Default,,0000,0000,0000,,這個火藥的用量太多了
Dialogue: Marked=0,0:03:07.38,0:03:08.58,Default,,0000,0000,0000,,有大人的魅力
Dialogue: Marked=0,0:03:08.95,0:03:11.82,Default,,0000,0000,0000,,女忍者的年長組，小茉莉
Dialogue: Marked=0,0:03:12.22,0:03:14.88,Default,,0000,0000,0000,,最喜歡因式分解的，烏頓
Dialogue: Marked=0,0:03:15.19,0:03:18.89,Default,,0000,0000,0000,,村裡第一的天才忍者木葉丸
Dialogue: Marked=0,0:03:19.33,0:03:20.56,Default,,0000,0000,0000,,3人聯合起來
Dialogue: Marked=0,0:03:21.10,0:03:23.76,Default,,0000,0000,0000,,木葉丸軍團，拜見了!
Dialogue: Marked=0,0:03:25.03,0:03:27.02,Default,,0000,0000,0000,,你們三個是怎樣啊
Dialogue: Marked=0,0:03:27.34,0:03:27.89,Default,,0000,0000,0000,,我說啊
Dialogue: Marked=0,0:03:28.17,0:03:28.93,Default,,0000,0000,0000,,我等一下就要接受
Dialogue: Marked=0,0:03:29.04,0:03:32.40,Default,,0000,0000,0000,,中忍選拔的第二場考試了
Dialogue: Marked=0,0:03:32.94,0:03:35.67,Default,,0000,0000,0000,,我可沒有閒功夫陪你們玩
Dialogue: Marked=0,0:03:35.91,0:03:38.71,Default,,0000,0000,0000,,我們可不是過來這裡玩的
Dialogue: Marked=0,0:03:38.91,0:03:39.44,Default,,0000,0000,0000,,就是啊
Dialogue: Marked=0,0:03:39.75,0:03:42.08,Default,,0000,0000,0000,,我們三個人是過來採訪的
Dialogue: Marked=0,0:03:42.92,0:03:43.75,Default,,0000,0000,0000,,是啊...
Dialogue: Marked=0,0:03:44.92,0:03:45.91,Default,,0000,0000,0000,,採訪?
Dialogue: Marked=0,0:03:45.99,0:03:47.75,Default,,0000,0000,0000,,因為我們三個
Dialogue: Marked=0,0:03:47.79,0:03:49.76,Default,,0000,0000,0000,,在這次學校的學年刊物中
Dialogue: Marked=0,0:03:50.23,0:03:54.29,Default,,0000,0000,0000,,被指派要負責\N中忍選拔的特別報導啊
Dialogue: Marked=0,0:03:54.76,0:03:57.86,Default,,0000,0000,0000,,所以我們就過來\N採訪頭目你們了
Dialogue: Marked=0,0:03:58.30,0:04:00.29,Default,,0000,0000,0000,,拜託，幫我們的忙好嗎
Dialogue: Marked=0,0:04:01.30,0:04:02.29,Default,,0000,0000,0000,,拜託您了...
Dialogue: Marked=0,0:04:03.30,0:04:04.90,Default,,0000,0000,0000,,可是啊...
Dialogue: Marked=0,0:04:05.94,0:04:07.07,Default,,0000,0000,0000,,那邊那幾個
Dialogue: Marked=0,0:04:07.11,0:04:08.08,Default,,0000,0000,0000,,你們在做什麼啊
Dialogue: Marked=0,0:04:10.28,0:04:12.21,Default,,0000,0000,0000,,喔，是木葉丸他說什麼
Dialogue: Marked=0,0:04:12.28,0:04:14.84,Default,,0000,0000,0000,,要做學年刊物的採訪啦
Dialogue: Marked=0,0:04:16.99,0:04:18.04,Default,,0000,0000,0000,,這麼說來
Dialogue: Marked=0,0:04:18.12,0:04:18.74,Default,,0000,0000,0000,,我都忘記火影大人
Dialogue: Marked=0,0:04:18.82,0:04:21.31,Default,,0000,0000,0000,,有特別跟我提過這件事了耶
Dialogue: Marked=0,0:04:23.32,0:04:26.32,Default,,0000,0000,0000,,好，現在開始\N十分鐘的休息時間
Dialogue: Marked=0,0:04:27.06,0:04:29.33,Default,,0000,0000,0000,,被採訪的人就認命一點
Dialogue: Marked=0,0:04:29.50,0:04:31.12,Default,,0000,0000,0000,,乖乖地回答問題
Dialogue: Marked=0,0:04:32.00,0:04:34.06,Default,,0000,0000,0000,,這到底是怎麼回事啊
Dialogue: Marked=0,0:04:34.27,0:04:36.50,Default,,0000,0000,0000,,鳴人大哥，這件事就拜託你囉
Dialogue: Marked=0,0:04:37.01,0:04:38.27,Default,,0000,0000,0000,,我知道了啦
Dialogue: Marked=0,0:04:38.57,0:04:39.27,Default,,0000,0000,0000,,既然如此
Dialogue: Marked=0,0:04:39.57,0:04:42.77,Default,,0000,0000,0000,,我就讓你們\N徹徹底底地知道我的魅力吧
Dialogue: Marked=0,0:04:43.71,0:04:48.77,Default,,0000,0000,0000,,第26話 進入死亡森林前的報導\N木葉的學年刊物
Dialogue: Marked=0,0:04:49.92,0:04:54.79,Default,,0000,0000,0000,,臨之章 人物介紹篇
Dialogue: Marked=0,0:04:57.03,0:04:57.51,Default,,0000,0000,0000,,那就麻煩你
Dialogue: Marked=0,0:04:57.59,0:04:59.79,Default,,0000,0000,0000,,先做個自我介紹囉
Dialogue: Marked=0,0:05:00.09,0:05:01.15,Default,,0000,0000,0000,,OK
Dialogue: Marked=0,0:05:03.53,0:05:06.02,Default,,0000,0000,0000,,我的名字是漩渦鳴人
Dialogue: Marked=0,0:05:06.37,0:05:08.16,Default,,0000,0000,0000,,是木葉忍者村的忍者
Dialogue: Marked=0,0:05:08.44,0:05:09.53,Default,,0000,0000,0000,,興趣是惡作劇
Dialogue: Marked=0,0:05:09.74,0:05:11.30,Default,,0000,0000,0000,,最喜歡吃拉麵
Dialogue: Marked=0,0:05:11.37,0:05:13.24,Default,,0000,0000,0000,,現在雖然才剛當上下忍不久
Dialogue: Marked=0,0:05:13.81,0:05:15.04,Default,,0000,0000,0000,,不過有遠大的抱負
Dialogue: Marked=0,0:05:15.18,0:05:16.73,Default,,0000,0000,0000,,就是成為火影
Dialogue: Marked=0,0:05:17.05,0:05:17.67,Default,,0000,0000,0000,,除此之外
Dialogue: Marked=0,0:05:17.95,0:05:20.24,Default,,0000,0000,0000,,我還要超越歷代的火影
Dialogue: Marked=0,0:05:20.32,0:05:21.87,Default,,0000,0000,0000,,好讓村裡的傢伙們
Dialogue: Marked=0,0:05:22.12,0:05:24.24,Default,,0000,0000,0000,,全部都認同我的存在
Dialogue: Marked=0,0:05:25.39,0:05:26.61,Default,,0000,0000,0000,,雖然在忍者學校裡
Dialogue: Marked=0,0:05:26.69,0:05:28.12,Default,,0000,0000,0000,,大家都說我很沒用
Dialogue: Marked=0,0:05:28.19,0:05:29.55,Default,,0000,0000,0000,,或是吊車尾的
Dialogue: Marked=0,0:05:30.39,0:05:32.62,Default,,0000,0000,0000,,我還是很順利的\N通過了畢業考試
Dialogue: Marked=0,0:05:32.89,0:05:35.45,Default,,0000,0000,0000,,身為卡卡西老師率領的\N第七班的一員
Dialogue: Marked=0,0:05:35.83,0:05:38.96,Default,,0000,0000,0000,,每天都在向\N超困難的任務挑戰呢
Dialogue: Marked=0,0:05:39.07,0:05:40.33,Default,,0000,0000,0000,,目標鎖定
Dialogue: Marked=0,0:05:41.84,0:05:43.57,Default,,0000,0000,0000,,大家注意
Dialogue: Marked=0,0:05:43.57,0:05:45.47,Default,,0000,0000,0000,,隨時可以展開行動
Dialogue: Marked=0,0:05:45.91,0:05:46.97,Default,,0000,0000,0000,,在第七班裡面
Dialogue: Marked=0,0:05:47.28,0:05:49.71,Default,,0000,0000,0000,,除了我之外還有佐助跟小櫻
Dialogue: Marked=0,0:05:50.14,0:05:52.41,Default,,0000,0000,0000,,不過表現好的就只有我一個
Dialogue: Marked=0,0:05:52.48,0:05:55.72,Default,,0000,0000,0000,,可以不用把他們放在心上哦\N我抓到你了
Dialogue: Marked=0,0:05:55.72,0:05:56.84,Default,,0000,0000,0000,,不要說那種廢話
Dialogue: Marked=0,0:05:56.92,0:05:58.41,Default,,0000,0000,0000,,要認真的介紹啦
Dialogue: Marked=0,0:05:59.22,0:06:00.85,Default,,0000,0000,0000,,我知道，我知道啦
Dialogue: Marked=0,0:06:00.92,0:06:02.98,Default,,0000,0000,0000,,確定就是目標沒錯
Dialogue: Marked=0,0:06:04.93,0:06:05.92,Default,,0000,0000,0000,,舉個例子
Dialogue: Marked=0,0:06:06.16,0:06:09.22,Default,,0000,0000,0000,,這小子是叫做宇智波佐助的\N裝模作樣的混蛋
Dialogue: Marked=0,0:06:09.43,0:06:12.59,Default,,0000,0000,0000,,雖然他是有名的\N"宇智波一族"的後代
Dialogue: Marked=0,0:06:13.23,0:06:16.67,Default,,0000,0000,0000,,事實上卻是這麼丟臉的傢伙
Dialogue: Marked=0,0:06:23.18,0:06:24.11,Default,,0000,0000,0000,,我的媽啊
Dialogue: Marked=0,0:06:24.18,0:06:26.44,Default,,0000,0000,0000,,這不是我變身的時候嗎
Dialogue: Marked=0,0:06:26.75,0:06:29.68,Default,,0000,0000,0000,,只要讓大家知道我的忍術
Dialogue: Marked=0,0:06:29.88,0:06:30.94,Default,,0000,0000,0000,,有多厲害就可以了啦
Dialogue: Marked=0,0:06:33.96,0:06:37.32,Default,,0000,0000,0000,,這個是被我迷住的春野櫻
Dialogue: Marked=0,0:06:37.96,0:06:40.53,Default,,0000,0000,0000,,嘴裡說討厭其實是很喜歡的
Dialogue: Marked=0,0:06:40.53,0:06:42.62,Default,,0000,0000,0000,,雖然她一直不願意\N向我表明她的真心
Dialogue: Marked=0,0:06:42.70,0:06:45.33,Default,,0000,0000,0000,,不過害羞的模樣更是可愛\N哥哥
Dialogue: Marked=0,0:06:47.47,0:06:48.90,Default,,0000,0000,0000,,你說那是真的嗎
Dialogue: Marked=0,0:06:48.97,0:06:50.03,Default,,0000,0000,0000,,當然是真的
Dialogue: Marked=0,0:06:50.27,0:06:51.33,Default,,0000,0000,0000,,這都是事實哦
Dialogue: Marked=0,0:06:52.27,0:06:54.47,Default,,0000,0000,0000,,誰被鳴人迷住了啊
Dialogue: Marked=0,0:06:54.54,0:06:55.84,Default,,0000,0000,0000,,搞什麼
Dialogue: Marked=0,0:06:57.48,0:06:59.41,Default,,0000,0000,0000,,看來這果然是騙人的嘛
Dialogue: Marked=0,0:07:01.05,0:07:01.84,Default,,0000,0000,0000,,對不起
Dialogue: Marked=0,0:07:02.48,0:07:03.54,Default,,0000,0000,0000,,先別管這個了
Dialogue: Marked=0,0:07:03.79,0:07:05.22,Default,,0000,0000,0000,,大概就是這種感覺
Dialogue: Marked=0,0:07:05.42,0:07:06.72,Default,,0000,0000,0000,,我們三個人一組
Dialogue: Marked=0,0:07:06.99,0:07:08.48,Default,,0000,0000,0000,,一起執行了各式各樣
Dialogue: Marked=0,0:07:08.56,0:07:09.85,Default,,0000,0000,0000,,超危險的任務哦
Dialogue: Marked=0,0:07:14.93,0:07:16.06,Default,,0000,0000,0000,,我說你啊
Dialogue: Marked=0,0:07:17.87,0:07:18.73,Default,,0000,0000,0000,,歐巴桑
Dialogue: Marked=0,0:07:19.00,0:07:20.80,Default,,0000,0000,0000,,雜草已經全部都拔完囉
Dialogue: Marked=0,0:07:22.94,0:07:24.00,Default,,0000,0000,0000,,怎麼...了嗎?
Dialogue: Marked=0,0:07:24.37,0:07:25.43,Default,,0000,0000,0000,,那些...
Dialogue: Marked=0,0:07:26.01,0:07:27.67,Default,,0000,0000,0000,,不是雜草啊...
Dialogue: Marked=0,0:07:29.51,0:07:31.74,Default,,0000,0000,0000,,是我利用園藝栽培的...
Dialogue: Marked=0,0:07:32.25,0:07:33.74,Default,,0000,0000,0000,,藥草啊!!
Dialogue: Marked=0,0:07:43.76,0:07:45.89,Default,,0000,0000,0000,,來人啊，誰來救偶啊~
Dialogue: Marked=0,0:07:46.03,0:07:51.26,Default,,0000,0000,0000,,自由落體啊~~
Dialogue: Marked=0,0:07:53.84,0:07:55.70,Default,,0000,0000,0000,,你這個超級大白痴...
Dialogue: Marked=0,0:07:55.84,0:07:56.39,Default,,0000,0000,0000,,"陷阱區 禁止進入"
Dialogue: Marked=0,0:07:56.47,0:07:58.41,Default,,0000,0000,0000,,不可以往那邊走啦\N"陷阱區 禁止進入"
Dialogue: Marked=0,0:08:01.34,0:08:02.97,Default,,0000,0000,0000,,拜託你嘛...
Dialogue: Marked=0,0:08:06.28,0:08:07.41,Default,,0000,0000,0000,,那個白痴...
Dialogue: Marked=0,0:08:07.72,0:08:11.34,Default,,0000,0000,0000,,唉~誰叫他硬要帶那種狗
Dialogue: Marked=0,0:08:11.62,0:08:14.21,Default,,0000,0000,0000,,這就是超危險的任務了嗎
Dialogue: Marked=0,0:08:14.62,0:08:17.85,Default,,0000,0000,0000,,怎麼看都像是\N鳴人大哥出糗的樣子嘛
Dialogue: Marked=0,0:08:24.57,0:08:26.73,Default,,0000,0000,0000,,偶而也有這種情形啦
Dialogue: Marked=0,0:08:29.37,0:08:30.93,Default,,0000,0000,0000,,再重來一次
Dialogue: Marked=0,0:08:32.21,0:08:32.93,Default,,0000,0000,0000,,變身
Dialogue: Marked=0,0:08:37.31,0:08:39.94,Default,,0000,0000,0000,,這是我打敗火影爺爺的時候嘛
Dialogue: Marked=0,0:08:43.45,0:08:44.45,Default,,0000,0000,0000,,都是這種場景的話
Dialogue: Marked=0,0:08:44.45,0:08:46.22,Default,,0000,0000,0000,,根本不能當報導嘛
Dialogue: Marked=0,0:08:47.59,0:08:49.22,Default,,0000,0000,0000,,要不然你來做個示範好了
Dialogue: Marked=0,0:08:49.46,0:08:50.29,Default,,0000,0000,0000,,好啊
Dialogue: Marked=0,0:08:50.73,0:08:51.95,Default,,0000,0000,0000,,我的名字叫木葉丸
Dialogue: Marked=0,0:08:52.23,0:08:53.09,Default,,0000,0000,0000,,是忍者村的首領
Dialogue: Marked=0,0:08:53.09,0:08:54.82,Default,,0000,0000,0000,,火影爺爺的孫子
Dialogue: Marked=0,0:08:55.23,0:08:57.23,Default,,0000,0000,0000,,爺爺是木葉忍者村裡
Dialogue: Marked=0,0:08:57.23,0:08:58.46,Default,,0000,0000,0000,,最了不起的人
Dialogue: Marked=0,0:08:58.63,0:09:00.29,Default,,0000,0000,0000,,同時也是第三代火影
Dialogue: Marked=0,0:09:06.31,0:09:07.83,Default,,0000,0000,0000,,繼承火影名號的人
Dialogue: Marked=0,0:09:08.24,0:09:09.73,Default,,0000,0000,0000,,必須是村裡最厲害的忍者
Dialogue: Marked=0,0:09:09.98,0:09:11.60,Default,,0000,0000,0000,,特別是第四代火影
Dialogue: Marked=0,0:09:11.85,0:09:15.25,Default,,0000,0000,0000,,是從妖孤手中\N守住村子的英雄哦
