[Script Info]
Title: NARUTO -ナルト- 第028話 「喰うか喰われるか！ エサになったナルト」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.23,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.37,0:00:12.00,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.37,0:00:16.44,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.54,0:00:19.10,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.25,0:00:22.94,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.18,0:00:27.25,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.72,0:00:37.43,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.57,0:00:47.87,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.62,0:00:59.99,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.26,0:01:05.52,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.73,0:01:10.99,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.03,0:01:13.76,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.80,0:01:20.73,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:32.79,0:01:35.52,Default,,0000,0000,0000,,現在，中忍選拔考試
Dialogue: Marked=0,0:01:35.66,0:01:37.92,Default,,0000,0000,0000,,第二場考試正式開始
