[Script Info]
Title: NARUTO -ナルト- 第029話 「ナルト反撃！ 逃げねーんだってばよ！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.03,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.27,0:00:11.90,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.17,0:00:16.01,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.44,0:00:19.07,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.21,0:00:22.95,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.15,0:00:27.32,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.46,0:00:37.36,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.63,0:00:45.54,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.52,0:00:59.89,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.16,0:01:05.12,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.59,0:01:10.83,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:10.83,0:01:13.74,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.74,0:01:20.33,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:33.69,0:01:35.68,Default,,0000,0000,0000,,如果我們三個\N不小心分散的話
Dialogue: Marked=0,0:01:36.26,0:01:38.42,Default,,0000,0000,0000,,就算看到夥伴也不能相信
Dialogue: Marked=0,0:01:39.86,0:01:40.93,Default,,0000,0000,0000,,敵人很有可能
Dialogue: Marked=0,0:01:40.93,0:01:43.63,Default,,0000,0000,0000,,就像剛才一樣利用變身術接近
Dialogue: Marked=0,0:01:44.53,0:01:46.36,Default,,0000,0000,0000,,那到時候該怎麼辦呢
Dialogue: Marked=0,0:01:47.44,0:01:48.93,Default,,0000,0000,0000,,我們要先決定暗號
Dialogue: Marked=0,0:01:50.17,0:01:51.43,Default,,0000,0000,0000,,暗號
Dialogue: Marked=0,0:01:52.37,0:01:53.70,Default,,0000,0000,0000,,我只說一遍而已
Dialogue: Marked=0,0:01:54.28,0:01:55.44,Default,,0000,0000,0000,,所以你們要仔細聽好
Dialogue: Marked=0,0:01:56.44,0:01:58.17,Default,,0000,0000,0000,,當我問忍歌「忍機」
Dialogue: Marked=0,0:01:58.88,0:01:59.94,Default,,0000,0000,0000,,你們就這樣回答
Dialogue: Marked=0,0:02:01.45,0:02:03.08,Default,,0000,0000,0000,,當大批敵人騷動的時候
Dialogue: Marked=0,0:02:03.08,0:02:03.95,Default,,0000,0000,0000,,就是潛入良機
Dialogue: Marked=0,0:02:04.39,0:02:06.44,Default,,0000,0000,0000,,安靜的地方，無藏身之處
Dialogue: Marked=0,0:02:07.39,0:02:10.52,Default,,0000,0000,0000,,忍者最重要的\N就是要掌握住時機
Dialogue: Marked=0,0:02:10.76,0:02:13.59,Default,,0000,0000,0000,,那就是敵人疲勞與鬆懈的時機
Dialogue: Marked=0,0:02:14.23,0:02:15.06,Default,,0000,0000,0000,,就這樣
Dialogue: Marked=0,0:02:16.26,0:02:17.89,Default,,0000,0000,0000,,好...好大的蛇
Dialogue: Marked=0,0:02:20.74,0:02:22.76,Default,,0000,0000,0000,,尾...尾巴
Dialogue: Marked=0,0:02:28.91,0:02:32.11,Default,,0000,0000,0000,,你們想要\N我們的地之書對吧
Dialogue: Marked=0,0:02:45.63,0:02:48.32,Default,,0000,0000,0000,,好了...可以開始了吧...
Dialogue: Marked=0,0:02:50.80,0:02:52.96,Default,,0000,0000,0000,,卷軸的爭奪之戰
Dialogue: Marked=0,0:02:56.04,0:02:57.56,Default,,0000,0000,0000,,而且是要拼命的
Dialogue: Marked=0,0:03:06.61,0:03:08.95,Default,,0000,0000,0000,,無論如何\N你都不肯把我吐出去的話
Dialogue: Marked=0,0:03:09.98,0:03:12.95,Default,,0000,0000,0000,,就算是為了爭一口氣\N我也要你把我給吐出去
Dialogue: Marked=0,0:03:15.32,0:03:16.85,Default,,0000,0000,0000,,影分身之術!
Dialogue: Marked=0,0:03:23.83,0:03:25.42,Default,,0000,0000,0000,,我動不了...
Dialogue: Marked=0,0:03:29.40,0:03:32.00,Default,,0000,0000,0000,,本來是希望\N你們能夠多陪我玩一下的
Dialogue: Marked=0,0:03:33.78,0:03:34.67,Default,,0000,0000,0000,,真是遺憾
Dialogue: Marked=0,0:03:40.15,0:03:41.34,Default,,0000,0000,0000,,快動啊
Dialogue: Marked=0,0:03:47.39,0:03:50.19,Default,,0000,0000,0000,,居然用疼痛來消除恐懼
Dialogue: Marked=0,0:03:53.26,0:03:56.25,Default,,0000,0000,0000,,他果然不是普通的獵物啊
Dialogue: Marked=0,0:04:05.21,0:04:06.76,Default,,0000,0000,0000,,不要過來
Dialogue: Marked=0,0:04:14.68,0:04:17.38,Default,,0000,0000,0000,,你們不能有絲毫的鬆懈啊
Dialogue: Marked=0,0:04:27.63,0:04:29.32,Default,,0000,0000,0000,,所謂的獵物...
Dialogue: Marked=0,0:04:29.96,0:04:32.90,Default,,0000,0000,0000,,在掠食者面前通常是...
Dialogue: Marked=0,0:04:35.07,0:04:35.84,Default,,0000,0000,0000,,緊張地到處亂竄啊
Dialogue: Marked=0,0:04:35.84,0:04:36.90,Default,,0000,0000,0000,,你知道嗎
Dialogue: Marked=0,0:04:48.98,0:04:50.47,Default,,0000,0000,0000,,不好意思啊，佐助
Dialogue: Marked=0,0:04:57.99,0:04:58.92,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:05:01.60,0:05:02.93,Default,,0000,0000,0000,,我把暗號...
Dialogue: Marked=0,0:05:03.93,0:05:05.73,Default,,0000,0000,0000,,全都忘光了
Dialogue: Marked=0,0:05:06.30,0:05:11.67,Default,,0000,0000,0000,,第29話\N鳴人的反擊 有膽就不要逃
Dialogue: Marked=0,0:05:18.51,0:05:19.81,Default,,0000,0000,0000,,我把暗號...
Dialogue: Marked=0,0:05:21.12,0:05:22.45,Default,,0000,0000,0000,,全都忘光了
Dialogue: Marked=0,0:05:23.69,0:05:25.74,Default,,0000,0000,0000,,好啊，鳴人，帥呆了
Dialogue: Marked=0,0:05:29.82,0:05:30.45,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:05:30.53,0:05:32.89,Default,,0000,0000,0000,,我不管你是不是\N因為想耍帥才來救我
Dialogue: Marked=0,0:05:33.19,0:05:35.13,Default,,0000,0000,0000,,不要亂來，趕快逃吧
Dialogue: Marked=0,0:05:36.20,0:05:38.69,Default,,0000,0000,0000,,我們的程度跟他相差太多了
Dialogue: Marked=0,0:05:38.90,0:05:42.13,Default,,0000,0000,0000,,看來你已經漂亮的\N幹掉那條大蛇了嘛
Dialogue: Marked=0,0:05:42.40,0:05:43.53,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:05:44.84,0:05:45.90,Default,,0000,0000,0000,,這傢伙
Dialogue: Marked=0,0:05:46.27,0:05:49.14,Default,,0000,0000,0000,,怎麼看都長得像蛇一樣
Dialogue: Marked=0,0:05:54.92,0:05:56.14,Default,,0000,0000,0000,,原來
Dialogue: Marked=0,0:05:56.72,0:05:58.78,Default,,0000,0000,0000,,就是這傢伙搞的鬼啊
Dialogue: Marked=0,0:06:04.86,0:06:06.22,Default,,0000,0000,0000,,就算是鳴人來幫忙
Dialogue: Marked=0,0:06:06.56,0:06:08.15,Default,,0000,0000,0000,,情況也不可能會好轉
Dialogue: Marked=0,0:06:09.80,0:06:10.79,Default,,0000,0000,0000,,怎麼辦...
Dialogue: Marked=0,0:06:13.23,0:06:14.50,Default,,0000,0000,0000,,看樣子啊
Dialogue: Marked=0,0:06:14.67,0:06:17.23,Default,,0000,0000,0000,,你這傢伙，好像在欺負弱小啊
Dialogue: Marked=0,0:06:17.37,0:06:19.86,Default,,0000,0000,0000,,既然我漩渦鳴人大人出馬
Dialogue: Marked=0,0:06:20.31,0:06:22.30,Default,,0000,0000,0000,,就等著被我好好教訓一頓吧
Dialogue: Marked=0,0:06:22.44,0:06:23.00,Default,,0000,0000,0000,,糟了
Dialogue: Marked=0,0:06:24.08,0:06:26.07,Default,,0000,0000,0000,,這樣下去，我們3個都完了
Dialogue: Marked=0,0:06:28.08,0:06:28.95,Default,,0000,0000,0000,,怎麼辦
Dialogue: Marked=0,0:06:36.26,0:06:37.25,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:06:46.03,0:06:46.83,Default,,0000,0000,0000,,不行
Dialogue: Marked=0,0:06:48.84,0:06:50.39,Default,,0000,0000,0000,,只有這個辦法了
Dialogue: Marked=0,0:06:54.54,0:06:55.34,Default,,0000,0000,0000,,先等一下
Dialogue: Marked=0,0:07:05.12,0:07:07.35,Default,,0000,0000,0000,,卷軸就給你了
Dialogue: Marked=0,0:07:08.12,0:07:08.85,Default,,0000,0000,0000,,拜託你
Dialogue: Marked=0,0:07:09.92,0:07:11.48,Default,,0000,0000,0000,,帶著卷軸離開吧
Dialogue: Marked=0,0:07:16.80,0:07:19.56,Default,,0000,0000,0000,,佐助，你在搞什麼鬼啊
Dialogue: Marked=0,0:07:19.80,0:07:22.29,Default,,0000,0000,0000,,怎麼可以把卷軸交給敵人啊
Dialogue: Marked=0,0:07:22.80,0:07:24.00,Default,,0000,0000,0000,,你給我閉嘴
Dialogue: Marked=0,0:07:24.51,0:07:25.30,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:07:26.57,0:07:27.80,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:07:28.38,0:07:29.81,Default,,0000,0000,0000,,資質不錯嘛
Dialogue: Marked=0,0:07:32.81,0:07:35.25,Default,,0000,0000,0000,,獵物對掠食者所能期待的
Dialogue: Marked=0,0:07:35.82,0:07:37.25,Default,,0000,0000,0000,,就只有利用其他的獵物
Dialogue: Marked=0,0:07:37.32,0:07:41.31,Default,,0000,0000,0000,,希望掠食者\N能夠放過自己一馬而已
Dialogue: Marked=0,0:07:51.10,0:07:52.09,Default,,0000,0000,0000,,接著吧
Dialogue: Marked=0,0:08:01.34,0:08:03.47,Default,,0000,0000,0000,,王八蛋，你多管什麼閒事啊
Dialogue: Marked=0,0:08:03.85,0:08:05.47,Default,,0000,0000,0000,,你知道現在是什麼情況嗎
Dialogue: Marked=0,0:08:14.86,0:08:17.19,Default,,0000,0000,0000,,王八蛋，你在想什麼啊
Dialogue: Marked=0,0:08:30.81,0:08:31.70,Default,,0000,0000,0000,,我告訴你
Dialogue: Marked=0,0:08:32.34,0:08:34.17,Default,,0000,0000,0000,,我是因為忘記暗號
Dialogue: Marked=0,0:08:34.84,0:08:37.61,Default,,0000,0000,0000,,所以沒有辦法向你做確認
Dialogue: Marked=0,0:08:38.11,0:08:40.98,Default,,0000,0000,0000,,我看你是...冒牌的佐助吧
Dialogue: Marked=0,0:08:41.15,0:08:42.48,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:08:42.52,0:08:44.99,Default,,0000,0000,0000,,你在...你在胡說什麼啊
Dialogue: Marked=0,0:08:45.65,0:08:47.25,Default,,0000,0000,0000,,你這個超級大白痴
Dialogue: Marked=0,0:08:48.12,0:08:49.35,Default,,0000,0000,0000,,我是真的
Dialogue: Marked=0,0:08:51.76,0:08:52.89,Default,,0000,0000,0000,,騙誰啊
Dialogue: Marked=0,0:08:54.63,0:08:59.00,Default,,0000,0000,0000,,像你這樣又笨又膽小的混蛋
Dialogue: Marked=0,0:08:59.90,0:09:00.87,Default,,0000,0000,0000,,絕對...
Dialogue: Marked=0,0:09:01.64,0:09:03.76,Default,,0000,0000,0000,,絕對不是我認識的佐助
Dialogue: Marked=0,0:09:04.77,0:09:07.37,Default,,0000,0000,0000,,我是不知道\N眼前這傢伙到底有多厲害
Dialogue: Marked=0,0:09:07.91,0:09:09.27,Default,,0000,0000,0000,,可是你交出卷軸
Dialogue: Marked=0,0:09:09.68,0:09:12.65,Default,,0000,0000,0000,,就可以保證\N他會放過我們了嗎
Dialogue: Marked=0,0:09:14.28,0:09:17.01,Default,,0000,0000,0000,,只會發抖，搞不清楚狀況的人
Dialogue: Marked=0,0:09:17.29,0:09:18.78,Default,,0000,0000,0000,,我看應該是你才對
Dialogue: Marked=0,0:09:22.06,0:09:23.15,Default,,0000,0000,0000,,鳴人...
Dialogue: Marked=0,0:09:26.79,0:09:28.16,Default,,0000,0000,0000,,你答對了
Dialogue: Marked=0,0:09:31.43,0:09:32.90,Default,,0000,0000,0000,,要卷軸的話...
Dialogue: Marked=0,0:09:36.17,0:09:39.66,Default,,0000,0000,0000,,殺了你們之後\N再搶過來就行了嘛
Dialogue: Marked=0,0:09:43.81,0:09:45.21,Default,,0000,0000,0000,,開什麼玩笑
Dialogue: Marked=0,0:09:45.21,0:09:46.04,Default,,0000,0000,0000,,住手
