[Script Info]
Title: NARUTO -ナルト- 第030話 「蘇れ写輪眼！ 必殺・火遁龍火の術！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.67,0:00:08.10,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.34,0:00:12.10,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.24,0:00:16.18,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.61,0:00:19.10,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.35,0:00:23.01,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.35,0:00:27.25,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.76,0:00:37.36,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:37.63,0:00:46.30,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.82,0:01:00.08,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.39,0:01:05.38,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.79,0:01:10.93,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.17,0:01:13.94,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.94,0:01:20.17,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:46.30,0:01:47.46,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:01:48.74,0:01:51.20,Default,,0000,0000,0000,,鳴人他...\N他的確跟你不一樣
Dialogue: Marked=0,0:01:51.47,0:01:53.70,Default,,0000,0000,0000,,不只糊裡糊塗\N還常常礙手礙腳的
Dialogue: Marked=0,0:01:54.24,0:01:56.71,Default,,0000,0000,0000,,但是他至少不是一個膽小鬼啊
Dialogue: Marked=0,0:01:58.25,0:01:59.04,Default,,0000,0000,0000,,不是嗎
Dialogue: Marked=0,0:02:00.32,0:02:01.30,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:02:14.00,0:02:16.02,Default,,0000,0000,0000,,愚蠢的弟弟啊
Dialogue: Marked=0,0:02:16.83,0:02:18.66,Default,,0000,0000,0000,,如果你想殺我的話
Dialogue: Marked=0,0:02:18.73,0:02:21.36,Default,,0000,0000,0000,,就得永遠的怨恨我
Dialogue: Marked=0,0:02:21.40,0:02:25.17,Default,,0000,0000,0000,,並且醜陋的苟延殘喘活下去
Dialogue: Marked=0,0:02:26.74,0:02:27.57,Default,,0000,0000,0000,,不對...
Dialogue: Marked=0,0:02:30.91,0:02:33.04,Default,,0000,0000,0000,,不斷的逃跑，不斷的逃跑
Dialogue: Marked=0,0:02:33.55,0:02:36.24,Default,,0000,0000,0000,,為了活下去而拼命吧
Dialogue: Marked=0,0:02:36.42,0:02:37.28,Default,,0000,0000,0000,,不對
Dialogue: Marked=0,0:02:41.26,0:02:42.15,Default,,0000,0000,0000,,不對
Dialogue: Marked=0,0:02:46.86,0:02:51.42,Default,,0000,0000,0000,,第30話 甦醒吧!寫輪眼\N必殺!火遁龍火之術
Dialogue: Marked=0,0:02:54.37,0:02:56.74,Default,,0000,0000,0000,,不虧是宇智波一族...
Dialogue: Marked=0,0:02:56.74,0:02:58.80,Default,,0000,0000,0000,,好像開始有幹勁了嘛
Dialogue: Marked=0,0:03:00.41,0:03:04.34,Default,,0000,0000,0000,,就讓我慢慢地\N測試一下你的實力好了
Dialogue: Marked=0,0:03:06.81,0:03:10.08,Default,,0000,0000,0000,,我必須為了殺死哥哥\N而活下去才行
Dialogue: Marked=0,0:03:10.29,0:03:11.81,Default,,0000,0000,0000,,我一直都這樣認為...
Dialogue: Marked=0,0:03:12.79,0:03:16.22,Default,,0000,0000,0000,,可是現在真正愚蠢的人\N看來是我才對啊
Dialogue: Marked=0,0:03:16.49,0:03:17.25,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:17.49,0:03:18.12,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:03:18.36,0:03:20.73,Default,,0000,0000,0000,,沒辦法在這裡\N賭上性命的傢伙
