[Script Info]
Title: NARUTO -ナルト- 第031話 「激まゆプラトニック！ 僕は死ぬまでアナタを守る！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.67,0:00:08.40,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.54,0:00:12.37,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.51,0:00:16.60,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.78,0:00:19.30,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.45,0:00:23.32,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.45,0:00:27.62,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:29.06,0:00:37.80,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.83,0:00:47.00,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.92,0:01:00.25,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.36,0:01:05.85,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:06.09,0:01:11.00,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.20,0:01:13.86,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.94,0:01:20.36,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:37.29,0:01:38.95,Default,,0000,0000,0000,,這種時候你來這裡做什麼
Dialogue: Marked=0,0:01:38.99,0:01:41.39,Default,,0000,0000,0000,,我們可是好久沒有見面了
Dialogue: Marked=0,0:01:41.46,0:01:43.45,Default,,0000,0000,0000,,怎麼對我這麼冷淡啊
Dialogue: Marked=0,0:01:44.83,0:01:48.39,Default,,0000,0000,0000,,你該不會是要來\N暗殺火影大人的吧
Dialogue: Marked=0,0:01:48.47,0:01:50.30,Default,,0000,0000,0000,,哪裡，哪裡
Dialogue: Marked=0,0:01:50.41,0:01:53.17,Default,,0000,0000,0000,,我的部下\N還沒有多到可以那麼做呢
Dialogue: Marked=0,0:01:53.24,0:01:55.21,Default,,0000,0000,0000,,我只是想\N在村裡的優秀人才身上
Dialogue: Marked=0,0:01:55.28,0:01:57.40,Default,,0000,0000,0000,,烙上屬於我的記號而已
Dialogue: Marked=0,0:02:02.82,0:02:07.85,Default,,0000,0000,0000,,我剛才才送了一個人\N跟那個一樣的咒印當禮物呢
Dialogue: Marked=0,0:02:09.36,0:02:11.33,Default,,0000,0000,0000,,有個孩子我很想要
Dialogue: Marked=0,0:02:12.49,0:02:14.39,Default,,0000,0000,0000,,你還是一樣為所欲為嘛
Dialogue: Marked=0,0:02:14.63,0:02:16.69,Default,,0000,0000,0000,,那孩子死定了
Dialogue: Marked=0,0:02:17.13,0:02:18.29,Default,,0000,0000,0000,,的確...
Dialogue: Marked=0,0:02:18.37,0:02:21.34,Default,,0000,0000,0000,,活下來的機率只有十分之一
Dialogue: Marked=0,0:02:21.47,0:02:25.57,Default,,0000,0000,0000,,可是搞不好\N他會跟妳一樣不會死呢
Dialogue: Marked=0,0:02:26.01,0:02:29.00,Default,,0000,0000,0000,,看來你相當中意那孩子啊
Dialogue: Marked=0,0:02:30.08,0:02:31.88,Default,,0000,0000,0000,,妳在嫉妒嗎
Dialogue: Marked=0,0:02:33.85,0:02:38.38,Default,,0000,0000,0000,,看來妳還在恨我\N當初捨棄了妳啊
Dialogue: Marked=0,0:02:41.02,0:02:44.22,Default,,0000,0000,0000,,他跟妳不同\N看來是個優秀的孩子
Dialogue: Marked=0,0:02:44.49,0:02:48.52,Default,,0000,0000,0000,,畢竟他是\N繼承宇智波血統的少年嘛
Dialogue: Marked=0,0:02:50.10,0:02:52.03,Default,,0000,0000,0000,,不但人長得俊美
Dialogue: Marked=0,0:02:52.23,0:02:55.36,Default,,0000,0000,0000,,也很適合當我的繼承人
Dialogue: Marked=0,0:02:55.47,0:02:59.13,Default,,0000,0000,0000,,如果他能夠活下來的話\N就會很有意思了
Dialogue: Marked=0,0:02:59.54,0:03:03.53,Default,,0000,0000,0000,,我希望妳\N不要讓這場考試中斷了
Dialogue: Marked=0,0:03:05.48,0:03:09.01,Default,,0000,0000,0000,,我們的村裡\N也有三個人來應試
Dialogue: Marked=0,0:03:09.08,0:03:11.55,Default,,0000,0000,0000,,就讓我們好好玩玩吧
Dialogue: Marked=0,0:03:13.69,0:03:17.75,Default,,0000,0000,0000,,如果，妳膽敢有任何動作\N妨礙到我的樂趣的話
Dialogue: Marked=0,0:03:18.36,0:03:21.45,Default,,0000,0000,0000,,木葉忍者村的末日也就到了
Dialogue: Marked=0,0:03:39.75,0:03:43.11,Default,,0000,0000,0000,,花了半天的時間\N確保了糧食跟水
Dialogue: Marked=0,0:03:43.45,0:03:46.61,Default,,0000,0000,0000,,現在幾乎\N所有的隊伍都停止行動了
Dialogue: Marked=0,0:03:47.82,0:03:48.95,Default,,0000,0000,0000,,就按照原計劃
Dialogue: Marked=0,0:03:49.06,0:03:50.62,Default,,0000,0000,0000,,把握這個時機
Dialogue: Marked=0,0:03:50.89,0:03:53.62,Default,,0000,0000,0000,,先各自分頭去進行偵察工作
Dialogue: Marked=0,0:03:53.76,0:03:57.06,Default,,0000,0000,0000,,但是\N不管有沒有發現其他隊伍
Dialogue: Marked=0,0:03:57.63,0:03:59.40,Default,,0000,0000,0000,,都要回到這裡
Dialogue: Marked=0,0:04:01.14,0:04:01.97,Default,,0000,0000,0000,,知道嗎
Dialogue: Marked=0,0:04:02.34,0:04:03.27,Default,,0000,0000,0000,,OK
Dialogue: Marked=0,0:04:03.34,0:04:04.27,Default,,0000,0000,0000,,了解
Dialogue: Marked=0,0:04:05.14,0:04:06.07,Default,,0000,0000,0000,,好
Dialogue: Marked=0,0:04:06.27,0:04:07.14,Default,,0000,0000,0000,,解散
Dialogue: Marked=0,0:04:14.15,0:04:18.35,Default,,0000,0000,0000,,第31話 濃眉小子的真情\N到死我都會保護妳
Dialogue: Marked=0,0:05:12.21,0:05:13.47,Default,,0000,0000,0000,,我不可以睡著...
Dialogue: Marked=0,0:05:16.28,0:05:18.91,Default,,0000,0000,0000,,我得保護他們兩個才行...
Dialogue: Marked=0,0:05:30.49,0:05:32.22,Default,,0000,0000,0000,,睡得好飽啊
Dialogue: Marked=0,0:05:32.36,0:05:33.35,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:05:35.66,0:05:36.72,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:05:37.23,0:05:39.56,Default,,0000,0000,0000,,是妳在照顧我們的啊
Dialogue: Marked=0,0:05:39.80,0:05:41.36,Default,,0000,0000,0000,,謝啦，小櫻
Dialogue: Marked=0,0:05:41.50,0:05:43.66,Default,,0000,0000,0000,,多虧妳的照顧，我已經好多了
Dialogue: Marked=0,0:05:45.94,0:05:47.24,Default,,0000,0000,0000,,太好了
Dialogue: Marked=0,0:05:52.01,0:05:54.31,Default,,0000,0000,0000,,所謂的獵物啊
Dialogue: Marked=0,0:05:54.75,0:05:58.52,Default,,0000,0000,0000,,在掠食者的面前
Dialogue: Marked=0,0:05:58.75,0:06:01.24,Default,,0000,0000,0000,,可是隨時繃緊神經\N到處亂竄的
Dialogue: Marked=0,0:06:11.77,0:06:13.10,Default,,0000,0000,0000,,發不出聲音
Dialogue: Marked=0,0:06:25.35,0:06:26.84,Default,,0000,0000,0000,,原來是夢...
Dialogue: Marked=0,0:06:32.92,0:06:34.11,Default,,0000,0000,0000,,已經天亮了
Dialogue: Marked=0,0:06:36.79,0:06:37.78,Default,,0000,0000,0000,,難道是
Dialogue: Marked=0,0:06:52.81,0:06:54.07,Default,,0000,0000,0000,,松鼠...
Dialogue: Marked=0,0:06:54.38,0:06:57.31,Default,,0000,0000,0000,,搞什麼啊，別嚇人嘛
Dialogue: Marked=0,0:07:02.15,0:07:03.64,Default,,0000,0000,0000,,好危險，好危險
Dialogue: Marked=0,0:07:04.45,0:07:05.89,Default,,0000,0000,0000,,被她發現了嗎
Dialogue: Marked=0,0:07:06.32,0:07:08.38,Default,,0000,0000,0000,,那隻松鼠身上有引爆符
Dialogue: Marked=0,0:07:08.66,0:07:10.59,Default,,0000,0000,0000,,不，不是那樣一回事
Dialogue: Marked=0,0:07:11.83,0:07:14.52,Default,,0000,0000,0000,,不是的話，是怎樣啊?
Dialogue: Marked=0,0:07:14.66,0:07:17.46,Default,,0000,0000,0000,,靠近一點大概就能知道了
Dialogue: Marked=0,0:07:18.40,0:07:19.53,Default,,0000,0000,0000,,所以說...
Dialogue: Marked=0,0:07:19.77,0:07:21.83,Default,,0000,0000,0000,,差不多該動手了
Dialogue: Marked=0,0:07:38.99,0:07:42.58,Default,,0000,0000,0000,,如果我能在這20片樹葉
Dialogue: Marked=0,0:07:42.62,0:07:45.35,Default,,0000,0000,0000,,掉到地面之前全部接住的話
Dialogue: Marked=0,0:07:45.59,0:07:48.36,Default,,0000,0000,0000,,小櫻就會喜歡上我
Dialogue: Marked=0,0:07:48.46,0:07:49.59,Default,,0000,0000,0000,,如果...
Dialogue: Marked=0,0:07:49.63,0:07:51.96,Default,,0000,0000,0000,,如果漏掉其中一片的話...
Dialogue: Marked=0,0:07:52.23,0:07:55.46,Default,,0000,0000,0000,,這輩子就只能單戀了，可是...
Dialogue: Marked=0,0:07:55.50,0:07:57.37,Default,,0000,0000,0000,,你的眉毛太濃了
Dialogue: Marked=0,0:07:57.47,0:07:59.10,Default,,0000,0000,0000,,她都這樣說我
Dialogue: Marked=0,0:08:02.11,0:08:03.13,Default,,0000,0000,0000,,1 234 5
Dialogue: Marked=0,0:08:03.28,0:08:03.97,Default,,0000,0000,0000,,6789 10
Dialogue: Marked=0,0:08:04.11,0:08:04.87,Default,,0000,0000,0000,,11 12 13 14
Dialogue: Marked=0,0:08:04.98,0:08:06.97,Default,,0000,0000,0000,,15 16 17 18
Dialogue: Marked=0,0:08:07.75,0:08:10.88,Default,,0000,0000,0000,,19...
Dialogue: Marked=0,0:08:11.39,0:08:12.61,Default,,0000,0000,0000,,還剩一片
Dialogue: Marked=0,0:08:15.89,0:08:16.88,Default,,0000,0000,0000,,那是
Dialogue: Marked=0,0:08:24.67,0:08:25.79,Default,,0000,0000,0000,,趕上了
Dialogue: Marked=0,0:08:27.20,0:08:28.79,Default,,0000,0000,0000,,這叫做引爆符
Dialogue: Marked=0,0:08:28.94,0:08:31.13,Default,,0000,0000,0000,,時間一到就會自動爆炸
Dialogue: Marked=0,0:08:31.94,0:08:34.41,Default,,0000,0000,0000,,是誰做出這麼殘忍的事
