[Script Info]
Title: NARUTO -ナルト- 第032話 「サクラ咲く！ 決意の後ろ姿」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.63,0:00:08.12,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.27,0:00:12.07,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.17,0:00:16.23,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.44,0:00:19.07,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.18,0:00:23.08,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.18,0:00:27.12,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.62,0:00:37.43,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.57,0:00:46.60,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.58,0:00:59.99,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.12,0:01:05.42,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.59,0:01:10.93,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.10,0:01:13.62,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.87,0:01:20.60,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:33.66,0:01:35.85,Default,,0000,0000,0000,,我會讓你知道\N不管再怎麼努力
Dialogue: Marked=0,0:01:35.92,0:01:40.16,Default,,0000,0000,0000,,都無法突破的障礙\N是怎麼一回事
Dialogue: Marked=0,0:01:51.11,0:01:54.37,Default,,0000,0000,0000,,第32話\N櫻花開了 決心的背影
Dialogue: Marked=0,0:02:19.27,0:02:22.46,Default,,0000,0000,0000,,你的招式的確很快
Dialogue: Marked=0,0:02:24.81,0:02:27.27,Default,,0000,0000,0000,,但我們的招式...
Dialogue: Marked=0,0:02:27.34,0:02:30.07,Default,,0000,0000,0000,,是還要更快的音速
Dialogue: Marked=0,0:02:33.41,0:02:34.51,Default,,0000,0000,0000,,小李
Dialogue: Marked=0,0:02:44.99,0:02:46.22,Default,,0000,0000,0000,,我的左耳...
Dialogue: Marked=0,0:02:48.83,0:02:51.73,Default,,0000,0000,0000,,這裡面有點小秘密
Dialogue: Marked=0,0:02:53.07,0:02:54.53,Default,,0000,0000,0000,,就算是想要躲過我的攻擊...
Dialogue: Marked=0,0:02:54.57,0:02:56.30,Default,,0000,0000,0000,,也是沒有用的
Dialogue: Marked=0,0:02:56.44,0:02:58.93,Default,,0000,0000,0000,,現在知道了吧
Dialogue: Marked=0,0:03:00.88,0:03:02.24,Default,,0000,0000,0000,,他到底做了什麼
Dialogue: Marked=0,0:03:06.15,0:03:07.17,Default,,0000,0000,0000,,是聲音
Dialogue: Marked=0,0:03:07.82,0:03:12.51,Default,,0000,0000,0000,,就算躲過了拳頭\N聲音還是會攻擊你
Dialogue: Marked=0,0:03:12.72,0:03:13.69,Default,,0000,0000,0000,,聲音
Dialogue: Marked=0,0:03:15.79,0:03:20.19,Default,,0000,0000,0000,,你們知道所謂的聲音\N是怎麼一回事嗎
Dialogue: Marked=0,0:03:20.86,0:03:22.16,Default,,0000,0000,0000,,振動
Dialogue: Marked=0,0:03:22.53,0:03:24.02,Default,,0000,0000,0000,,答得好
Dialogue: Marked=0,0:03:24.27,0:03:27.86,Default,,0000,0000,0000,,所謂的聽得到聲音\N也就是...
Dialogue: Marked=0,0:03:28.24,0:03:33.80,Default,,0000,0000,0000,,耳朵裡面的鼓膜捕捉到了\N空氣的振動
Dialogue: Marked=0,0:03:34.71,0:03:37.08,Default,,0000,0000,0000,,然後人類的鼓膜
Dialogue: Marked=0,0:03:37.21,0:03:40.34,Default,,0000,0000,0000,,只要聲音的分貝\N超過150就會破裂
Dialogue: Marked=0,0:03:41.58,0:03:47.39,Default,,0000,0000,0000,,如果再對處於深處的\N三半規管給予衝擊的話...
Dialogue: Marked=0,0:03:48.36,0:03:52.09,Default,,0000,0000,0000,,全身就會失去平衡
Dialogue: Marked=0,0:03:56.43,0:04:01.39,Default,,0000,0000,0000,,你的身體暫時沒辦法\N隨心所欲地活動了
Dialogue: Marked=0,0:04:02.64,0:04:06.87,Default,,0000,0000,0000,,像那種過時的體術\N對我們是行不通的啦
Dialogue: Marked=0,0:04:08.74,0:04:11.23,Default,,0000,0000,0000,,雖然過程當中表現得還算不錯
Dialogue: Marked=0,0:04:11.35,0:04:13.75,Default,,0000,0000,0000,,讓我也使出忍術來了
Dialogue: Marked=0,0:04:13.85,0:04:16.18,Default,,0000,0000,0000,,事情可沒你想得那麼簡單
Dialogue: Marked=0,0:04:19.25,0:04:23.19,Default,,0000,0000,0000,,我可以自由操縱\N超音波跟空氣壓
Dialogue: Marked=0,0:04:23.32,0:04:26.42,Default,,0000,0000,0000,,這種力量連岩石都能破壞
Dialogue: Marked=0,0:04:26.93,0:04:28.42,Default,,0000,0000,0000,,表蓮華!
Dialogue: Marked=0,0:04:31.83,0:04:33.70,Default,,0000,0000,0000,,我可以很輕鬆地\N將空氣送進地表裡面
Dialogue: Marked=0,0:04:33.84,0:04:37.07,Default,,0000,0000,0000,,將泥土變成耐震的墊子
Dialogue: Marked=0,0:04:39.14,0:04:42.44,Default,,0000,0000,0000,,跟你那種無聊的招式\N是不一樣的啦
Dialogue: Marked=0,0:04:49.85,0:04:51.34,Default,,0000,0000,0000,,可惡...
Dialogue: Marked=0,0:04:58.29,0:04:59.16,Default,,0000,0000,0000,,小李
Dialogue: Marked=0,0:04:59.39,0:05:01.36,Default,,0000,0000,0000,,可以使用這一招的時機
Dialogue: Marked=0,0:05:01.46,0:05:05.16,Default,,0000,0000,0000,,是只有在\N要保護最重要的人的時候
Dialogue: Marked=0,0:05:05.47,0:05:09.60,Default,,0000,0000,0000,,保護...最重要的人的時候
