[Script Info]
Title: NARUTO -ナルト- 第034話 「赤丸ビックリ！ 我愛羅、驚異の実力」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.57,0:00:08.30,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.37,0:00:12.24,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.34,0:00:16.47,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.61,0:00:19.10,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.25,0:00:23.12,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.25,0:00:27.31,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.72,0:00:37.50,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.70,0:00:46.54,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.72,0:01:00.09,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.26,0:01:05.75,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.86,0:01:11.09,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.17,0:01:13.60,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.77,0:01:20.54,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:40.06,0:01:44.05,Default,,0000,0000,0000,,第34話 受到驚嚇的赤丸\N我愛羅的驚異實力
Dialogue: Marked=0,0:01:56.08,0:01:57.14,Default,,0000,0000,0000,,那傢伙勒?
Dialogue: Marked=0,0:01:57.58,0:02:00.67,Default,,0000,0000,0000,,大家趕快躲起來\N不對，趕快趴下啊
Dialogue: Marked=0,0:02:01.28,0:02:03.61,Default,,0000,0000,0000,,那傢伙在哪裡啊
Dialogue: Marked=0,0:02:04.42,0:02:05.89,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:06.22,0:02:10.21,Default,,0000,0000,0000,,那個笨蛋，總算醒過來了啊
Dialogue: Marked=0,0:02:14.10,0:02:16.66,Default,,0000,0000,0000,,你實在是笨得嚇人啊
Dialogue: Marked=0,0:02:17.17,0:02:20.40,Default,,0000,0000,0000,,看你這樣子，就讓人滿肚子火
Dialogue: Marked=0,0:02:28.21,0:02:29.57,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:02:29.61,0:02:31.01,Default,,0000,0000,0000,,怎麼啦?\N那，那個...
Dialogue: Marked=0,0:02:31.05,0:02:32.21,Default,,0000,0000,0000,,那，那個...
Dialogue: Marked=0,0:02:32.28,0:02:35.01,Default,,0000,0000,0000,,小櫻，妳的頭髮
Dialogue: Marked=0,0:02:36.45,0:02:37.42,Default,,0000,0000,0000,,這...這個啊
Dialogue: Marked=0,0:02:38.99,0:02:42.45,Default,,0000,0000,0000,,改變形象啦，改變形象
Dialogue: Marked=0,0:02:45.69,0:02:48.39,Default,,0000,0000,0000,,雖然我比較喜歡留長頭髮
Dialogue: Marked=0,0:02:48.46,0:02:52.92,Default,,0000,0000,0000,,不過要在這樣的森林活動的話\N長髮就不方便囉
Dialogue: Marked=0,0:02:55.77,0:02:57.00,Default,,0000,0000,0000,,話說回來
Dialogue: Marked=0,0:02:57.27,0:03:00.57,Default,,0000,0000,0000,,為什麼你們幾個會在這裡啊?
Dialogue: Marked=0,0:03:02.41,0:03:05.61,Default,,0000,0000,0000,,要向你解釋是很麻煩的
Dialogue: Marked=0,0:03:05.95,0:03:08.42,Default,,0000,0000,0000,,是他們救了我們的喔
Dialogue: Marked=0,0:03:10.95,0:03:13.61,Default,,0000,0000,0000,,小櫻那傢伙還在逞強
Dialogue: Marked=0,0:03:16.02,0:03:18.12,Default,,0000,0000,0000,,接下來就交給我吧
Dialogue: Marked=0,0:03:20.83,0:03:24.13,Default,,0000,0000,0000,,給我振作一點啊!小李
Dialogue: Marked=0,0:03:28.07,0:03:31.13,Default,,0000,0000,0000,,天天...妳怎麼會在這裡啊
Dialogue: Marked=0,0:03:31.24,0:03:33.07,Default,,0000,0000,0000,,我是來救你的啦
Dialogue: Marked=0,0:03:34.94,0:03:36.71,Default,,0000,0000,0000,,那幾個音忍呢?
Dialogue: Marked=0,0:03:36.84,0:03:39.68,Default,,0000,0000,0000,,佐助把他們都趕跑了
Dialogue: Marked=0,0:03:40.78,0:03:42.48,Default,,0000,0000,0000,,這樣啊...
Dialogue: Marked=0,0:03:43.05,0:03:45.99,Default,,0000,0000,0000,,你怎麼提早單獨行動嘛
Dialogue: Marked=0,0:03:46.12,0:03:48.11,Default,,0000,0000,0000,,而且還被打成這樣
Dialogue: Marked=0,0:03:49.06,0:03:51.62,Default,,0000,0000,0000,,因...因為小櫻有危險
Dialogue: Marked=0,0:03:51.99,0:03:53.79,Default,,0000,0000,0000,,我身為男人...
Dialogue: Marked=0,0:03:54.50,0:03:55.69,Default,,0000,0000,0000,,真是的
Dialogue: Marked=0,0:03:55.86,0:03:59.63,Default,,0000,0000,0000,,如果是小李一個人的話\N絕對不會輸給他們的
Dialogue: Marked=0,0:03:59.87,0:04:02.50,Default,,0000,0000,0000,,你真的有夠傻耶
Dialogue: Marked=0,0:04:04.24,0:04:06.57,Default,,0000,0000,0000,,我無言以對...
Dialogue: Marked=0,0:04:06.81,0:04:09.71,Default,,0000,0000,0000,,你就是那個濃眉小子嘛
Dialogue: Marked=0,0:04:10.21,0:04:11.51,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:04:11.65,0:04:15.45,Default,,0000,0000,0000,,不准你對小李這麼沒有禮貌
Dialogue: Marked=0,0:04:17.82,0:04:22.31,Default,,0000,0000,0000,,到底...我睡著的時候\N發生什麼事了
Dialogue: Marked=0,0:04:23.39,0:04:27.02,Default,,0000,0000,0000,,鳴人那傢伙\N完全搞不清楚狀況
Dialogue: Marked=0,0:04:27.10,0:04:31.76,Default,,0000,0000,0000,,他一定是那種\N永遠沒辦法當上故事主角的人
Dialogue: Marked=0,0:04:34.77,0:04:35.67,Default,,0000,0000,0000,,小李...
Dialogue: Marked=0,0:04:37.17,0:04:38.33,Default,,0000,0000,0000,,謝謝你
Dialogue: Marked=0,0:04:39.77,0:04:41.77,Default,,0000,0000,0000,,多虧了你，我才清醒過來
Dialogue: Marked=0,0:04:41.84,0:04:43.33,Default,,0000,0000,0000,,讓我覺醒過來了
Dialogue: Marked=0,0:04:43.61,0:04:45.98,Default,,0000,0000,0000,,我覺得自己好像變強了一點點
Dialogue: Marked=0,0:04:50.62,0:04:51.98,Default,,0000,0000,0000,,小櫻...
Dialogue: Marked=0,0:04:52.92,0:04:57.86,Default,,0000,0000,0000,,看樣子\N我的努力好像還是不夠
Dialogue: Marked=0,0:04:58.36,0:04:59.49,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:05:01.06,0:05:03.29,Default,,0000,0000,0000,,不愧是宇智波一族
Dialogue: Marked=0,0:05:03.43,0:05:08.63,Default,,0000,0000,0000,,能把那幾個音忍給趕走\N你果然是很有實力的人
Dialogue: Marked=0,0:05:09.00,0:05:11.49,Default,,0000,0000,0000,,我只能被他們打得狼狽不堪
Dialogue: Marked=0,0:05:11.57,0:05:12.80,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:05:12.94,0:05:15.31,Default,,0000,0000,0000,,這傢伙被他們打得狼狽不堪?
Dialogue: Marked=0,0:05:15.88,0:05:17.44,Default,,0000,0000,0000,,這是怎麼回事
Dialogue: Marked=0,0:05:17.58,0:05:20.57,Default,,0000,0000,0000,,那幾個傢伙有那麼厲害嗎
Dialogue: Marked=0,0:05:21.52,0:05:22.64,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:05:23.22,0:05:26.08,Default,,0000,0000,0000,,木葉的蓮華會再次綻放的
Dialogue: Marked=0,0:05:27.02,0:05:28.58,Default,,0000,0000,0000,,下次見面的時候
Dialogue: Marked=0,0:05:28.66,0:05:31.39,Default,,0000,0000,0000,,我會成為更強的男人
Dialogue: Marked=0,0:05:32.09,0:05:33.15,Default,,0000,0000,0000,,我發誓
Dialogue: Marked=0,0:05:39.40,0:05:40.96,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:05:41.10,0:05:42.54,Default,,0000,0000,0000,,這裡這裡
Dialogue: Marked=0,0:05:42.74,0:05:45.10,Default,,0000,0000,0000,,我幫妳整理頭髮吧
Dialogue: Marked=0,0:05:46.97,0:05:48.74,Default,,0000,0000,0000,,那就拜託妳了
Dialogue: Marked=0,0:05:54.18,0:05:56.67,Default,,0000,0000,0000,,好樣的，妳這個禿額頭\N真的是太卑鄙了
Dialogue: Marked=0,0:05:56.85,0:05:59.55,Default,,0000,0000,0000,,居然敢那樣抱佐助
Dialogue: Marked=0,0:05:59.62,0:06:02.35,Default,,0000,0000,0000,,妳沒聽過所謂先下手為強嗎
Dialogue: Marked=0,0:06:02.49,0:06:04.36,Default,,0000,0000,0000,,小豬井野
Dialogue: Marked=0,0:06:10.20,0:06:13.00,Default,,0000,0000,0000,,宇智波...佐助
Dialogue: Marked=0,0:06:17.71,0:06:21.07,Default,,0000,0000,0000,,姑且...算是個強敵
Dialogue: Marked=0,0:06:23.78,0:06:26.01,Default,,0000,0000,0000,,你還好吧，赤丸
Dialogue: Marked=0,0:06:28.22,0:06:30.01,Default,,0000,0000,0000,,到現在還在怕嗎
Dialogue: Marked=0,0:06:30.52,0:06:32.51,Default,,0000,0000,0000,,都已經過了半天了
Dialogue: Marked=0,0:06:33.52,0:06:34.65,Default,,0000,0000,0000,,赤丸
Dialogue: Marked=0,0:06:35.22,0:06:36.66,Default,,0000,0000,0000,,這也難怪
Dialogue: Marked=0,0:06:36.79,0:06:39.73,Default,,0000,0000,0000,,畢竟牠看到那種東西了...
Dialogue: Marked=0,0:06:43.23,0:06:45.67,Default,,0000,0000,0000,,生存遊戲就是該在這兒嘛
Dialogue: Marked=0,0:06:45.67,0:06:47.16,Default,,0000,0000,0000,,對吧?赤丸
Dialogue: Marked=0,0:06:48.97,0:06:50.67,Default,,0000,0000,0000,,掉進陷阱裡面的那個傢伙
Dialogue: Marked=0,0:06:50.74,0:06:53.30,Default,,0000,0000,0000,,剛好有我們要的地之書
Dialogue: Marked=0,0:06:53.47,0:06:56.24,Default,,0000,0000,0000,,這下我們一定是\N第一名到達高塔的啦
Dialogue: Marked=0,0:06:56.98,0:06:58.61,Default,,0000,0000,0000,,你太得意忘形了...
Dialogue: Marked=0,0:06:59.18,0:07:00.74,Default,,0000,0000,0000,,這是很危險的
Dialogue: Marked=0,0:07:01.25,0:07:02.98,Default,,0000,0000,0000,,不管是多小的蟲子
Dialogue: Marked=0,0:07:03.12,0:07:05.24,Default,,0000,0000,0000,,為了保護自己不受外敵侵犯
Dialogue: Marked=0,0:07:05.69,0:07:08.62,Default,,0000,0000,0000,,都會很小心的避開敵人
Dialogue: Marked=0,0:07:09.12,0:07:10.49,Default,,0000,0000,0000,,這樣才安全
Dialogue: Marked=0,0:07:10.63,0:07:12.25,Default,,0000,0000,0000,,這些我都知道啦
Dialogue: Marked=0,0:07:12.43,0:07:16.56,Default,,0000,0000,0000,,你這個昆蟲痴，還是老樣子\N給我盡說些難懂的話
Dialogue: Marked=0,0:07:18.83,0:07:19.77,Default,,0000,0000,0000,,不...不過...
Dialogue: Marked=0,0:07:19.93,0:07:23.20,Default,,0000,0000,0000,,我覺得志乃說的話\N也有一點道理...
Dialogue: Marked=0,0:07:23.70,0:07:26.07,Default,,0000,0000,0000,,我知道了啦，真是的
Dialogue: Marked=0,0:07:26.84,0:07:30.14,Default,,0000,0000,0000,,鳴人...希望你沒事才好
Dialogue: Marked=0,0:07:32.65,0:07:34.34,Default,,0000,0000,0000,,你們兩個快點停下來
Dialogue: Marked=0,0:07:36.45,0:07:39.72,Default,,0000,0000,0000,,是你說，要小心避開敵人的嘛
Dialogue: Marked=0,0:07:40.22,0:07:41.65,Default,,0000,0000,0000,,這樣的話，雛田
Dialogue: Marked=0,0:07:42.09,0:07:45.22,Default,,0000,0000,0000,,妳看得到\N那個方位一公里外的地方嗎
Dialogue: Marked=0,0:07:46.23,0:07:47.46,Default,,0000,0000,0000,,我試試看
Dialogue: Marked=0,0:07:48.23,0:07:49.46,Default,,0000,0000,0000,,白眼!
Dialogue: Marked=0,0:07:54.44,0:07:57.56,Default,,0000,0000,0000,,有...有人在那裡
Dialogue: Marked=0,0:08:00.81,0:08:02.54,Default,,0000,0000,0000,,看來...
Dialogue: Marked=0,0:08:03.28,0:08:04.77,Default,,0000,0000,0000,,有六個人
Dialogue: Marked=0,0:08:04.91,0:08:07.18,Default,,0000,0000,0000,,好極了!過去看看吧
Dialogue: Marked=0,0:08:08.32,0:08:10.81,Default,,0000,0000,0000,,牙，你在胡說什麼
Dialogue: Marked=0,0:08:10.95,0:08:12.18,Default,,0000,0000,0000,,不能這麼做
Dialogue: Marked=0,0:08:12.29,0:08:16.81,Default,,0000,0000,0000,,主考官只說過\N帶一組天地的卷軸過去就行了
Dialogue: Marked=0,0:08:17.29,0:08:20.23,Default,,0000,0000,0000,,她可沒說不能搶更多的卷軸
Dialogue: Marked=0,0:08:20.70,0:08:23.56,Default,,0000,0000,0000,,只要我們能多拿幾卷的話
Dialogue: Marked=0,0:08:23.70,0:08:27.10,Default,,0000,0000,0000,,其他的小組\N自然就會被淘汰了
Dialogue: Marked=0,0:08:28.04,0:08:29.33,Default,,0000,0000,0000,,可...可是
Dialogue: Marked=0,0:08:29.47,0:08:31.34,Default,,0000,0000,0000,,只是先看一下情況而已
Dialogue: Marked=0,0:08:31.47,0:08:34.34,Default,,0000,0000,0000,,如果情況不妙的話\N我也不會勉強出手的
Dialogue: Marked=0,0:08:34.48,0:08:35.67,Default,,0000,0000,0000,,我們走吧
Dialogue: Marked=0,0:08:36.84,0:08:39.75,Default,,0000,0000,0000,,真令人討厭的傢伙...
Dialogue: Marked=0,0:08:47.62,0:08:49.49,Default,,0000,0000,0000,,怎麼啦?赤丸
Dialogue: Marked=0,0:08:50.12,0:08:52.85,Default,,0000,0000,0000,,怎...怎麼了嗎?\N怎麼突然停下來了
Dialogue: Marked=0,0:08:55.86,0:08:58.35,Default,,0000,0000,0000,,赤丸突然害怕起來了
Dialogue: Marked=0,0:08:58.50,0:08:59.76,Default,,0000,0000,0000,,為...為什麼呢
Dialogue: Marked=0,0:08:59.90,0:09:04.86,Default,,0000,0000,0000,,赤丸能藉由嗅出敵人的查克拉\N了解敵人的強弱程度
Dialogue: Marked=0,0:09:05.07,0:09:08.37,Default,,0000,0000,0000,,可是\N我第一次看牠害怕成這樣子
Dialogue: Marked=0,0:09:08.61,0:09:10.77,Default,,0000,0000,0000,,看來在前面交手的傢伙
Dialogue: Marked=0,0:09:11.11,0:09:13.01,Default,,0000,0000,0000,,不是等閒之輩
Dialogue: Marked=0,0:09:17.29,0:09:22.02,Default,,0000,0000,0000,,砂忍村的小鬼\N竟然敢主動向我們挑釁
Dialogue: Marked=0,0:09:22.39,0:09:24.02,Default,,0000,0000,0000,,太愚蠢了
Dialogue: Marked=0,0:09:34.54,0:09:35.73,Default,,0000,0000,0000,,那個小不點
