[Script Info]
Title: NARUTO -ナルト- 第036話 「分身対決！ オレが主役だってばよ！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.13,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.47,0:00:12.10,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.34,0:00:16.24,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.61,0:00:19.21,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.45,0:00:23.14,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.32,0:00:27.35,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.66,0:00:37.26,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.67,0:00:46.51,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.62,0:00:59.95,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.36,0:01:05.29,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.86,0:01:11.13,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.37,0:01:13.70,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.97,0:01:20.20,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:34.19,0:01:35.99,Default,,0000,0000,0000,,我不行了...
Dialogue: Marked=0,0:01:37.06,0:01:38.08,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:01:39.06,0:01:40.89,Default,,0000,0000,0000,,我們到底走多遠了啊...
Dialogue: Marked=0,0:01:41.50,0:01:43.96,Default,,0000,0000,0000,,怎麼好像\N完全沒有接近塔一樣
Dialogue: Marked=0,0:01:45.53,0:01:47.47,Default,,0000,0000,0000,,明明就在眼前了說
Dialogue: Marked=0,0:01:47.90,0:01:49.13,Default,,0000,0000,0000,,真奇怪
Dialogue: Marked=0,0:01:49.90,0:01:50.89,Default,,0000,0000,0000,,的確
Dialogue: Marked=0,0:01:51.11,0:01:52.97,Default,,0000,0000,0000,,看樣子我們已經...
Dialogue: Marked=0,0:01:53.51,0:01:55.98,Default,,0000,0000,0000,,受到非常熱烈的歡迎了
Dialogue: Marked=0,0:01:56.18,0:01:56.97,Default,,0000,0000,0000,,你們看
Dialogue: Marked=0,0:01:57.21,0:01:58.51,Default,,0000,0000,0000,,那個地方
Dialogue: Marked=0,0:02:01.25,0:02:02.72,Default,,0000,0000,0000,,那個...難道是
Dialogue: Marked=0,0:02:06.25,0:02:08.55,Default,,0000,0000,0000,,這到底是怎麼回事啊
Dialogue: Marked=0,0:02:09.02,0:02:09.92,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:02:10.46,0:02:11.62,Default,,0000,0000,0000,,是幻術吧
Dialogue: Marked=0,0:02:11.96,0:02:13.19,Default,,0000,0000,0000,,應該沒錯...
Dialogue: Marked=0,0:02:14.10,0:02:15.62,Default,,0000,0000,0000,,我們完全中計了
Dialogue: Marked=0,0:02:16.46,0:02:19.13,Default,,0000,0000,0000,,看來我們\N剛剛只不過是很小心地
Dialogue: Marked=0,0:02:19.60,0:02:22.43,Default,,0000,0000,0000,,一直在同一個地方打轉而已
Dialogue: Marked=0,0:02:23.64,0:02:25.20,Default,,0000,0000,0000,,我們被監視了
Dialogue: Marked=0,0:02:25.64,0:02:26.70,Default,,0000,0000,0000,,大概...
Dialogue: Marked=0,0:02:27.18,0:02:29.04,Default,,0000,0000,0000,,敵人打算消耗我們的體力
Dialogue: Marked=0,0:02:29.21,0:02:31.61,Default,,0000,0000,0000,,等我們精疲力盡之後\N再進行偷襲吧
Dialogue: Marked=0,0:02:32.05,0:02:34.41,Default,,0000,0000,0000,,這樣的話\N他們已經達到目的了
Dialogue: Marked=0,0:02:35.08,0:02:35.85,Default,,0000,0000,0000,,那麼...
Dialogue: Marked=0,0:02:36.82,0:02:38.31,Default,,0000,0000,0000,,差不多也該現身了吧
Dialogue: Marked=0,0:03:17.59,0:03:18.62,Default,,0000,0000,0000,,終於出場了
Dialogue: Marked=0,0:03:19.49,0:03:21.69,Default,,0000,0000,0000,,只是恰恰好的不利條件啦
Dialogue: Marked=0,0:03:23.63,0:03:28.13,Default,,0000,0000,0000,,第36話\N分身對決，我才是主角
Dialogue: Marked=0,0:03:34.24,0:03:35.50,Default,,0000,0000,0000,,這是什麼啊
Dialogue: Marked=0,0:03:36.74,0:03:38.08,Default,,0000,0000,0000,,人數挺多的
Dialogue: Marked=0,0:03:39.01,0:03:40.38,Default,,0000,0000,0000,,而且還是分身
Dialogue: Marked=0,0:03:43.02,0:03:44.81,Default,,0000,0000,0000,,簡直是甕中捉鱉嘛
Dialogue: Marked=0,0:03:48.09,0:03:50.39,Default,,0000,0000,0000,,少囉唆啦!
Dialogue: Marked=0,0:03:57.33,0:03:58.26,Default,,0000,0000,0000,,什麼嘛
Dialogue: Marked=0,0:03:58.47,0:04:00.33,Default,,0000,0000,0000,,原來這麼弱啊
Dialogue: Marked=0,0:04:01.47,0:04:03.46,Default,,0000,0000,0000,,幹得好，鳴人
Dialogue: Marked=0,0:04:21.99,0:04:24.05,Default,,0000,0000,0000,,這些傢伙到底是何方神聖
Dialogue: Marked=0,0:04:35.00,0:04:37.77,Default,,0000,0000,0000,,怎...怎麼搞的啊
Dialogue: Marked=0,0:04:44.28,0:04:46.27,Default,,0000,0000,0000,,我要看穿你們
Dialogue: Marked=0,0:04:46.38,0:04:47.31,Default,,0000,0000,0000,,寫輪眼!
Dialogue: Marked=0,0:04:53.29,0:04:53.95,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:05:10.41,0:05:11.30,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:05:21.05,0:05:21.85,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:05:28.32,0:05:30.31,Default,,0000,0000,0000,,這...到底是怎麼回事
