[Script Info]
Title: NARUTO -ナルト- 第038話 「合格者二分の一！？ イキナリ試合だってばよ！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.57,0:00:08.06,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.34,0:00:12.07,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.34,0:00:16.24,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.51,0:00:19.11,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.31,0:00:23.01,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.25,0:00:27.52,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.69,0:00:37.36,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.70,0:00:46.30,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.72,0:00:59.98,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.32,0:01:05.28,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.79,0:01:10.96,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.27,0:01:13.83,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:14.04,0:01:20.10,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:33.86,0:01:39.79,Default,,0000,0000,0000,,藉由絕命的戰鬥\N來維持平衡狀態的習慣
Dialogue: Marked=0,0:01:39.89,0:01:42.12,Default,,0000,0000,0000,,那才是忍者世界\N所謂的友好
Dialogue: Marked=0,0:01:42.16,0:01:43.19,Default,,0000,0000,0000,,這是賭上自己的夢想
Dialogue: Marked=0,0:01:43.30,0:01:47.60,Default,,0000,0000,0000,,與忍者村威信的\N一場絕命戰鬥
Dialogue: Marked=0,0:01:49.40,0:01:51.13,Default,,0000,0000,0000,,我可以認同
Dialogue: Marked=0,0:01:51.64,0:01:53.00,Default,,0000,0000,0000,,隨你怎麼說都好
Dialogue: Marked=0,0:01:53.17,0:01:56.20,Default,,0000,0000,0000,,你現在就趕快把\N那什麼賭命的考試內容
Dialogue: Marked=0,0:01:56.58,0:01:58.60,Default,,0000,0000,0000,,說來聽聽吧
Dialogue: Marked=0,0:01:59.41,0:02:04.62,Default,,0000,0000,0000,,雖然我現在就想\N為大家說明第三場的考試
Dialogue: Marked=0,0:02:04.62,0:02:05.85,Default,,0000,0000,0000,,但其實呢...
Dialogue: Marked=0,0:02:08.26,0:02:11.09,Default,,0000,0000,0000,,接下來就交給\N我這個擔任裁判的...
Dialogue: Marked=0,0:02:11.76,0:02:13.62,Default,,0000,0000,0000,,月光疾風處理吧
Dialogue: Marked=0,0:02:14.00,0:02:15.55,Default,,0000,0000,0000,,就交給你吧
Dialogue: Marked=0,0:02:16.76,0:02:19.46,Default,,0000,0000,0000,,在各位進行第三場考試前
Dialogue: Marked=0,0:02:21.20,0:02:23.60,Default,,0000,0000,0000,,要請各位先做一件事
Dialogue: Marked=0,0:02:30.21,0:02:32.24,Default,,0000,0000,0000,,那就是參加正式選拔資格的
Dialogue: Marked=0,0:02:32.28,0:02:34.98,Default,,0000,0000,0000,,第三場考試的預選了
Dialogue: Marked=0,0:02:37.42,0:02:38.48,Default,,0000,0000,0000,,預選
Dialogue: Marked=0,0:02:38.65,0:02:39.71,Default,,0000,0000,0000,,還要預選
Dialogue: Marked=0,0:02:39.99,0:02:41.22,Default,,0000,0000,0000,,這是什麼意思啊
