[Script Info]
Title: NARUTO -ナルト- 第039話 「ゲジまゆジェラシー！ 『獅子連弾』誕生！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.00,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.34,0:00:12.00,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.27,0:00:16.14,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.51,0:00:19.07,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.35,0:00:22.94,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.22,0:00:27.09,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.66,0:00:37.22,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.60,0:00:46.34,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.62,0:00:59.88,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.26,0:01:05.28,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.69,0:01:10.89,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.17,0:01:13.57,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.87,0:01:19.81,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:31.82,0:01:32.75,Default,,0000,0000,0000,,發作的頻率
Dialogue: Marked=0,0:01:32.95,0:01:34.72,Default,,0000,0000,0000,,居然越來越頻繁了
Dialogue: Marked=0,0:01:35.12,0:01:35.85,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:01:36.83,0:01:38.95,Default,,0000,0000,0000,,你最好退出這場預選
Dialogue: Marked=0,0:01:41.83,0:01:44.36,Default,,0000,0000,0000,,因為\N你被那個大蛇丸打傷之後
Dialogue: Marked=0,0:01:44.73,0:01:46.32,Default,,0000,0000,0000,,就一直很奇怪了
Dialogue: Marked=0,0:01:47.17,0:01:48.86,Default,,0000,0000,0000,,"赤胴鎧對宇智波佐助"
Dialogue: Marked=0,0:01:49.84,0:01:51.33,Default,,0000,0000,0000,,這麼快就要上場啦
Dialogue: Marked=0,0:01:55.24,0:01:56.87,Default,,0000,0000,0000,,真是求之不得
Dialogue: Marked=0,0:01:57.85,0:01:59.84,Default,,0000,0000,0000,,第一回合的對戰者
Dialogue: Marked=0,0:02:00.42,0:02:03.98,Default,,0000,0000,0000,,就是赤胴鎧\N跟宇智波佐助了
Dialogue: Marked=0,0:02:04.52,0:02:06.18,Default,,0000,0000,0000,,你們沒有異議吧
Dialogue: Marked=0,0:02:07.19,0:02:08.31,Default,,0000,0000,0000,,是\N沒有
Dialogue: Marked=0,0:02:10.09,0:02:11.62,Default,,0000,0000,0000,,疼痛還沒消退
Dialogue: Marked=0,0:02:13.43,0:02:15.62,Default,,0000,0000,0000,,咒印好像很痛的樣子嘛
Dialogue: Marked=0,0:02:17.17,0:02:18.46,Default,,0000,0000,0000,,別用寫輪眼
Dialogue: Marked=0,0:02:20.97,0:02:22.37,Default,,0000,0000,0000,,你知道了呀
Dialogue: Marked=0,0:02:23.34,0:02:25.40,Default,,0000,0000,0000,,脖子上的咒印如果失控的話
Dialogue: Marked=0,0:02:26.14,0:02:27.84,Default,,0000,0000,0000,,會要你的命的
Dialogue: Marked=0,0:02:29.88,0:02:30.87,Default,,0000,0000,0000,,或許吧
Dialogue: Marked=0,0:02:31.95,0:02:35.01,Default,,0000,0000,0000,,到那個時候比賽會中止
Dialogue: Marked=0,0:02:35.65,0:02:38.28,Default,,0000,0000,0000,,我會阻止你的，請多指教了
Dialogue: Marked=0,0:02:39.62,0:02:40.78,Default,,0000,0000,0000,,中止?
Dialogue: Marked=0,0:02:43.79,0:02:45.26,Default,,0000,0000,0000,,看樣子這個咒印
Dialogue: Marked=0,0:02:45.69,0:02:47.89,Default,,0000,0000,0000,,會對我的查克拉產生反應
Dialogue: Marked=0,0:02:48.86,0:02:49.99,Default,,0000,0000,0000,,這就表示
Dialogue: Marked=0,0:02:50.80,0:02:52.29,Default,,0000,0000,0000,,這場比賽別說是寫輪眼了
Dialogue: Marked=0,0:02:52.50,0:02:53.99,Default,,0000,0000,0000,,甚至連普通的忍術
Dialogue: Marked=0,0:02:54.14,0:02:55.69,Default,,0000,0000,0000,,都沒有辦法任意使用
Dialogue: Marked=0,0:02:58.84,0:03:01.27,Default,,0000,0000,0000,,可是鎧的能力對你來說
Dialogue: Marked=0,0:03:01.58,0:03:06.54,Default,,0000,0000,0000,,是最可怕的剋星呢，佐助
Dialogue: Marked=0,0:03:07.28,0:03:09.72,Default,,0000,0000,0000,,那麼請開始吧
Dialogue: Marked=0,0:03:25.87,0:03:28.80,Default,,0000,0000,0000,,你把我的查克拉給...
Dialogue: Marked=0,0:03:30.81,0:03:32.50,Default,,0000,0000,0000,,到現在才發現嗎
Dialogue: Marked=0,0:03:40.11,0:03:43.68,Default,,0000,0000,0000,,第39話 濃眉小子吃醋了\N獅子連彈誕生
Dialogue: Marked=0,0:04:08.24,0:04:10.73,Default,,0000,0000,0000,,你把我的查克拉給...
Dialogue: Marked=0,0:04:13.35,0:04:14.91,Default,,0000,0000,0000,,到現在才發現嗎
Dialogue: Marked=0,0:04:21.96,0:04:22.68,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:04:22.89,0:04:24.82,Default,,0000,0000,0000,,鎧的特殊能力就是
