[Script Info]
Title: NARUTO -ナルト- 第040話 「一触即発！！カカシVS大蛇丸」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.63,0:00:08.19,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.34,0:00:12.14,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.27,0:00:16.27,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.51,0:00:19.14,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.28,0:00:23.11,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.25,0:00:27.48,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.72,0:00:37.63,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.60,0:00:49.10,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.68,0:01:00.09,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.22,0:01:05.42,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.66,0:01:10.93,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.10,0:01:13.73,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.90,0:01:20.93,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:39.69,0:01:41.39,Default,,0000,0000,0000,,封邪法印
Dialogue: Marked=0,0:02:00.38,0:02:03.65,Default,,0000,0000,0000,,真不像你\N居然累成這個樣子
Dialogue: Marked=0,0:02:03.85,0:02:07.41,Default,,0000,0000,0000,,真沒想到\N你已經會用封印術了
Dialogue: Marked=0,0:02:09.36,0:02:12.82,Default,,0000,0000,0000,,你進步了呢，卡卡西
