[Script Info]
Title: NARUTO -ナルト- 第041話 「ライバル激突！オトメ心は本気モード」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.16,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.30,0:00:12.00,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.17,0:00:16.20,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.34,0:00:19.11,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.21,0:00:22.98,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.18,0:00:27.12,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.52,0:00:37.76,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.63,0:00:46.80,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.55,0:00:59.99,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.29,0:01:05.28,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.49,0:01:10.99,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.10,0:01:14.00,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:14.07,0:01:20.84,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:34.29,0:01:37.05,Default,,0000,0000,0000,,我也會馬上就做了結的
Dialogue: Marked=0,0:01:38.09,0:01:39.82,Default,,0000,0000,0000,,我不會讓你出招的
Dialogue: Marked=0,0:01:40.20,0:01:41.53,Default,,0000,0000,0000,,先下手為強
Dialogue: Marked=0,0:01:56.61,0:01:58.27,Default,,0000,0000,0000,,真是厲害耶
Dialogue: Marked=0,0:01:58.65,0:02:00.88,Default,,0000,0000,0000,,那傢伙的身體是怎麼了
Dialogue: Marked=0,0:02:01.32,0:02:03.68,Default,,0000,0000,0000,,我拆開我身上所有的關節
Dialogue: Marked=0,0:02:03.79,0:02:07.85,Default,,0000,0000,0000,,然後再用查克拉\N來操縱這具柔軟的身體
Dialogue: Marked=0,0:02:08.86,0:02:10.22,Default,,0000,0000,0000,,用查克拉...
Dialogue: Marked=0,0:02:13.43,0:02:17.36,Default,,0000,0000,0000,,所以我可以纏住你\N一直到你的骨頭斷掉
Dialogue: Marked=0,0:02:17.73,0:02:19.13,Default,,0000,0000,0000,,如果你不放棄的話
Dialogue: Marked=0,0:02:19.23,0:02:21.50,Default,,0000,0000,0000,,我會越纏越緊的哦
Dialogue: Marked=0,0:02:22.20,0:02:24.87,Default,,0000,0000,0000,,我不知道\N你用的是哪種忍者道具
Dialogue: Marked=0,0:02:25.44,0:02:28.31,Default,,0000,0000,0000,,不過身體\N被這樣纏住你就施展不開了
Dialogue: Marked=0,0:02:28.64,0:02:31.81,Default,,0000,0000,0000,,我也可以\N直接把你的脖子扭斷
Dialogue: Marked=0,0:02:33.21,0:02:35.05,Default,,0000,0000,0000,,你還是趕快棄權吧
Dialogue: Marked=0,0:02:36.68,0:02:37.91,Default,,0000,0000,0000,,我不要
Dialogue: Marked=0,0:02:38.05,0:02:39.75,Default,,0000,0000,0000,,你不想活了嗎
Dialogue: Marked=0,0:02:40.92,0:02:44.69,Default,,0000,0000,0000,,傻瓜，會死的人是你
Dialogue: Marked=0,0:02:56.54,0:02:59.13,Default,,0000,0000,0000,,他的脖子被扭斷了
