[Script Info]
Title: NARUTO -ナルト- 第042話 「ベストバトルはしゃーんなろー！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.60,0:00:08.09,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.30,0:00:12.00,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.21,0:00:16.01,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.38,0:00:19.11,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.21,0:00:23.01,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.22,0:00:27.42,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.42,0:00:37.70,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.63,0:00:48.87,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.48,0:00:59.89,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.16,0:01:05.32,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.39,0:01:10.83,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.07,0:01:13.63,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.67,0:01:20.40,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:30.69,0:01:32.68,Default,,0000,0000,0000,,"春野櫻對山中井野"
Dialogue: Marked=0,0:01:34.22,0:01:35.95,Default,,0000,0000,0000,,到了這個地步
Dialogue: Marked=0,0:01:37.89,0:01:40.66,Default,,0000,0000,0000,,我也不打算\N再跟妳一起搶佐助了
Dialogue: Marked=0,0:01:41.63,0:01:42.60,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:01:42.70,0:01:45.60,Default,,0000,0000,0000,,妳知道妳現在\N到底在跟誰說話嗎
Dialogue: Marked=0,0:01:46.37,0:01:47.60,Default,,0000,0000,0000,,妳別太囂張了
Dialogue: Marked=0,0:01:47.70,0:01:49.20,Default,,0000,0000,0000,,愛哭鬼小櫻
Dialogue: Marked=0,0:01:49.20,0:01:50.33,Default,,0000,0000,0000,,我總覺得
Dialogue: Marked=0,0:01:50.47,0:01:51.23,Default,,0000,0000,0000,,總覺得...
Dialogue: Marked=0,0:01:51.41,0:01:53.77,Default,,0000,0000,0000,,小櫻也說得太過火了
Dialogue: Marked=0,0:01:53.88,0:01:57.14,Default,,0000,0000,0000,,井野的眼神看起來好可怕
Dialogue: Marked=0,0:01:57.28,0:02:00.54,Default,,0000,0000,0000,,嗯...不是這樣子的
Dialogue: Marked=0,0:02:01.62,0:02:04.55,Default,,0000,0000,0000,,小櫻並不是一個\N隨便誇耀自己的力量
Dialogue: Marked=0,0:02:04.65,0:02:07.14,Default,,0000,0000,0000,,來惡意傷害別人的女孩子
Dialogue: Marked=0,0:02:07.99,0:02:09.22,Default,,0000,0000,0000,,她只是不希望自己還有井野
Dialogue: Marked=0,0:02:09.36,0:02:12.22,Default,,0000,0000,0000,,在比賽中對對方手下留情
Dialogue: Marked=0,0:02:31.35,0:02:33.01,Default,,0000,0000,0000,,這次一定...
Dialogue: Marked=0,0:02:34.02,0:02:35.38,Default,,0000,0000,0000,,盡全力...
Dialogue: Marked=0,0:02:37.39,0:02:39.51,Default,,0000,0000,0000,,堂堂正正的...
Dialogue: Marked=0,0:02:40.26,0:02:41.88,Default,,0000,0000,0000,,決勝負...
Dialogue: Marked=0,0:02:43.12,0:02:46.18,Default,,0000,0000,0000,,第42話 最佳的戰鬥\N就得這樣才行
Dialogue: Marked=0,0:03:03.91,0:03:05.81,Default,,0000,0000,0000,,不過是普通的分身術嘛
Dialogue: Marked=0,0:03:06.28,0:03:09.05,Default,,0000,0000,0000,,這可不是\N忍者學校的畢業考試呀
Dialogue: Marked=0,0:03:09.35,0:03:11.05,Default,,0000,0000,0000,,妳以為用這種課本教的忍術
Dialogue: Marked=0,0:03:11.19,0:03:13.25,Default,,0000,0000,0000,,就能打敗我了嗎
Dialogue: Marked=0,0:03:14.56,0:03:15.32,Default,,0000,0000,0000,,只要仔細看
Dialogue: Marked=0,0:03:15.42,0:03:17.36,Default,,0000,0000,0000,,就可以馬上看出哪個是真的
Dialogue: Marked=0,0:03:17.46,0:03:19.26,Default,,0000,0000,0000,,一口氣把查克拉集中到腳部
Dialogue: Marked=0,0:03:19.43,0:03:20.16,Default,,0000,0000,0000,,然後
Dialogue: Marked=0,0:03:20.30,0:03:21.46,Default,,0000,0000,0000,,再彈到地面上
Dialogue: Marked=0,0:03:21.60,0:03:22.72,Default,,0000,0000,0000,,好快
Dialogue: Marked=0,0:03:29.27,0:03:31.50,Default,,0000,0000,0000,,還把我當成\N以前那個愛哭鬼小櫻的話
Dialogue: Marked=0,0:03:31.81,0:03:33.30,Default,,0000,0000,0000,,妳會嚐到苦頭的
Dialogue: Marked=0,0:03:34.21,0:03:36.20,Default,,0000,0000,0000,,認真的跟我打吧，井野
Dialogue: Marked=0,0:03:38.98,0:03:41.68,Default,,0000,0000,0000,,聽到妳這麼說我很高興
Dialogue: Marked=0,0:03:42.75,0:03:44.24,Default,,0000,0000,0000,,我就如妳所願
Dialogue: Marked=0,0:03:44.35,0:03:45.84,Default,,0000,0000,0000,,認真的跟妳打吧
Dialogue: Marked=0,0:03:52.56,0:03:54.55,Default,,0000,0000,0000,,真不愧是小櫻
Dialogue: Marked=0,0:03:54.70,0:03:57.36,Default,,0000,0000,0000,,好厲害，真的好厲害
Dialogue: Marked=0,0:03:57.57,0:03:58.50,Default,,0000,0000,0000,,在新人中
Dialogue: Marked=0,0:03:58.63,0:04:01.69,Default,,0000,0000,0000,,運用查克拉的基本動作\N她算是很厲害的
