[Script Info]
Title: NARUTO -ナルト- 第043話 「シカマルタジタジ！？くの一達の熱き戦い」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.63,0:00:08.03,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.30,0:00:11.97,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.21,0:00:16.30,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.48,0:00:19.21,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.35,0:00:22.84,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.08,0:00:27.04,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.82,0:00:37.63,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.50,0:00:48.90,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.58,0:00:59.61,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:00:59.85,0:01:05.29,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.59,0:01:10.93,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.10,0:01:13.80,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.87,0:01:20.14,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:34.79,0:01:36.81,Default,,0000,0000,0000,,"天天vs手鞠"
Dialogue: Marked=0,0:01:38.26,0:01:39.66,Default,,0000,0000,0000,,第五回合
Dialogue: Marked=0,0:01:40.16,0:01:41.36,Default,,0000,0000,0000,,天天
Dialogue: Marked=0,0:01:41.66,0:01:42.76,Default,,0000,0000,0000,,手鞠
Dialogue: Marked=0,0:01:43.30,0:01:44.36,Default,,0000,0000,0000,,上前!
Dialogue: Marked=0,0:01:50.57,0:01:52.30,Default,,0000,0000,0000,,看了剛才那樣的比賽
Dialogue: Marked=0,0:01:52.47,0:01:54.07,Default,,0000,0000,0000,,我也要加油了
Dialogue: Marked=0,0:01:55.51,0:01:56.64,Default,,0000,0000,0000,,接著是...
Dialogue: Marked=0,0:01:57.01,0:01:58.88,Default,,0000,0000,0000,,砂之國的第二個人啊
Dialogue: Marked=0,0:01:59.18,0:01:59.81,Default,,0000,0000,0000,,加油啊天天
Dialogue: Marked=0,0:01:59.98,0:02:02.07,Default,,0000,0000,0000,,應該會是一場\N很有意思的比賽
Dialogue: Marked=0,0:02:16.70,0:02:17.29,Default,,0000,0000,0000,,開始
Dialogue: Marked=0,0:02:19.47,0:02:24.00,Default,,0000,0000,0000,,第43話 退縮的鹿丸\N女忍者們的熱戰
Dialogue: Marked=0,0:02:30.51,0:02:32.54,Default,,0000,0000,0000,,加油啊!天天
Dialogue: Marked=0,0:02:32.65,0:02:34.71,Default,,0000,0000,0000,,天天，妳要相信自己的力量
Dialogue: Marked=0,0:02:34.82,0:02:37.61,Default,,0000,0000,0000,,天天，我們會支持妳的
Dialogue: Marked=0,0:02:37.72,0:02:40.05,Default,,0000,0000,0000,,用妳的全力來打敗對手
Dialogue: Marked=0,0:02:40.56,0:02:41.39,Default,,0000,0000,0000,,很好哦
Dialogue: Marked=0,0:02:41.56,0:02:44.35,Default,,0000,0000,0000,,再繼續\N再繼續給她熱情的鼓勵吧
Dialogue: Marked=0,0:02:45.09,0:02:45.72,Default,,0000,0000,0000,,加油
Dialogue: Marked=0,0:02:45.79,0:02:46.38,Default,,0000,0000,0000,,天天
Dialogue: Marked=0,0:02:46.56,0:02:48.59,Default,,0000,0000,0000,,加油，加油\N這些傢伙吵死了啦
Dialogue: Marked=0,0:02:48.73,0:02:49.86,Default,,0000,0000,0000,,加油
Dialogue: Marked=0,0:02:56.74,0:03:00.00,Default,,0000,0000,0000,,天天抓的間距還真是了得啊
Dialogue: Marked=0,0:03:00.14,0:03:02.13,Default,,0000,0000,0000,,不會太近也不會太遠
Dialogue: Marked=0,0:03:02.34,0:03:04.14,Default,,0000,0000,0000,,不管進攻或是防守
Dialogue: Marked=0,0:03:04.25,0:03:05.74,Default,,0000,0000,0000,,都可以應付得來
Dialogue: Marked=0,0:03:05.81,0:03:07.54,Default,,0000,0000,0000,,妳們是怎麼了
Dialogue: Marked=0,0:03:07.85,0:03:09.28,Default,,0000,0000,0000,,趕快開始打吧
Dialogue: Marked=0,0:03:13.02,0:03:14.85,Default,,0000,0000,0000,,妳這是想觀察情況嗎
Dialogue: Marked=0,0:03:15.16,0:03:16.25,Default,,0000,0000,0000,,我先把話說清楚
Dialogue: Marked=0,0:03:16.36,0:03:17.88,Default,,0000,0000,0000,,等我開始攻擊之後
Dialogue: Marked=0,0:03:18.03,0:03:19.69,Default,,0000,0000,0000,,妳會在一瞬間被擊敗的
Dialogue: Marked=0,0:03:21.76,0:03:24.73,Default,,0000,0000,0000,,居然裝模作樣的\N想看我怎麼出招
Dialogue: Marked=0,0:03:24.83,0:03:26.73,Default,,0000,0000,0000,,一百年以後再說
Dialogue: Marked=0,0:03:27.27,0:03:29.53,Default,,0000,0000,0000,,我無所謂，妳先動手吧
Dialogue: Marked=0,0:03:29.77,0:03:31.93,Default,,0000,0000,0000,,既然妳這麼說
Dialogue: Marked=0,0:03:32.17,0:03:34.64,Default,,0000,0000,0000,,那...我就不客氣了
Dialogue: Marked=0,0:03:40.72,0:03:41.81,Default,,0000,0000,0000,,沒有打中
Dialogue: Marked=0,0:03:41.88,0:03:43.15,Default,,0000,0000,0000,,這怎麼可能呢
Dialogue: Marked=0,0:03:43.22,0:03:45.52,Default,,0000,0000,0000,,怎麼啦?這只是牛刀小試嗎
Dialogue: Marked=0,0:03:45.65,0:03:49.38,Default,,0000,0000,0000,,或者是妳害怕的\N沒有辦法瞄準攻擊目標了嗎
Dialogue: Marked=0,0:03:50.46,0:03:53.02,Default,,0000,0000,0000,,本來以為會更有意思一點的
Dialogue: Marked=0,0:03:53.33,0:03:56.16,Default,,0000,0000,0000,,看樣子\N好像沒什麼好期待的嘛
Dialogue: Marked=0,0:03:57.47,0:03:58.52,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:03:58.73,0:04:01.17,Default,,0000,0000,0000,,天天的攻擊居然沒有命中
Dialogue: Marked=0,0:04:01.40,0:04:03.10,Default,,0000,0000,0000,,那是不可能的
Dialogue: Marked=0,0:04:03.34,0:04:05.47,Default,,0000,0000,0000,,天天的飛鏢道具是...
Dialogue: Marked=0,0:04:05.97,0:04:07.53,Default,,0000,0000,0000,,百發百中的
Dialogue: Marked=0,0:04:07.68,0:04:09.97,Default,,0000,0000,0000,,不可能會射偏的
Dialogue: Marked=0,0:04:10.11,0:04:11.98,Default,,0000,0000,0000,,你說的沒有錯
Dialogue: Marked=0,0:04:12.11,0:04:13.74,Default,,0000,0000,0000,,不是她射偏了
Dialogue: Marked=0,0:04:13.98,0:04:15.42,Default,,0000,0000,0000,,而是被撥開的
Dialogue: Marked=0,0:04:16.68,0:04:18.24,Default,,0000,0000,0000,,那個傢伙還是老樣子
Dialogue: Marked=0,0:04:18.35,0:04:20.34,Default,,0000,0000,0000,,心地挺善良的嘛
Dialogue: Marked=0,0:04:20.49,0:04:21.82,Default,,0000,0000,0000,,無聊...
Dialogue: Marked=0,0:04:22.56,0:04:24.35,Default,,0000,0000,0000,,真是丟臉喔
Dialogue: Marked=0,0:04:26.19,0:04:27.86,Default,,0000,0000,0000,,又是砂之國贏了
Dialogue: Marked=0,0:04:27.93,0:04:30.33,Default,,0000,0000,0000,,這還不一定吧
Dialogue: Marked=0,0:04:30.63,0:04:32.26,Default,,0000,0000,0000,,看就知道了
Dialogue: Marked=0,0:04:32.43,0:04:35.13,Default,,0000,0000,0000,,為什麼?你怎麼看得出來啊
Dialogue: Marked=0,0:04:35.57,0:04:38.20,Default,,0000,0000,0000,,那你解釋給我聽到底為什麼
Dialogue: Marked=0,0:04:38.51,0:04:39.70,Default,,0000,0000,0000,,傻瓜
Dialogue: Marked=0,0:04:39.84,0:04:42.71,Default,,0000,0000,0000,,那麼麻煩的事情我哪會啊
Dialogue: Marked=0,0:04:43.71,0:04:45.37,Default,,0000,0000,0000,,鹿丸會這麼說的話
Dialogue: Marked=0,0:04:45.51,0:04:47.45,Default,,0000,0000,0000,,那結果一定是這樣
Dialogue: Marked=0,0:04:48.35,0:04:51.79,Default,,0000,0000,0000,,這兩個人\N也是我搞不懂的傢伙
Dialogue: Marked=0,0:04:55.02,0:04:56.22,Default,,0000,0000,0000,,冷靜下來
Dialogue: Marked=0,0:04:57.09,0:04:59.39,Default,,0000,0000,0000,,不要被那傢伙挑撥了
Dialogue: Marked=0,0:05:00.66,0:05:01.72,Default,,0000,0000,0000,,一個
Dialogue: Marked=0,0:05:02.40,0:05:03.59,Default,,0000,0000,0000,,兩個
Dialogue: Marked=0,0:05:04.47,0:05:05.59,Default,,0000,0000,0000,,三個
Dialogue: Marked=0,0:05:07.10,0:05:08.66,Default,,0000,0000,0000,,如果她有辦法躲開
Dialogue: Marked=0,0:05:08.80,0:05:10.60,Default,,0000,0000,0000,,那不要讓她躲就好了
Dialogue: Marked=0,0:05:12.97,0:05:14.91,Default,,0000,0000,0000,,在計算間距嗎
Dialogue: Marked=0,0:05:15.04,0:05:17.24,Default,,0000,0000,0000,,這次是拿手絕活了吧
Dialogue: Marked=0,0:05:18.68,0:05:19.67,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:05:19.75,0:05:21.68,Default,,0000,0000,0000,,那把扇子就是關鍵
Dialogue: Marked=0,0:05:21.82,0:05:23.41,Default,,0000,0000,0000,,既然這樣
Dialogue: Marked=0,0:05:32.33,0:05:34.63,Default,,0000,0000,0000,,看我的厲害
Dialogue: Marked=0,0:05:54.45,0:05:55.51,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:05:55.65,0:05:57.35,Default,,0000,0000,0000,,我的飛鏢居然
Dialogue: Marked=0,0:05:58.09,0:06:00.21,Default,,0000,0000,0000,,那把扇子有機關嗎
Dialogue: Marked=0,0:06:02.29,0:06:04.78,Default,,0000,0000,0000,,這就是第一顆星
Dialogue: Marked=0,0:06:04.96,0:06:06.09,Default,,0000,0000,0000,,還有兩顆星
Dialogue: Marked=0,0:06:07.73,0:06:10.22,Default,,0000,0000,0000,,當妳看見第三顆星的時候
Dialogue: Marked=0,0:06:10.53,0:06:12.16,Default,,0000,0000,0000,,妳就會輸了
Dialogue: Marked=0,0:06:15.97,0:06:17.23,Default,,0000,0000,0000,,天天
Dialogue: Marked=0,0:06:17.37,0:06:19.36,Default,,0000,0000,0000,,不可以被對手給吞噬掉啊
Dialogue: Marked=0,0:06:19.54,0:06:20.97,Default,,0000,0000,0000,,要保持平常心
Dialogue: Marked=0,0:06:21.18,0:06:22.54,Default,,0000,0000,0000,,平常心
Dialogue: Marked=0,0:06:24.05,0:06:25.10,Default,,0000,0000,0000,,這個我也知道
Dialogue: Marked=0,0:06:25.25,0:06:26.30,Default,,0000,0000,0000,,小李
Dialogue: Marked=0,0:06:26.55,0:06:30.48,Default,,0000,0000,0000,,其實我本來打算不是在預選\N而是在真正的戰鬥中才用的
Dialogue: Marked=0,0:06:30.69,0:06:32.62,Default,,0000,0000,0000,,不過，好像沒辦法這樣了
Dialogue: Marked=0,0:06:39.96,0:06:42.05,Default,,0000,0000,0000,,已經，要用那個了嗎
Dialogue: Marked=0,0:06:44.27,0:06:46.32,Default,,0000,0000,0000,,拿出那兩個卷軸
Dialogue: Marked=0,0:06:46.47,0:06:48.77,Default,,0000,0000,0000,,她到底想要幹什麼啊
Dialogue: Marked=0,0:06:56.08,0:06:58.27,Default,,0000,0000,0000,,不管做什麼都沒有用的
Dialogue: Marked=0,0:07:03.65,0:07:06.02,Default,,0000,0000,0000,,雙昇龍
Dialogue: Marked=0,0:07:26.54,0:07:28.60,Default,,0000,0000,0000,,就算增加再多的數量
Dialogue: Marked=0,0:07:28.81,0:07:30.37,Default,,0000,0000,0000,,結果也一樣
Dialogue: Marked=0,0:07:31.11,0:07:32.24,Default,,0000,0000,0000,,第二顆星
Dialogue: Marked=0,0:07:40.52,0:07:42.32,Default,,0000,0000,0000,,還沒有呢
Dialogue: Marked=0,0:08:00.78,0:08:02.14,Default,,0000,0000,0000,,成功了嗎
Dialogue: Marked=0,0:08:17.69,0:08:19.66,Default,,0000,0000,0000,,第三顆星
Dialogue: Marked=0,0:08:24.93,0:08:26.30,Default,,0000,0000,0000,,消失了
Dialogue: Marked=0,0:08:28.67,0:08:29.80,Default,,0000,0000,0000,,在哪裡
Dialogue: Marked=0,0:08:31.44,0:08:32.67,Default,,0000,0000,0000,,在這裡哦
Dialogue: Marked=0,0:08:32.91,0:08:33.81,Default,,0000,0000,0000,,糟了
Dialogue: Marked=0,0:08:50.42,0:08:51.58,Default,,0000,0000,0000,,忍法
Dialogue: Marked=0,0:08:53.69,0:08:55.18,Default,,0000,0000,0000,,鎌鼬
Dialogue: Marked=0,0:08:57.57,0:08:58.46,Default,,0000,0000,0000,,天天
Dialogue: Marked=0,0:09:10.31,0:09:13.08,Default,,0000,0000,0000,,她把查克拉結合在那陣風裡
Dialogue: Marked=0,0:09:14.12,0:09:16.31,Default,,0000,0000,0000,,天天，很努力的戰鬥了
Dialogue: Marked=0,0:09:16.58,0:09:19.31,Default,,0000,0000,0000,,但是卻逃不出
Dialogue: Marked=0,0:09:20.09,0:09:21.35,Default,,0000,0000,0000,,那陣龍捲風...
Dialogue: Marked=0,0:09:29.70,0:09:32.46,Default,,0000,0000,0000,,好...好過份哦
Dialogue: Marked=0,0:09:33.13,0:09:34.33,Default,,0000,0000,0000,,天天
Dialogue: Marked=0,0:09:35.34,0:09:36.96,Default,,0000,0000,0000,,無聊透了
Dialogue: Marked=0,0:09:37.51,0:09:39.00,Default,,0000,0000,0000,,真是
Dialogue: Marked=0,0:09:40.24,0:09:43.87,Default,,0000,0000,0000,,天天的武器攻擊\N完全被封鎖住了
Dialogue: Marked=0,0:09:44.01,0:09:45.74,Default,,0000,0000,0000,,這怎麼可能呢
Dialogue: Marked=0,0:09:45.88,0:09:48.85,Default,,0000,0000,0000,,那傢伙到底是何方神聖
Dialogue: Marked=0,0:09:48.98,0:09:51.38,Default,,0000,0000,0000,,果然就跟鹿丸說的一樣
Dialogue: Marked=0,0:09:51.52,0:09:53.25,Default,,0000,0000,0000,,是砂之國勝了
Dialogue: Marked=0,0:09:53.62,0:09:55.52,Default,,0000,0000,0000,,所以我早就說了嘛
Dialogue: Marked=0,0:09:55.89,0:09:59.26,Default,,0000,0000,0000,,我們是不可能\N在這種地方敗陣下來的
Dialogue: Marked=0,0:10:01.66,0:10:03.25,Default,,0000,0000,0000,,砂之國
Dialogue: Marked=0,0:10:03.40,0:10:05.63,Default,,0000,0000,0000,,還真是恐怖...
Dialogue: Marked=0,0:10:07.77,0:10:10.74,Default,,0000,0000,0000,,第五回合的獲勝者，手鞠
Dialogue: Marked=0,0:10:12.77,0:10:14.00,Default,,0000,0000,0000,,糟糕了
Dialogue: Marked=0,0:10:29.39,0:10:31.05,Default,,0000,0000,0000,,接得好啊
Dialogue: Marked=0,0:10:31.56,0:10:33.15,Default,,0000,0000,0000,,妳這是幹什麼
Dialogue: Marked=0,0:10:33.29,0:10:34.78,Default,,0000,0000,0000,,這是妳對待一個
Dialogue: Marked=0,0:10:34.93,0:10:36.66,Default,,0000,0000,0000,,盡全力戰鬥的對手\N做的事情嗎
Dialogue: Marked=0,0:10:38.17,0:10:39.29,Default,,0000,0000,0000,,你少囉嗦
Dialogue: Marked=0,0:10:39.57,0:10:42.06,Default,,0000,0000,0000,,趕快\N帶著那個廢物離開這裡吧
Dialogue: Marked=0,0:10:42.70,0:10:43.29,Default,,0000,0000,0000,,住手
Dialogue: Marked=0,0:10:43.44,0:10:46.07,Default,,0000,0000,0000,,小李\N木葉旋風
Dialogue: Marked=0,0:10:47.44,0:10:48.43,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:10:48.54,0:10:49.94,Default,,0000,0000,0000,,跟你的外表一樣
Dialogue: Marked=0,0:10:50.21,0:10:52.70,Default,,0000,0000,0000,,你的動作果然也很遲鈍嘛
Dialogue: Marked=0,0:10:52.81,0:10:53.94,Default,,0000,0000,0000,,妳說什麼
Dialogue: Marked=0,0:10:54.72,0:10:56.18,Default,,0000,0000,0000,,住手!小李
Dialogue: Marked=0,0:10:56.72,0:10:58.05,Default,,0000,0000,0000,,阿凱老師
Dialogue: Marked=0,0:10:59.32,0:11:00.55,Default,,0000,0000,0000,,手鞠
Dialogue: Marked=0,0:11:00.82,0:11:02.58,Default,,0000,0000,0000,,趕快上來吧
Dialogue: Marked=0,0:11:02.69,0:11:04.68,Default,,0000,0000,0000,,比賽已經宣佈妳獲勝了
Dialogue: Marked=0,0:11:04.96,0:11:06.95,Default,,0000,0000,0000,,妳就別再浪費時間
Dialogue: Marked=0,0:11:07.09,0:11:10.29,Default,,0000,0000,0000,,去理會那個\N喜歡保護同伴的笨男人了
Dialogue: Marked=0,0:11:10.70,0:11:11.72,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:11:21.24,0:11:23.71,Default,,0000,0000,0000,,已經夠了吧小李
Dialogue: Marked=0,0:11:27.98,0:11:29.71,Default,,0000,0000,0000,,砂之國的諸位
Dialogue: Marked=0,0:11:29.75,0:11:33.58,Default,,0000,0000,0000,,我想給你們一句忠告可以嗎?
Dialogue: Marked=0,0:11:35.36,0:11:37.48,Default,,0000,0000,0000,,他可是很厲害的哦
Dialogue: Marked=0,0:11:37.63,0:11:40.09,Default,,0000,0000,0000,,最好要有心理準備
Dialogue: Marked=0,0:11:42.86,0:11:45.86,Default,,0000,0000,0000,,居然敢對砂之國的傢伙挑釁
Dialogue: Marked=0,0:11:46.47,0:11:47.26,Default,,0000,0000,0000,,如果是我
Dialogue: Marked=0,0:11:47.37,0:11:50.50,Default,,0000,0000,0000,,根本就不會想要跟他們交手
Dialogue: Marked=0,0:11:51.37,0:11:54.00,Default,,0000,0000,0000,,厲害的人好多...
Dialogue: Marked=0,0:11:59.01,0:12:01.50,Default,,0000,0000,0000,,你可別輸給他們那種傢伙了
Dialogue: Marked=0,0:12:01.65,0:12:03.14,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:12:03.25,0:12:04.38,Default,,0000,0000,0000,,小...小櫻
Dialogue: Marked=0,0:12:04.65,0:12:05.52,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:12:06.25,0:12:07.74,Default,,0000,0000,0000,,妳已經沒事了嗎
Dialogue: Marked=0,0:12:07.89,0:12:09.01,Default,,0000,0000,0000,,這個不重要
Dialogue: Marked=0,0:12:09.16,0:12:11.12,Default,,0000,0000,0000,,你應該擔心你自己才對
Dialogue: Marked=0,0:12:12.03,0:12:15.62,Default,,0000,0000,0000,,我...我身上又沒有受傷
Dialogue: Marked=0,0:12:15.86,0:12:17.26,Default,,0000,0000,0000,,不是啦
Dialogue: Marked=0,0:12:17.40,0:12:18.63,Default,,0000,0000,0000,,如果你在這裡輸了的話
Dialogue: Marked=0,0:12:18.80,0:12:20.39,Default,,0000,0000,0000,,就不配當男人了
Dialogue: Marked=0,0:12:20.53,0:12:22.16,Default,,0000,0000,0000,,你也沒有臉去見佐助了
Dialogue: Marked=0,0:12:22.40,0:12:24.37,Default,,0000,0000,0000,,嗯...嗯!
Dialogue: Marked=0,0:12:24.91,0:12:25.89,Default,,0000,0000,0000,,還有
Dialogue: Marked=0,0:12:27.04,0:12:28.77,Default,,0000,0000,0000,,剛才謝謝你
Dialogue: Marked=0,0:12:29.18,0:12:30.77,Default,,0000,0000,0000,,不可以
Dialogue: Marked=0,0:12:31.01,0:12:32.64,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:12:34.55,0:12:36.41,Default,,0000,0000,0000,,我們都已經拼到這裡來了
Dialogue: Marked=0,0:12:36.65,0:12:38.55,Default,,0000,0000,0000,,如果輸給那個\N迷戀佐助的女人
Dialogue: Marked=0,0:12:38.79,0:12:40.55,Default,,0000,0000,0000,,妳就不配當女人了
Dialogue: Marked=0,0:12:41.02,0:12:44.51,Default,,0000,0000,0000,,如果剛才\N沒有你那番聲援我的傻話
Dialogue: Marked=0,0:12:45.66,0:12:48.79,Default,,0000,0000,0000,,我可能\N早就敗在井野的手下了
Dialogue: Marked=0,0:12:49.66,0:12:50.79,Default,,0000,0000,0000,,說的也是
Dialogue: Marked=0,0:12:50.83,0:12:52.39,Default,,0000,0000,0000,,這個傢伙
Dialogue: Marked=0,0:12:56.54,0:12:57.94,Default,,0000,0000,0000,,好啊
Dialogue: Marked=0,0:12:58.07,0:12:59.70,Default,,0000,0000,0000,,快點，快點，趕快輪到我
Dialogue: Marked=0,0:12:59.81,0:13:01.43,Default,,0000,0000,0000,,接下來 接下來會輪到我
Dialogue: Marked=0,0:13:02.21,0:13:04.07,Default,,0000,0000,0000,,"奈良鹿丸對金土"
