[Script Info]
Title: NARUTO -ナルト- 第045話 「ヒナタ赤面！観客あんぐり、ナルトの奥の手」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.73,0:00:08.26,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.44,0:00:12.40,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.51,0:00:16.31,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.61,0:00:19.38,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.55,0:00:23.18,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.39,0:00:27.62,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.82,0:00:37.82,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.97,0:00:49.10,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.72,0:01:00.18,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.39,0:01:05.66,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.83,0:01:11.13,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.23,0:01:13.83,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.97,0:01:20.81,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:35.96,0:01:37.65,Default,,0000,0000,0000,,我...將來...
Dialogue: Marked=0,0:01:38.53,0:01:40.46,Default,,0000,0000,0000,,要成為火影
Dialogue: Marked=0,0:01:41.23,0:01:44.16,Default,,0000,0000,0000,,怎麼可以倒在這裡
Dialogue: Marked=0,0:01:44.70,0:01:46.22,Default,,0000,0000,0000,,你將來要成為火影
Dialogue: Marked=0,0:01:46.37,0:01:48.23,Default,,0000,0000,0000,,你明明就比我還弱嘛
Dialogue: Marked=0,0:01:49.87,0:01:51.53,Default,,0000,0000,0000,,要當火影的話
Dialogue: Marked=0,0:01:51.67,0:01:53.73,Default,,0000,0000,0000,,就由我來替你當吧
Dialogue: Marked=0,0:01:58.11,0:01:59.34,Default,,0000,0000,0000,,變身
Dialogue: Marked=0,0:02:04.55,0:02:05.54,Default,,0000,0000,0000,,這是真的嗎
Dialogue: Marked=0,0:02:05.62,0:02:06.38,Default,,0000,0000,0000,,已經唸了三年
Dialogue: Marked=0,0:02:06.55,0:02:08.92,Default,,0000,0000,0000,,居然連變身術\N都沒辦法使出來
Dialogue: Marked=0,0:02:09.32,0:02:11.72,Default,,0000,0000,0000,,你們大家，等著瞧好了
Dialogue: Marked=0,0:02:11.93,0:02:12.55,Default,,0000,0000,0000,,我將來有一天
Dialogue: Marked=0,0:02:12.69,0:02:16.89,Default,,0000,0000,0000,,一定會成為\N真正的火影給你們看的
Dialogue: Marked=0,0:02:20.24,0:02:23.14,Default,,0000,0000,0000,,遜斃了，當什麼火影嘛
Dialogue: Marked=0,0:02:24.97,0:02:26.07,Default,,0000,0000,0000,,其實你心裡
Dialogue: Marked=0,0:02:26.21,0:02:29.47,Default,,0000,0000,0000,,根本從來都沒有想過\N要成為火影
Dialogue: Marked=0,0:02:29.68,0:02:31.51,Default,,0000,0000,0000,,你就別再逞強了
Dialogue: Marked=0,0:02:32.78,0:02:34.84,Default,,0000,0000,0000,,不是這樣的...牙...
Dialogue: Marked=0,0:02:54.10,0:02:57.73,Default,,0000,0000,0000,,如果你想跟我搶火影的名號
Dialogue: Marked=0,0:02:59.47,0:03:00.94,Default,,0000,0000,0000,,你就會...
Dialogue: Marked=0,0:03:01.28,0:03:03.61,Default,,0000,0000,0000,,變成喪家犬
Dialogue: Marked=0,0:03:05.58,0:03:09.61,Default,,0000,0000,0000,,第45話 雛田臉紅\N觀眾目瞪口呆 鳴人的絕招
Dialogue: Marked=0,0:03:19.26,0:03:20.23,Default,,0000,0000,0000,,真是的
Dialogue: Marked=0,0:03:20.33,0:03:23.06,Default,,0000,0000,0000,,老是說同樣的話你煩不煩啊
Dialogue: Marked=0,0:03:27.27,0:03:29.70,Default,,0000,0000,0000,,算了，既然如此
Dialogue: Marked=0,0:03:30.04,0:03:32.63,Default,,0000,0000,0000,,我就讓你\N再也沒有辦法站起來
Dialogue: Marked=0,0:03:33.07,0:03:34.10,Default,,0000,0000,0000,,赤丸，我們上
Dialogue: Marked=0,0:03:34.81,0:03:37.57,Default,,0000,0000,0000,,老是用同樣的招式
Dialogue: Marked=0,0:03:38.98,0:03:40.04,Default,,0000,0000,0000,,看我的
Dialogue: Marked=0,0:03:48.22,0:03:49.21,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:03.77,0:04:05.17,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:04:08.38,0:04:09.57,Default,,0000,0000,0000,,牙通牙
Dialogue: Marked=0,0:04:15.62,0:04:18.42,Default,,0000,0000,0000,,這種招式...雖然剛才見識過
Dialogue: Marked=0,0:04:18.55,0:04:21.61,Default,,0000,0000,0000,,可是也不是每一次\N都可以躲得掉的
Dialogue: Marked=0,0:04:22.22,0:04:23.28,Default,,0000,0000,0000,,怎麼辦
Dialogue: Marked=0,0:04:25.13,0:04:27.42,Default,,0000,0000,0000,,我現在到底該怎麼辦
Dialogue: Marked=0,0:04:37.37,0:04:39.64,Default,,0000,0000,0000,,你根本就沒有反擊的餘地嘛
Dialogue: Marked=0,0:04:40.14,0:04:41.57,Default,,0000,0000,0000,,怎麼會沒有
Dialogue: Marked=0,0:04:41.81,0:04:43.80,Default,,0000,0000,0000,,就算你多出三，四倍好了
Dialogue: Marked=0,0:04:43.88,0:04:46.01,Default,,0000,0000,0000,,我還是有反擊的餘地
Dialogue: Marked=0,0:04:47.08,0:04:49.24,Default,,0000,0000,0000,,只會靠嘴巴逞強的傢伙
Dialogue: Marked=0,0:04:49.38,0:04:50.75,Default,,0000,0000,0000,,再來就把他解決掉
Dialogue: Marked=0,0:04:50.89,0:04:51.65,Default,,0000,0000,0000,,赤丸
Dialogue: Marked=0,0:05:10.61,0:05:11.97,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:05:12.17,0:05:14.40,Default,,0000,0000,0000,,我得想辦法反擊才行
Dialogue: Marked=0,0:05:17.25,0:05:18.41,Default,,0000,0000,0000,,就算要反擊
Dialogue: Marked=0,0:05:18.55,0:05:20.91,Default,,0000,0000,0000,,對象不是牙就沒有意義了嘛
Dialogue: Marked=0,0:05:21.18,0:05:24.17,Default,,0000,0000,0000,,可是到底是哪一個
Dialogue: Marked=0,0:05:28.42,0:05:30.79,Default,,0000,0000,0000,,你打算怎麼做呢?鳴人
Dialogue: Marked=0,0:05:31.93,0:05:33.19,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:05:38.20,0:05:39.43,Default,,0000,0000,0000,,我知道了
Dialogue: Marked=0,0:05:42.37,0:05:43.43,Default,,0000,0000,0000,,變身
Dialogue: Marked=0,0:05:48.21,0:05:49.51,Default,,0000,0000,0000,,我贏定了
Dialogue: Marked=0,0:05:57.39,0:05:59.29,Default,,0000,0000,0000,,原來如此啊
Dialogue: Marked=0,0:06:00.79,0:06:02.38,Default,,0000,0000,0000,,仔細看清楚吧
Dialogue: Marked=0,0:06:17.24,0:06:18.10,Default,,0000,0000,0000,,不錯嘛
Dialogue: Marked=0,0:06:18.24,0:06:20.54,Default,,0000,0000,0000,,真虧你想得出來耶，鳴人
Dialogue: Marked=0,0:06:21.98,0:06:23.17,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:06:23.75,0:06:25.34,Default,,0000,0000,0000,,變身成牙的話
Dialogue: Marked=0,0:06:25.48,0:06:27.68,Default,,0000,0000,0000,,真正的牙\N就搞不清楚哪一個才是赤丸
Dialogue: Marked=0,0:06:27.75,0:06:29.74,Default,,0000,0000,0000,,哪一個是鳴人
Dialogue: Marked=0,0:06:29.92,0:06:31.98,Default,,0000,0000,0000,,這樣就沒有辦法\N出手攻擊了
Dialogue: Marked=0,0:06:32.62,0:06:35.92,Default,,0000,0000,0000,,可是鳴人要攻擊哪一個
Dialogue: Marked=0,0:06:35.99,0:06:37.48,Default,,0000,0000,0000,,都沒有問題了
Dialogue: Marked=0,0:06:38.99,0:06:41.33,Default,,0000,0000,0000,,他製造出一瞬間的破綻了
Dialogue: Marked=0,0:06:41.63,0:06:42.76,Default,,0000,0000,0000,,好厲害
Dialogue: Marked=0,0:06:42.93,0:06:45.63,Default,,0000,0000,0000,,原來如此，你用這招啊
Dialogue: Marked=0,0:06:45.77,0:06:46.70,Default,,0000,0000,0000,,不過呢
Dialogue: Marked=0,0:06:47.50,0:06:49.70,Default,,0000,0000,0000,,先給你一個忠告
Dialogue: Marked=0,0:06:49.94,0:06:51.13,Default,,0000,0000,0000,,剛才是因為我一時大意
Dialogue: Marked=0,0:06:51.27,0:06:53.43,Default,,0000,0000,0000,,所以才發現得比較晚
Dialogue: Marked=0,0:06:53.64,0:06:56.20,Default,,0000,0000,0000,,你的變身術已經沒用了
Dialogue: Marked=0,0:06:57.51,0:06:59.78,Default,,0000,0000,0000,,知道為什麼嗎
Dialogue: Marked=0,0:07:06.09,0:07:08.02,Default,,0000,0000,0000,,我聞得出來嘛
Dialogue: Marked=0,0:07:09.36,0:07:12.16,Default,,0000,0000,0000,,你可別太小看了\N我們的嗅覺哦
Dialogue: Marked=0,0:07:12.29,0:07:13.52,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:07:16.90,0:07:19.87,Default,,0000,0000,0000,,因為牙\N把查克拉集中在鼻子上
Dialogue: Marked=0,0:07:20.03,0:07:23.03,Default,,0000,0000,0000,,所以他的嗅覺\N比正常人靈敏幾萬倍
Dialogue: Marked=0,0:07:24.04,0:07:25.53,Default,,0000,0000,0000,,當然也可以靠味道
Dialogue: Marked=0,0:07:25.61,0:07:27.80,Default,,0000,0000,0000,,來判別誰是誰了
Dialogue: Marked=0,0:07:28.74,0:07:30.04,Default,,0000,0000,0000,,我贏了
Dialogue: Marked=0,0:07:32.68,0:07:33.98,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:07:38.12,0:07:39.68,Default,,0000,0000,0000,,這是怎麼回事
Dialogue: Marked=0,0:07:39.82,0:07:40.91,Default,,0000,0000,0000,,牙的鼻子怎麼會分辨不出
Dialogue: Marked=0,0:07:40.99,0:07:43.48,Default,,0000,0000,0000,,鳴人和赤丸呢
Dialogue: Marked=0,0:07:48.00,0:07:49.26,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:07:49.40,0:07:51.06,Default,,0000,0000,0000,,這到底是怎麼回事
Dialogue: Marked=0,0:07:54.14,0:07:56.19,Default,,0000,0000,0000,,那你就是鳴人了
Dialogue: Marked=0,0:07:56.34,0:07:57.90,Default,,0000,0000,0000,,跟我開這種玩笑
Dialogue: Marked=0,0:08:02.64,0:08:03.63,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:08:11.52,0:08:14.22,Default,,0000,0000,0000,,只有喜歡惡作劇的小鬼\N才想得出來的
