[Script Info]
Title: NARUTO -ナルト- 第046話 「白眼開眼！！内気なヒナタの大胆決意！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.77,0:00:08.26,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.54,0:00:12.27,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.57,0:00:16.67,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.81,0:00:19.37,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.51,0:00:23.25,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.52,0:00:27.68,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.89,0:00:37.73,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.97,0:00:49.10,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.75,0:01:00.09,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.36,0:01:05.79,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.96,0:01:11.09,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.30,0:01:13.93,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:14.07,0:01:20.44,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:38.39,0:01:40.55,Default,,0000,0000,0000,,我將來要成為火影
Dialogue: Marked=0,0:01:41.23,0:01:44.96,Default,,0000,0000,0000,,怎麼可以\N在這種地方就輸掉了呢
Dialogue: Marked=0,0:01:45.10,0:01:46.07,Default,,0000,0000,0000,,你少來了
Dialogue: Marked=0,0:01:46.20,0:01:49.33,Default,,0000,0000,0000,,你根本就完全\N跟不上我的速度嘛
Dialogue: Marked=0,0:01:55.88,0:01:57.81,Default,,0000,0000,0000,,漩渦
Dialogue: Marked=0,0:02:02.72,0:02:04.58,Default,,0000,0000,0000,,鳴人連彈
Dialogue: Marked=0,0:02:23.81,0:02:24.74,Default,,0000,0000,0000,,獲勝者
Dialogue: Marked=0,0:02:24.91,0:02:26.64,Default,,0000,0000,0000,,漩渦鳴人
Dialogue: Marked=0,0:02:28.58,0:02:29.70,Default,,0000,0000,0000,,我真的
Dialogue: Marked=0,0:02:30.58,0:02:32.27,Default,,0000,0000,0000,,我已經變強了
Dialogue: Marked=0,0:02:35.55,0:02:38.21,Default,,0000,0000,0000,,好耶，真是太棒了
Dialogue: Marked=0,0:02:38.39,0:02:39.82,Default,,0000,0000,0000,,太好了，鳴人
Dialogue: Marked=0,0:02:40.92,0:02:41.91,Default,,0000,0000,0000,,想不到那個鳴人
Dialogue: Marked=0,0:02:42.06,0:02:43.82,Default,,0000,0000,0000,,居然打敗了牙
Dialogue: Marked=0,0:02:44.03,0:02:45.89,Default,,0000,0000,0000,,跌破大家的眼鏡
Dialogue: Marked=0,0:02:51.10,0:02:56.56,Default,,0000,0000,0000,,第46話 白眼開眼\N內向雛田的大膽決心
Dialogue: Marked=0,0:03:00.74,0:03:03.68,Default,,0000,0000,0000,,這種藥膏挺有效的
Dialogue: Marked=0,0:03:06.41,0:03:07.04,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:03:07.15,0:03:08.41,Default,,0000,0000,0000,,妳也拿去用嘛
Dialogue: Marked=0,0:03:10.19,0:03:13.68,Default,,0000,0000,0000,,只有你身上的傷\N才會好得這麼快的
Dialogue: Marked=0,0:03:13.79,0:03:14.81,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:15.42,0:03:16.22,Default,,0000,0000,0000,,九尾的力量...
Dialogue: Marked=0,0:03:16.29,0:03:19.66,Default,,0000,0000,0000,,還是老樣子，這麼的驚人呀...
Dialogue: Marked=0,0:03:32.94,0:03:35.24,Default,,0000,0000,0000,,那...那個
Dialogue: Marked=0,0:03:43.65,0:03:45.71,Default,,0000,0000,0000,,這...這是
Dialogue: Marked=0,0:03:45.85,0:03:47.32,Default,,0000,0000,0000,,外傷用的藥膏
Dialogue: Marked=0,0:03:47.49,0:03:49.89,Default,,0000,0000,0000,,是要給你跟赤丸用的
Dialogue: Marked=0,0:03:52.59,0:03:53.65,Default,,0000,0000,0000,,擔心別人之前
Dialogue: Marked=0,0:03:53.73,0:03:56.22,Default,,0000,0000,0000,,應該先擔心妳自己
Dialogue: Marked=0,0:03:56.73,0:03:58.06,Default,,0000,0000,0000,,牙...
Dialogue: Marked=0,0:03:58.57,0:03:59.86,Default,,0000,0000,0000,,現在只剩下
Dialogue: Marked=0,0:04:00.10,0:04:02.90,Default,,0000,0000,0000,,妳，丁次，寧次，小李
Dialogue: Marked=0,0:04:03.00,0:04:03.99,Default,,0000,0000,0000,,一個音之忍者
Dialogue: Marked=0,0:04:04.17,0:04:06.57,Default,,0000,0000,0000,,還有砂之忍者六個人而已
