[Script Info]
Title: NARUTO -ナルト- 第047話 「憧れの人の目の前で！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.77,0:00:08.26,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.47,0:00:12.24,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.44,0:00:16.38,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.68,0:00:19.37,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.45,0:00:23.18,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.45,0:00:27.75,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.96,0:00:37.92,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.83,0:00:48.97,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.72,0:01:00.21,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.39,0:01:05.45,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.76,0:01:11.06,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.27,0:01:13.89,Default,,0000,0000,0000,,如果不是你 就沒有意義了
