[Script Info]
Title: NARUTO -ナルト- 第048話 「我愛羅粉砕！！若さだ！パワーだ！爆発だ！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.80,0:00:08.46,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.57,0:00:12.23,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.51,0:00:16.38,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.75,0:00:19.37,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.51,0:00:23.25,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.45,0:00:27.75,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.89,0:00:37.89,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.80,0:00:49.27,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.82,0:01:00.19,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.42,0:01:05.66,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.73,0:01:11.13,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.23,0:01:13.93,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:14.00,0:01:20.93,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:31.75,0:01:33.45,Default,,0000,0000,0000,,那邊那個吊車尾的
Dialogue: Marked=0,0:01:35.46,0:01:38.15,Default,,0000,0000,0000,,我在這裡有兩件事情提醒你
Dialogue: Marked=0,0:01:38.73,0:01:39.45,Default,,0000,0000,0000,,是忍者
Dialogue: Marked=0,0:01:39.53,0:01:42.26,Default,,0000,0000,0000,,就不要做出\N替別人加油的醜事
Dialogue: Marked=0,0:01:43.30,0:01:45.23,Default,,0000,0000,0000,,還有另外一件事
Dialogue: Marked=0,0:01:45.97,0:01:48.96,Default,,0000,0000,0000,,吊車尾的永遠都是吊車尾的
Dialogue: Marked=0,0:01:49.14,0:01:50.73,Default,,0000,0000,0000,,是不可能改變的
Dialogue: Marked=0,0:01:53.91,0:01:55.97,Default,,0000,0000,0000,,你要試試看嗎
Dialogue: Marked=0,0:02:03.59,0:02:04.95,Default,,0000,0000,0000,,你...
Dialogue: Marked=0,0:02:04.99,0:02:08.18,Default,,0000,0000,0000,,我非常了解你現在的心情
Dialogue: Marked=0,0:02:08.32,0:02:09.26,Default,,0000,0000,0000,,但是
