[Script Info]
Title: NARUTO -ナルト- 第049話 「熱血落ちこぼれ！遂に炸裂、禁断の奥義！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.93,0:00:08.43,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.74,0:00:12.54,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.67,0:00:16.63,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.88,0:00:19.44,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.65,0:00:23.28,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.59,0:00:27.52,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:29.09,0:00:37.79,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:40.04,0:00:49.54,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:55.05,0:01:00.32,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.56,0:01:05.72,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.89,0:01:11.33,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.40,0:01:14.03,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:14.10,0:01:20.87,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:31.09,0:01:32.02,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:01:37.33,0:01:38.42,Default,,0000,0000,0000,,那個是...
Dialogue: Marked=0,0:01:39.53,0:01:40.89,Default,,0000,0000,0000,,砂子的空殼
Dialogue: Marked=0,0:01:46.13,0:01:50.59,Default,,0000,0000,0000,,第49話 熱血急轉直下\N終於炸裂的禁止的奧義
Dialogue: Marked=0,0:01:51.77,0:01:52.57,Default,,0000,0000,0000,,是什麼時候
Dialogue: Marked=0,0:01:52.64,0:01:54.16,Default,,0000,0000,0000,,怎麼可能呢
Dialogue: Marked=0,0:01:54.58,0:01:57.37,Default,,0000,0000,0000,,就在你閉起眼睛祈禱的時候
Dialogue: Marked=0,0:01:59.11,0:02:00.10,Default,,0000,0000,0000,,那時候小李
Dialogue: Marked=0,0:02:00.32,0:02:01.11,Default,,0000,0000,0000,,因為瞬間的身體疼痛
Dialogue: Marked=0,0:02:01.28,0:02:02.61,Default,,0000,0000,0000,,停止了動作
Dialogue: Marked=0,0:02:04.32,0:02:05.38,Default,,0000,0000,0000,,就是那個時候
Dialogue: Marked=0,0:02:15.66,0:02:16.79,Default,,0000,0000,0000,,我愛羅
Dialogue: Marked=0,0:02:33.35,0:02:34.37,Default,,0000,0000,0000,,那個是...
Dialogue: Marked=0,0:02:34.45,0:02:36.92,Default,,0000,0000,0000,,那種眼神絕對錯不了
Dialogue: Marked=0,0:02:37.39,0:02:39.68,Default,,0000,0000,0000,,那個傢伙已經完全覺醒了
Dialogue: Marked=0,0:02:40.22,0:02:41.88,Default,,0000,0000,0000,,在他體內的
Dialogue: Marked=0,0:02:42.56,0:02:43.92,Default,,0000,0000,0000,,怪物
Dialogue: Marked=0,0:03:06.65,0:03:07.88,Default,,0000,0000,0000,,趕快逃啊
Dialogue: Marked=0,0:03:20.23,0:03:23.46,Default,,0000,0000,0000,,西瓜皮已經幾乎動不了了
Dialogue: Marked=0,0:03:23.87,0:03:25.99,Default,,0000,0000,0000,,我愛羅只是在耍他而已
Dialogue: Marked=0,0:03:28.60,0:03:29.66,Default,,0000,0000,0000,,為什麼呢
Dialogue: Marked=0,0:03:29.80,0:03:31.93,Default,,0000,0000,0000,,為什麼小李沒辦法避開
Dialogue: Marked=0,0:03:32.31,0:03:33.60,Default,,0000,0000,0000,,憑小李的速度
Dialogue: Marked=0,0:03:33.74,0:03:34.97,Default,,0000,0000,0000,,那種程度的攻擊
Dialogue: Marked=0,0:03:35.11,0:03:37.30,Default,,0000,0000,0000,,應該可以輕而易舉的避開吧
Dialogue: Marked=0,0:03:37.68,0:03:39.81,Default,,0000,0000,0000,,不是他不避開
Dialogue: Marked=0,0:03:39.95,0:03:41.94,Default,,0000,0000,0000,,而是他根本避不開
Dialogue: Marked=0,0:03:42.32,0:03:43.75,Default,,0000,0000,0000,,這是怎麼回事
Dialogue: Marked=0,0:03:43.92,0:03:45.75,Default,,0000,0000,0000,,因為這種叫做蓮華的招式
Dialogue: Marked=0,0:03:46.12,0:03:47.61,Default,,0000,0000,0000,,會造成兩敗俱傷
Dialogue: Marked=0,0:03:47.76,0:03:49.48,Default,,0000,0000,0000,,兩敗俱傷?
Dialogue: Marked=0,0:03:49.99,0:03:51.89,Default,,0000,0000,0000,,妳覺得為什麼蓮華這個招式
Dialogue: Marked=0,0:03:51.99,0:03:54.15,Default,,0000,0000,0000,,會變成禁術呢
Dialogue: Marked=0,0:03:54.53,0:03:55.89,Default,,0000,0000,0000,,那是...
Dialogue: Marked=0,0:03:56.66,0:03:57.69,Default,,0000,0000,0000,,蓮華
Dialogue: Marked=0,0:03:57.90,0:03:59.99,Default,,0000,0000,0000,,既不是忍術也不是幻術
Dialogue: Marked=0,0:04:00.30,0:04:03.17,Default,,0000,0000,0000,,那是一種\N用高速移動施展的體術
Dialogue: Marked=0,0:04:03.50,0:04:05.03,Default,,0000,0000,0000,,對身體所造成的負擔
Dialogue: Marked=0,0:04:05.21,0:04:06.76,Default,,0000,0000,0000,,超乎你們的想像
Dialogue: Marked=0,0:04:07.21,0:04:09.01,Default,,0000,0000,0000,,以他現在身體的疼痛
Dialogue: Marked=0,0:04:09.14,0:04:11.34,Default,,0000,0000,0000,,應該根本沒辦法行動了
Dialogue: Marked=0,0:04:11.71,0:04:14.34,Default,,0000,0000,0000,,沒錯吧，阿凱
Dialogue: Marked=0,0:04:15.32,0:04:16.51,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:04:45.91,0:04:47.28,Default,,0000,0000,0000,,既不是忍術
