[Script Info]
Title: NARUTO -ナルト- 第050話 「嗚呼ロック・リー！これが男の生き様よ！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.67,0:00:08.33,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.47,0:00:12.24,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.37,0:00:16.33,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.58,0:00:19.17,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.35,0:00:23.22,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.35,0:00:27.58,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.79,0:00:37.63,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.83,0:00:49.00,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.68,0:01:00.02,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.26,0:01:05.52,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.76,0:01:11.03,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.20,0:01:13.76,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:13.94,0:01:20.53,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:31.75,0:01:36.19,Default,,0000,0000,0000,,總不能就只有\N我一個人敗在這裡吧
Dialogue: Marked=0,0:01:36.49,0:01:37.69,Default,,0000,0000,0000,,阿凱老師
Dialogue: Marked=0,0:01:37.83,0:01:39.52,Default,,0000,0000,0000,,請你認同我吧
Dialogue: Marked=0,0:01:40.03,0:01:41.76,Default,,0000,0000,0000,,現在就是我
Dialogue: Marked=0,0:01:50.07,0:01:54.51,Default,,0000,0000,0000,,貫徹我自己的忍道的時候了
Dialogue: Marked=0,0:01:56.38,0:02:00.40,Default,,0000,0000,0000,,第50話 小李!這樣才是男子漢
Dialogue: Marked=0,0:02:01.92,0:02:03.47,Default,,0000,0000,0000,,他身體的顏色
Dialogue: Marked=0,0:02:05.75,0:02:07.19,Default,,0000,0000,0000,,變紅了
Dialogue: Marked=0,0:02:14.73,0:02:16.42,Default,,0000,0000,0000,,那個傢伙怎麼了
Dialogue: Marked=0,0:02:19.97,0:02:21.06,Default,,0000,0000,0000,,第三道門
Dialogue: Marked=0,0:02:21.14,0:02:22.73,Default,,0000,0000,0000,,生門打開了
Dialogue: Marked=0,0:02:22.97,0:02:24.03,Default,,0000,0000,0000,,他要行動了
Dialogue: Marked=0,0:02:24.17,0:02:25.76,Default,,0000,0000,0000,,不，還沒有
Dialogue: Marked=0,0:02:25.91,0:02:26.90,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:02:30.81,0:02:31.74,Default,,0000,0000,0000,,接下來
Dialogue: Marked=0,0:02:31.88,0:02:34.37,Default,,0000,0000,0000,,第四道門，傷門
Dialogue: Marked=0,0:02:34.62,0:02:35.74,Default,,0000,0000,0000,,開
Dialogue: Marked=0,0:02:42.39,0:02:43.88,Default,,0000,0000,0000,,真是想不到
Dialogue: Marked=0,0:02:44.53,0:02:46.99,Default,,0000,0000,0000,,這不是光靠努力\N就能做得到的
Dialogue: Marked=0,0:02:47.56,0:02:50.79,Default,,0000,0000,0000,,那孩子...果然是天才
Dialogue: Marked=0,0:02:58.27,0:02:59.50,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:03:02.24,0:03:03.27,Default,,0000,0000,0000,,好快
Dialogue: Marked=0,0:03:06.51,0:03:07.17,Default,,0000,0000,0000,,我愛羅
