[Script Info]
Title: NARUTO -ナルト- 第051話 「闇にうごめく影 サスケに迫る危機！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.70,0:00:08.36,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.44,0:00:12.24,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.44,0:00:16.43,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.68,0:00:19.24,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.48,0:00:23.18,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.39,0:00:27.98,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.96,0:00:37.96,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.93,0:00:47.07,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.85,0:01:00.22,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.46,0:01:05.52,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.76,0:01:11.06,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.27,0:01:15.57,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:15.74,0:01:20.77,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:32.52,0:01:35.75,Default,,0000,0000,0000,,第十回合比賽開始
Dialogue: Marked=0,0:01:36.02,0:01:37.25,Default,,0000,0000,0000,,加油
Dialogue: Marked=0,0:01:37.49,0:01:40.02,Default,,0000,0000,0000,,胖子
Dialogue: Marked=0,0:01:40.96,0:01:43.52,Default,,0000,0000,0000,,可惡，你們幾個等著瞧好了
Dialogue: Marked=0,0:01:43.77,0:01:45.67,Default,,0000,0000,0000,,我會馬上解決這場比賽
Dialogue: Marked=0,0:01:45.80,0:01:48.53,Default,,0000,0000,0000,,然後上去修理你們的
Dialogue: Marked=0,0:01:49.00,0:01:51.53,Default,,0000,0000,0000,,那我就不要跟你玩太久
Dialogue: Marked=0,0:01:51.77,0:01:52.54,Default,,0000,0000,0000,,迅速把這場比賽結束吧
Dialogue: Marked=0,0:01:52.77,0:01:54.47,Default,,0000,0000,0000,,死胖子
Dialogue: Marked=0,0:01:55.34,0:01:58.54,Default,,0000,0000,0000,,你這個捆滿繃帶的\N黃瓜海苔卷
Dialogue: Marked=0,0:01:58.98,0:02:01.18,Default,,0000,0000,0000,,我早在之前交手的時候
Dialogue: Marked=0,0:02:01.32,0:02:04.25,Default,,0000,0000,0000,,就已經摸清楚你的弱點了
Dialogue: Marked=0,0:02:04.35,0:02:08.85,Default,,0000,0000,0000,,他會從手腕上的洞\N發出衝擊音波
Dialogue: Marked=0,0:02:09.22,0:02:12.32,Default,,0000,0000,0000,,忍法，倍化之術
Dialogue: Marked=0,0:02:12.56,0:02:15.83,Default,,0000,0000,0000,,再加上木葉流體術
Dialogue: Marked=0,0:02:19.07,0:02:21.50,Default,,0000,0000,0000,,不讓他攻擊耳朵就行了
Dialogue: Marked=0,0:02:21.67,0:02:23.57,Default,,0000,0000,0000,,肉彈戰車
Dialogue: Marked=0,0:02:23.74,0:02:27.33,Default,,0000,0000,0000,,我只是比較豐滿而已
Dialogue: Marked=0,0:02:27.58,0:02:31.07,Default,,0000,0000,0000,,太好了，丁次\N趕快把他壓扁
Dialogue: Marked=0,0:02:31.55,0:02:33.01,Default,,0000,0000,0000,,那個傢伙的攻擊
Dialogue: Marked=0,0:02:33.18,0:02:35.08,Default,,0000,0000,0000,,就算沒有直接接觸對手
Dialogue: Marked=0,0:02:35.18,0:02:37.08,Default,,0000,0000,0000,,也能用聲音攻擊
Dialogue: Marked=0,0:02:37.59,0:02:40.58,Default,,0000,0000,0000,,不過\N那得把耳朵露在外面才行
Dialogue: Marked=0,0:02:41.02,0:02:42.58,Default,,0000,0000,0000,,他現在把頭埋在肉裡
Dialogue: Marked=0,0:02:42.79,0:02:44.09,Default,,0000,0000,0000,,等於把耳朵塞起來
Dialogue: Marked=0,0:02:44.39,0:02:46.52,Default,,0000,0000,0000,,甚至還到處滾動
Dialogue: Marked=0,0:02:46.63,0:02:49.60,Default,,0000,0000,0000,,對手要如何用聲音攻擊呢
Dialogue: Marked=0,0:02:53.17,0:02:56.54,Default,,0000,0000,0000,,這樣連行動\N都沒有辦法隨心所欲了吧
