[Script Info]
Title: NARUTO -ナルト- 第052話 「エビス再び！ハレンチは私が許しませんぞ！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.73,0:00:08.29,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.50,0:00:12.23,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.51,0:00:16.41,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.78,0:00:19.27,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.51,0:00:23.14,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.42,0:00:28.55,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.89,0:00:39.60,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.90,0:00:47.40,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.85,0:01:00.19,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.46,0:01:05.52,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.86,0:01:11.06,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.23,0:01:15.46,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:15.74,0:01:20.70,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:31.89,0:01:33.91,Default,,0000,0000,0000,,佐助住的病房是哪一間啊
Dialogue: Marked=0,0:01:34.16,0:01:37.15,Default,,0000,0000,0000,,佐助先生\N謝絕所有的探望拜訪
Dialogue: Marked=0,0:01:37.43,0:01:39.02,Default,,0000,0000,0000,,這是為什麼啊
Dialogue: Marked=0,0:01:39.19,0:01:40.63,Default,,0000,0000,0000,,我也沒有辦法啊
Dialogue: Marked=0,0:01:40.76,0:01:42.09,Default,,0000,0000,0000,,大姐...為什麼
Dialogue: Marked=0,0:01:42.20,0:01:45.10,Default,,0000,0000,0000,,鳴人\N在醫院裡面要保持安靜
Dialogue: Marked=0,0:01:45.37,0:01:48.43,Default,,0000,0000,0000,,你聽我說\N我有事情要拜託你
Dialogue: Marked=0,0:01:48.67,0:01:50.26,Default,,0000,0000,0000,,你不用說出來
Dialogue: Marked=0,0:01:50.41,0:01:52.77,Default,,0000,0000,0000,,我早就知道你會過來了
Dialogue: Marked=0,0:01:52.97,0:01:55.94,Default,,0000,0000,0000,,我已經找到一個\N能夠幫助你修練的人了
Dialogue: Marked=0,0:01:56.14,0:01:57.44,Default,,0000,0000,0000,,為什麼嘛
Dialogue: Marked=0,0:01:57.61,0:01:59.44,Default,,0000,0000,0000,,我希望是卡卡西老師指導我
Dialogue: Marked=0,0:01:59.78,0:02:02.05,Default,,0000,0000,0000,,我剛好有事情要處理
Dialogue: Marked=0,0:02:02.18,0:02:04.62,Default,,0000,0000,0000,,所以我沒有時間管你
Dialogue: Marked=0,0:02:09.66,0:02:10.28,Default,,0000,0000,0000,,我知道了
Dialogue: Marked=0,0:02:10.49,0:02:12.36,Default,,0000,0000,0000,,你是打算要鍛鍊佐助吧
Dialogue: Marked=0,0:02:12.56,0:02:14.39,Default,,0000,0000,0000,,你別這麼說嘛
Dialogue: Marked=0,0:02:14.56,0:02:17.93,Default,,0000,0000,0000,,我已經幫你物色一個\N比我更有用的老師了
Dialogue: Marked=0,0:02:18.30,0:02:19.89,Default,,0000,0000,0000,,到底是誰啊
Dialogue: Marked=0,0:02:20.57,0:02:22.13,Default,,0000,0000,0000,,就是我
Dialogue: Marked=0,0:02:24.61,0:02:25.47,Default,,0000,0000,0000,,你不就是...
Dialogue: Marked=0,0:02:25.57,0:02:27.40,Default,,0000,0000,0000,,那個大色狼嗎
Dialogue: Marked=0,0:02:27.58,0:02:29.07,Default,,0000,0000,0000,,太失禮了吧
