[Script Info]
Title: NARUTO -ナルト- 第053話 「あいやしばらく！エロ仙人登場！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:05.83,0:00:08.43,Default,,0000,0000,0000,,我要踩加速器
Dialogue: Marked=0,0:00:08.64,0:00:12.30,Default,,0000,0000,0000,,沒有討價還價的餘地 沒錯
Dialogue: Marked=0,0:00:12.54,0:00:16.44,Default,,0000,0000,0000,,穿越黑夜
Dialogue: Marked=0,0:00:16.85,0:00:19.34,Default,,0000,0000,0000,,最後整個栓進去
Dialogue: Marked=0,0:00:19.55,0:00:23.21,Default,,0000,0000,0000,,沒有落差 沒錯
Dialogue: Marked=0,0:00:23.45,0:00:28.68,Default,,0000,0000,0000,,日子一天一天過
Dialogue: Marked=0,0:00:28.96,0:00:39.46,Default,,0000,0000,0000,,悄悄打開心房\N突然靠過來
Dialogue: Marked=0,0:00:39.97,0:00:47.27,Default,,0000,0000,0000,,我一定會知道\N給我更多訊息
Dialogue: Marked=0,0:00:54.95,0:01:00.29,Default,,0000,0000,0000,,急忙的生活 都被榨乾了
Dialogue: Marked=0,0:01:00.49,0:01:05.76,Default,,0000,0000,0000,,腳不停的移動\N卻比以前走得更遠了
Dialogue: Marked=0,0:01:05.99,0:01:10.99,Default,,0000,0000,0000,,爭奪過後的成果
Dialogue: Marked=0,0:01:11.30,0:01:15.50,Default,,0000,0000,0000,,如果不是你 就沒有意義了
Dialogue: Marked=0,0:01:15.77,0:01:20.76,Default,,0000,0000,0000,,所以要到更遠的另一端
Dialogue: Marked=0,0:01:39.56,0:01:42.05,Default,,0000,0000,0000,,大色狼，醒醒
Dialogue: Marked=0,0:01:43.40,0:01:44.83,Default,,0000,0000,0000,,木葉忍者村秘傳
Dialogue: Marked=0,0:01:45.13,0:01:46.83,Default,,0000,0000,0000,,體術奧義
Dialogue: Marked=0,0:01:47.97,0:01:49.33,Default,,0000,0000,0000,,千年殺
Dialogue: Marked=0,0:01:52.87,0:01:54.97,Default,,0000,0000,0000,,已經徹底躺平了嘛
Dialogue: Marked=0,0:01:55.24,0:01:57.47,Default,,0000,0000,0000,,這傢伙還真是不堪一擊
Dialogue: Marked=0,0:01:58.31,0:02:00.84,Default,,0000,0000,0000,,哪來這隻龐然大物的青蛙
Dialogue: Marked=0,0:02:00.98,0:02:03.04,Default,,0000,0000,0000,,你到底是何方神聖
Dialogue: Marked=0,0:02:06.89,0:02:09.12,Default,,0000,0000,0000,,這個問題問得好
Dialogue: Marked=0,0:02:09.32,0:02:12.82,Default,,0000,0000,0000,,在下是妙木山蟾蜍精\N露仙素道人
Dialogue: Marked=0,0:02:12.93,0:02:14.42,Default,,0000,0000,0000,,人稱蟾蜍仙人
Dialogue: Marked=0,0:02:14.56,0:02:16.66,Default,,0000,0000,0000,,請多多指教
Dialogue: Marked=0,0:02:19.53,0:02:23.37,Default,,0000,0000,0000,,第53話\N好久不見，好色仙人登場
Dialogue: Marked=0,0:02:23.71,0:02:25.37,Default,,0000,0000,0000,,仙...仙人?
Dialogue: Marked=0,0:02:25.87,0:02:26.86,Default,,0000,0000,0000,,正是在下
Dialogue: Marked=0,0:02:32.35,0:02:34.61,Default,,0000,0000,0000,,喂，你這個好色仙人
Dialogue: Marked=0,0:02:34.78,0:02:36.58,Default,,0000,0000,0000,,你說這該怎麼辦嘛
Dialogue: Marked=0,0:02:36.72,0:02:38.91,Default,,0000,0000,0000,,他本來是要\N指導我修行練功的
Dialogue: Marked=0,0:02:39.12,0:02:41.55,Default,,0000,0000,0000,,你居然把他弄成這個樣子
Dialogue: Marked=0,0:02:41.72,0:02:44.69,Default,,0000,0000,0000,,誰叫那傢伙妨礙我取材
Dialogue: Marked=0,0:02:44.89,0:02:46.19,Default,,0000,0000,0000,,取材?
Dialogue: Marked=0,0:02:46.39,0:02:48.39,Default,,0000,0000,0000,,我是寫作的作家
Dialogue: Marked=0,0:02:48.63,0:02:50.39,Default,,0000,0000,0000,,是個寫小說的
Dialogue: Marked=0,0:02:50.63,0:02:51.89,Default,,0000,0000,0000,,就是這個
Dialogue: Marked=0,0:02:52.03,0:02:54.63,Default,,0000,0000,0000,,"親熱天堂"
Dialogue: Marked=0,0:03:01.58,0:03:02.63,Default,,0000,0000,0000,,那本書不就是...
Dialogue: Marked=0,0:03:03.24,0:03:04.91,Default,,0000,0000,0000,,你知道這本書是不是
Dialogue: Marked=0,0:03:06.68,0:03:08.58,Default,,0000,0000,0000,,我已經相當出名了嘛
Dialogue: Marked=0,0:03:08.72,0:03:11.41,Default,,0000,0000,0000,,那本並不是\N什麼正經的小說吧
Dialogue: Marked=0,0:03:11.62,0:03:13.61,Default,,0000,0000,0000,,而且那算哪門子的取材嘛
Dialogue: Marked=0,0:03:13.76,0:03:15.92,Default,,0000,0000,0000,,只是在偷看\N女澡堂內的春光而已
Dialogue: Marked=0,0:03:16.09,0:03:18.15,Default,,0000,0000,0000,,啊~有色狼
Dialogue: Marked=0,0:03:19.49,0:03:20.72,Default,,0000,0000,0000,,笨蛋...笨蛋
Dialogue: Marked=0,0:03:20.93,0:03:23.06,Default,,0000,0000,0000,,被她們發現有人在偷看啦
Dialogue: Marked=0,0:03:23.26,0:03:24.63,Default,,0000,0000,0000,,你這個色鬼
Dialogue: Marked=0,0:03:25.20,0:03:26.17,Default,,0000,0000,0000,,你這個蠢蛋
Dialogue: Marked=0,0:03:26.43,0:03:28.27,Default,,0000,0000,0000,,你以為我只是個色鬼而已嗎
Dialogue: Marked=0,0:03:28.50,0:03:30.73,Default,,0000,0000,0000,,我是藉由\N這種偷窺行為刺激靈感
Dialogue: Marked=0,0:03:30.94,0:03:32.63,Default,,0000,0000,0000,,才能夠創作更好的作品
Dialogue: Marked=0,0:03:32.77,0:03:33.76,Default,,0000,0000,0000,,你少騙人了
Dialogue: Marked=0,0:03:33.94,0:03:35.43,Default,,0000,0000,0000,,不要再找藉口了啦
Dialogue: Marked=0,0:03:35.68,0:03:36.47,Default,,0000,0000,0000,,比起那些
Dialogue: Marked=0,0:03:36.64,0:03:38.34,Default,,0000,0000,0000,,你說我的修練該怎麼辦啦
Dialogue: Marked=0,0:03:39.51,0:03:40.34,Default,,0000,0000,0000,,你說的修練
Dialogue: Marked=0,0:03:40.52,0:03:43.95,Default,,0000,0000,0000,,就是你剛才\N在練習的水面步行之術嗎
Dialogue: Marked=0,0:03:44.12,0:03:45.45,Default,,0000,0000,0000,,你知道啊?
Dialogue: Marked=0,0:03:46.32,0:03:49.69,Default,,0000,0000,0000,,那你要負起責任指導我修練
Dialogue: Marked=0,0:03:50.69,0:03:52.68,Default,,0000,0000,0000,,那種事情我哪知道啊
Dialogue: Marked=0,0:03:54.26,0:03:56.75,Default,,0000,0000,0000,,喂~你給我站住，好色仙人
Dialogue: Marked=0,0:03:56.97,0:03:59.70,Default,,0000,0000,0000,,你得陪我修練才行
Dialogue: Marked=0,0:04:00.27,0:04:01.76,Default,,0000,0000,0000,,你很囉唆耶
Dialogue: Marked=0,0:04:01.97,0:04:03.84,Default,,0000,0000,0000,,而且我最討厭
Dialogue: Marked=0,0:04:03.97,0:04:05.60,Default,,0000,0000,0000,,說話不懂得尊重別人的人了
Dialogue: Marked=0,0:04:07.04,0:04:08.70,Default,,0000,0000,0000,,再說我不喜歡男人
Dialogue: Marked=0,0:04:10.04,0:04:11.48,Default,,0000,0000,0000,,這個...這個嘛
Dialogue: Marked=0,0:04:11.61,0:04:13.10,Default,,0000,0000,0000,,我覺得你那本\N親熱天堂內容超精采的
Dialogue: Marked=0,0:04:13.28,0:04:16.61,Default,,0000,0000,0000,,不但引人入勝\N而且很有意思哦
Dialogue: Marked=0,0:04:16.78,0:04:18.72,Default,,0000,0000,0000,,那本小說是限制級
Dialogue: Marked=0,0:04:18.79,0:04:20.98,Default,,0000,0000,0000,,未滿18歲不得購買與閱讀的
Dialogue: Marked=0,0:04:21.12,0:04:22.05,Default,,0000,0000,0000,,你少騙人了
Dialogue: Marked=0,0:04:22.22,0:04:25.06,Default,,0000,0000,0000,,我意思是它的風評很好啦
Dialogue: Marked=0,0:04:25.23,0:04:27.13,Default,,0000,0000,0000,,就算奉承也沒有用的
Dialogue: Marked=0,0:04:27.43,0:04:28.49,Default,,0000,0000,0000,,我可是一個仙人
Dialogue: Marked=0,0:04:28.86,0:04:30.30,Default,,0000,0000,0000,,怎麼會相信\N像你這種毛頭小子
Dialogue: Marked=0,0:04:30.50,0:04:33.23,Default,,0000,0000,0000,,隨便瞎掰出來的玩笑話呢
Dialogue: Marked=0,0:04:35.07,0:04:38.30,Default,,0000,0000,0000,,等一下，你先不要走嘛
Dialogue: Marked=0,0:04:41.81,0:04:43.74,Default,,0000,0000,0000,,再見了，小子
Dialogue: Marked=0,0:04:44.51,0:04:46.00,Default,,0000,0000,0000,,好厲害哦
Dialogue: Marked=0,0:04:46.25,0:04:47.37,Default,,0000,0000,0000,,雖然是個色鬼
Dialogue: Marked=0,0:04:47.52,0:04:49.81,Default,,0000,0000,0000,,可是卻超酷耶
Dialogue: Marked=0,0:04:59.33,0:05:01.26,Default,,0000,0000,0000,,好色仙人
Dialogue: Marked=0,0:05:03.16,0:05:05.26,Default,,0000,0000,0000,,到底跑到哪裡去了啦
Dialogue: Marked=0,0:05:12.91,0:05:15.27,Default,,0000,0000,0000,,幹什麼，老色鬼
Dialogue: Marked=0,0:05:17.18,0:05:20.05,Default,,0000,0000,0000,,對...對不起，小姐
