[Script Info]
Title: NARUTO -ナルト- 第054話 「エロ仙人直伝 口寄せの術だってばよ！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.36,0:00:04.39,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.77,0:00:08.29,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.64,0:00:12.04,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.31,0:00:16.80,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.21,0:00:19.37,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.15,0:00:25.31,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.82,0:00:29.15,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.72,0:00:33.13,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.46,0:00:36.62,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:36.87,0:00:44.14,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.37,0:00:50.31,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.35,0:00:53.37,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.82,0:00:57.81,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:57.99,0:01:01.58,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:01.89,0:01:05.35,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.59,0:01:08.65,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:08.90,0:01:12.89,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.30,0:01:16.83,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.11,0:01:20.60,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.84,0:01:25.51,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.88,0:01:27.40,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:43.23,0:01:44.22,Default,,0000,0000,0000,,自來也大人
Dialogue: Marked=0,0:01:44.97,0:01:47.33,Default,,0000,0000,0000,,我相信您一定會幫忙的
Dialogue: Marked=0,0:02:05.89,0:02:10.45,Default,,0000,0000,0000,,第54話 蟾蜍仙人直傳的通靈之術
Dialogue: Marked=0,0:02:38.75,0:02:39.91,Default,,0000,0000,0000,,傷腦筋啊
Dialogue: Marked=0,0:02:41.49,0:02:43.42,Default,,0000,0000,0000,,你不睡覺的嗎
Dialogue: Marked=0,0:02:45.53,0:02:47.02,Default,,0000,0000,0000,,到底有什麼事
Dialogue: Marked=0,0:02:47.83,0:02:50.99,Default,,0000,0000,0000,,我打算\N先在這裡把你給解決掉
Dialogue: Marked=0,0:02:52.30,0:02:53.32,Default,,0000,0000,0000,,這麼一來
Dialogue: Marked=0,0:02:53.94,0:02:55.93,Default,,0000,0000,0000,,在第一回戰中落單的我
Dialogue: Marked=0,0:02:56.17,0:02:58.30,Default,,0000,0000,0000,,就有機會可以跟宇智波佐助
Dialogue: Marked=0,0:02:58.44,0:02:59.46,Default,,0000,0000,0000,,上場較量了嘛
Dialogue: Marked=0,0:03:00.74,0:03:03.94,Default,,0000,0000,0000,,我已經看穿\N你的砂攻擊招式了
Dialogue: Marked=0,0:03:04.81,0:03:06.44,Default,,0000,0000,0000,,和我的音比起來
Dialogue: Marked=0,0:03:06.68,0:03:08.81,Default,,0000,0000,0000,,是誰的比較快呢
Dialogue: Marked=0,0:03:27.37,0:03:28.56,Default,,0000,0000,0000,,月圓的時候
