[Script Info]
Title: NARUTO -ナルト- 第056話 「生か死か！？免許皆伝は命懸け！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.40,0:00:04.33,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.63,0:00:08.23,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.60,0:00:11.97,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.24,0:00:16.73,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.01,0:00:19.38,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.12,0:00:25.45,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.82,0:00:29.26,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.62,0:00:33.08,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.46,0:00:36.59,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:36.97,0:00:44.10,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.47,0:00:50.10,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.25,0:00:53.48,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.75,0:00:57.68,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:57.95,0:01:01.58,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:01.89,0:01:05.19,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.59,0:01:08.69,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:08.96,0:01:12.92,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.17,0:01:16.87,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.14,0:01:20.60,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.84,0:01:25.91,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:26.15,0:01:27.44,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:54.44,0:01:55.60,Default,,0000,0000,0000,,通靈之術
Dialogue: Marked=0,0:01:57.65,0:01:59.48,Default,,0000,0000,0000,,這次一定會是青蛙
Dialogue: Marked=0,0:02:12.56,0:02:16.76,Default,,0000,0000,0000,,青蛙到底長什麼樣子\N要去哪裡找青蛙來啊
Dialogue: Marked=0,0:02:21.97,0:02:26.67,Default,,0000,0000,0000,,第56話 是生是死!?\N必須賭上性命的修煉
Dialogue: Marked=0,0:02:32.01,0:02:34.81,Default,,0000,0000,0000,,你對我就不能有點期待嗎
Dialogue: Marked=0,0:02:43.79,0:02:45.19,Default,,0000,0000,0000,,又倒下去了嗎
Dialogue: Marked=0,0:02:46.36,0:02:46.99,Default,,0000,0000,0000,,這也難怪
Dialogue: Marked=0,0:02:48.16,0:02:50.29,Default,,0000,0000,0000,,畢竟三個星期\N都是靠他的毅力
Dialogue: Marked=0,0:02:50.37,0:02:53.03,Default,,0000,0000,0000,,才能夠持續修練到現在的
Dialogue: Marked=0,0:03:19.83,0:03:20.59,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:03:22.90,0:03:24.02,Default,,0000,0000,0000,,紅豆啊
Dialogue: Marked=0,0:03:30.74,0:03:33.21,Default,,0000,0000,0000,,對不起，我...
Dialogue: Marked=0,0:03:34.04,0:03:36.74,Default,,0000,0000,0000,,妳很後悔\N活著從死亡森林裡面回來
