[Script Info]
Title: NARUTO -ナルト- 第057話 「飛んだ！跳ねた！潜った！ガマ親分登場！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.70,0:00:04.65,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.93,0:00:08.63,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.94,0:00:12.30,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.57,0:00:17.17,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.51,0:00:19.45,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.45,0:00:25.91,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.19,0:00:29.45,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.96,0:00:33.29,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.70,0:00:37.15,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.47,0:00:44.46,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.71,0:00:50.47,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.71,0:00:53.81,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:54.22,0:00:57.98,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.22,0:01:01.99,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.22,0:01:05.66,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.93,0:01:09.16,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.33,0:01:13.23,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.50,0:01:17.16,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.47,0:01:20.93,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:21.18,0:01:26.01,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:26.01,0:01:27.98,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:37.53,0:01:40.55,Default,,0000,0000,0000,,這裡是哪裡啊
Dialogue: Marked=0,0:01:46.47,0:01:48.80,Default,,0000,0000,0000,,我總算得救了
Dialogue: Marked=0,0:01:51.41,0:01:52.81,Default,,0000,0000,0000,,好酷哦
