[Script Info]
Title: NARUTO -ナルト- 第058話 「しのび寄る魔の手！狙われた病室」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.53,0:00:04.52,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.83,0:00:08.33,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.70,0:00:12.07,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.44,0:00:16.93,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.35,0:00:18.94,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.22,0:00:25.55,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.99,0:00:29.45,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.76,0:00:33.22,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.53,0:00:36.93,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.20,0:00:44.20,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.51,0:00:50.24,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.55,0:00:53.45,Default,,0000,0000,0000,,就要用自己的手把握
