[Script Info]
Title: NARUTO -ナルト- 第061話 「死角ゼロ！もうひとつの絶対防御」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.50,0:00:04.49,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.67,0:00:08.63,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.80,0:00:12.24,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.41,0:00:17.14,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.31,0:00:20.01,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.15,0:00:25.52,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.02,0:00:29.48,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.66,0:00:33.22,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.43,0:00:36.73,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:36.97,0:00:44.24,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.51,0:00:48.17,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.28,0:00:53.48,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.75,0:00:57.84,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:57.99,0:01:01.89,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.02,0:01:05.48,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.69,0:01:08.75,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.00,0:01:13.13,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.27,0:01:17.20,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.76,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.98,0:01:25.71,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.88,0:01:28.28,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:44.03,0:01:46.56,Default,,0000,0000,0000,,對手是那個寧次是嗎
Dialogue: Marked=0,0:01:46.70,0:01:49.60,Default,,0000,0000,0000,,正式選拔和預選全然不同
Dialogue: Marked=0,0:01:50.04,0:01:52.13,Default,,0000,0000,0000,,看來鳴人還是...
Dialogue: Marked=0,0:02:11.13,0:02:13.96,Default,,0000,0000,0000,,多少讓我有些期待吧
Dialogue: Marked=0,0:02:14.10,0:02:15.79,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:02:16.60,0:02:19.03,Default,,0000,0000,0000,,因為等一下\N還有很吃力的工作
Dialogue: Marked=0,0:02:19.10,0:02:21.30,Default,,0000,0000,0000,,要等著我去做呢
Dialogue: Marked=0,0:02:23.37,0:02:28.10,Default,,0000,0000,0000,,第61話\N毫無死角 另一種絕對防禦
Dialogue: Marked=0,0:03:01.91,0:03:02.77,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:02.91,0:03:05.00,Default,,0000,0000,0000,,完全抓不到他嘛
Dialogue: Marked=0,0:03:07.12,0:03:09.91,Default,,0000,0000,0000,,我也說過我沒有那麼笨吧
Dialogue: Marked=0,0:03:17.16,0:03:18.59,Default,,0000,0000,0000,,我已經知道
Dialogue: Marked=0,0:03:19.59,0:03:21.03,Default,,0000,0000,0000,,本體是哪一個了
Dialogue: Marked=0,0:03:28.44,0:03:30.87,Default,,0000,0000,0000,,害怕自己的身體被我點穴
Dialogue: Marked=0,0:03:31.04,0:03:34.13,Default,,0000,0000,0000,,而且攻擊次數最少的一個
Dialogue: Marked=0,0:03:34.44,0:03:36.47,Default,,0000,0000,0000,,你越是進行攻擊
Dialogue: Marked=0,0:03:36.61,0:03:39.10,Default,,0000,0000,0000,,就更凸顯你本體的存在
Dialogue: Marked=0,0:03:42.45,0:03:44.42,Default,,0000,0000,0000,,本體就是你
Dialogue: Marked=0,0:03:44.62,0:03:45.92,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:03:46.15,0:03:47.71,Default,,0000,0000,0000,,到此為止了嗎
Dialogue: Marked=0,0:03:52.73,0:03:55.29,Default,,0000,0000,0000,,所以我早就說過沒用的
Dialogue: Marked=0,0:03:57.43,0:04:00.13,Default,,0000,0000,0000,,鳴人，你千萬不要輸啊
Dialogue: Marked=0,0:04:04.74,0:04:10.01,Default,,0000,0000,0000,,我不是叫你不要\N總是自以為是的決定一切嗎
Dialogue: Marked=0,0:04:10.95,0:04:11.67,Default,,0000,0000,0000,,什麼
Dialogue: Marked=0,0:04:12.65,0:04:14.01,Default,,0000,0000,0000,,難道...
Dialogue: Marked=0,0:04:19.09,0:04:20.38,Default,,0000,0000,0000,,好耶
Dialogue: Marked=0,0:04:20.46,0:04:22.69,Default,,0000,0000,0000,,上啊，鳴人
Dialogue: Marked=0,0:04:22.96,0:04:24.45,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:04:24.96,0:04:26.95,Default,,0000,0000,0000,,他為了出其不意的攻擊我
Dialogue: Marked=0,0:04:27.16,0:04:30.19,Default,,0000,0000,0000,,故意把我引到\N其中一個分身這裡來
Dialogue: Marked=0,0:04:30.40,0:04:33.20,Default,,0000,0000,0000,,我可是抱著寧為玉碎
Dialogue: Marked=0,0:04:33.33,0:04:35.03,Default,,0000,0000,0000,,不為瓦全的心理在跟你交手
Dialogue: Marked=0,0:04:37.04,0:04:38.20,Default,,0000,0000,0000,,打到了
Dialogue: Marked=0,0:04:44.98,0:04:46.61,Default,,0000,0000,0000,,那個是...
Dialogue: Marked=0,0:05:00.50,0:05:02.49,Default,,0000,0000,0000,,剛才是怎麼回事
Dialogue: Marked=0,0:05:03.23,0:05:05.70,Default,,0000,0000,0000,,你以為你贏了嗎
Dialogue: Marked=0,0:05:07.50,0:05:08.63,Default,,0000,0000,0000,,為什麼
Dialogue: Marked=0,0:05:08.74,0:05:11.30,Default,,0000,0000,0000,,鳴人那拳應該有打中他才對
Dialogue: Marked=0,0:05:12.24,0:05:13.57,Default,,0000,0000,0000,,那是...
Dialogue: Marked=0,0:05:17.81,0:05:19.44,Default,,0000,0000,0000,,回天
Dialogue: Marked=0,0:05:23.45,0:05:25.82,Default,,0000,0000,0000,,那就是寧次的防禦了
Dialogue: Marked=0,0:05:28.52,0:05:30.72,Default,,0000,0000,0000,,可別小看我了
Dialogue: Marked=0,0:05:34.33,0:05:39.03,Default,,0000,0000,0000,,寧次的白眼\N最大的視線大概是360度
