[Script Info]
Title: NARUTO -ナルト- 第062話 「落ちこぼれの底力！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.50,0:00:04.56,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.77,0:00:08.60,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.77,0:00:12.23,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.37,0:00:17.11,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.35,0:00:19.87,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.08,0:00:25.75,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.02,0:00:29.51,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.69,0:00:33.29,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.53,0:00:36.93,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.03,0:00:44.23,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.51,0:00:48.10,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.31,0:00:53.58,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.75,0:00:57.81,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.05,0:01:01.85,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.06,0:01:05.55,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.69,0:01:08.89,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.06,0:01:13.19,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.30,0:01:17.10,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.80,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.91,0:01:25.61,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.85,0:01:27.97,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:57.11,0:01:59.48,Default,,0000,0000,0000,,你的命運就是注定要輸給我
Dialogue: Marked=0,0:01:59.61,0:02:00.95,Default,,0000,0000,0000,,絕對不可能會贏的
Dialogue: Marked=0,0:02:02.25,0:02:06.71,Default,,0000,0000,0000,,這種事情\N不試試看怎麼會知道呢
Dialogue: Marked=0,0:02:15.10,0:02:18.50,Default,,0000,0000,0000,,我是不曉得以前\N你老爸被殺的這件事
Dialogue: Marked=0,0:02:18.63,0:02:21.43,Default,,0000,0000,0000,,到底帶給你多麼大的痛苦
Dialogue: Marked=0,0:02:21.60,0:02:22.63,Default,,0000,0000,0000,,可是
Dialogue: Marked=0,0:02:22.77,0:02:25.26,Default,,0000,0000,0000,,如果你認為\N這全是命中註定的話
Dialogue: Marked=0,0:02:25.47,0:02:27.96,Default,,0000,0000,0000,,那根本就是你會錯意了
Dialogue: Marked=0,0:02:28.94,0:02:31.28,Default,,0000,0000,0000,,無可救藥的傢伙
Dialogue: Marked=0,0:02:49.06,0:02:50.72,Default,,0000,0000,0000,,監考官
Dialogue: Marked=0,0:02:51.07,0:02:52.66,Default,,0000,0000,0000,,比賽結束了
Dialogue: Marked=0,0:02:58.01,0:03:00.03,Default,,0000,0000,0000,,你這個吊車尾的
Dialogue: Marked=0,0:03:05.95,0:03:10.25,Default,,0000,0000,0000,,第62話 吊車尾的潛力
Dialogue: Marked=0,0:03:15.62,0:03:18.18,Default,,0000,0000,0000,,你...你別想逃走
Dialogue: Marked=0,0:03:22.96,0:03:25.63,Default,,0000,0000,0000,,我是不會逃避的
Dialogue: Marked=0,0:03:25.87,0:03:29.70,Default,,0000,0000,0000,,我一向都是說到做到
Dialogue: Marked=0,0:03:30.71,0:03:33.33,Default,,0000,0000,0000,,這就是我的忍道
Dialogue: Marked=0,0:03:38.71,0:03:47.75,Default,,0000,0000,0000,,心中有什麼想法...
Dialogue: Marked=0,0:03:49.22,0:03:51.09,Default,,0000,0000,0000,,就一定要做到...
Dialogue: Marked=0,0:03:51.23,0:03:55.53,Default,,0000,0000,0000,,這也是我的忍道
Dialogue: Marked=0,0:03:57.10,0:03:59.40,Default,,0000,0000,0000,,這句台詞我好像聽過了
Dialogue: Marked=0,0:03:59.53,0:04:03.10,Default,,0000,0000,0000,,告訴你，我不會輸給你這種
Dialogue: Marked=0,0:04:03.74,0:04:08.54,Default,,0000,0000,0000,,老是把命運掛在嘴上\N逃避現實的傢伙
Dialogue: Marked=0,0:04:10.18,0:04:11.48,Default,,0000,0000,0000,,鳴人
Dialogue: Marked=0,0:04:15.78,0:04:18.18,Default,,0000,0000,0000,,你這什麼都不懂的小鬼
Dialogue: Marked=0,0:04:18.29,0:04:21.05,Default,,0000,0000,0000,,少在那裡囂張的對我說教
Dialogue: Marked=0,0:04:21.26,0:04:22.92,Default,,0000,0000,0000,,每一個人出生的時候
Dialogue: Marked=0,0:04:23.06,0:04:26.93,Default,,0000,0000,0000,,都背負著一生下來\N就沒有辦法違抗的命運
Dialogue: Marked=0,0:04:32.77,0:04:35.93,Default,,0000,0000,0000,,寧次，你要活下去
Dialogue: Marked=0,0:04:36.07,0:04:36.43,Default,,0000,0000,0000,,你要瞭解
Dialogue: Marked=0,0:04:36.57,0:04:37.87,Default,,0000,0000,0000,,在我們日向一族中
Dialogue: Marked=0,0:04:38.07,0:04:41.30,Default,,0000,0000,0000,,你是最有日向能力\N天賦的人才了
Dialogue: Marked=0,0:04:44.28,0:04:45.51,Default,,0000,0000,0000,,說實話
Dialogue: Marked=0,0:04:45.71,0:04:49.08,Default,,0000,0000,0000,,我真的希望\N你能夠出生在宗家
Dialogue: Marked=0,0:04:53.66,0:04:57.32,Default,,0000,0000,0000,,你根本就不懂背負著一輩子\N都無法消除的記號
Dialogue: Marked=0,0:04:57.83,0:05:00.82,Default,,0000,0000,0000,,到底是什麼樣的命運
Dialogue: Marked=0,0:05:42.20,0:05:43.93,Default,,0000,0000,0000,,是啊
