[Script Info]
Title: NARUTO -ナルト- 第064話 「雲はいいなあ…やる気ゼロの男」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.40,0:00:04.49,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.60,0:00:08.43,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.64,0:00:12.20,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.27,0:00:17.01,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.28,0:00:19.44,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.02,0:00:25.58,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.82,0:00:29.31,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.59,0:00:33.29,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.43,0:00:36.86,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:36.93,0:00:44.20,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.41,0:00:48.07,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.21,0:00:53.44,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.68,0:00:57.88,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.05,0:01:01.82,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.06,0:01:05.36,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.56,0:01:08.86,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:08.96,0:01:12.99,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.13,0:01:17.09,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.64,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.88,0:01:25.64,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.88,0:01:28.14,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:58.35,0:02:01.04,Default,,0000,0000,0000,,鳴人那個笨蛋
Dialogue: Marked=0,0:02:02.28,0:02:07.08,Default,,0000,0000,0000,,第64話 真羨慕白雲...\N沒有幹勁的男人
Dialogue: Marked=0,0:02:19.27,0:02:22.53,Default,,0000,0000,0000,,看樣子明明就是想看\N佐助的比賽才來的嘛
Dialogue: Marked=0,0:02:22.67,0:02:26.04,Default,,0000,0000,0000,,誰會想看\N我們這些配角的比賽呢
Dialogue: Marked=0,0:02:26.17,0:02:29.30,Default,,0000,0000,0000,,好討厭喔\N覺得他們真的很煩耶
Dialogue: Marked=0,0:02:30.28,0:02:31.47,Default,,0000,0000,0000,,好吧
Dialogue: Marked=0,0:02:31.61,0:02:33.60,Default,,0000,0000,0000,,既然對這場比賽\N不抱任何期許
Dialogue: Marked=0,0:02:33.75,0:02:36.22,Default,,0000,0000,0000,,就算打也沒什麼意思嘛
Dialogue: Marked=0,0:02:37.42,0:02:38.58,Default,,0000,0000,0000,,怎麼了
Dialogue: Marked=0,0:02:38.75,0:02:40.85,Default,,0000,0000,0000,,你也要投降了嗎
Dialogue: Marked=0,0:02:42.89,0:02:44.92,Default,,0000,0000,0000,,對手怎麼又是個女的呢
Dialogue: Marked=0,0:02:45.26,0:02:47.75,Default,,0000,0000,0000,,要不要打啊\N為什麼動也不動
Dialogue: Marked=0,0:02:47.86,0:02:49.63,Default,,0000,0000,0000,,又要棄權了是不是
Dialogue: Marked=0,0:02:50.00,0:02:53.37,Default,,0000,0000,0000,,因為那個傢伙\N本來就沒有幹勁嘛
Dialogue: Marked=0,0:02:54.77,0:02:56.43,Default,,0000,0000,0000,,真是的，在搞什麼嘛
Dialogue: Marked=0,0:02:56.54,0:02:58.44,Default,,0000,0000,0000,,喂，鹿丸
Dialogue: Marked=0,0:02:58.51,0:03:00.87,Default,,0000,0000,0000,,你要好好的表現喔
Dialogue: Marked=0,0:03:03.95,0:03:06.28,Default,,0000,0000,0000,,既然不動手那我就主動出擊
