[Script Info]
Title: NARUTO -ナルト- 第066話 「嵐を呼ぶ男！！サスケのゲジマユ流体術！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.50,0:00:04.59,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.73,0:00:08.60,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.84,0:00:12.24,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.34,0:00:17.21,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.35,0:00:20.75,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.12,0:00:25.81,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.95,0:00:29.45,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.66,0:00:33.39,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.60,0:00:36.79,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.07,0:00:44.27,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.41,0:00:48.07,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.28,0:00:53.48,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.72,0:00:57.85,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.05,0:01:01.85,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.02,0:01:05.48,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.73,0:01:08.96,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.06,0:01:13.09,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.30,0:01:17.10,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.80,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.94,0:01:25.71,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.98,0:01:28.04,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:47.17,0:01:49.97,Default,,0000,0000,0000,,規則和預選的時候一樣
Dialogue: Marked=0,0:01:50.27,0:01:54.44,Default,,0000,0000,0000,,比賽進行到其中一方\N死亡或是認輸為止
Dialogue: Marked=0,0:01:55.18,0:01:57.34,Default,,0000,0000,0000,,當看出勝負已定的時候
Dialogue: Marked=0,0:01:57.45,0:02:00.24,Default,,0000,0000,0000,,也會有中途中止比賽的情況
Dialogue: Marked=0,0:02:00.35,0:02:02.51,Default,,0000,0000,0000,,不過那是由我來判斷
Dialogue: Marked=0,0:02:09.62,0:02:15.03,Default,,0000,0000,0000,,第66話 呼喚暴風雨的人\N佐助的濃眉小子流體術
Dialogue: Marked=0,0:02:26.41,0:02:27.37,Default,,0000,0000,0000,,阿凱
Dialogue: Marked=0,0:02:27.48,0:02:28.87,Default,,0000,0000,0000,,小李
Dialogue: Marked=0,0:02:29.24,0:02:31.54,Default,,0000,0000,0000,,你的身體已經沒有大礙了吧
Dialogue: Marked=0,0:02:31.88,0:02:33.14,Default,,0000,0000,0000,,卡卡西
Dialogue: Marked=0,0:02:33.28,0:02:34.81,Default,,0000,0000,0000,,卡卡西老師
