[Script Info]
Title: NARUTO -ナルト- 第068話 「『木ノ葉崩し』始動！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.63,0:00:04.62,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.90,0:00:08.77,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:09.00,0:00:12.34,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.54,0:00:17.24,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.55,0:00:20.84,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.25,0:00:25.88,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.12,0:00:29.65,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.89,0:00:33.49,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.73,0:00:36.89,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.17,0:00:44.50,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.67,0:00:48.23,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.51,0:00:53.68,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:54.02,0:00:58.01,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.22,0:01:02.02,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.26,0:01:05.66,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.89,0:01:08.99,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.20,0:01:13.19,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.50,0:01:17.23,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.47,0:01:20.84,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:21.11,0:01:25.84,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:26.05,0:01:28.02,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:38.63,0:01:40.32,Default,,0000,0000,0000,,作戰開始
Dialogue: Marked=0,0:01:42.26,0:01:46.83,Default,,0000,0000,0000,,第68話 毀滅木葉計劃開始
Dialogue: Marked=0,0:01:57.15,0:01:58.31,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:01:58.65,0:01:59.61,Default,,0000,0000,0000,,交給我來
Dialogue: Marked=0,0:02:02.22,0:02:05.02,Default,,0000,0000,0000,,風影大人，你這是...
Dialogue: Marked=0,0:02:09.09,0:02:10.25,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:02:13.70,0:02:14.66,Default,,0000,0000,0000,,我愛羅
Dialogue: Marked=0,0:02:18.40,0:02:19.26,Default,,0000,0000,0000,,第一班去上面
Dialogue: Marked=0,0:02:19.40,0:02:20.20,Default,,0000,0000,0000,,第二班去下面
Dialogue: Marked=0,0:02:20.57,0:02:21.80,Default,,0000,0000,0000,,快去保護諸侯們
Dialogue: Marked=0,0:02:30.15,0:02:30.80,Default,,0000,0000,0000,,別礙事
Dialogue: Marked=0,0:02:47.50,0:02:48.96,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:02:49.26,0:02:52.23,Default,,0000,0000,0000,,您趁現在...趕快逃
Dialogue: Marked=0,0:03:13.25,0:03:15.02,Default,,0000,0000,0000,,終於輪到我們登場了
Dialogue: Marked=0,0:03:15.22,0:03:17.12,Default,,0000,0000,0000,,一直處在變身的情況下
Dialogue: Marked=0,0:03:17.33,0:03:20.35,Default,,0000,0000,0000,,我都快要覺得欲求不滿了呢
Dialogue: Marked=0,0:03:20.53,0:03:22.96,Default,,0000,0000,0000,,你們全身都是汗臭味
