[Script Info]
Title: NARUTO -ナルト- 第069話 「待ってました！Aランク任務だってばよ！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.63,0:00:04.72,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.90,0:00:08.77,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:09.00,0:00:12.27,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.51,0:00:17.27,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.51,0:00:20.50,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.35,0:00:25.79,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.05,0:00:29.55,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.86,0:00:33.45,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.70,0:00:36.82,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.10,0:00:44.33,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.71,0:00:48.27,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.51,0:00:53.81,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:54.02,0:00:57.97,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.22,0:01:02.05,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.32,0:01:05.62,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.86,0:01:08.99,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.23,0:01:13.29,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.50,0:01:17.23,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.51,0:01:20.84,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:21.08,0:01:25.88,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:26.08,0:01:27.88,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:31.89,0:01:32.85,Default,,0000,0000,0000,,小櫻
Dialogue: Marked=0,0:01:34.09,0:01:36.11,Default,,0000,0000,0000,,我在判定下忍的求生演習中
