[Script Info]
Title: NARUTO -ナルト- 第070話 「逃げ腰No.1 めんどくせーがやるっきゃねえ！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.63,0:00:04.56,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.77,0:00:08.50,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.84,0:00:12.10,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.44,0:00:16.93,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.25,0:00:18.87,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.25,0:00:25.55,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.05,0:00:29.39,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.76,0:00:33.16,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.63,0:00:36.86,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.13,0:00:44.27,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.54,0:00:50.27,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.55,0:00:53.61,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.88,0:00:57.88,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.15,0:01:01.78,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.02,0:01:05.46,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.76,0:01:08.85,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.10,0:01:13.19,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.40,0:01:17.00,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.74,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:21.01,0:01:25.57,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.81,0:01:27.71,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:31.89,0:01:33.11,Default,,0000,0000,0000,,妳快點解開幻術
Dialogue: Marked=0,0:01:33.32,0:01:34.72,Default,,0000,0000,0000,,去把鳴人和鹿丸叫醒
Dialogue: Marked=0,0:01:35.52,0:01:36.85,Default,,0000,0000,0000,,很久沒有出任務了
Dialogue: Marked=0,0:01:38.16,0:01:39.09,Default,,0000,0000,0000,,任務...
Dialogue: Marked=0,0:01:39.86,0:01:41.52,Default,,0000,0000,0000,,你們要小心一點喔
Dialogue: Marked=0,0:01:43.30,0:01:44.49,Default,,0000,0000,0000,,是波之國以來的
Dialogue: Marked=0,0:01:45.07,0:01:46.33,Default,,0000,0000,0000,,A級任務
Dialogue: Marked=0,0:01:51.84,0:01:53.03,Default,,0000,0000,0000,,好痛...
Dialogue: Marked=0,0:01:53.84,0:01:55.90,Default,,0000,0000,0000,,其實你也會反彈幻術嘛
Dialogue: Marked=0,0:01:56.44,0:01:58.34,Default,,0000,0000,0000,,那你幹嘛還躺著假裝睡著呢
Dialogue: Marked=0,0:01:59.31,0:02:00.84,Default,,0000,0000,0000,,你們去追蹤佐助和他會合
Dialogue: Marked=0,0:02:01.08,0:02:01.88,Default,,0000,0000,0000,,然後要阻止他
Dialogue: Marked=0,0:02:02.15,0:02:03.62,Default,,0000,0000,0000,,在新的命令下達前
Dialogue: Marked=0,0:02:03.89,0:02:05.25,Default,,0000,0000,0000,,先在安全的地方待命
Dialogue: Marked=0,0:02:06.55,0:02:08.02,Default,,0000,0000,0000,,佐助他怎麼了
Dialogue: Marked=0,0:02:08.66,0:02:10.28,Default,,0000,0000,0000,,原因我邊走邊告訴你
Dialogue: Marked=0,0:02:11.19,0:02:11.82,Default,,0000,0000,0000,,快走啦
Dialogue: Marked=0,0:02:36.05,0:02:37.31,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:02:37.59,0:02:38.85,Default,,0000,0000,0000,,原來事情變成這樣啊
Dialogue: Marked=0,0:02:39.49,0:02:42.01,Default,,0000,0000,0000,,佐助那傢伙他幹嘛那麼急嘛
Dialogue: Marked=0,0:02:42.99,0:02:45.79,Default,,0000,0000,0000,,我為什麼\N也會被派出來追蹤呢
Dialogue: Marked=0,0:02:45.83,0:02:47.26,Default,,0000,0000,0000,,真是麻煩極了
Dialogue: Marked=0,0:02:48.60,0:02:49.65,Default,,0000,0000,0000,,這也沒辦法
Dialogue: Marked=0,0:02:50.27,0:02:52.10,Default,,0000,0000,0000,,這是卡卡西老師的命令
Dialogue: Marked=0,0:02:56.50,0:02:57.30,Default,,0000,0000,0000,,在這邊
Dialogue: Marked=0,0:03:00.61,0:03:02.30,Default,,0000,0000,0000,,大概要多久才追得上他
Dialogue: Marked=0,0:03:02.34,0:03:03.28,Default,,0000,0000,0000,,不知道
Dialogue: Marked=0,0:03:03.61,0:03:05.84,Default,,0000,0000,0000,,對方也是\N以相當快的速度在移動呢
Dialogue: Marked=0,0:03:06.48,0:03:07.71,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:03:12.39,0:03:17.38,Default,,0000,0000,0000,,第70話\N逃跑第一 怕麻煩還是得面對
Dialogue: Marked=0,0:03:39.81,0:03:40.87,Default,,0000,0000,0000,,你們幾個
Dialogue: Marked=0,0:03:41.35,0:03:42.34,Default,,0000,0000,0000,,速度再加快一點
Dialogue: Marked=0,0:03:43.32,0:03:43.91,Default,,0000,0000,0000,,怎麼了嗎
Dialogue: Marked=0,0:03:44.65,0:03:46.02,Default,,0000,0000,0000,,是不是找到佐助的位置了
Dialogue: Marked=0,0:03:46.22,0:03:46.85,Default,,0000,0000,0000,,不是
Dialogue: Marked=0,0:03:47.26,0:03:49.72,Default,,0000,0000,0000,,後面有兩個小隊，八個人
Dialogue: Marked=0,0:03:50.23,0:03:50.71,Default,,0000,0000,0000,,不對
Dialogue: Marked=0,0:03:51.66,0:03:52.59,Default,,0000,0000,0000,,還有一個
Dialogue: Marked=0,0:03:52.93,0:03:54.42,Default,,0000,0000,0000,,有九個人在追我們
Dialogue: Marked=0,0:03:55.86,0:03:57.63,Default,,0000,0000,0000,,喂喂，已經有追兵了啊
Dialogue: Marked=0,0:03:58.03,0:03:59.40,Default,,0000,0000,0000,,這不是開玩笑的
Dialogue: Marked=0,0:04:19.42,0:04:23.41,Default,,0000,0000,0000,,看樣子對方好像還沒有\N掌握到的正確位置
Dialogue: Marked=0,0:04:27.93,0:04:29.36,Default,,0000,0000,0000,,不過也只能追了
Dialogue: Marked=0,0:04:39.94,0:04:42.31,Default,,0000,0000,0000,,你停下來幹什麼嘛
Dialogue: Marked=0,0:04:42.94,0:04:44.64,Default,,0000,0000,0000,,別說話，跟著我照做就是了
Dialogue: Marked=0,0:04:48.08,0:04:50.07,Default,,0000,0000,0000,,按照我們留下的腳印\N像這樣往後走
Dialogue: Marked=0,0:04:50.65,0:04:51.81,Default,,0000,0000,0000,,這麼一來在他們眼裡
Dialogue: Marked=0,0:04:52.09,0:04:54.08,Default,,0000,0000,0000,,就好像腳印突然消失了
Dialogue: Marked=0,0:04:57.83,0:05:00.39,Default,,0000,0000,0000,,可是就算這樣做
Dialogue: Marked=0,0:05:00.46,0:05:03.33,Default,,0000,0000,0000,,最後他們還是會發現吧
Dialogue: Marked=0,0:05:03.53,0:05:05.23,Default,,0000,0000,0000,,可以多爭取一些時間
Dialogue: Marked=0,0:05:05.90,0:05:07.33,Default,,0000,0000,0000,,這樣就夠了
Dialogue: Marked=0,0:05:08.10,0:05:08.73,Default,,0000,0000,0000,,而且
Dialogue: Marked=0,0:05:08.97,0:05:10.84,Default,,0000,0000,0000,,可以讓追兵的內部\N發生焦慮感
Dialogue: Marked=0,0:05:11.04,0:05:13.34,Default,,0000,0000,0000,,產生追蹤方向的不確定性
Dialogue: Marked=0,0:05:13.54,0:05:16.67,Default,,0000,0000,0000,,進而失去線索的話\N就萬萬歲了
Dialogue: Marked=0,0:05:18.68,0:05:19.91,Default,,0000,0000,0000,,你快點啦
