[Script Info]
Title: NARUTO -ナルト- 第071話 「古今無双！『火影』というレベルの戦い」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.80,0:00:04.63,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.90,0:00:08.56,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.80,0:00:12.20,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.37,0:00:17.07,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.31,0:00:18.94,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.25,0:00:25.65,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:26.09,0:00:29.25,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.72,0:00:33.29,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.73,0:00:36.82,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:37.13,0:00:44.30,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.64,0:00:50.31,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:50.48,0:00:53.47,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.82,0:00:57.95,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.15,0:01:01.82,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:02.12,0:01:05.49,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.76,0:01:08.96,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:09.20,0:01:13.19,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.40,0:01:17.00,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.31,0:01:20.80,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:21.01,0:01:25.50,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.81,0:01:27.71,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:42.30,0:01:43.79,Default,,0000,0000,0000,,怎麼樣，手鞠
Dialogue: Marked=0,0:01:47.34,0:01:48.43,Default,,0000,0000,0000,,很近了
Dialogue: Marked=0,0:01:48.84,0:01:50.13,Default,,0000,0000,0000,,已經快到這裡了
Dialogue: Marked=0,0:01:50.34,0:01:51.13,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:01:51.44,0:01:52.34,Default,,0000,0000,0000,,怎麼辦呢
Dialogue: Marked=0,0:01:54.04,0:01:55.63,Default,,0000,0000,0000,,交給我來應付
Dialogue: Marked=0,0:02:29.44,0:02:30.88,Default,,0000,0000,0000,,算你有兩下子
Dialogue: Marked=0,0:02:32.78,0:02:34.27,Default,,0000,0000,0000,,奇怪，那是什麼聲音
Dialogue: Marked=0,0:02:36.78,0:02:38.22,Default,,0000,0000,0000,,是爆炸聲
Dialogue: Marked=0,0:02:38.45,0:02:41.62,Default,,0000,0000,0000,,我想可能是針對佐助\N所設下的陷阱吧
Dialogue: Marked=0,0:02:42.62,0:02:43.45,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:02:43.89,0:02:45.22,Default,,0000,0000,0000,,不會怎麼樣吧
Dialogue: Marked=0,0:02:45.79,0:02:47.23,Default,,0000,0000,0000,,妳不用擔心啦
Dialogue: Marked=0,0:02:47.40,0:02:50.63,Default,,0000,0000,0000,,那個傢伙\N不會那麼簡單就被打敗的啦
Dialogue: Marked=0,0:02:52.13,0:02:53.86,Default,,0000,0000,0000,,如果是這樣就好了
Dialogue: Marked=0,0:03:02.88,0:03:05.47,Default,,0000,0000,0000,,那麼差不多可以開始了
Dialogue: Marked=0,0:03:06.05,0:03:07.04,Default,,0000,0000,0000,,在開始前
Dialogue: Marked=0,0:03:07.38,0:03:09.54,Default,,0000,0000,0000,,得先請你們兩位大人
Dialogue: Marked=0,0:03:09.65,0:03:11.81,Default,,0000,0000,0000,,都恢復原來的樣子才行
