[Script Info]
Title: NARUTO -ナルト- 第077話 「光と闇 我愛羅という名」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:00.36,0:00:04.53,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:00:04.60,0:00:08.50,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:00:08.57,0:00:12.23,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:00:12.37,0:00:17.00,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:00:17.11,0:00:18.81,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:00:22.12,0:00:25.18,Default,,0000,0000,0000,,不知道一直在回應誰的期待
Dialogue: Marked=0,0:00:25.75,0:00:28.95,Default,,0000,0000,0000,,是因為喜歡被讚美嗎
Dialogue: Marked=0,0:00:29.62,0:00:32.72,Default,,0000,0000,0000,,即使把期許中的自己給改變了
Dialogue: Marked=0,0:00:33.46,0:00:36.79,Default,,0000,0000,0000,,笑容還是能夠那樣的美麗嗎
Dialogue: Marked=0,0:00:36.87,0:00:44.24,Default,,0000,0000,0000,,原本是因為做了場夢而醒過來
Dialogue: Marked=0,0:00:44.34,0:00:48.11,Default,,0000,0000,0000,,一開始的時候
Dialogue: Marked=0,0:00:48.21,0:00:53.51,Default,,0000,0000,0000,,就要用自己的手把握
Dialogue: Marked=0,0:00:53.62,0:00:57.95,Default,,0000,0000,0000,,是的 往往重要的事物
Dialogue: Marked=0,0:00:58.02,0:01:01.85,Default,,0000,0000,0000,,都沒有具體的輪廓
Dialogue: Marked=0,0:01:01.99,0:01:05.45,Default,,0000,0000,0000,,即使在手中 即使失去了
Dialogue: Marked=0,0:01:05.59,0:01:08.79,Default,,0000,0000,0000,,都不需要太在意
Dialogue: Marked=0,0:01:08.86,0:01:13.13,Default,,0000,0000,0000,,就這樣 把悲傷溫柔地
Dialogue: Marked=0,0:01:13.20,0:01:17.04,Default,,0000,0000,0000,,轉化成像自己的力量
Dialogue: Marked=0,0:01:17.14,0:01:20.67,Default,,0000,0000,0000,,如果依然會迷惑也不要緊
Dialogue: Marked=0,0:01:20.81,0:01:25.61,Default,,0000,0000,0000,,把腳步跨出去吧
Dialogue: Marked=0,0:01:25.68,0:01:27.61,Default,,0000,0000,0000,,就再試一次吧
Dialogue: Marked=0,0:01:41.46,0:01:42.56,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:01:50.41,0:01:51.67,Default,,0000,0000,0000,,可惡
Dialogue: Marked=0,0:01:51.74,0:01:54.11,Default,,0000,0000,0000,,再這樣下去\N後果真的會不堪設想
Dialogue: Marked=0,0:01:57.75,0:01:58.87,Default,,0000,0000,0000,,我絕對
Dialogue: Marked=0,0:02:01.48,0:02:05.11,Default,,0000,0000,0000,,我絕對會\N救出你們大家的
Dialogue: Marked=0,0:02:07.52,0:02:10.29,Default,,0000,0000,0000,,第77話 光與黑暗\N我愛羅的名字
Dialogue: Marked=0,0:02:24.17,0:02:26.77,Default,,0000,0000,0000,,你是為了別人而戰的嗎
Dialogue: Marked=0,0:02:28.68,0:02:31.30,Default,,0000,0000,0000,,所以你們的程度就只有這樣
Dialogue: Marked=0,0:02:31.41,0:02:33.71,Default,,0000,0000,0000,,戰鬥是不需要任何理由的
Dialogue: Marked=0,0:02:35.55,0:02:36.98,Default,,0000,0000,0000,,只有最後勝利的人
Dialogue: Marked=0,0:02:37.09,0:02:39.71,Default,,0000,0000,0000,,才能確實感受到自己的存在
Dialogue: Marked=0,0:02:39.82,0:02:40.62,Default,,0000,0000,0000,,來吧
Dialogue: Marked=0,0:02:40.72,0:02:42.99,Default,,0000,0000,0000,,你就不要理會那些\N沒有用的夥伴
Dialogue: Marked=0,0:02:43.09,0:02:45.58,Default,,0000,0000,0000,,為了你自己的存在戰鬥吧
Dialogue: Marked=0,0:02:46.29,0:02:50.42,Default,,0000,0000,0000,,沒有用的...夥伴...
