[Script Info]
Title: NARUTO -ナルト- 第080話 「三代目よ、永久に……！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.60,0:00:10.90,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.97,0:00:14.43,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.54,0:00:18.03,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.11,0:00:21.74,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.88,0:00:25.25,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.39,0:00:27.18,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.06,0:00:35.96,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.06,0:00:43.10,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.20,0:00:50.34,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.48,0:00:56.58,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.68,0:01:01.09,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.19,0:01:04.63,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.73,0:01:08.22,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.30,0:01:11.75,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.90,0:01:15.39,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.50,0:01:18.94,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.01,0:01:22.53,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.68,0:01:26.14,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.25,0:01:27.08,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:29.75,0:01:34.45,Default,,0000,0000,0000,,第80話 第三代火影 永別了
Dialogue: Marked=0,0:01:47.70,0:01:48.69,Default,,0000,0000,0000,,猿飛...
Dialogue: Marked=0,0:01:49.80,0:01:52.10,Default,,0000,0000,0000,,至少讓我替你拔出這把劍
Dialogue: Marked=0,0:01:56.81,0:01:59.11,Default,,0000,0000,0000,,這種死法
Dialogue: Marked=0,0:01:59.25,0:02:02.11,Default,,0000,0000,0000,,最適合把忍道\N發揮得淋漓盡致的你了
Dialogue: Marked=0,0:02:08.82,0:02:11.59,Default,,0000,0000,0000,,我的雙手\N就像要燒起來一樣
Dialogue: Marked=0,0:02:12.26,0:02:13.39,Default,,0000,0000,0000,,大蛇丸大人
Dialogue: Marked=0,0:02:14.20,0:02:15.72,Default,,0000,0000,0000,,作戰到此為止
Dialogue: Marked=0,0:02:17.07,0:02:20.16,Default,,0000,0000,0000,,不需要結界了，我們回去吧
Dialogue: Marked=0,0:02:20.27,0:02:21.10,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:02:21.20,0:02:22.19,Default,,0000,0000,0000,,解
Dialogue: Marked=0,0:02:26.34,0:02:27.33,Default,,0000,0000,0000,,結界已經...
Dialogue: Marked=0,0:02:27.44,0:02:28.37,Default,,0000,0000,0000,,解開了
Dialogue: Marked=0,0:02:29.14,0:02:30.44,Default,,0000,0000,0000,,火影大人
Dialogue: Marked=0,0:02:36.52,0:02:37.35,Default,,0000,0000,0000,,我們走
Dialogue: Marked=0,0:02:39.29,0:02:40.25,Default,,0000,0000,0000,,休想要逃走
Dialogue: Marked=0,0:02:44.26,0:02:46.59,Default,,0000,0000,0000,,忍法...蜘蛛束縛術
Dialogue: Marked=0,0:02:49.60,0:02:52.03,Default,,0000,0000,0000,,這種是充滿\N查克拉的黏著蜘蛛絲
Dialogue: Marked=0,0:02:54.60,0:02:55.50,Default,,0000,0000,0000,,卡卡西
Dialogue: Marked=0,0:02:55.60,0:02:57.23,Default,,0000,0000,0000,,他們已經行動了，要追嗎
Dialogue: Marked=0,0:02:57.37,0:02:59.10,Default,,0000,0000,0000,,不，先慢著
Dialogue: Marked=0,0:02:59.17,0:03:00.16,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:03:00.94,0:03:03.00,Default,,0000,0000,0000,,在還沒有\N上方狀況情報的狀態下
Dialogue: Marked=0,0:03:03.11,0:03:04.60,Default,,0000,0000,0000,,擅自行動的話
Dialogue: Marked=0,0:03:04.68,0:03:06.70,Default,,0000,0000,0000,,可能會中了敵人的圈套
Dialogue: Marked=0,0:03:06.81,0:03:09.37,Default,,0000,0000,0000,,不用你說我也知道
Dialogue: Marked=0,0:03:09.48,0:03:11.01,Default,,0000,0000,0000,,不管敵人有沒有設下圈套
Dialogue: Marked=0,0:03:11.12,0:03:13.55,Default,,0000,0000,0000,,像這種時候\N絕對不能讓敵人逃走
Dialogue: Marked=0,0:03:13.62,0:03:15.65,Default,,0000,0000,0000,,這才是木葉的忍者
Dialogue: Marked=0,0:03:16.39,0:03:17.52,Default,,0000,0000,0000,,那...
Dialogue: Marked=0,0:03:17.63,0:03:20.09,Default,,0000,0000,0000,,結果你只是\N在一旁站著看而已嗎
Dialogue: Marked=0,0:03:20.16,0:03:21.13,Default,,0000,0000,0000,,兜
Dialogue: Marked=0,0:03:25.00,0:03:26.80,Default,,0000,0000,0000,,果然被看穿了
Dialogue: Marked=0,0:03:26.94,0:03:28.56,Default,,0000,0000,0000,,喂，怎麼辦
Dialogue: Marked=0,0:03:28.64,0:03:30.13,Default,,0000,0000,0000,,我們也差不多該撤退了
Dialogue: Marked=0,0:03:30.91,0:03:32.60,Default,,0000,0000,0000,,你又要從我的面前逃走嗎
Dialogue: Marked=0,0:03:33.78,0:03:35.27,Default,,0000,0000,0000,,目前的確是這樣
Dialogue: Marked=0,0:03:35.41,0:03:36.90,Default,,0000,0000,0000,,如果我出手攻擊你的話
Dialogue: Marked=0,0:03:37.01,0:03:39.24,Default,,0000,0000,0000,,我的招式就會被你給拷貝
Dialogue: Marked=0,0:03:40.55,0:03:41.85,Default,,0000,0000,0000,,話又說回來
Dialogue: Marked=0,0:03:41.98,0:03:43.97,Default,,0000,0000,0000,,你好像也沒有辦法\N像宇智波一族一樣
Dialogue: Marked=0,0:03:44.09,0:03:46.75,Default,,0000,0000,0000,,能夠充分完美地\N運用那個寫輪眼嘛
Dialogue: Marked=0,0:03:55.43,0:03:56.33,Default,,0000,0000,0000,,告辭了
Dialogue: Marked=0,0:04:07.68,0:04:08.66,Default,,0000,0000,0000,,手鞠...
Dialogue: Marked=0,0:04:14.98,0:04:15.97,Default,,0000,0000,0000,,勘九郎
Dialogue: Marked=0,0:04:42.38,0:04:43.74,Default,,0000,0000,0000,,小櫻就交給你了
Dialogue: Marked=0,0:04:45.81,0:04:46.94,Default,,0000,0000,0000,,喂
Dialogue: Marked=0,0:05:01.76,0:05:05.53,Default,,0000,0000,0000,,為什麼\N這小子會強到這種程度
Dialogue: Marked=0,0:05:07.74,0:05:09.76,Default,,0000,0000,0000,,我的存在是不會消失的
Dialogue: Marked=0,0:05:10.77,0:05:12.33,Default,,0000,0000,0000,,不會消失
Dialogue: Marked=0,0:05:12.41,0:05:14.27,Default,,0000,0000,0000,,怎麼可以消失呢
Dialogue: Marked=0,0:05:36.80,0:05:38.86,Default,,0000,0000,0000,,不是說過，別跟那傢伙講話嗎
Dialogue: Marked=0,0:05:39.30,0:05:40.49,Default,,0000,0000,0000,,走了啦
Dialogue: Marked=0,0:05:45.71,0:05:47.87,Default,,0000,0000,0000,,有了，就是他
Dialogue: Marked=0,0:05:50.31,0:05:51.51,Default,,0000,0000,0000,,你快點消失掉
Dialogue: Marked=0,0:05:54.15,0:05:54.77,Default,,0000,0000,0000,,你這個怪物
Dialogue: Marked=0,0:05:54.88,0:06:01.15,Default,,0000,0000,0000,,怪物...
Dialogue: Marked=0,0:06:09.66,0:06:11.53,Default,,0000,0000,0000,,怪物，去死吧
Dialogue: Marked=0,0:06:14.40,0:06:15.66,Default,,0000,0000,0000,,就是他
Dialogue: Marked=0,0:06:15.74,0:06:17.33,Default,,0000,0000,0000,,不要過去啊，笨蛋
Dialogue: Marked=0,0:06:20.84,0:06:22.17,Default,,0000,0000,0000,,都說不要看了
Dialogue: Marked=0,0:06:25.25,0:06:26.54,Default,,0000,0000,0000,,滾開啊
Dialogue: Marked=0,0:06:50.57,0:06:51.50,Default,,0000,0000,0000,,對他們來說
Dialogue: Marked=0,0:06:51.57,0:06:53.94,Default,,0000,0000,0000,,我是個\N他們想要抹滅的過去遺物
