[Script Info]
Title: NARUTO -ナルト- 第082話 「写輪眼VS写輪眼！！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.47,0:00:10.73,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.84,0:00:14.28,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.38,0:00:17.87,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.01,0:00:21.51,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.65,0:00:25.14,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.25,0:00:27.15,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.89,0:00:35.92,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:35.96,0:00:42.96,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.10,0:00:50.34,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.45,0:00:56.48,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.62,0:01:00.95,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:00.99,0:01:04.48,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.53,0:01:08.02,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.20,0:01:11.69,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.77,0:01:15.26,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.40,0:01:18.77,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:18.91,0:01:22.43,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.51,0:01:26.00,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.08,0:01:27.05,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:31.52,0:01:32.51,Default,,0000,0000,0000,,水遁
Dialogue: Marked=0,0:01:36.02,0:01:37.51,Default,,0000,0000,0000,,水鮫彈之術
Dialogue: Marked=0,0:01:42.56,0:01:44.46,Default,,0000,0000,0000,,居然是跟我一樣的忍術
Dialogue: Marked=0,0:01:44.83,0:01:47.53,Default,,0000,0000,0000,,為什麼連你也跑到這裡來了呢
Dialogue: Marked=0,0:01:48.04,0:01:51.80,Default,,0000,0000,0000,,沒有啦\N雖然我剛才拜託了你們兩位
Dialogue: Marked=0,0:01:52.57,0:01:54.97,Default,,0000,0000,0000,,不過\N我還是覺得有點不放心
Dialogue: Marked=0,0:01:59.35,0:02:01.58,Default,,0000,0000,0000,,像你這種逃亡的忍者
Dialogue: Marked=0,0:02:01.75,0:02:04.05,Default,,0000,0000,0000,,現在又回到這個村子裡\N做什麼呢
Dialogue: Marked=0,0:02:10.13,0:02:11.75,Default,,0000,0000,0000,,旗木卡卡西
Dialogue: Marked=0,0:02:14.43,0:02:16.29,Default,,0000,0000,0000,,第82話 寫輪眼對寫輪眼
Dialogue: Marked=0,0:02:35.42,0:02:36.94,Default,,0000,0000,0000,,為什麼，為什麼
Dialogue: Marked=0,0:02:37.12,0:02:38.75,Default,,0000,0000,0000,,為什麼我非得要和好色仙人
Dialogue: Marked=0,0:02:38.85,0:02:42.02,Default,,0000,0000,0000,,一起去做取材旅行不可呢
Dialogue: Marked=0,0:02:42.19,0:02:43.25,Default,,0000,0000,0000,,不是啦
Dialogue: Marked=0,0:02:43.36,0:02:46.45,Default,,0000,0000,0000,,這趟不只是單純的\N取材旅行喔
Dialogue: Marked=0,0:02:46.63,0:02:49.93,Default,,0000,0000,0000,,我想採訪某個女人\N得找到那個傢伙才行
Dialogue: Marked=0,0:02:50.03,0:02:50.86,Default,,0000,0000,0000,,我才沒那個閒功夫
Dialogue: Marked=0,0:02:50.97,0:02:54.16,Default,,0000,0000,0000,,陪你去做那種\N好色的取材工作呢
