[Script Info]
Title: NARUTO -ナルト- 第083話 「おお、のォ〜っ！自来也の女難、ナルトの災難」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.70,0:00:10.97,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.07,0:00:14.53,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.61,0:00:18.07,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.18,0:00:21.71,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.82,0:00:25.34,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.45,0:00:27.39,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.12,0:00:36.16,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.23,0:00:43.23,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.30,0:00:50.51,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.65,0:00:56.68,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.75,0:01:01.09,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.22,0:01:04.66,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.76,0:01:08.25,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.33,0:01:11.82,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.97,0:01:15.46,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.54,0:01:19.06,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.21,0:01:22.61,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.74,0:01:26.20,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.28,0:01:27.21,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:38.23,0:01:40.56,Default,,0000,0000,0000,,好色仙人，你快告訴我嘛
Dialogue: Marked=0,0:01:40.66,0:01:43.03,Default,,0000,0000,0000,,你這次到底要教我\N什麼樣的忍術嘛
Dialogue: Marked=0,0:01:43.10,0:01:46.26,Default,,0000,0000,0000,,是像之前\N你教過的水面步行之術呢
Dialogue: Marked=0,0:01:47.14,0:01:48.90,Default,,0000,0000,0000,,還是火焰步行呢
Dialogue: Marked=0,0:01:49.00,0:01:52.20,Default,,0000,0000,0000,,或者，是空中步行
Dialogue: Marked=0,0:01:54.01,0:01:55.60,Default,,0000,0000,0000,,你趕快告訴我嘛
Dialogue: Marked=0,0:01:55.71,0:01:57.23,Default,,0000,0000,0000,,好不好，好色仙人
Dialogue: Marked=0,0:01:58.18,0:02:01.08,Default,,0000,0000,0000,,你一直叫我\N好色仙人好色仙人的
