[Script Info]
Title: NARUTO -ナルト- 第084話 「唸れ千鳥 吠えろサスケ！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.60,0:00:11.06,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.17,0:00:14.57,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.68,0:00:18.08,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.21,0:00:21.74,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.82,0:00:25.25,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.39,0:00:27.32,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.09,0:00:36.12,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.23,0:00:43.23,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.34,0:00:50.57,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.65,0:00:56.71,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.82,0:01:01.08,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.16,0:01:04.72,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.79,0:01:08.25,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.40,0:01:11.83,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.97,0:01:15.46,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.54,0:01:19.06,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.21,0:01:22.61,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.74,0:01:26.20,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.28,0:01:27.18,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:37.93,0:01:39.02,Default,,0000,0000,0000,,佐助...
Dialogue: Marked=0,0:01:41.60,0:01:43.29,Default,,0000,0000,0000,,不是，是誰啊
Dialogue: Marked=0,0:01:43.36,0:01:45.53,Default,,0000,0000,0000,,跟佐助的寫輪眼一模一樣
Dialogue: Marked=0,0:01:47.24,0:01:48.53,Default,,0000,0000,0000,,沒想到...
Dialogue: Marked=0,0:01:48.64,0:01:51.13,Default,,0000,0000,0000,,那個九尾\N就在這樣的小鬼體內
Dialogue: Marked=0,0:01:53.88,0:01:55.54,Default,,0000,0000,0000,,他們到底是誰
Dialogue: Marked=0,0:01:55.61,0:01:57.60,Default,,0000,0000,0000,,怎麼會知道九尾妖狐的事
Dialogue: Marked=0,0:01:59.25,0:02:02.05,Default,,0000,0000,0000,,鳴人，請你跟我們一起走
Dialogue: Marked=0,0:02:05.65,0:02:08.35,Default,,0000,0000,0000,,第84話\N千鳥的吼叫 佐助的吶喊
Dialogue: Marked=0,0:02:13.66,0:02:15.32,Default,,0000,0000,0000,,那個傢伙應該就在附近
Dialogue: Marked=0,0:02:18.30,0:02:19.39,Default,,0000,0000,0000,,那個傢伙
Dialogue: Marked=0,0:02:37.39,0:02:38.25,Default,,0000,0000,0000,,哥
Dialogue: Marked=0,0:02:39.69,0:02:44.68,Default,,0000,0000,0000,,今天學校放學後\N陪我作飛鏢術的修練好不好
Dialogue: Marked=0,0:02:45.53,0:02:47.22,Default,,0000,0000,0000,,我還有事要忙呢
Dialogue: Marked=0,0:02:47.86,0:02:50.23,Default,,0000,0000,0000,,你去找父親指導你就可以了吧
Dialogue: Marked=0,0:02:51.03,0:02:52.19,Default,,0000,0000,0000,,可是
Dialogue: Marked=0,0:02:52.30,0:02:55.24,Default,,0000,0000,0000,,跟父親比較起來\N哥的飛鏢術更厲害
Dialogue: Marked=0,0:02:56.14,0:02:57.83,Default,,0000,0000,0000,,這連我都看得出來
Dialogue: Marked=0,0:02:58.87,0:03:02.37,Default,,0000,0000,0000,,哥為什麼老是要把我當成\N愛找麻煩的人呢
Dialogue: Marked=0,0:03:13.82,0:03:14.81,Default,,0000,0000,0000,,好痛
Dialogue: Marked=0,0:03:16.96,0:03:18.32,Default,,0000,0000,0000,,原諒我，佐助
Dialogue: Marked=0,0:03:19.19,0:03:20.59,Default,,0000,0000,0000,,下一次再教你
Dialogue: Marked=0,0:03:35.84,0:03:38.00,Default,,0000,0000,0000,,因為我今天\N真的沒有空陪你練習
Dialogue: Marked=0,0:03:41.05,0:03:43.45,Default,,0000,0000,0000,,你每次都說"原諒我，佐助"
Dialogue: Marked=0,0:03:43.55,0:03:45.54,Default,,0000,0000,0000,,然後就戳我的額頭
Dialogue: Marked=0,0:03:45.69,0:03:46.95,Default,,0000,0000,0000,,還說什麼"下一次"
Dialogue: Marked=0,0:03:47.06,0:03:48.92,Default,,0000,0000,0000,,其實你從來就沒有陪過我
Dialogue: Marked=0,0:04:00.07,0:04:00.97,Default,,0000,0000,0000,,爸
Dialogue: Marked=0,0:04:01.90,0:04:05.36,Default,,0000,0000,0000,,為什麼哥都不太理我
Dialogue: Marked=0,0:04:09.21,0:04:11.70,Default,,0000,0000,0000,,你哥哥他跟別人不太一樣
Dialogue: Marked=0,0:04:13.28,0:04:17.05,Default,,0000,0000,0000,,因為他不太喜歡\N跟大家打成一片
Dialogue: Marked=0,0:04:17.82,0:04:18.98,Default,,0000,0000,0000,,為什麼呢
Dialogue: Marked=0,0:04:20.69,0:04:21.95,Default,,0000,0000,0000,,我也不知道
Dialogue: Marked=0,0:04:23.12,0:04:26.12,Default,,0000,0000,0000,,其實\N連我這個當父親的也看不透
Dialogue: Marked=0,0:04:27.20,0:04:28.32,Default,,0000,0000,0000,,他在想什麼
Dialogue: Marked=0,0:04:29.33,0:04:32.06,Default,,0000,0000,0000,,來，佐助，你的便當
Dialogue: Marked=0,0:04:32.20,0:04:33.63,Default,,0000,0000,0000,,你要練習飛鏢的話
Dialogue: Marked=0,0:04:33.70,0:04:35.90,Default,,0000,0000,0000,,等放學回來媽媽再教你好了
Dialogue: Marked=0,0:04:37.91,0:04:40.64,Default,,0000,0000,0000,,我不是要練習，是要修練
Dialogue: Marked=0,0:04:42.21,0:04:43.51,Default,,0000,0000,0000,,我走囉
Dialogue: Marked=0,0:04:48.72,0:04:51.21,Default,,0000,0000,0000,,佐助，要去上學啦
Dialogue: Marked=0,0:04:53.09,0:04:56.58,Default,,0000,0000,0000,,我剛才看到鼬了，他真了不起
Dialogue: Marked=0,0:04:56.72,0:04:58.72,Default,,0000,0000,0000,,已經是一流的忍者了
Dialogue: Marked=0,0:04:59.59,0:05:02.29,Default,,0000,0000,0000,,七歲就以第一名\N從忍者學校畢業
Dialogue: Marked=0,0:05:02.36,0:05:04.85,Default,,0000,0000,0000,,十歲就升格成為中忍了
Dialogue: Marked=0,0:05:06.10,0:05:09.16,Default,,0000,0000,0000,,八歲就已經懂得\N怎麼運用寫輪眼了
Dialogue: Marked=0,0:05:10.94,0:05:12.93,Default,,0000,0000,0000,,就是說呀
Dialogue: Marked=0,0:05:13.04,0:05:17.17,Default,,0000,0000,0000,,那孩子還真是我們\N宇智波一族的驕傲呢
Dialogue: Marked=0,0:05:18.11,0:05:18.87,Default,,0000,0000,0000,,這麼說的話
Dialogue: Marked=0,0:05:19.01,0:05:21.04,Default,,0000,0000,0000,,佐助，你今年幾歲了
Dialogue: Marked=0,0:05:23.69,0:05:27.45,Default,,0000,0000,0000,,我現在的年紀\N和哥畢業的時候一樣
Dialogue: Marked=0,0:05:27.56,0:05:28.68,Default,,0000,0000,0000,,可是我...
Dialogue: Marked=0,0:05:29.62,0:05:30.89,Default,,0000,0000,0000,,你怎麼了嗎
Dialogue: Marked=0,0:05:32.56,0:05:34.89,Default,,0000,0000,0000,,妳不要老是\N說那些無聊的事情
Dialogue: Marked=0,0:05:34.96,0:05:36.45,Default,,0000,0000,0000,,老公
Dialogue: Marked=0,0:05:37.63,0:05:41.03,Default,,0000,0000,0000,,佐助，你跟鼬都一樣\N是我們宇智波一族
Dialogue: Marked=0,0:05:41.14,0:05:43.19,Default,,0000,0000,0000,,是木葉忍者村裡的名門
Dialogue: Marked=0,0:05:43.84,0:05:45.14,Default,,0000,0000,0000,,對自己要有信心
Dialogue: Marked=0,0:05:45.71,0:05:49.27,Default,,0000,0000,0000,,你將來也會跟鼬一樣\N成為了不起的忍者
Dialogue: Marked=0,0:05:51.98,0:05:53.07,Default,,0000,0000,0000,,那我要去上學了
Dialogue: Marked=0,0:05:53.85,0:05:55.34,Default,,0000,0000,0000,,要加油喔
Dialogue: Marked=0,0:05:55.42,0:05:57.28,Default,,0000,0000,0000,,要努力用功學習哦
Dialogue: Marked=0,0:06:07.43,0:06:08.59,Default,,0000,0000,0000,,沒錯
Dialogue: Marked=0,0:06:08.73,0:06:11.79,Default,,0000,0000,0000,,我和哥一樣\N都是宇智波一族的人
Dialogue: Marked=0,0:06:21.01,0:06:22.67,Default,,0000,0000,0000,,我絕對不會輸給哥的
Dialogue: Marked=0,0:06:35.52,0:06:37.08,Default,,0000,0000,0000,,拖得太晚了
Dialogue: Marked=0,0:07:04.99,0:07:06.21,Default,,0000,0000,0000,,怎麼回事
Dialogue: Marked=0,0:07:06.29,0:07:08.41,Default,,0000,0000,0000,,感覺剛才好像有人站在哪裡
Dialogue: Marked=0,0:07:12.86,0:07:14.49,Default,,0000,0000,0000,,怎麼會沒有燈光呢
Dialogue: Marked=0,0:07:14.56,0:07:16.66,Default,,0000,0000,0000,,明明就還沒有到睡覺的時間
Dialogue: Marked=0,0:07:22.00,0:07:22.99,Default,,0000,0000,0000,,這是...
Dialogue: Marked=0,0:07:34.88,0:07:36.25,Default,,0000,0000,0000,,這是怎麼回事
Dialogue: Marked=0,0:07:42.89,0:07:44.69,Default,,0000,0000,0000,,到底是怎麼回事
Dialogue: Marked=0,0:07:57.41,0:07:59.40,Default,,0000,0000,0000,,大叔，大嬸
Dialogue: Marked=0,0:08:03.85,0:08:05.84,Default,,0000,0000,0000,,爸爸，媽媽
Dialogue: Marked=0,0:08:16.72,0:08:18.62,Default,,0000,0000,0000,,爸，媽
Dialogue: Marked=0,0:08:21.13,0:08:22.29,Default,,0000,0000,0000,,你們不在嗎
Dialogue: Marked=0,0:08:56.96,0:08:58.12,Default,,0000,0000,0000,,有人在裡面
Dialogue: Marked=0,0:09:07.11,0:09:08.13,Default,,0000,0000,0000,,動啊
Dialogue: Marked=0,0:09:09.31,0:09:10.47,Default,,0000,0000,0000,,快動啊
