[Script Info]
Title: NARUTO -ナルト- 第087話 「根性！！！ 割れろ水風船！」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.50,0:00:10.87,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.97,0:00:14.37,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.51,0:00:18.00,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.11,0:00:21.51,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.65,0:00:25.14,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.25,0:00:27.24,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.99,0:00:35.92,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.06,0:00:43.10,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.17,0:00:50.41,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.48,0:00:56.58,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.68,0:01:00.98,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.58,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.69,0:01:08.15,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.23,0:01:11.72,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.87,0:01:15.36,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.44,0:01:18.96,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.11,0:01:22.47,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.61,0:01:26.05,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.18,0:01:27.15,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:34.69,0:01:37.89,Default,,0000,0000,0000,,太好了，水開始旋轉了
Dialogue: Marked=0,0:01:38.03,0:01:41.62,Default,,0000,0000,0000,,這下子好像可以比\N想像中還要容易弄破
Dialogue: Marked=0,0:01:41.73,0:01:43.13,Default,,0000,0000,0000,,那在你弄破之前
Dialogue: Marked=0,0:01:43.23,0:01:45.60,Default,,0000,0000,0000,,我先躺著休息一下好了
Dialogue: Marked=0,0:01:46.53,0:01:48.06,Default,,0000,0000,0000,,就跟這個玩意兒一起
Dialogue: Marked=0,0:01:48.90,0:01:50.39,Default,,0000,0000,0000,,那是什麼
Dialogue: Marked=0,0:01:50.54,0:01:53.27,Default,,0000,0000,0000,,這個是打發時間一定要的
Dialogue: Marked=0,0:01:53.81,0:01:55.50,Default,,0000,0000,0000,,然後再睡個覺
Dialogue: Marked=0,0:01:57.55,0:02:00.21,Default,,0000,0000,0000,,照這情況下去的話\N我看你連睡午覺都沒辦法了
Dialogue: Marked=0,0:02:00.95,0:02:02.18,Default,,0000,0000,0000,,是嗎
Dialogue: Marked=0,0:02:02.75,0:02:05.12,Default,,0000,0000,0000,,等你弄破水球之後\N再叫醒我吧
Dialogue: Marked=0,0:02:05.22,0:02:06.55,Default,,0000,0000,0000,,你等著吧
Dialogue: Marked=0,0:02:07.42,0:02:11.38,Default,,0000,0000,0000,,這種玩意兒，我一定可以\N在今天之內就把它學會
Dialogue: Marked=0,0:02:18.60,0:02:21.19,Default,,0000,0000,0000,,第87話 毅力!弄破水球
Dialogue: Marked=0,0:02:35.62,0:02:36.85,Default,,0000,0000,0000,,怎麼搞的
Dialogue: Marked=0,0:02:36.95,0:02:39.32,Default,,0000,0000,0000,,為什麼都沒有辦法弄破
Dialogue: Marked=0,0:02:41.46,0:02:42.69,Default,,0000,0000,0000,,你學會了嗎
Dialogue: Marked=0,0:02:42.69,0:02:43.05,Default,,0000,0000,0000,,嚇我一跳
Dialogue: Marked=0,0:02:46.63,0:02:49.96,Default,,0000,0000,0000,,這個嘛\N應該還不能算是學會了啦
Dialogue: Marked=0,0:02:52.30,0:02:56.07,Default,,0000,0000,0000,,看樣子\N我好像從白天睡到晚上了
Dialogue: Marked=0,0:02:57.67,0:02:59.26,Default,,0000,0000,0000,,我問你，我問你啦
Dialogue: Marked=0,0:02:59.34,0:03:00.83,Default,,0000,0000,0000,,你到底是怎麼弄破的
Dialogue: Marked=0,0:03:04.48,0:03:08.14,Default,,0000,0000,0000,,我不是說過\N等你弄破再做詳細的說明嗎
Dialogue: Marked=0,0:03:11.29,0:03:12.65,Default,,0000,0000,0000,,我知道了
Dialogue: Marked=0,0:03:14.22,0:03:17.62,Default,,0000,0000,0000,,我本來是想讓你自己\N在錯誤中學習
Dialogue: Marked=0,0:03:17.73,0:03:20.69,Default,,0000,0000,0000,,在學習的過程中\N學會跟忍術相關的知識
Dialogue: Marked=0,0:03:22.33,0:03:25.89,Default,,0000,0000,0000,,那我就先教你一些\N關於忍術的知識好了
Dialogue: Marked=0,0:03:26.67,0:03:29.43,Default,,0000,0000,0000,,你先試著讓水旋轉看看吧
Dialogue: Marked=0,0:03:37.95,0:03:39.64,Default,,0000,0000,0000,,右邊和左邊
Dialogue: Marked=0,0:03:39.75,0:03:42.27,Default,,0000,0000,0000,,你是讓水往哪一邊轉
Dialogue: Marked=0,0:03:43.45,0:03:46.08,Default,,0000,0000,0000,,這個嘛，往左邊啊
Dialogue: Marked=0,0:03:46.22,0:03:48.16,Default,,0000,0000,0000,,你過來一下
Dialogue: Marked=0,0:03:55.53,0:03:57.16,Default,,0000,0000,0000,,果然沒錯
Dialogue: Marked=0,0:03:58.23,0:04:00.29,Default,,0000,0000,0000,,怎...怎麼了嗎
Dialogue: Marked=0,0:04:00.40,0:04:03.89,Default,,0000,0000,0000,,你果然\N是屬於往右迴旋型的嘛
Dialogue: Marked=0,0:04:03.97,0:04:05.10,Default,,0000,0000,0000,,往右
Dialogue: Marked=0,0:04:05.24,0:04:07.04,Default,,0000,0000,0000,,因為在聚集查克拉的時候
Dialogue: Marked=0,0:04:07.11,0:04:10.10,Default,,0000,0000,0000,,必須進行混合能量的動作
Dialogue: Marked=0,0:04:10.18,0:04:12.67,Default,,0000,0000,0000,,每個人都會無意識地\N讓能量在體內旋轉
Dialogue: Marked=0,0:04:12.75,0:04:14.54,Default,,0000,0000,0000,,凝聚出查克拉
Dialogue: Marked=0,0:04:14.68,0:04:18.24,Default,,0000,0000,0000,,這個時候能量旋轉的方向\N會往左或往右
Dialogue: Marked=0,0:04:18.39,0:04:20.18,Default,,0000,0000,0000,,是因人而異的
Dialogue: Marked=0,0:04:20.26,0:04:22.05,Default,,0000,0000,0000,,也就是說，這種修練中
Dialogue: Marked=0,0:04:22.12,0:04:23.49,Default,,0000,0000,0000,,如果讓水旋轉的方向
Dialogue: Marked=0,0:04:23.56,0:04:26.99,Default,,0000,0000,0000,,和自己所屬的\N迴旋形態相反時
Dialogue: Marked=0,0:04:27.06,0:04:30.26,Default,,0000,0000,0000,,查克拉的流動\N會變得不連貫相互干擾
Dialogue: Marked=0,0:04:30.40,0:04:32.70,Default,,0000,0000,0000,,這樣子迴旋氣勢就不容易變強
Dialogue: Marked=0,0:04:33.57,0:04:34.56,Default,,0000,0000,0000,,不過這種事
Dialogue: Marked=0,0:04:34.70,0:04:38.40,Default,,0000,0000,0000,,應該可以靠\N自己的感覺體會到的
Dialogue: Marked=0,0:04:38.51,0:04:39.84,Default,,0000,0000,0000,,可是啊，可是啊
Dialogue: Marked=0,0:04:39.94,0:04:43.21,Default,,0000,0000,0000,,你怎麼可以一眼就看出\N我是屬於右迴旋型的呢
Dialogue: Marked=0,0:04:44.71,0:04:46.44,Default,,0000,0000,0000,,看頭髮生長的方向就知道了
Dialogue: Marked=0,0:04:46.51,0:04:49.57,Default,,0000,0000,0000,,頭髮往右捲的就是右迴旋型
Dialogue: Marked=0,0:04:49.65,0:04:52.35,Default,,0000,0000,0000,,往左就是左迴旋型
Dialogue: Marked=0,0:04:52.45,0:04:54.15,Default,,0000,0000,0000,,這很簡單的
Dialogue: Marked=0,0:04:55.59,0:04:57.65,Default,,0000,0000,0000,,那我的頭髮是往右捲的囉
Dialogue: Marked=0,0:04:57.79,0:04:58.85,Default,,0000,0000,0000,,是啊
Dialogue: Marked=0,0:04:58.96,0:05:02.23,Default,,0000,0000,0000,,所以你得讓水\N往右邊旋轉才行
Dialogue: Marked=0,0:05:03.30,0:05:06.60,Default,,0000,0000,0000,,其實我以前\N都不會注意到這種小細節的
Dialogue: Marked=0,0:05:06.73,0:05:10.30,Default,,0000,0000,0000,,不過，我教你的這種忍術\N非常適合你
Dialogue: Marked=0,0:05:10.37,0:05:12.46,Default,,0000,0000,0000,,完全不需要結印
Dialogue: Marked=0,0:05:12.54,0:05:15.37,Default,,0000,0000,0000,,只要能順利\N製造出查克拉就行了
Dialogue: Marked=0,0:05:15.48,0:05:18.81,Default,,0000,0000,0000,,完全不需要去記困難的印
Dialogue: Marked=0,0:05:18.88,0:05:20.47,Default,,0000,0000,0000,,連笨蛋也OK
Dialogue: Marked=0,0:05:20.55,0:05:22.88,Default,,0000,0000,0000,,我才不是什麼笨蛋呢
Dialogue: Marked=0,0:05:22.98,0:05:25.32,Default,,0000,0000,0000,,我啊，可是總有一天\N會成為火影的男人
Dialogue: Marked=0,0:05:25.39,0:05:26.68,Default,,0000,0000,0000,,只要開竅後就很簡單
Dialogue: Marked=0,0:05:26.82,0:05:30.76,Default,,0000,0000,0000,,這種忍術我只要花個三天\N就可以徹底學會了
Dialogue: Marked=0,0:05:32.49,0:05:33.96,Default,,0000,0000,0000,,三天是嗎
Dialogue: Marked=0,0:05:34.90,0:05:38.99,Default,,0000,0000,0000,,這種忍術可是第四代火影\N所遺留下來的
Dialogue: Marked=0,0:05:40.20,0:05:44.64,Default,,0000,0000,0000,,第四代火影\N整整花了三年時間才完成
Dialogue: Marked=0,0:05:44.77,0:05:48.83,Default,,0000,0000,0000,,這種忍術以學習難易度來說\N是六階段中第二困難的
Dialogue: Marked=0,0:05:48.91,0:05:52.14,Default,,0000,0000,0000,,也就是A級的超高等忍術了
Dialogue: Marked=0,0:05:53.92,0:05:58.01,Default,,0000,0000,0000,,想要學會這種忍術\N需要三個階段的修練
Dialogue: Marked=0,0:05:58.52,0:06:01.51,Default,,0000,0000,0000,,這個"弄破水球"\N就是第一階段
Dialogue: Marked=0,0:06:04.03,0:06:06.65,Default,,0000,0000,0000,,那個號稱天才忍者的第四代
Dialogue: Marked=0,0:06:09.10,0:06:10.79,Default,,0000,0000,0000,,花了三年
Dialogue: Marked=0,0:06:10.87,0:06:14.49,Default,,0000,0000,0000,,所以對沒辦法\N完成第一階段的傢伙
Dialogue: Marked=0,0:06:14.60,0:06:17.09,Default,,0000,0000,0000,,再繼續說下去\N也不會有任何的意義了
Dialogue: Marked=0,0:06:17.24,0:06:19.80,Default,,0000,0000,0000,,接下來\N你就自己試試看
Dialogue: Marked=0,0:06:19.94,0:06:23.10,Default,,0000,0000,0000,,好了，我要先回鎮上去了
Dialogue: Marked=0,0:06:23.18,0:06:25.37,Default,,0000,0000,0000,,我還要蒐集情報呢
Dialogue: Marked=0,0:06:26.25,0:06:27.94,Default,,0000,0000,0000,,那你呢，打算想怎麼做
Dialogue: Marked=0,0:06:30.39,0:06:32.44,Default,,0000,0000,0000,,學習難易度A級
Dialogue: Marked=0,0:06:33.05,0:06:35.68,Default,,0000,0000,0000,,第四代火影遺留下來的忍術
Dialogue: Marked=0,0:06:42.26,0:06:44.25,Default,,0000,0000,0000,,我現在還不想回去
