[Script Info]
Title: NARUTO -ナルト- 第088話 「木ノ葉マークと額当て」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.50,0:00:10.90,Default,,0000,0000,0000,,We are Fi ght i ng Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:11.04,0:00:14.48,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.58,0:00:18.01,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.08,0:00:21.57,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.65,0:00:25.14,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.25,0:00:27.22,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.96,0:00:35.95,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.10,0:00:43.13,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.24,0:00:50.37,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.48,0:00:56.58,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.65,0:01:01.02,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.58,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.73,0:01:08.18,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.26,0:01:11.76,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.83,0:01:15.39,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.50,0:01:18.96,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.04,0:01:22.50,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.61,0:01:26.05,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.18,0:01:27.08,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:47.50,0:01:48.53,Default,,0000,0000,0000,,佐助
Dialogue: Marked=0,0:02:01.55,0:02:03.81,Default,,0000,0000,0000,,您不要緊吧，大蛇丸大人
Dialogue: Marked=0,0:02:03.89,0:02:05.05,Default,,0000,0000,0000,,快把藥給喝了
Dialogue: Marked=0,0:02:26.17,0:02:28.84,Default,,0000,0000,0000,,才剛回來\N就馬上要打掃房間了
Dialogue: Marked=0,0:02:29.88,0:02:31.97,Default,,0000,0000,0000,,您現在是一定要按時吃藥的
Dialogue: Marked=0,0:02:32.98,0:02:36.61,Default,,0000,0000,0000,,我才不需要吃那種\N自我安慰的藥
Dialogue: Marked=0,0:02:36.72,0:02:39.41,Default,,0000,0000,0000,,那是我特地為您調配的藥
Dialogue: Marked=0,0:02:39.52,0:02:42.46,Default,,0000,0000,0000,,應該可以\N多少減輕您的痛苦才對
Dialogue: Marked=0,0:02:42.56,0:02:45.46,Default,,0000,0000,0000,,我這雙手像燒燙般的疼痛
Dialogue: Marked=0,0:02:45.56,0:02:48.96,Default,,0000,0000,0000,,真沒想到會痛苦到這種程度
Dialogue: Marked=0,0:02:49.06,0:02:50.66,Default,,0000,0000,0000,,那是猿飛
Dialogue: Marked=0,0:02:50.77,0:02:52.73,Default,,0000,0000,0000,,也就是第三代火影
Dialogue: Marked=0,0:02:52.83,0:02:54.86,Default,,0000,0000,0000,,在死前所留下的詛咒傷痕
Dialogue: Marked=0,0:02:54.97,0:02:56.73,Default,,0000,0000,0000,,別說廢話了
Dialogue: Marked=0,0:02:56.84,0:02:59.33,Default,,0000,0000,0000,,對了\N你找到那個傢伙了嗎
Dialogue: Marked=0,0:02:59.41,0:03:00.37,Default,,0000,0000,0000,,是
Dialogue: Marked=0,0:03:00.44,0:03:03.50,Default,,0000,0000,0000,,聽說她現在\N正在一個叫短冊街的地方
Dialogue: Marked=0,0:03:04.98,0:03:06.50,Default,,0000,0000,0000,,短冊街是嗎
Dialogue: Marked=0,0:03:10.35,0:03:11.98,Default,,0000,0000,0000,,這樣啊
Dialogue: Marked=0,0:03:12.09,0:03:16.85,Default,,0000,0000,0000,,可是對方是\N傳說的三忍中的其中一人
Dialogue: Marked=0,0:03:16.93,0:03:18.69,Default,,0000,0000,0000,,應該沒有那麼容易
Dialogue: Marked=0,0:03:22.40,0:03:25.49,Default,,0000,0000,0000,,所謂良藥通常都是苦口的
Dialogue: Marked=0,0:03:37.11,0:03:38.04,Default,,0000,0000,0000,,你看
Dialogue: Marked=0,0:03:40.18,0:03:41.51,Default,,0000,0000,0000,,是一樣的
Dialogue: Marked=0,0:03:41.62,0:03:43.95,Default,,0000,0000,0000,,可是這就是訣竅了嗎
Dialogue: Marked=0,0:03:44.05,0:03:48.42,Default,,0000,0000,0000,,你在學校是那種會被老師罵\N沒有集中力的學生吧
Dialogue: Marked=0,0:03:48.52,0:03:50.82,Default,,0000,0000,0000,,那跟現在完全無關吧
Dialogue: Marked=0,0:03:51.79,0:03:53.35,Default,,0000,0000,0000,,你看這張紙
Dialogue: Marked=0,0:03:56.23,0:03:57.22,Default,,0000,0000,0000,,我看到了
Dialogue: Marked=0,0:03:57.33,0:04:00.50,Default,,0000,0000,0000,,好，那麼就再看一次
Dialogue: Marked=0,0:04:11.51,0:04:13.07,Default,,0000,0000,0000,,這是在幹嘛
Dialogue: Marked=0,0:04:13.21,0:04:17.38,Default,,0000,0000,0000,,其實這也不是什麼\N需要多加說明的玩意
