[Script Info]
Title: NARUTO -ナルト- 第090話 「怒りバクハツ！許さねーってばよ」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.57,0:00:10.90,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.97,0:00:14.46,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.54,0:00:18.03,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:18.15,0:00:21.64,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.72,0:00:25.21,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.29,0:00:27.31,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:29.02,0:00:36.02,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.13,0:00:43.13,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.24,0:00:50.51,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.61,0:00:56.64,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.75,0:01:00.98,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:01.12,0:01:04.61,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.69,0:01:08.15,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.23,0:01:11.72,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.87,0:01:15.32,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.40,0:01:18.96,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:19.11,0:01:22.60,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.68,0:01:26.17,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.25,0:01:27.18,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:32.99,0:01:35.72,Default,,0000,0000,0000,,第90話\N憤怒爆發 不可原諒
Dialogue: Marked=0,0:01:53.88,0:01:55.04,Default,,0000,0000,0000,,這是...
Dialogue: Marked=0,0:01:55.71,0:01:57.47,Default,,0000,0000,0000,,怎麼搞的啊
Dialogue: Marked=0,0:01:59.45,0:02:00.94,Default,,0000,0000,0000,,救命啊
Dialogue: Marked=0,0:02:02.15,0:02:03.41,Default,,0000,0000,0000,,那位仁兄
Dialogue: Marked=0,0:02:03.55,0:02:05.21,Default,,0000,0000,0000,,可以請教一下嗎
Dialogue: Marked=0,0:02:05.29,0:02:06.81,Default,,0000,0000,0000,,到底發生了什麼事情了
Dialogue: Marked=0,0:02:06.92,0:02:08.72,Default,,0000,0000,0000,,我勸你們最好也趕快逃吧
Dialogue: Marked=0,0:02:08.82,0:02:10.72,Default,,0000,0000,0000,,因為那個上面有怪物啊
Dialogue: Marked=0,0:02:11.49,0:02:12.79,Default,,0000,0000,0000,,有怪物
Dialogue: Marked=0,0:02:12.89,0:02:16.49,Default,,0000,0000,0000,,你所說的怪物\N是長什麼樣子的呢
Dialogue: Marked=0,0:02:16.60,0:02:20.50,Default,,0000,0000,0000,,有一隻巨大的蛇\N一瞬間就把城堡給破壞掉了
Dialogue: Marked=0,0:02:24.24,0:02:25.64,Default,,0000,0000,0000,,你說的巨大的蛇大概有多大
Dialogue: Marked=0,0:02:25.74,0:02:26.93,Default,,0000,0000,0000,,我跟你說，我跟你說
Dialogue: Marked=0,0:02:27.08,0:02:28.24,Default,,0000,0000,0000,,之前我在我們的村子
Dialogue: Marked=0,0:02:28.34,0:02:30.74,Default,,0000,0000,0000,,也曾經被一隻\N莫名其妙的巨蛇攻擊過
Dialogue: Marked=0,0:02:30.85,0:02:32.28,Default,,0000,0000,0000,,我們快走，鳴人
Dialogue: Marked=0,0:02:33.21,0:02:36.31,Default,,0000,0000,0000,,那隻巨大的蛇\N和你當初所看到的
Dialogue: Marked=0,0:02:36.42,0:02:37.82,Default,,0000,0000,0000,,恐怕應該是同一隻吧
Dialogue: Marked=0,0:02:49.23,0:02:51.36,Default,,0000,0000,0000,,你說你要把木葉忍者村給毀掉
Dialogue: Marked=0,0:03:03.08,0:03:04.31,Default,,0000,0000,0000,,您的答覆是
Dialogue: Marked=0,0:03:17.89,0:03:18.92,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:03:20.20,0:03:23.65,Default,,0000,0000,0000,,您千萬不能\N被他們的話給騙了
Dialogue: Marked=0,0:03:23.77,0:03:25.93,Default,,0000,0000,0000,,您的弟弟和叔父大人
Dialogue: Marked=0,0:03:26.07,0:03:28.23,Default,,0000,0000,0000,,也絕對不會希望您這麼做的
Dialogue: Marked=0,0:03:28.80,0:03:30.36,Default,,0000,0000,0000,,他們兩個人的願望是...
Dialogue: Marked=0,0:03:30.47,0:03:32.00,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:03:32.14,0:03:35.97,Default,,0000,0000,0000,,難道您忘記了\N您的願望和夢想了嗎
Dialogue: Marked=0,0:03:40.78,0:03:43.25,Default,,0000,0000,0000,,我很瞭解您在想什麼
Dialogue: Marked=0,0:03:43.32,0:03:46.62,Default,,0000,0000,0000,,雖然您現在是這樣\N但是實際上到現在仍...
Dialogue: Marked=0,0:03:48.92,0:03:49.65,Default,,0000,0000,0000,,請您
Dialogue: Marked=0,0:03:49.76,0:03:51.19,Default,,0000,0000,0000,,請您一定要保持清醒
Dialogue: Marked=0,0:03:51.29,0:03:52.82,Default,,0000,0000,0000,,別再說了，靜音
Dialogue: Marked=0,0:04:10.31,0:04:14.27,Default,,0000,0000,0000,,答覆不用現在急著給\N也沒有關係
Dialogue: Marked=0,0:04:15.02,0:04:18.08,Default,,0000,0000,0000,,但是\N希望您能在一個星期後決定
Dialogue: Marked=0,0:04:18.22,0:04:19.21,Default,,0000,0000,0000,,還有
Dialogue: Marked=0,0:04:19.29,0:04:22.38,Default,,0000,0000,0000,,這項禁術需要用到兩個活體
Dialogue: Marked=0,0:04:22.52,0:04:25.52,Default,,0000,0000,0000,,到時候\N就請您自行帶兩個人過來
Dialogue: Marked=0,0:04:27.90,0:04:28.86,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:04:28.96,0:04:30.73,Default,,0000,0000,0000,,乾脆現在就殺了他們兩個
Dialogue: Marked=0,0:04:30.87,0:04:31.66,Default,,0000,0000,0000,,這是個機會
Dialogue: Marked=0,0:04:31.80,0:04:34.89,Default,,0000,0000,0000,,只要綱手大人和我聯手\N要殺了他們兩個簡直是...
Dialogue: Marked=0,0:04:41.48,0:04:42.74,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:05:20.01,0:05:23.01,Default,,0000,0000,0000,,我現在的確是非常的虛弱
Dialogue: Marked=0,0:05:23.15,0:05:24.45,Default,,0000,0000,0000,,但是
Dialogue: Marked=0,0:05:27.02,0:05:30.65,Default,,0000,0000,0000,,我也知道綱手的弱點在哪裡
Dialogue: Marked=0,0:05:31.96,0:05:32.79,Default,,0000,0000,0000,,原來如此
Dialogue: Marked=0,0:05:32.93,0:05:35.95,Default,,0000,0000,0000,,他和綱手大人\N一樣是三忍之一
Dialogue: Marked=0,0:05:36.80,0:05:38.23,Default,,0000,0000,0000,,所以連那件事也...
Dialogue: Marked=0,0:05:40.97,0:05:43.73,Default,,0000,0000,0000,,看來妳還沒有克服
Dialogue: Marked=0,0:05:45.31,0:05:47.30,Default,,0000,0000,0000,,怕血的這個弱點
Dialogue: Marked=0,0:05:50.04,0:05:51.74,Default,,0000,0000,0000,,血液恐懼症
Dialogue: Marked=0,0:05:55.68,0:05:58.62,Default,,0000,0000,0000,,我們也差不多該走了，兜
Dialogue: Marked=0,0:06:00.32,0:06:02.26,Default,,0000,0000,0000,,綱手
Dialogue: Marked=0,0:06:02.32,0:06:05.55,Default,,0000,0000,0000,,希望能聽到妳的好消息
Dialogue: Marked=0,0:06:31.09,0:06:33.21,Default,,0000,0000,0000,,看樣子我們是來遲一步
Dialogue: Marked=0,0:06:35.59,0:06:37.22,Default,,0000,0000,0000,,這也是大蛇幹的好事
Dialogue: Marked=0,0:06:37.29,0:06:38.85,Default,,0000,0000,0000,,我們要走了，鳴人
Dialogue: Marked=0,0:06:38.99,0:06:41.29,Default,,0000,0000,0000,,綱手已經不在這裡了
Dialogue: Marked=0,0:06:41.36,0:06:42.16,Default,,0000,0000,0000,,什麼嘛
Dialogue: Marked=0,0:06:42.23,0:06:44.43,Default,,0000,0000,0000,,從剛才就一直叫我\N要走了，要走了的
Dialogue: Marked=0,0:06:54.04,0:06:54.94,Default,,0000,0000,0000,,歡迎光臨
Dialogue: Marked=0,0:06:55.04,0:06:57.44,Default,,0000,0000,0000,,老闆，再來一瓶
Dialogue: Marked=0,0:06:57.55,0:07:00.04,Default,,0000,0000,0000,,綱手大人，您喝太多了
Dialogue: Marked=0,0:07:07.12,0:07:08.45,Default,,0000,0000,0000,,綱手大人
Dialogue: Marked=0,0:07:10.56,0:07:13.96,Default,,0000,0000,0000,,什麼嘛\N根本就到處找不到人嘛
Dialogue: Marked=0,0:07:14.06,0:07:16.76,Default,,0000,0000,0000,,帶著我這裡跑，那裡繞的
Dialogue: Marked=0,0:07:16.83,0:07:19.63,Default,,0000,0000,0000,,結果還是什麼線索都找不到嘛
Dialogue: Marked=0,0:07:22.90,0:07:25.57,Default,,0000,0000,0000,,總而言之\N先到這裡面吃頓飯吧
Dialogue: Marked=0,0:07:27.41,0:07:29.84,Default,,0000,0000,0000,,你說的這裡是間居酒屋耶
Dialogue: Marked=0,0:07:29.98,0:07:31.97,Default,,0000,0000,0000,,是居酒屋又怎麼樣了嗎
Dialogue: Marked=0,0:07:32.08,0:07:34.21,Default,,0000,0000,0000,,我不是跟你說過好多次了嗎
Dialogue: Marked=0,0:07:34.35,0:07:36.21,Default,,0000,0000,0000,,我現在還是個小孩子
Dialogue: Marked=0,0:07:36.35,0:07:37.54,Default,,0000,0000,0000,,傻瓜
Dialogue: Marked=0,0:07:37.65,0:07:39.92,Default,,0000,0000,0000,,又沒有人叫你一定要喝酒啊
Dialogue: Marked=0,0:07:39.99,0:07:42.48,Default,,0000,0000,0000,,小鬼頭只要吃點下酒菜\N就可以了
Dialogue: Marked=0,0:07:43.36,0:07:46.66,Default,,0000,0000,0000,,就算要隨便吃點什麼\N也不必選在這種地方吧
Dialogue: Marked=0,0:07:46.79,0:07:48.23,Default,,0000,0000,0000,,我們可以去拉麵店吃啊
Dialogue: Marked=0,0:07:48.30,0:07:49.73,Default,,0000,0000,0000,,你真的很傻耶
Dialogue: Marked=0,0:07:49.86,0:07:53.16,Default,,0000,0000,0000,,所謂的情報\N就得到這種地方才蒐集得到
Dialogue: Marked=0,0:08:03.68,0:08:05.11,Default,,0000,0000,0000,,綱手
Dialogue: Marked=0,0:08:05.81,0:08:07.11,Default,,0000,0000,0000,,自來也
Dialogue: Marked=0,0:08:07.68,0:08:10.01,Default,,0000,0000,0000,,你怎麼會在這裡出現呢
Dialogue: Marked=0,0:08:10.12,0:08:11.95,Default,,0000,0000,0000,,終於找到妳了
Dialogue: Marked=0,0:08:12.52,0:08:14.01,Default,,0000,0000,0000,,累死我了
Dialogue: Marked=0,0:08:15.02,0:08:17.25,Default,,0000,0000,0000,,那位大姐就是綱手
Dialogue: Marked=0,0:08:22.83,0:08:24.89,Default,,0000,0000,0000,,真的五十歲了嗎
Dialogue: Marked=0,0:08:25.83,0:08:27.36,Default,,0000,0000,0000,,根本是詐欺嘛
Dialogue: Marked=0,0:08:32.81,0:08:36.61,Default,,0000,0000,0000,,居然在一天之內\N見到三忍中的其他兩個人
Dialogue: Marked=0,0:08:40.62,0:08:41.74,Default,,0000,0000,0000,,久等了
Dialogue: Marked=0,0:08:54.20,0:08:56.22,Default,,0000,0000,0000,,話說回來
Dialogue: Marked=0,0:08:56.33,0:08:59.60,Default,,0000,0000,0000,,今天還真是個\N容易遇到老朋友的日子
Dialogue: Marked=0,0:09:09.64,0:09:11.41,Default,,0000,0000,0000,,是大蛇丸嗎
Dialogue: Marked=0,0:09:13.55,0:09:15.11,Default,,0000,0000,0000,,發生什麼事了
Dialogue: Marked=0,0:09:18.29,0:09:20.38,Default,,0000,0000,0000,,也沒什麼啦
Dialogue: Marked=0,0:09:20.52,0:09:22.51,Default,,0000,0000,0000,,不過是打聲招呼罷了
Dialogue: Marked=0,0:09:39.07,0:09:40.54,Default,,0000,0000,0000,,這位大姐就是
Dialogue: Marked=0,0:09:40.68,0:09:43.74,Default,,0000,0000,0000,,能夠治癒任何傷痛的女忍者
Dialogue: Marked=0,0:09:43.81,0:09:45.30,Default,,0000,0000,0000,,會是真的嗎
Dialogue: Marked=0,0:09:46.58,0:09:49.74,Default,,0000,0000,0000,,你找我又有什麼事呢
Dialogue: Marked=0,0:09:54.06,0:09:55.68,Default,,0000,0000,0000,,那我就直說了
Dialogue: Marked=0,0:10:01.53,0:10:02.55,Default,,0000,0000,0000,,綱手
Dialogue: Marked=0,0:10:02.66,0:10:07.26,Default,,0000,0000,0000,,木葉忍者村要求妳現在\N立刻繼任第五代火影
Dialogue: Marked=0,0:10:17.35,0:10:19.61,Default,,0000,0000,0000,,老闆，我要馬鈴薯燉肉
Dialogue: Marked=0,0:10:19.71,0:10:22.21,Default,,0000,0000,0000,,快點啊\N好的，馬上來
Dialogue: Marked=0,0:10:32.43,0:10:34.22,Default,,0000,0000,0000,,第五代火影
Dialogue: Marked=0,0:10:34.33,0:10:35.59,Default,,0000,0000,0000,,怎麼突然間變這樣
Dialogue: Marked=0,0:10:35.70,0:10:37.82,Default,,0000,0000,0000,,現在到底是怎麼回事啊
Dialogue: Marked=0,0:10:41.84,0:10:43.96,Default,,0000,0000,0000,,由於第三代火影的事
Dialogue: Marked=0,0:10:45.74,0:10:47.23,Default,,0000,0000,0000,,第三代火影
Dialogue: Marked=0,0:10:48.21,0:10:49.97,Default,,0000,0000,0000,,他果然是真的...
Dialogue: Marked=0,0:10:56.02,0:10:58.11,Default,,0000,0000,0000,,就是大蛇丸幹的吧
Dialogue: Marked=0,0:10:58.95,0:11:02.25,Default,,0000,0000,0000,,我直接從他口中聽說了
Dialogue: Marked=0,0:11:03.16,0:11:05.15,Default,,0000,0000,0000,,是大蛇丸幹的
Dialogue: Marked=0,0:11:06.23,0:11:07.25,Default,,0000,0000,0000,,大蛇丸
Dialogue: Marked=0,0:11:07.36,0:11:09.52,Default,,0000,0000,0000,,就是那個傢伙\N殺了第三代火影爺爺嗎
