[Script Info]
Title: NARUTO -ナルト- 第091話 「初代火影の遺産 死を呼ぶ首飾り」
ScriptType: v4.00
Collisions: Normal
PlayResX: 640
PlayResY: 480
Timer: 100.0000

字幕提供: 沉默之羽
OCR: kogehapitq

[V4 Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, TertiaryColour, BackColour, Bold, Italic, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, AlphaLevel, Encoding
Style: Default,Arial Unicode MS,40,&HF2F2F2,&H000000,&H000000,&H000000,0,0,0,1,0,2,20,20,10,0,1

[Events]
Format: Marked, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: Marked=0,0:00:06.57,0:00:10.77,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:00:10.84,0:00:14.28,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:00:14.41,0:00:17.85,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:00:17.98,0:00:21.47,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:00:21.55,0:00:25.04,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:00:25.15,0:00:27.12,Default,,0000,0000,0000,,Right here Right now(Burn)
Dialogue: Marked=0,0:00:28.86,0:00:35.85,Default,,0000,0000,0000,,行走在險惡的修羅路上\N攤開別人的地圖要往何處去
Dialogue: Marked=0,0:00:36.00,0:00:42.99,Default,,0000,0000,0000,,色彩豐富的烏鴉\N搶走地圖弄破後丟棄
Dialogue: Marked=0,0:00:43.10,0:00:50.34,Default,,0000,0000,0000,,來吧，張開心裡的眼睛\N確實地看透真相
Dialogue: Marked=0,0:00:50.41,0:00:56.51,Default,,0000,0000,0000,,不會失去什麼\N邁開腳步向前走
Dialogue: Marked=0,0:00:56.62,0:01:00.85,Default,,0000,0000,0000,,We are Fighting Dreamers\N目標就是往高處爬
Dialogue: Marked=0,0:01:00.92,0:01:04.41,Default,,0000,0000,0000,,Fighting Dreamers\N不講究外表
Dialogue: Marked=0,0:01:04.56,0:01:08.09,Default,,0000,0000,0000,,Fighting Dreamers\N絕對相信自己
Dialogue: Marked=0,0:01:08.16,0:01:11.66,Default,,0000,0000,0000,,Oli Oli Oli Oh\NJust go my way!
Dialogue: Marked=0,0:01:11.73,0:01:15.23,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:15.37,0:01:18.86,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:18.94,0:01:22.40,Default,,0000,0000,0000,,Right here Right now(Bang)\N發射吧 就像高速的子彈
Dialogue: Marked=0,0:01:22.51,0:01:25.97,Default,,0000,0000,0000,,Right here Right now(Burn)\N把它砍成兩半 Get the fire
Dialogue: Marked=0,0:01:26.11,0:01:27.01,Default,,0000,0000,0000,,Bang
Dialogue: Marked=0,0:01:30.09,0:01:32.14,Default,,0000,0000,0000,,看我的
Dialogue: Marked=0,0:01:44.93,0:01:46.09,Default,,0000,0000,0000,,不會吧
Dialogue: Marked=0,0:01:46.20,0:01:48.69,Default,,0000,0000,0000,,沒想到他會用第四代的忍術
Dialogue: Marked=0,0:01:49.54,0:01:51.70,Default,,0000,0000,0000,,不過只是這樣的程度
Dialogue: Marked=0,0:01:51.77,0:01:54.17,Default,,0000,0000,0000,,還不算沾上那招忍術的邊呢
Dialogue: Marked=0,0:01:55.34,0:01:59.21,Default,,0000,0000,0000,,綱手那傢伙\N還是老樣子蠻力驚人嘛
Dialogue: Marked=0,0:02:00.68,0:02:02.65,Default,,0000,0000,0000,,這倒讓我想起以前\N被她打一拳
Dialogue: Marked=0,0:02:02.72,0:02:05.91,Default,,0000,0000,0000,,就往外飛了一百公尺遠
Dialogue: Marked=0,0:02:08.06,0:02:11.32,Default,,0000,0000,0000,,話又說回來\N鳴人這傢伙還真沒用哪
Dialogue: Marked=0,0:02:11.83,0:02:13.38,Default,,0000,0000,0000,,你沒事吧，要不要緊
Dialogue: Marked=0,0:02:14.50,0:02:16.26,Default,,0000,0000,0000,,自來也，是你嗎
Dialogue: Marked=0,0:02:16.36,0:02:18.42,Default,,0000,0000,0000,,是你教這小鬼\N那招"螺旋丸"的嗎
Dialogue: Marked=0,0:02:19.27,0:02:20.56,Default,,0000,0000,0000,,螺旋丸
Dialogue: Marked=0,0:02:21.17,0:02:24.07,Default,,0000,0000,0000,,我也算是那傢伙的師父啊
Dialogue: Marked=0,0:02:24.17,0:02:25.43,Default,,0000,0000,0000,,原則上啦
Dialogue: Marked=0,0:02:26.54,0:02:30.64,Default,,0000,0000,0000,,會用那一招忍術的\N也只有第四代跟你而已
Dialogue: Marked=0,0:02:30.75,0:02:33.51,Default,,0000,0000,0000,,教他那種\N他不可能學會的忍術
Dialogue: Marked=0,0:02:33.62,0:02:35.17,Default,,0000,0000,0000,,就自以為是師父了
Dialogue: Marked=0,0:02:35.95,0:02:38.28,Default,,0000,0000,0000,,別讓他以為自己能學會
Dialogue: Marked=0,0:02:38.39,0:02:40.45,Default,,0000,0000,0000,,也難怪這種愛作夢的小鬼頭
Dialogue: Marked=0,0:02:40.59,0:02:43.72,Default,,0000,0000,0000,,會說出什麼\N將來要當火影的笑話出來
Dialogue: Marked=0,0:02:44.36,0:02:46.12,Default,,0000,0000,0000,,我說的才不是笑話呢
Dialogue: Marked=0,0:02:46.23,0:02:47.96,Default,,0000,0000,0000,,笨蛋，妳這個笨蛋
Dialogue: Marked=0,0:02:48.10,0:02:49.72,Default,,0000,0000,0000,,只要三天
Dialogue: Marked=0,0:02:49.80,0:02:51.56,Default,,0000,0000,0000,,我就會練熟\N這招忍術給妳看的
Dialogue: Marked=0,0:02:53.33,0:02:55.10,Default,,0000,0000,0000,,這可是你說的，小鬼
